Dates,BBDXY Index,DXY Curncy,EUR Curncy,JPY Curncy,GBP Curncy,CHF Curncy,AUD Curncy,CAD Curncy,NZD Curncy,SEK Curncy,NOK Curncy,BRL Curncy,CLP Curncy,MXN Curncy,CNH Curncy,INR Curncy,THB Curncy,IDR Curncy,KRW Curncy,SGD Curncy,TRY Curncy,CZK Curncy,HUF Curncy,PLN Curncy,RON Curncy,RUB Curncy,ILS Curncy,ZAR Curncy
1/3/2000,#N/A N/A,100.22,1.0243,101.45,1.63615,1.56695,0.65845,1.4468,0.525,8.3767,7.8884,1.819,528,9.505,#N/A N/A,#N/A N/A,37.02,7040,1127.5,1.656,0.5415,35.18,250.56,4.125,1.811,27.35,4.1179,6.1315
1/4/2000,#N/A N/A,100.41,1.0296,103.215,1.63595,1.5573,0.65495,1.45275,0.51935,8.381,7.9469,1.851,529.43,9.57125,#N/A N/A,#N/A N/A,37.225,7125,1122.25,1.656,0.5367,35.261,246.88,4.1225,1.832,27.5,4.115,6.09
1/5/2000,#N/A N/A,100.38,1.0321,104.135,1.6426,1.5486,0.65785,1.45,0.52015,8.3671,7.943,1.839,530,9.571,#N/A N/A,#N/A N/A,37.15,7145,1134.5,1.65725,0.53671,35.114,246.6,4.1245,1.8345,27.25,4.1512,6.0684
1/6/2000,#N/A N/A,100.48,1.0328,105.225,1.6474,1.5532,0.65325,1.4599,0.51455,8.3719,7.942,1.8415,527,9.58,#N/A N/A,#N/A N/A,37.55,7225,1146.25,1.6645,0.5361,35.107,246.57,4.081,1.829,27.455,4.1562,6.07875
1/7/2000,#N/A N/A,100.72,1.0295,105.34,1.6393,1.5646,0.65485,1.4558,0.5175,8.4167,7.9748,1.827,524.55,9.565,#N/A N/A,#N/A N/A,37.265,7165,1137.5,1.6613,0.5395,35.04,247.35,4.075,1.8322,27.455,4.1695,6.0575
1/10/2000,#N/A N/A,100.99,1.0256,105.155,1.63735,1.56935,0.65605,1.4558,0.51575,8.4485,8.0122,1.815,522.5,9.47,#N/A N/A,#N/A N/A,37.255,7175,1133.25,1.66145,0.5411,35.12,248.43,4.0705,1.83345,28.15,4.1249,6.075
1/11/2000,#N/A N/A,100.56,1.0336,105.945,1.6475,1.5583,0.65775,1.45705,0.51795,8.3968,7.95875,1.8225,522.5,9.5125,#N/A N/A,#N/A N/A,37.675,7295,1146,1.669,0.5404,34.85,246.83,4.0655,1.8315,28.6,4.1181,6.0925
1/12/2000,#N/A N/A,100.62,1.0309,105.785,1.6466,1.56235,0.65865,1.454,0.51925,8.3983,7.9558,1.828,519.53,9.522,#N/A N/A,#N/A N/A,37.55,7235,1144.25,1.66935,0.5405,34.961,247.77,4.065,1.83125,28.75,4.1224,6.065
1/13/2000,#N/A N/A,101,1.0258,106.165,1.6472,1.57135,0.66785,1.4507,0.52335,8.41645,7.9424,1.81325,517.05,9.4875,#N/A N/A,#N/A N/A,37.45,7225,1135.25,1.669,0.54245,35.2,248.22,4.067,1.835,28.655,4.1153,6.06175
1/14/2000,#N/A N/A,101.72,1.0122,105.87,1.6313,1.5945,0.66565,1.4499,0.52125,8.4749,7.996,1.804,515.67,9.45025,#N/A N/A,#N/A N/A,37.455,7122.5,1117.705,1.67475,0.5493,35.555,251.33,4.075,1.79732,28.655,4.1158,6.0725
1/17/2000,#N/A N/A,101.77,1.0122,104.895,1.63325,1.59575,0.66415,1.44945,0.51945,8.4656,8.0259,1.792,512.2,9.4215,#N/A N/A,#N/A N/A,37.435,7275,1120.5,1.675,0.54692,35.668,252.52,4.077,1.83175,28.665,4.0978,6.076
1/18/2000,#N/A N/A,101.86,1.0137,105.665,1.63785,1.59135,0.66535,1.4505,0.51675,8.459,7.9781,1.7925,516,9.3993,#N/A N/A,#N/A N/A,37.335,7275,1126.5,1.6745,0.547,35.538,251.91,4.0875,1.833,28.625,4.056,6.0915
1/19/2000,#N/A N/A,101.76,1.0133,105.315,1.64495,1.5929,0.66375,1.452,0.51465,8.4755,7.9872,1.791,516.85,9.41525,#N/A N/A,#N/A N/A,37.375,7337.5,1133.5,1.676,0.5473,35.615,252,4.10025,1.83475,28.555,4.0908,6.11225
1/20/2000,#N/A N/A,101.36,1.0168,105.465,1.6537,1.5845,0.66575,1.44665,0.51475,8.452,7.9603,1.782,516.75,9.435,#N/A N/A,#N/A N/A,37.275,7275,1125.5,1.67325,0.5473,35.512,251.94,4.0805,1.83625,28.55,4.0846,6.09775
1/21/2000,#N/A N/A,101.81,1.0098,104.78,1.6487,1.5962,0.66285,1.4415,0.51145,8.4844,7.9968,1.7725,515.9,9.46675,#N/A N/A,#N/A N/A,37.22,7335,1127.5,1.67995,0.54929,35.665,252.77,4.08,1.83625,28.53,4.1061,6.1325
