Dates,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,11Yr,12Yr,13Yr,14Yr,15Yr,16Yr,17Yr,18Yr,19Yr,20Yr,25Yr,30Yr
1/1/2004,1.458,2.155,2.765,3.255,3.635,3.925,4.145,4.335,4.505,4.645,4.76,4.86,4.95,5.03,5.1,5.1476,5.2,5.2309,5.2725,5.3,5.37,5.39
1/2/2004,1.52,2.225,2.894,3.379,3.775,4.055,4.285,4.475,4.635,4.775,4.9,4.99,5.08,5.16,5.22,5.1476,5.32,5.2309,5.2725,5.42,5.48,5.49
1/5/2004,1.512,2.255,2.872,3.366,3.755,4.045,4.275,4.465,4.625,4.765,4.88,4.9795,5.065,5.141,5.209,5.1476,5.31,5.2309,5.2725,5.409,5.4685,5.483
1/6/2004,1.46,2.152,2.769,3.245,3.635,3.925,4.155,4.345,4.515,4.645,4.7705,4.865,4.957,5.0325,5.1095,5.1476,5.21,5.2309,5.2725,5.3115,5.379,5.399
1/7/2004,1.455,2.155,2.745,3.225,3.605,3.9045,4.135,4.326,4.485,4.6265,4.745,4.846,4.9305,5.012,5.089,5.1476,5.19,5.2309,5.2725,5.295,5.35,5.382
1/8/2004,1.46,2.166,2.763,3.25,3.628,3.92,4.1545,4.345,4.504,4.635,4.759,4.8615,4.94,5.03,5.104,5.1476,5.2,5.2309,5.2725,5.309,5.37,5.39
1/9/2004,1.348,1.975,2.563,3.03,3.405,3.7115,3.945,4.145,4.315,4.455,4.5745,4.685,4.7785,4.858,4.942,5.1476,5.04,5.2309,5.2725,5.158,5.232,5.256
1/12/2004,1.345,1.97,2.551,3.02,3.405,3.705,3.945,4.145,4.3145,4.455,4.58,4.688,4.773,4.859,4.948,5.1476,5.07,5.2309,5.2725,5.164,5.237,5.265
1/13/2004,1.328,1.924,2.476,2.934,3.305,3.6135,3.855,4.055,4.23,4.3775,4.5,4.613,4.703,4.791,4.8795,5.1476,5,5.2309,5.2725,5.109,5.187,5.22
1/14/2004,1.337,1.954,2.511,2.957,3.315,3.618,3.855,4.052,4.225,4.365,4.49,4.596,4.691,4.78,4.864,5.1476,4.98,5.2309,5.2725,5.09,5.171,5.19
