Dates,BKD,ESC
1/2/2008,26.847939,25.17
1/3/2008,26.684057,25.52
1/4/2008,25.450113,24.28
1/7/2008,25.401911,24.37
1/8/2008,25.42119,23.5
1/9/2008,24.707817,23.8
1/10/2008,25.016304,23.94
1/11/2008,24.370411,23.26
1/14/2008,24.139046,23.55
1/15/2008,22.673737,22.55
1/16/2008,22.095324,23.75
1/17/2008,21.728998,22.78
1/18/2008,20.957781,22.32
1/22/2008,20.514334,21.51
1/23/2008,20.572174,22.71
1/24/2008,20.427572,22.05
1/25/2008,20.119085,21.66
1/28/2008,21.102385,22.1
1/29/2008,20.755339,21.85
1/30/2008,21.025263,21.83
1/31/2008,21.478352,22.15
2/1/2008,23.647396,22.16
2/4/2008,22.808697,21.51
2/5/2008,22.114605,21.01
2/6/2008,21.989281,21.1
2/7/2008,21.478352,20.815
2/8/2008,21.073465,21.35
2/11/2008,21.218065,21.15
2/12/2008,22.36525,21.15
2/13/2008,21.86396,23.75
2/14/2008,21.622955,23.25
2/15/2008,22.41345,23.31
2/19/2008,22.249567,23.7
2/20/2008,22.307409,23.04
2/21/2008,22.934021,22.55
2/22/2008,22.991861,21.97
2/25/2008,22.35561,22.15
2/26/2008,22.34597,22.02
2/27/2008,22.33633,21.69
2/28/2008,24.061922,22.11
2/29/2008,25.151266,22.14
3/3/2008,24.736738,22.35
3/4/2008,23.763079,22.63
3/5/2008,24.052284,22.36
3/6/2008,23.666676,22.26
3/7/2008,24.27401,22.72
3/10/2008,23.43531,23.22
3/11/2008,24.524652,24.3
3/12/2008,24.100485,24.55
3/13/2008,23.705235,24.79
3/14/2008,22.885822,24.98
3/17/2008,22.143526,23.4
3/18/2008,21.912161,23.25
3/19/2008,22.606255,22.6
3/20/2008,21.81576,22.45
3/24/2008,23.714876,22.3
3/25/2008,23.502792,22.07
3/26/2008,23.791998,21.95
3/27/2008,23.899126,21.54
3/28/2008,23.363489,21.11
3/31/2008,23.275839,20.86
4/1/2008,24.600323,21.25
4/2/2008,24.882748,21.01
4/3/2008,24.921705,21.25
4/4/2008,24.054947,22.42
4/7/2008,23.986773,22.21
4/8/2008,23.889387,22.49
4/9/2008,23.587481,22.12
4/10/2008,23.753042,22.7
4/11/2008,23.568005,22.67
4/14/2008,23.373228,23.11
4/15/2008,22.876547,23.39
4/16/2008,23.256359,23.85
4/17/2008,23.305058,23.27
4/18/2008,23.675131,23.25
4/21/2008,23.675131,23.16
4/22/2008,23.986773,23.4
