Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1959-07-01,8.77,8.86,8.77,8.77
1959-07-02,8.86,8.86,8.73,8.86
1959-07-06,8.83,8.88,8.82,8.83
1959-07-07,8.81,8.85,8.78,8.81
1959-07-08,8.85,8.86,8.82,8.85
1959-07-09,8.84,8.85,8.82,8.84
1959-07-10,8.85,8.87,8.82,8.85
1959-07-13,8.85,8.95,8.83,8.85
1959-07-14,8.93,8.97,8.84,8.93
1959-07-15,8.9,9.0,8.9,8.9
1959-07-16,8.9,8.93,8.89,8.9
1959-07-17,8.86,8.94,8.85,8.86
1959-07-20,8.93,8.95,8.82,8.93
1959-07-21,8.89,9.0,8.89,8.89
1959-07-22,8.95,9.0,8.88,8.95
1959-07-23,8.79,8.92,8.75,8.79
1959-07-24,8.88,8.88,8.86,8.88
1959-07-27,8.89,8.92,8.85,8.89
1959-07-28,8.89,8.9,8.88,8.89
1959-07-29,8.9,8.9,8.9,8.9
1959-07-30,8.92,8.95,8.92,8.92
1959-07-31,8.94,8.98,8.92,8.94
1959-08-03,8.88,8.91,8.87,8.88
1959-08-04,8.94,8.95,8.9,8.94
1959-08-05,8.89,8.93,8.89,8.89
1959-08-06,8.86,8.92,8.86,8.86
1959-08-07,8.87,8.87,8.83,8.87
1959-08-10,9.0,9.02,8.92,9.0
1959-08-11,8.96,9.05,8.95,8.96
1959-08-12,8.85,8.9,8.81,8.85
1959-08-13,8.85,8.86,8.8,8.85
1959-08-14,8.83,8.89,8.81,8.83
1959-08-17,8.83,8.85,8.8,8.83
1959-08-18,8.9,8.91,8.85,8.9
1959-08-19,8.93,8.93,8.9,8.93
1959-08-20,8.96,8.99,8.91,8.96
1959-08-21,8.92,8.98,8.9,8.92
1959-08-24,8.94,8.96,8.92,8.94
1959-08-25,8.93,8.97,8.91,8.93
1959-08-26,8.96,8.98,8.94,8.96
1959-08-27,8.94,8.97,8.94,8.94
1959-08-28,8.87,8.92,8.86,8.87
1959-08-31,8.9,8.91,8.86,8.9
1959-09-01,8.91,8.92,8.89,8.91
1959-09-02,8.93,8.98,8.91,8.93
1959-09-03,8.91,8.93,8.9,8.91
1959-09-04,8.91,8.93,8.89,8.91
1959-09-08,8.88,8.91,8.88,8.88
1959-09-09,8.83,8.88,8.79,8.83
1959-09-10,8.85,8.86,8.81,8.85
1959-09-11,8.8,8.9,8.79,8.8
1959-09-14,8.72,8.76,8.71,8.72
1959-09-15,8.81,8.82,8.75,8.81
1959-09-16,8.77,8.83,8.77,8.77
1959-09-17,8.75,8.78,8.74,8.75
1959-09-18,8.69,8.75,8.68,8.69
1959-09-21,8.66,8.67,8.63,8.66
1959-09-22,8.63,8.64,8.59,8.63
1959-09-23,8.63,8.64,8.6,8.63
1959-09-24,8.61,8.67,8.61,8.61
1959-09-25,8.59,8.63,8.59,8.59
1959-09-28,8.64,8.66,8.6,8.64
1959-09-29,8.6,8.67,8.59,8.6
1959-09-30,8.64,8.66,8.6,8.64
1959-10-01,8.6,8.65,8.59,8.6
1959-10-02,8.66,8.66,8.62,8.66
1959-10-05,8.62,8.7,8.62,8.62
1959-10-06,8.6,8.63,8.6,8.6
1959-10-07,8.67,8.68,8.59,8.67
