Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1959-07-01,120.2,120.3,119.6,119.7
1959-07-02,119.6,120.0,119.2,119.6
1959-07-06,119.4,119.5,117.7,118.0
1959-07-07,118.1,118.5,118.0,118.3
1959-07-08,118.4,118.5,117.3,117.3
1959-07-09,117.2,118.3,116.6,118.2
1959-07-10,118.6,119.4,118.4,119.0
1959-07-13,118.3,118.4,117.6,118.1
1959-07-14,118.3,119.7,118.2,119.6
1959-07-15,119.5,119.7,119.1,119.3
1959-07-16,119.2,119.5,118.7,119.3
1959-07-17,119.2,119.6,119.2,119.4
1959-07-20,119.0,119.0,118.2,118.7
1959-07-21,118.6,119.4,118.6,119.2
1959-07-22,119.4,119.7,119.0,119.5
1959-07-23,119.2,119.5,118.6,119.4
1959-07-24,119.5,120.7,119.5,120.5
1959-07-27,120.5,120.7,119.4,119.5
1959-07-28,119.2,119.2,118.4,118.6
1959-07-29,118.1,119.5,118.1,119.3
1959-07-30,119.4,119.6,119.1,119.3
1959-07-31,119.2,120.0,119.2,119.7
1959-08-03,119.3,120.2,119.1,119.7
1959-08-04,119.7,120.6,119.5,120.4
1959-08-05,120.6,121.2,120.3,120.5
1959-08-06,120.4,120.4,119.4,120.1
1959-08-07,119.6,120.0,118.7,118.7
1959-08-10,118.6,119.2,118.5,118.6
1959-08-11,118.6,119.2,118.6,118.7
1959-08-12,118.5,119.1,118.4,118.7
1959-08-13,118.7,119.4,118.7,119.3
1959-08-14,119.4,120.3,119.4,120.1
1959-08-17,120.3,120.4,119.4,119.4
1959-08-18,119.6,120.0,119.4,119.7
1959-08-19,120.0,120.1,119.6,119.6
1959-08-20,119.6,119.7,119.5,119.6
1959-08-21,119.7,119.7,118.7,118.7
1959-08-24,118.7,119.0,118.1,118.4
1959-08-25,118.4,118.4,118.1,118.3
1959-08-26,118.3,118.4,117.1,117.2
1959-08-27,117.2,117.3,116.2,117.0
1959-08-28,116.5,116.7,116.2,116.6
1959-08-31,116.4,118.0,116.2,117.7
1959-09-01,117.6,118.7,117.6,118.6
1959-09-02,118.6,119.2,118.5,119.0
1959-09-03,119.0,119.0,118.2,118.7
1959-09-04,118.6,118.7,118.4,118.5
1959-09-08,118.4,118.4,117.0,117.1
1959-09-09,116.7,117.4,116.5,117.4
1959-09-10,117.1,118.0,117.1,117.5
1959-09-11,117.0,117.4,116.4,116.5
1959-09-14,116.2,116.2,114.5,114.5
1959-09-15,114.4,114.5,113.2,113.3
1959-09-16,113.6,114.4,113.5,114.3
1959-09-17,114.3,114.6,113.4,114.5
1959-09-18,114.3,115.1,114.2,114.6
1959-09-21,114.4,114.7,111.4,113.0
1959-09-22,109.1,109.4,109.1,109.3
1959-09-23,109.3,110.2,109.3,110.2
1959-09-24,110.6,110.7,110.3,110.3
1959-09-25,110.2,110.2,109.5,109.6
1959-09-28,109.6,110.0,109.4,109.6
1959-09-29,109.6,109.7,109.4,109.4
1959-09-30,109.4,109.6,109.1,109.6
1959-10-01,109.4,110.0,109.3,109.5
1959-10-02,109.5,110.2,109.5,110.0
1959-10-05,110.2,110.6,110.1,110.2
1959-10-06,110.2,110.5,110.1,110.2
1959-10-07,110.2,110.4,110.0,110.3
1959-10-08,110.3,110.5,110.2,110.3
1959-10-09,110.2,110.2,109.6,110.0
1959-10-12,109.4,109.5,109.1,109.2
1959-10-13,109.1,109.4,109.0,109.3
1959-10-14,109.2,109.2,108.6,108.7
1959-10-15,108.4,108.6,108.3,108.5
1959-10-16,108.4,108.4,108.1,108.1
1959-10-19,108.0,108.5,107.6,108.3
1959-10-20,108.6,109.4,108.3,109.2
1959-10-21,109.2,110.2,109.2,110.0
1959-10-22,110.1,110.6,109.6,109.6
1959-10-23,109.5,109.6,109.3,109.6
1959-10-26,110.0,111.5,110.0,111.3
1959-10-27,111.2,111.3,110.1,110.2
1959-10-28,110.1,110.4,109.7,110.4
1959-10-29,110.1,110.1,109.5,109.6
1959-10-30,109.6,110.3,109.6,110.1
1959-11-02,109.5,110.1,109.5,109.7
1959-11-03,109.7,112.1,109.7,111.2
1959-11-04,112.0,113.5,112.0,112.5
1959-11-05,113.0,113.6,112.5,112.7
1959-11-06,112.4,113.3,112.2,113.1
1959-11-09,113.0,113.1,112.6,112.7
1959-11-10,112.4,113.1,112.2,112.5
1959-11-11,112.4,113.4,112.4,112.7
1959-11-12,112.7,113.0,112.2,112.6
1959-11-13,113.0,113.1,112.6,112.6
1959-11-16,112.6,113.0,112.4,112.4
1959-11-17,112.7,112.7,112.4,112.5
1959-11-18,112.5,112.6,112.1,112.4
1959-11-19,112.3,112.4,111.5,111.6
1959-11-20,111.0,111.2,110.4,110.5
1959-11-23,110.2,111.0,110.1,110.1
1959-11-24,110.3,110.6,110.1,110.3
1959-11-25,110.4,110.7,110.2,110.4
1959-11-27,110.4,110.4,110.0,110.0
1959-11-30,110.2,110.4,110.0,110.1
1959-12-01,110.2,110.6,110.1,110.3
1959-12-02,110.2,110.4,109.6,110.0
1959-12-03,109.7,109.7,109.4,109.7
1959-12-04,109.5,110.0,109.4,109.5
1959-12-07,109.7,110.4,109.6,110.0
1959-12-08,110.2,110.4,109.6,109.7
1959-12-09,109.7,109.7,109.3,109.4
1959-12-10,109.6,109.7,109.3,109.5
1959-12-11,109.5,109.6,109.4,109.5
1959-12-14,109.5,109.6,109.5,109.5
1959-12-15,109.4,109.5,109.3,109.4
1959-12-16,109.4,109.4,109.1,109.1
1959-12-17,109.0,109.1,108.2,108.2
1959-12-18,108.1,109.1,108.1,109.0
1959-12-21,108.5,108.6,107.3,107.3
1959-12-22,112.2,112.4,112.0,112.3
1959-12-23,112.2,113.4,112.2,113.3
1959-12-24,113.3,113.3,112.7,113.0
1959-12-28,113.1,113.7,113.1,113.7
1959-12-29,113.7,114.4,113.7,114.4
1959-12-30,114.4,114.5,113.7,114.1
1959-12-31,113.6,114.0,113.6,113.7
1960-01-04,114.0,114.2,113.7,114.0
1960-01-05,114.1,114.1,113.6,114.0
1960-01-06,113.7,114.7,113.7,114.4
1960-01-07,114.4,114.7,114.4,114.7
1960-01-08,114.6,114.6,114.3,114.3
1960-01-11,114.2,114.3,114.0,114.0
1960-01-12,114.1,114.2,114.0,114.2
1960-01-13,114.2,114.4,114.1,114.4
1960-01-14,114.5,114.6,114.3,114.5
1960-01-15,114.6,115.0,114.6,114.6
1960-01-18,114.7,115.2,114.7,115.2
1960-01-19,115.3,115.3,114.6,115.0
1960-01-20,115.0,115.0,114.5,114.7
1960-01-21,114.7,114.7,114.4,114.6
1960-01-22,114.7,114.7,114.3,114.4
1960-01-25,114.2,114.3,114.0,114.0
1960-01-26,114.0,114.3,113.7,114.1
1960-01-27,114.1,114.5,114.1,114.2
1960-01-28,114.2,114.3,114.2,114.2
1960-01-29,114.4,114.4,114.0,114.1
1960-02-01,114.0,114.0,113.6,113.6
1960-02-02,113.6,114.0,113.5,113.7
1960-02-03,114.1,114.6,114.1,114.5
1960-02-04,114.3,114.4,114.1,114.3
1960-02-05,114.2,114.4,114.1,114.2
1960-02-08,114.1,114.4,114.1,114.4
1960-02-09,114.4,114.5,114.3,114.3
1960-02-10,114.4,114.5,113.7,114.0
1960-02-11,113.7,114.2,113.5,114.1
1960-02-12,114.0,114.1,113.6,113.6
1960-02-15,113.5,113.6,113.3,113.3
1960-02-16,113.4,113.4,112.5,112.7
1960-02-17,112.7,113.1,112.6,113.0
1960-02-18,112.7,113.0,112.4,112.6
1960-02-19,112.5,112.6,112.0,112.0
1960-02-23,112.0,112.0,111.3,111.4
1960-02-24,111.4,111.6,111.4,111.5
1960-02-25,111.5,112.3,111.5,112.1
1960-02-26,112.2,112.4,111.7,112.0
1960-02-29,111.6,112.4,111.6,112.3
1960-03-01,112.4,113.2,112.4,113.2
1960-03-02,113.2,113.4,113.0,113.0
1960-03-03,113.0,113.2,112.6,113.2
1960-03-04,113.1,113.3,112.7,113.0
1960-03-07,112.7,113.4,112.6,113.4
1960-03-08,113.1,113.6,113.0,113.5
1960-03-09,113.5,114.5,113.5,114.4
1960-03-10,114.5,114.5,114.0,114.2
1960-03-11,114.1,114.3,113.3,113.6
1960-03-14,113.6,114.1,113.3,114.0
1960-03-15,114.0,114.1,113.6,114.0
1960-03-16,114.1,114.3,113.7,114.0
1960-03-17,114.0,114.0,113.6,113.6
1960-03-18,113.6,114.0,113.5,114.0
1960-03-21,113.6,114.0,113.5,113.6
1960-03-22,114.0,114.2,113.7,113.7
1960-03-23,116.3,116.6,116.2,116.6
1960-03-24,116.7,117.4,116.7,117.2
1960-03-25,117.4,117.4,117.1,117.4
1960-03-28,117.2,117.6,117.0,117.6
1960-03-29,117.6,118.5,117.4,118.2
1960-03-30,118.5,119.0,118.5,119.0
1960-03-31,119.0,119.5,119.0,119.2
1960-04-01,119.2,119.4,119.1,119.2
1960-04-04,119.2,119.4,118.4,118.5
1960-04-05,118.5,118.5,117.7,118.0
1960-04-06,118.0,118.2,117.6,118.1
1960-04-07,118.0,118.5,117.6,118.4
1960-04-08,118.5,118.6,118.1,118.3
1960-04-11,118.4,118.5,118.1,118.3
1960-04-12,118.2,119.0,118.2,118.7
1960-04-13,118.7,119.2,118.6,119.1
1960-04-14,119.0,119.3,118.6,119.1
1960-04-18,119.0,119.2,118.7,119.1
1960-04-19,119.0,119.1,118.2,118.4
1960-04-20,118.5,118.7,118.4,118.5
1960-04-21,118.6,119.2,118.6,119.0
1960-04-22,119.1,119.4,118.7,119.2
1960-04-25,119.0,119.2,119.0,119.2
1960-04-26,119.1,119.1,118.5,118.7
1960-04-27,118.5,118.7,118.1,118.2
1960-04-28,118.1,118.4,118.0,118.3
1960-04-29,118.3,118.5,118.2,118.5
1960-05-02,118.3,118.5,117.6,118.0
1960-05-03,117.6,118.0,117.5,118.0
1960-05-04,117.7,117.7,117.0,117.0
1960-05-05,116.7,117.4,116.5,117.3
1960-05-06,117.2,118.1,117.2,117.7
1960-05-09,117.4,117.5,117.1,117.2
1960-05-10,117.0,117.2,116.6,116.6
1960-05-11,116.6,117.0,116.4,116.6
1960-05-12,116.6,118.1,116.6,117.7
1960-05-13,117.4,118.1,117.3,117.3
1960-05-16,117.2,119.2,117.2,118.3
1960-05-17,118.5,119.0,118.3,118.5
1960-05-18,118.5,119.0,117.7,118.3
1960-05-19,118.2,119.3,118.2,118.6
1960-05-20,121.3,122.0,121.0,121.7
1960-05-23,121.5,121.5,120.7,121.3
1960-05-24,121.2,121.3,121.0,121.1
1960-05-25,121.2,121.6,121.2,121.4
1960-05-26,121.4,121.5,121.1,121.4
1960-05-27,121.4,121.6,121.2,121.5
1960-05-31,121.4,121.5,121.1,121.3
1960-06-01,121.2,121.2,120.7,121.0
