ID,DATE,Weights,Positions,ORIG_IDS,ID(),Partial Errors
9990302D UN Equity,2020-01-01 00:00:00,,,SPX INDEX,9990302D UN Equity,No permissions for Weights
A UN Equity,2020-01-01 00:00:00,,,SPX INDEX,A UN Equity,No permissions for Weights
AAL UW Equity,2020-01-01 00:00:00,,,SPX INDEX,AAL UW Equity,No permissions for Weights
AAP UN Equity,2020-01-01 00:00:00,,,SPX INDEX,AAP UN Equity,No permissions for Weights
AAPL UW Equity,2020-01-01 00:00:00,,,SPX INDEX,AAPL UW Equity,No permissions for Weights
ABBV UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ABBV UN Equity,No permissions for Weights
ABC UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ABC UN Equity,No permissions for Weights
ABMD UW Equity,2020-01-01 00:00:00,,,SPX INDEX,ABMD UW Equity,No permissions for Weights
ABT UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ABT UN Equity,No permissions for Weights
ACN UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ACN UN Equity,No permissions for Weights
ADBE UW Equity,2020-01-01 00:00:00,,,SPX INDEX,ADBE UW Equity,No permissions for Weights
ADI UW Equity,2020-01-01 00:00:00,,,SPX INDEX,ADI UW Equity,No permissions for Weights
ADM UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ADM UN Equity,No permissions for Weights
ADP UW Equity,2020-01-01 00:00:00,,,SPX INDEX,ADP UW Equity,No permissions for Weights
ADS UN Equity,2020-01-01 00:00:00,,,SPX INDEX,ADS UN Equity,No permissions for Weights
ADSK UW Equity,2020-01-01 00:00:00,,,SPX INDEX,ADSK UW Equity,No permissions for Weights
AEE UN Equity,2020-01-01 00:00:00,,,SPX INDEX,AEE UN Equity,No permissions for Weights
AEP UN Equity,2020-01-01 00:00:00,,,SPX INDEX,AEP UN Equity,No permissions for Weights
AES UN Equity,2020-01-01 00:00:00,,,SPX INDEX,AES UN Equity,No permissions for Weights
