timestamp,open,high,low,close
2004-01-02,0.38,0.38,0.38,0.38
2004-01-05,0.4,0.4,0.4,0.4
2004-01-06,0.39,0.39,0.39,0.39
2004-01-07,0.4,0.4,0.4,0.4
2004-01-08,0.42,0.42,0.42,0.42
2004-01-09,0.41,0.41,0.41,0.41
2004-01-12,0.43,0.43,0.43,0.43
2004-01-13,0.43,0.43,0.43,0.43
2004-01-14,0.41,0.41,0.41,0.41
2004-01-15,0.41,0.41,0.41,0.41
2004-01-16,0.4,0.4,0.4,0.4
2004-01-20,0.41,0.41,0.41,0.41
2004-01-21,0.41,0.41,0.41,0.41
2004-01-22,0.4,0.4,0.4,0.4
2004-01-23,0.4,0.4,0.4,0.4
2004-01-26,0.41,0.41,0.41,0.41
2004-01-27,0.41,0.41,0.41,0.41
2004-01-28,0.4,0.4,0.4,0.4
2004-01-29,0.4,0.4,0.4,0.4
2004-01-30,0.4,0.4,0.4,0.4
2004-02-02,0.4,0.4,0.4,0.4
2004-02-03,0.4,0.4,0.4,0.4
2004-02-04,0.39,0.39,0.39,0.39
2004-02-05,0.4,0.4,0.4,0.4
2004-02-06,0.4,0.4,0.4,0.4
2004-02-09,0.4,0.4,0.4,0.4
2004-02-10,0.41,0.41,0.41,0.41
2004-02-11,0.43,0.43,0.43,0.43
2004-02-12,0.43,0.43,0.43,0.43
2004-02-13,0.41,0.41,0.41,0.41
2004-02-17,0.41,0.41,0.41,0.41
2004-02-18,0.42,0.42,0.42,0.42
2004-02-19,0.4,0.4,0.4,0.4
2004-02-20,0.4,0.4,0.4,0.4
2004-02-23,0.39,0.39,0.39,0.39
2004-02-24,0.4,0.4,0.4,0.4
2004-02-25,0.41,0.41,0.41,0.41
2004-02-26,0.41,0.41,0.41,0.41
2004-02-27,0.43,0.43,0.43,0.43
2004-03-01,0.43,0.43,0.43,0.43
2004-03-02,0.43,0.43,0.43,0.43
2004-03-03,0.43,0.43,0.43,0.43
2004-03-04,0.45,0.45,0.45,0.45
2004-03-05,0.48,0.48,0.48,0.48
2004-03-08,0.46,0.46,0.46,0.46
2004-03-09,0.48,0.48,0.48,0.48
2004-03-10,0.49,0.49,0.49,0.49
2004-03-11,0.48,0.48,0.48,0.48
2004-03-12,0.49,0.49,0.49,0.49
2004-03-15,0.47,0.47,0.47,0.47
2004-03-16,0.46,0.46,0.46,0.46
2004-03-17,0.47,0.47,0.47,0.47
2004-03-18,0.46,0.46,0.46,0.46
2004-03-19,0.46,0.46,0.46,0.46
2004-03-22,0.46,0.46,0.46,0.46
2004-03-23,0.45,0.45,0.45,0.45
2004-03-24,0.45,0.45,0.45,0.45
2004-03-25,0.49,0.49,0.49,0.49
2004-03-26,0.49,0.49,0.49,0.49
2004-03-29,0.5,0.5,0.5,0.5
2004-03-30,0.5,0.5,0.5,0.5
2004-03-31,0.48,0.48,0.48,0.48
2004-04-01,0.48,0.48,0.48,0.48
2004-04-02,0.49,0.49,0.49,0.49
2004-04-05,0.51,0.51,0.51,0.51
2004-04-06,0.5,0.5,0.5,0.5
2004-04-07,0.5,0.5,0.5,0.5
2004-04-08,0.49,0.49,0.49,0.49
2004-04-12,0.5,0.5,0.5,0.5
2004-04-13,0.48,0.48,0.48,0.48
2004-04-14,0.52,0.52,0.52,0.52
2004-04-15,0.52,0.52,0.52,0.52
2004-04-16,0.52,0.52,0.52,0.52
2004-04-19,0.51,0.51,0.51,0.51
2004-04-20,0.49,0.49,0.49,0.49
2004-04-21,0.5,0.5,0.5,0.5
2004-04-22,0.5,0.5,0.5,0.5
2004-04-23,0.49,0.49,0.49,0.49
2004-04-26,0.49,0.49,0.49,0.49
2004-04-27,0.48,0.48,0.48,0.48
2004-04-28,0.47,0.47,0.47,0.47
2004-04-29,0.48,0.48,0.48,0.48
2004-04-30,0.46,0.46,0.46,0.46
2004-05-03,0.46,0.46,0.46,0.46
2004-05-04,0.47,0.47,0.47,0.47
2004-05-05,0.48,0.48,0.48,0.48
2004-05-06,0.47,0.47,0.47,0.47
2004-05-07,0.48,0.48,0.48,0.48
2004-05-10,0.47,0.47,0.47,0.47
2004-05-11,0.48,0.48,0.48,0.48
2004-05-12,0.49,0.49,0.49,0.49
2004-05-13,0.49,0.49,0.49,0.49
