timestamp,open,high,low,close
2004-01-02,30.75,30.75,30.75,30.75
2004-01-05,30.79,30.79,30.79,30.79
2004-01-06,30.4741,30.4741,30.4741,30.4741
2004-01-07,30.76,30.76,30.76,30.76
2004-01-08,31.24,31.24,31.24,31.24
2004-01-09,31.02,31.02,31.02,31.02
2004-01-12,31.09,31.09,31.09,31.09
2004-01-13,30.99,30.99,30.99,30.99
2004-01-14,31.38,31.38,31.38,31.38
2004-01-15,31.14,31.14,31.14,31.14
2004-01-16,31.22,31.22,31.22,31.22
2004-01-20,31.0728,31.0728,31.0728,31.0728
2004-01-21,31.81,31.81,31.81,31.81
2004-01-22,32.08,32.08,32.08,32.08
2004-01-23,31.88,31.88,31.88,31.88
2004-01-26,31.88,31.88,31.88,31.88
2004-01-27,31.79,31.79,31.79,31.79
2004-01-28,32.27,32.27,32.27,32.27
2004-01-29,32.73,32.73,32.73,32.73
2004-01-30,32.6344,32.6344,32.6344,32.6344
2004-02-02,32.62,32.62,32.62,32.62
2004-02-03,33.74,33.74,33.74,33.74
2004-02-04,33.34,33.34,33.34,33.34
2004-02-05,33.15,33.15,33.15,33.15
2004-02-06,33.01,33.01,33.01,33.01
2004-02-09,32.95,32.95,32.95,32.95
2004-02-10,33.39,33.39,33.39,33.39
2004-02-11,33.49,33.49,33.49,33.49
2004-02-12,33.45,33.45,33.45,33.45
2004-02-13,33.45,33.45,33.45,33.45
2004-02-17,34.84,34.84,34.84,34.84
2004-02-18,34.2306,34.2306,34.2306,34.2306
2004-02-19,33.78,33.78,33.78,33.78
2004-02-20,33.54,33.54,33.54,33.54
2004-02-23,33.44,33.44,33.44,33.44
2004-02-24,33.14,33.14,33.14,33.14
2004-02-25,33.61,33.61,33.61,33.61
2004-02-26,33.8407,33.8407,33.8407,33.8407
2004-02-27,34.5,34.5,34.5,34.5
2004-03-01,34.98,34.98,34.98,34.98
2004-03-02,34.56,34.56,34.56,34.56
2004-03-03,34.0,34.0,34.0,34.0
2004-03-04,33.99,33.99,33.99,33.99
2004-03-05,34.05,34.05,34.05,34.05
2004-03-08,33.9,33.9,33.9,33.9
2004-03-09,33.91,33.91,33.91,33.91
2004-03-10,33.8344,33.8344,33.8344,33.8344
2004-03-11,33.52,33.52,33.52,33.52
2004-03-12,33.62,33.62,33.62,33.62
2004-03-15,33.33,33.33,33.33,33.33
2004-03-16,33.6,33.6,33.6,33.6
2004-03-17,33.9,33.9,33.9,33.9
2004-03-18,33.84,33.84,33.84,33.84
2004-03-19,33.5125,33.5125,33.5125,33.5125
2004-03-22,33.29,33.29,33.29,33.29
2004-03-23,33.17,33.17,33.17,33.17
2004-03-24,33.25,33.25,33.25,33.25
2004-03-25,33.1,33.1,33.1,33.1
2004-03-26,32.75,32.75,32.75,32.75
2004-03-29,32.89,32.89,32.89,32.89
2004-03-30,32.92,32.92,32.92,32.92
2004-03-31,32.92,32.92,32.92,32.92
2004-04-01,33.18,33.18,33.18,33.18
