timestamp,open,high,low,close
2004-02-05,23.75,25.0,23.26,25.0
2004-02-06,24.76,24.94,24.24,24.85
2004-02-09,24.6,24.7,24.0,24.44
2004-02-10,24.15,24.47,24.05,24.31
2004-02-11,24.27,24.5,24.16,24.26
2004-02-12,24.19,25.0,24.17,24.66
2004-02-13,24.79,24.84,24.28,24.61
2004-02-17,24.75,24.85,24.5,24.8
2004-02-18,24.6,25.4,24.35,25.4
2004-02-19,25.25,25.9,25.25,25.64
2004-02-20,25.69,25.69,25.0,25.35
2004-02-23,25.39,25.39,24.35,24.55
2004-02-24,24.35,24.97,24.21,24.8
2004-02-25,24.8,25.0,24.7,24.86
2004-02-26,24.85,25.25,24.6,25.22
2004-02-27,25.15,25.75,25.11,25.74
2004-03-01,25.74,26.19,25.7,25.83
2004-03-02,25.95,25.95,25.25,25.83
2004-03-03,25.7,25.8,25.35,25.49
2004-03-04,25.48,25.75,24.8,25.35
2004-03-05,25.0,25.64,25.0,25.55
2004-03-08,25.55,25.65,25.17,25.48
2004-03-09,25.5,25.5,24.71,25.0
2004-03-10,24.81,24.85,24.4,24.7
2004-03-11,24.15,24.65,24.15,24.15
2004-03-12,24.35,24.65,24.25,24.5
2004-03-15,24.75,24.75,23.75,24.03
2004-03-16,24.77,24.77,24.18,24.24
2004-03-17,24.2,24.5,24.06,24.07
2004-03-18,24.07,24.1,23.72,23.72
2004-03-19,23.75,23.83,23.4,23.69
2004-03-22,23.4,23.75,23.09,23.75
2004-03-23,23.75,24.0,23.51,24.0
2004-03-24,24.05,24.05,23.77,23.7979
2004-03-25,23.65,24.06,23.49,23.96
2004-03-26,23.87,24.32,23.87,24.13
2004-03-29,24.11,24.44,24.11,24.4
2004-03-30,24.2,24.75,24.18,24.73
2004-03-31,24.75,25.29,24.6,25.14
2004-04-01,25.25,25.36,24.78,25.25
2004-04-02,25.36,25.41,24.75,25.23
2004-04-05,25.05,25.52,24.9,25.51
2004-04-06,25.45,26.0,25.28,25.99
2004-04-07,25.75,25.86,25.41,25.62
2004-04-08,25.84,26.25,25.7,26.25
2004-04-12,26.15,26.25,25.71,25.88
2004-04-13,25.98,26.15,25.15,25.25
2004-04-14,25.25,25.45,24.98,25.19
2004-04-15,25.3,25.75,25.08,25.25
2004-04-16,25.3,25.63,25.15,25.55
2004-04-19,25.45,26.13,25.45,25.73
2004-04-20,25.7,25.8,25.4,25.51
2004-04-21,25.5,25.58,25.0,25.19
2004-04-22,25.35,25.44,25.0,25.2
2004-04-23,25.2,25.22,24.91,25.06
2004-04-26,24.91,25.0,24.65,24.9
2004-04-27,24.85,25.27,24.84,25.18
2004-04-28,25.25,25.25,24.92,24.98
2004-04-29,24.89,24.95,24.6,24.74
2004-04-30,24.63,24.99,24.37,24.37
2004-05-03,24.61,25.03,24.45,24.99
2004-05-04,24.95,25.02,24.51,24.75
2004-05-05,24.9,25.0,24.6,24.72
2004-05-06,24.7,24.96,24.29,24.8
2004-05-07,24.5,24.8,23.55,24.1
2004-05-10,24.0,24.05,23.5,23.84
2004-05-11,23.85,24.49,23.8,24.3
2004-05-12,24.65,24.7,23.56,24.4
2004-05-13,24.25,25.28,24.09,24.95
2004-05-14,25.0,25.15,24.85,25.0
2004-05-17,24.8,24.8,24.26,24.38
2004-05-18,24.5,25.05,24.41,24.82
2004-05-19,24.8,25.0,24.66,24.69
2004-05-20,24.75,25.0,24.7,25.0
2004-05-21,24.99,25.0,24.88,24.89
2004-05-24,25.05,25.05,24.83,25.0
2004-05-25,25.0,25.01,24.52,24.68
2004-05-26,24.7,24.84,24.4,24.7
2004-05-27,24.7,24.99,24.55,24.72
2004-05-28,24.65,25.06,24.49,25.0
2004-06-01,25.0,25.29,24.9,25.17
2004-06-02,25.41,25.48,25.15,25.41
2004-06-03,25.43,25.66,25.29,25.61
2004-06-04,25.55,25.85,25.45,25.73
2004-06-07,25.9,25.91,25.49,25.49
2004-06-08,25.37,25.6,25.24,25.56
2004-06-09,25.7,25.9,25.48,25.55
2004-06-10,25.6,25.6,24.47,25.46
2004-06-14,25.46,25.46,25.08,25.4
2004-06-15,25.52,25.85,25.45,25.6
2004-06-16,25.5,25.72,25.48,25.5
2004-06-17,25.5,25.79,25.45,25.79
2004-06-18,25.65,25.72,25.14,25.35
2004-06-21,25.44,25.44,25.24,25.3
2004-06-22,25.32,25.4,25.1,25.35
2004-06-23,25.35,25.48,25.14,25.36
2004-06-24,25.1,25.8,25.1,25.45
2004-06-25,25.55,26.0,25.44,25.938000000000002
2004-06-28,25.98,26.24,25.93,26.24
2004-06-29,26.1,26.55,26.01,26.46
2004-06-30,26.52,26.55,26.25,26.38
2004-07-01,26.38,26.41,26.18,26.25
2004-07-02,26.25,26.36,26.0,26.06
2004-07-06,26.06,26.06,25.71,25.81
2004-07-07,25.82,26.0,25.82,25.99
2004-07-08,26.0,26.0,25.8,25.85
2004-07-09,25.92,25.98,25.71,25.9
2004-07-12,25.9,26.0,25.8,25.96
2004-07-13,25.97,26.0,25.83,26.0
2004-07-14,26.0,26.0,25.51,25.96
2004-07-15,25.63,25.71,25.32,25.41
2004-07-16,25.48,25.61,25.29,25.46
2004-07-19,25.4,25.6,25.35,25.5
2004-07-20,25.5,25.55,25.33,25.46
2004-07-21,25.5,25.58,25.44,25.44
2004-07-22,25.4,25.4,24.69,24.7
2004-07-23,24.65,24.65,24.16,24.29
2004-07-26,24.45,24.45,23.86,23.9789
2004-07-27,23.96,25.0,23.91,24.58
2004-07-28,24.85,24.85,24.35,24.45
2004-07-29,24.45,24.65,24.33,24.4
2004-07-30,24.4,24.45,24.29,24.36
2004-08-02,24.35,24.86,24.31,24.7
2004-08-03,25.0,25.41,24.82,25.12
2004-08-04,25.1,25.15,24.92,25.04
2004-08-05,25.0,25.76,25.0,25.66
2004-08-06,25.6,25.79,25.48,25.59
2004-08-09,25.6,25.98,25.56,25.8
2004-08-10,25.9,26.05,25.89,25.95
2004-08-11,26.1,26.1,25.64,25.7
2004-08-12,25.6,25.7,25.16,25.16
2004-08-13,25.33,25.33,25.05,25.1
2004-08-16,25.1,25.43,24.96,25.32
2004-08-17,25.24,25.73,25.2,25.65
2004-08-18,25.68,25.88,25.65,25.82
2004-08-19,25.6,25.99,25.6,25.77
2004-08-20,25.75,25.84,25.66,25.79
2004-08-23,25.67,26.02,25.67,25.9
2004-08-24,25.8,26.0,25.8,26.0
2004-08-25,25.99,26.0,25.89,25.98
2004-08-26,25.98,26.0,25.72,25.84
2004-08-27,25.95,25.95,25.65,25.83
2004-08-30,25.86,26.29,25.85,26.29
2004-08-31,26.23,26.5,26.23,26.5
2004-09-01,26.5,26.86,26.5,26.7
2004-09-02,26.6,27.0,26.6,26.85
2004-09-03,26.8,26.85,26.37,26.45
2004-09-07,26.35,26.75,26.34,26.4
2004-09-08,26.28,26.5,26.06,26.36
2004-09-09,26.3,26.46,26.25,26.3
2004-09-10,26.22,26.47,26.21,26.29
2004-09-13,26.45,26.66,26.27,26.31
2004-09-14,26.39,26.58,26.38,26.51
2004-09-15,26.58,26.97,26.58,26.9
2004-09-16,27.0,27.03,26.78,26.87
2004-09-17,26.8,26.95,26.7,26.82
2004-09-20,26.72,26.77,26.53,26.64
2004-09-21,26.5,26.67,26.41,26.61
2004-09-22,26.64,26.64,26.27,26.43
2004-09-23,26.55,26.9,26.5,26.8
2004-09-24,26.8,26.9,26.59,26.6
2004-09-27,26.6,26.7,26.37,26.5
2004-09-28,26.36,26.43,25.95,26.12
2004-09-29,26.05,26.53,26.05,26.22
2004-09-30,26.25,26.25,25.67,25.9985
2004-10-01,25.95,26.18,25.83,25.97
2004-10-04,25.95,26.55,25.95,26.5
2004-10-05,26.41,26.5,26.31,26.49
2004-10-06,26.42,26.59,26.1,26.5
2004-10-07,26.43,26.5,26.39,26.43
2004-10-08,26.51,26.61,26.37,26.38
2004-10-11,26.5,26.95,26.5,26.86
2004-10-12,26.8,27.23,26.8,27.15
2004-10-13,26.98,26.98,26.44,26.44
2004-10-14,26.33,26.71,25.36,25.5
2004-10-15,25.65,25.65,25.0,25.5
2004-10-18,25.4,26.05,25.4,25.84
2004-10-19,25.7,25.75,24.92,25.19
2004-10-20,25.08,25.56,25.03,25.29
2004-10-21,25.25,25.66,25.09,25.65
2004-10-22,25.6,25.7,25.44,25.64
2004-10-25,25.72,25.99,25.43,25.7
2004-10-26,25.8,26.74,25.6,26.5
2004-10-27,26.3,26.43,26.09,26.25
2004-10-28,26.01,26.79,25.78,26.51
2004-10-29,26.51,26.98,26.46,26.98
2004-11-01,27.15,27.15,26.57,26.73
2004-11-02,26.86,27.11,26.65,26.74
2004-11-03,26.86,27.0,26.5,26.5
2004-11-04,26.65,27.25,26.65,27.1
2004-11-05,27.4,28.85,27.4,28.37
2004-11-08,28.45,29.18,28.35,29.1
2004-11-09,29.26,29.5,29.07,29.18
2004-11-10,29.35,29.35,29.16,29.2
2004-11-11,29.3,29.3,28.85,29.0
2004-11-12,29.1,29.26,28.85,29.09
2004-11-15,29.07,29.1,28.74,29.07
2004-11-16,29.18,29.74,29.18,29.55
2004-11-17,29.73,29.94,29.44,29.55
2004-11-18,29.5,29.5,29.0,29.36
2004-11-19,29.2,29.47,29.11,29.25
2004-11-22,29.05,29.66,29.05,29.46
2004-11-23,29.63,29.75,29.49,29.52
2004-11-24,29.35,29.58,29.35,29.48
2004-11-26,29.6,29.64,29.37,29.49
2004-11-29,29.35,29.57,29.07,29.19
2004-11-30,29.32,30.14,29.15,30.0
2004-12-01,30.05,30.1,29.36,29.42
2004-12-02,29.57,29.98,29.13,29.87
2004-12-03,29.94,30.14,29.4,29.98
2004-12-06,29.99,30.03,29.67,29.7
2004-12-07,29.75,29.88,29.56,29.81
2004-12-08,29.75,30.05,29.6,30.05
2004-12-09,30.0,30.05,29.7,29.84
2004-12-10,29.8,30.4,29.75,30.3
2004-12-13,30.5,31.27,30.5,30.9
2004-12-14,30.85,30.99,30.17,30.99
2004-12-15,30.88,30.96,30.33,30.5
2004-12-16,30.88,30.94,30.48,30.5
2004-12-17,30.52,30.7,30.38,30.59
2004-12-20,30.66,30.66,30.47,30.63
2004-12-21,30.71,30.75,30.34,30.49
2004-12-22,30.41,30.5,30.05,30.22
2004-12-23,30.3,30.5,30.26,30.5
