timestamp,open,high,low,close
2004-01-02,10.8,10.94,10.73,10.79
2004-01-05,10.93,11.21,10.79,10.95
2004-01-06,10.99,12.06,10.9,11.95
2004-01-07,11.985,12.8,11.985,12.27
2004-01-08,12.5,13.15,12.41,13.03
2004-01-09,12.99,13.92,12.68,13.21
2004-01-12,13.3,13.92,13.3,13.82
2004-01-13,14.0,14.0,13.23,13.52
2004-01-14,13.57,14.33,13.56,14.14
2004-01-15,13.9,14.87,13.9,14.52
2004-01-16,14.8,14.9,14.42,14.71
2004-01-20,14.75,14.9,14.25,14.63
2004-01-21,14.53,14.6,14.22,14.57
2004-01-22,14.4,14.55,13.48,13.689
2004-01-23,13.58,14.08,13.35,14.04
2004-01-26,14.04,14.16,13.69,14.02
2004-01-27,14.01,14.397,13.55,13.63
2004-01-28,13.55,13.978,12.79,12.96
2004-01-29,12.89,13.37,12.41,12.87
2004-01-30,13.29,13.39,12.65,12.89
2004-02-02,13.29,13.29,12.56,12.69
2004-02-03,12.7,12.86,12.11,12.37
2004-02-04,12.3,12.3,10.8,12.0
2004-02-05,12.15,14.51,12.1,14.5
2004-02-06,14.5,15.81,14.23,15.02
2004-02-09,15.1,15.68,15.07,15.24
2004-02-10,15.35,15.49,14.84,15.11
2004-02-11,15.0,15.29,14.99,15.18
2004-02-12,15.35,16.46,15.21,16.25
2004-02-13,16.35,16.75,15.2892,15.35
2004-02-17,15.55,16.17,15.55,16.05
2004-02-18,16.18,16.27,15.86,16.1
2004-02-19,16.34,16.41,15.18,15.24
2004-02-20,15.5,15.5,14.71,15.02
2004-02-23,15.08,15.3,14.3,14.36
2004-02-24,14.17,14.67,13.87,14.14
2004-02-25,14.2,15.29,14.08,15.29
2004-02-26,15.2,15.65,14.99,15.31
2004-02-27,15.41,15.48,14.9,15.08
2004-03-01,15.03,16.05,15.03,16.0
2004-03-02,16.0,16.07,15.42,15.5544
2004-03-03,15.59,15.59,15.15,15.4
2004-03-04,15.32,15.99,15.27,15.89
2004-03-05,15.5,15.977,15.3,15.71
2004-03-08,15.81,16.94,15.8,15.81
2004-03-09,15.94,16.19,15.33,15.68
2004-03-10,15.52,15.73,14.68,14.8
2004-03-11,14.5,15.5,14.23,15.5
2004-03-12,15.12,15.56,14.95,15.26
2004-03-15,15.02,15.41,14.59,14.8089
2004-03-16,14.9,15.16,14.11,14.46
2004-03-17,14.51,15.24,14.51,15.24
2004-03-18,15.15,15.31,14.92,15.1
2004-03-19,15.1,15.27,14.9,15.0
2004-03-22,14.75,14.8,13.74,14.1194
2004-03-23,14.31,14.4,12.42,12.75
2004-03-24,12.7,12.72,12.08,12.36
2004-03-25,12.6,13.37,12.31,13.37
2004-03-26,13.3,13.62,13.1,13.37
2004-03-29,13.55,13.85,13.35,13.5
2004-03-30,13.53,13.78,13.37,13.507
2004-03-31,13.52,13.6,13.09,13.2125
2004-04-01,13.16,13.34,13.0,13.28
2004-04-02,13.5,14.73,13.5,14.69
2004-04-05,14.7,14.82,14.21,14.3406
2004-04-06,14.25,14.3,13.83,13.92
2004-04-07,13.9,14.4,13.88,14.39
2004-04-08,14.45,15.49,14.44,15.26
2004-04-12,15.1,15.56,15.02,15.14
2004-04-13,15.4,15.4,14.46,14.5
2004-04-14,14.6,15.08,14.3,14.72
2004-04-15,14.72,14.86,14.1,14.22
2004-04-16,14.02,14.37,13.748,14.0
2004-04-19,13.96,14.12,13.66,13.97
2004-04-20,13.995,14.21,13.5,13.7
2004-04-21,13.5,13.98,13.29,13.93
2004-04-22,13.925,14.54,13.79,14.44
2004-04-23,14.5,14.59,13.9,14.1
2004-04-26,14.12,14.48,13.86,13.92
2004-04-27,13.87,14.04,13.22,13.37
2004-04-28,13.36,13.49,12.3,13.0
2004-04-29,13.08,13.56,12.6,13.0367
2004-04-30,13.1,13.1,11.7,11.8
2004-05-03,12.0,12.48,11.77,12.26
2004-05-04,12.3,13.07,12.23,12.8145
2004-05-05,12.81,13.2,12.13,12.8538
2004-05-06,12.91,12.91,12.31,12.47
2004-05-07,12.48,12.99,12.29,12.45
2004-05-10,12.375,12.375,11.8,11.89
2004-05-11,12.0,12.35,12.0,12.235
2004-05-12,12.19,13.2,11.74,13.01
2004-05-13,12.95,13.58,12.59,12.82
2004-05-14,12.96,13.19,12.51,12.69
2004-05-17,12.6,12.67,12.3,12.5
2004-05-18,12.75,13.19,12.72,13.19
2004-05-19,13.15,14.11,13.13,13.61
2004-05-20,13.7,13.73,13.31,13.51
2004-05-21,13.65,13.83,13.29,13.6
2004-05-24,13.76,14.21,13.76,14.12
2004-05-25,14.02,15.135,13.84,15.0
2004-05-26,14.98,15.05,14.79,14.85
2004-05-27,15.3,15.3,14.53,14.86
2004-05-28,14.9,15.0,14.67,14.86
2004-06-01,14.8,16.05,14.69,15.76
2004-06-02,15.85,16.07,15.26,15.26
2004-06-03,15.65,15.87,15.52,15.54
2004-06-04,15.7,15.92,15.4,15.56
2004-06-07,15.86,16.36,15.57,16.35
2004-06-08,16.3,16.65,15.99,16.31
2004-06-09,16.29,16.33,15.58,15.71
2004-06-10,15.8,16.06,15.17,15.38
2004-06-14,15.03,15.26,14.75,14.91
2004-06-15,14.88,15.85,14.88,15.55
2004-06-16,15.65,15.7,15.29,15.41
2004-06-17,15.2,15.7,15.04,15.4
2004-06-18,15.39,15.72,14.93,15.41
2004-06-21,15.7,15.7,15.02,15.07
2004-06-22,15.11,15.41,14.81,15.38
2004-06-23,15.31,16.37,15.22,16.33
2004-06-24,16.25,16.48,15.95,16.02
2004-06-25,16.04,17.91,16.04,17.58
2004-06-28,17.65,18.06,17.25,17.6
2004-06-29,17.51,17.9,17.51,17.65
2004-06-30,17.745,18.25,17.57,17.9
2004-07-01,17.9,17.95,17.0595,17.65
2004-07-02,17.6,17.68,17.09,17.33
2004-07-06,17.12,17.261,16.36,16.38
2004-07-07,16.4,16.94,15.31,15.8
2004-07-08,16.24,16.24,15.05,15.24
2004-07-09,15.78,15.78,15.35,15.65
2004-07-12,15.56,15.56,15.1,15.35
2004-07-13,15.4,15.6,14.36,14.45
2004-07-14,14.65,14.95,14.1,14.64
2004-07-15,14.75,14.9484,14.43,14.45
2004-07-16,14.7,14.95,14.3,14.64
2004-07-19,14.75,14.75,13.39,13.94
2004-07-20,14.0,15.37,13.92,15.29
2004-07-21,15.38,15.45,13.64,13.82
2004-07-22,13.985,14.59,13.34,14.21
2004-07-23,14.25,14.36,13.88,13.93
2004-07-26,14.06,14.18,13.39,13.99
2004-07-27,13.95,14.69,13.25,13.64
2004-07-28,13.98,14.28,13.4,14.12
2004-07-29,14.34,14.85,14.0,14.8
2004-07-30,14.8,15.11,14.53,14.93
2004-08-02,14.5,15.005999999999998,14.4,14.67
2004-08-03,14.69,14.69,14.0,14.0
2004-08-04,14.0,14.0,13.45,13.75
2004-08-05,13.85,14.13,12.85,13.0
2004-08-06,12.98,13.21,12.38,12.65
2004-08-09,12.83,13.13,12.28,12.41
2004-08-10,12.66,12.93,12.29,12.63
2004-08-11,12.49,12.97,11.91,12.82
2004-08-12,12.83,12.85,12.4,12.65
2004-08-13,12.75,12.98,12.38,12.5
2004-08-16,12.46,12.92,12.45,12.8
2004-08-17,12.91,13.25,12.91,13.11
2004-08-18,12.78,13.76,12.78,13.65
2004-08-19,13.55,14.35,13.52,14.26
2004-08-20,14.0,14.43,13.94,14.23
2004-08-23,14.2,14.32,13.83,13.88
2004-08-24,13.92,14.15,13.772,13.9
2004-08-25,13.79,14.49,13.76,14.38
2004-08-26,14.3,14.38,13.78,13.94
2004-08-27,14.05,14.26,14.01,14.14
2004-08-30,13.73,14.02,13.64,13.64
2004-08-31,13.65,13.79,13.21,13.45
2004-09-01,13.47,13.67,13.19,13.3
2004-09-02,13.27,13.6,13.23,13.52
2004-09-03,13.35,13.57,13.1,13.15
2004-09-07,13.35,13.79,13.3,13.47
2004-09-08,13.52,13.78,13.39,13.4
2004-09-09,13.41,13.67,13.25,13.55
2004-09-10,13.55,14.28,13.55,14.19
2004-09-13,14.24,14.63,14.18,14.2752
2004-09-14,14.299000000000001,15.4,14.23,15.25
2004-09-15,15.305,15.305,14.65,14.685
2004-09-16,14.7,15.22,14.64,14.92
2004-09-17,14.94,14.94,14.7,14.75
2004-09-20,14.94,15.08,14.46,14.61
2004-09-21,14.84,14.84,14.55,14.7
2004-09-22,14.32,14.65,14.32,14.5
2004-09-23,14.46,14.57,14.33,14.466
2004-09-24,14.475999999999999,14.52,14.08,14.19
2004-09-27,14.06,14.09,13.56,13.72
2004-09-28,13.9,14.1,13.64,13.95
2004-09-29,13.91,14.2,13.91,14.03
2004-09-30,13.95,14.19,13.93,14.05
2004-10-01,14.1,14.66,13.98,14.5
2004-10-04,14.65,15.5,14.61,15.24
2004-10-05,15.25,15.45,14.92,15.13
2004-10-06,15.03,15.77,14.86,15.73
2004-10-07,15.73,16.07,15.27,15.44
2004-10-08,15.43,15.53,15.11,15.13
2004-10-11,15.1,15.3,15.05,15.28
2004-10-12,15.15,15.74,14.9,15.41
2004-10-13,15.5,15.89,15.3,15.3
2004-10-14,15.45,15.54,15.1699,15.49
2004-10-15,15.5,15.58,14.95,14.98
2004-10-18,14.91,15.48,14.81,15.47
2004-10-19,15.6,15.64,15.04,15.1
2004-10-20,15.12,15.29,14.8,14.85
2004-10-21,14.9,15.43,14.89,15.25
2004-10-22,15.2,15.46,15.0,15.2563
2004-10-25,14.96,15.15,14.71,14.8911
2004-10-26,14.855,15.36,14.77,15.01
2004-10-27,15.32,16.47,15.01,15.18
2004-10-28,15.4,15.91,14.3,14.57
2004-10-29,14.6,14.85,13.27,13.85
2004-11-01,13.85,14.19,13.85,14.01
2004-11-02,14.49,14.49,13.91,14.0
2004-11-03,14.39,14.48,13.770999999999999,13.97
2004-11-04,13.67,13.98,13.36,13.75
2004-11-05,14.0,14.1,13.39,13.48
2004-11-08,13.5,13.55,12.76,12.97
2004-11-09,12.85,12.95,12.41,12.6
2004-11-10,12.75,12.85,12.44,12.8
2004-11-11,12.8,13.28,12.67,13.23
2004-11-12,13.21,13.43,13.06,13.2115
2004-11-15,13.19,13.68,12.94,13.62
2004-11-16,13.42,13.51,13.04,13.24
2004-11-17,13.21,13.39,13.0,13.045
2004-11-18,13.15,13.47,12.87,13.44
2004-11-19,13.56,13.56,12.73,12.79
2004-11-22,12.8,12.8,12.5,12.66
2004-11-23,12.97,13.17,12.82,13.05
2004-11-24,13.01,13.370999999999999,12.8,13.35
2004-11-26,13.18,13.38,13.18,13.3
2004-11-29,13.49,13.49,12.71,12.75
2004-11-30,12.78,13.09,12.66,12.95
2004-12-01,13.0,13.15,12.88,13.03
2004-12-02,13.0,13.2,12.799000000000001,13.1
2004-12-03,13.04,13.24,13.03,13.11
2004-12-06,13.18,13.44,13.1,13.35
2004-12-07,13.5,13.88,13.25,13.38
2004-12-08,13.29,13.45,12.52,12.65
2004-12-09,12.6,12.6,12.07,12.5
