timestamp,open,high,low,close
2004-01-02,5.22,5.22,5.22,5.22
2004-01-05,5.45,5.45,5.45,5.45
2004-01-06,5.4,5.4,5.4,5.4
2004-01-07,5.14,5.14,5.14,5.14
2004-01-08,4.85,4.85,4.85,4.85
2004-01-09,4.67,4.67,4.67,4.67
2004-01-12,4.7,4.7,4.7,4.7
2004-01-13,4.52,4.52,4.52,4.52
2004-01-14,4.5,4.5,4.5,4.5
2004-01-15,4.81,4.81,4.81,4.81
2004-01-16,4.65,4.65,4.65,4.65
2004-01-20,5.0,5.0,5.0,5.0
2004-01-21,5.11,5.11,5.11,5.11
2004-01-22,5.2,5.2,5.2,5.2
2004-01-23,5.08,5.08,5.08,5.08
2004-01-26,5.18,5.18,5.18,5.18
2004-01-27,5.4,5.4,5.4,5.4
2004-01-28,4.99,4.99,4.99,4.99
2004-01-29,4.95,4.95,4.95,4.95
2004-01-30,4.95,4.95,4.95,4.95
2004-02-02,4.53,4.53,4.53,4.53
2004-02-03,4.58,4.58,4.58,4.58
2004-02-04,4.2,4.2,4.2,4.2
2004-02-05,4.4,4.4,4.4,4.4
2004-02-06,4.51,4.51,4.51,4.51
2004-02-09,4.74,4.74,4.74,4.74
2004-02-10,4.8051,4.8051,4.8051,4.8051
2004-02-11,4.82,4.82,4.82,4.82
2004-02-12,4.86,4.86,4.86,4.86
2004-02-13,4.81,4.81,4.81,4.81
2004-02-17,5.03,5.03,5.03,5.03
2004-02-18,4.99,4.99,4.99,4.99
2004-02-19,4.75,4.75,4.75,4.75
2004-02-20,4.74,4.74,4.74,4.74
2004-02-23,4.6,4.6,4.6,4.6
2004-02-24,4.64,4.64,4.64,4.64
2004-02-25,4.69,4.69,4.69,4.69
2004-02-26,4.73,4.73,4.73,4.73
2004-02-27,4.86,4.86,4.86,4.86
2004-03-01,5.42,5.42,5.42,5.42
2004-03-02,5.58,5.58,5.58,5.58
2004-03-03,5.4,5.4,5.4,5.4
2004-03-04,5.63,5.63,5.63,5.63
2004-03-05,5.41,5.41,5.41,5.41
2004-03-08,5.3,5.3,5.3,5.3
2004-03-09,5.27,5.27,5.27,5.27
2004-03-10,4.97,4.97,4.97,4.97
2004-03-11,4.79,4.79,4.79,4.79
2004-03-12,4.94,4.94,4.94,4.94
2004-03-15,4.79,4.79,4.79,4.79
2004-03-16,4.6316,4.6316,4.6316,4.6316
2004-03-17,4.86,4.86,4.86,4.86
2004-03-18,4.86,4.86,4.86,4.86
2004-03-19,5.54,5.54,5.54,5.54
2004-03-22,5.3138,5.3138,5.3138,5.3138
2004-03-23,5.3,5.3,5.3,5.3
2004-03-24,5.21,5.21,5.21,5.21
2004-03-25,5.13,5.13,5.13,5.13
2004-03-26,5.19,5.19,5.19,5.19
2004-03-29,5.32,5.32,5.32,5.32
2004-03-30,5.9,5.9,5.9,5.9
2004-03-31,5.88,5.88,5.88,5.88
2004-04-01,6.19,6.19,6.19,6.19
2004-04-02,6.51,6.51,6.51,6.51
2004-04-05,6.3,6.3,6.3,6.3
2004-04-06,6.5,6.5,6.5,6.5
2004-04-07,6.4,6.4,6.4,6.4
2004-04-08,6.49,6.49,6.49,6.49
2004-04-12,6.63,6.63,6.63,6.63
2004-04-13,6.35,6.35,6.35,6.35
2004-04-14,6.13,6.13,6.13,6.13
2004-04-15,6.1196,6.1196,6.1196,6.1196
2004-04-16,6.12,6.12,6.12,6.12
2004-04-19,6.26,6.26,6.26,6.26
2004-04-20,5.8,5.8,5.8,5.8
2004-04-21,5.58,5.58,5.58,5.58
2004-04-22,5.82,5.82,5.82,5.82
2004-04-23,5.65,5.65,5.65,5.65
2004-04-26,5.46,5.46,5.46,5.46
2004-04-27,5.31,5.31,5.31,5.31
2004-04-28,5.08,5.08,5.08,5.08
2004-04-29,4.85,4.85,4.85,4.85
2004-04-30,4.7,4.7,4.7,4.7
2004-05-03,4.59,4.59,4.59,4.59
2004-05-04,4.63,4.63,4.63,4.63
2004-05-05,4.58,4.58,4.58,4.58
2004-05-06,4.4342,4.4342,4.4342,4.4342
2004-05-07,4.16,4.16,4.16,4.16
2004-05-10,4.1,4.1,4.1,4.1
2004-05-11,4.1946,4.1946,4.1946,4.1946
2004-05-12,4.16,4.16,4.16,4.16
2004-05-13,4.0846,4.0846,4.0846,4.0846
2004-05-14,3.99,3.99,3.99,3.99
2004-05-17,3.98,3.98,3.98,3.98
2004-05-18,4.28,4.28,4.28,4.28
2004-05-19,4.34,4.34,4.34,4.34
2004-05-20,4.4,4.4,4.4,4.4
2004-05-21,4.4191,4.4191,4.4191,4.4191
2004-05-24,4.5,4.5,4.5,4.5
2004-05-25,4.64,4.64,4.64,4.64
2004-05-26,4.65,4.65,4.65,4.65
2004-05-27,4.6,4.6,4.6,4.6
2004-05-28,4.58,4.58,4.58,4.58
2004-06-01,4.83,4.83,4.83,4.83
2004-06-02,4.75,4.75,4.75,4.75
2004-06-03,4.51,4.51,4.51,4.51
2004-06-04,4.63,4.63,4.63,4.63
2004-06-07,4.74,4.74,4.74,4.74
2004-06-08,4.64,4.64,4.64,4.64
2004-06-09,4.69,4.69,4.69,4.69
2004-06-10,4.53,4.53,4.53,4.53
