timestamp,open,high,low,close
2004-01-02,14.93,14.93,14.93,14.93
2004-01-05,15.21,15.21,15.21,15.21
2004-01-06,15.65,15.65,15.65,15.65
2004-01-07,15.66,15.66,15.66,15.66
2004-01-08,15.92,15.92,15.92,15.92
2004-01-09,15.6,15.6,15.6,15.6
2004-01-10,15.5,15.5,15.5,15.5
2004-01-12,15.74,15.74,15.74,15.74
2004-01-13,15.29,15.29,15.29,15.29
2004-01-14,15.0,15.0,15.0,15.0
2004-01-15,15.9,15.9,15.9,15.9
2004-01-16,16.85,16.85,16.85,16.85
2004-01-17,16.85,16.85,16.85,16.85
2004-01-20,16.92,16.92,16.92,16.92
2004-01-21,15.95,15.95,15.95,15.95
2004-01-22,15.49,15.49,15.49,15.49
2004-01-23,15.4,15.4,15.4,15.4
2004-01-26,15.45,15.45,15.45,15.45
2004-01-27,15.64,15.64,15.64,15.64
2004-01-28,15.4,15.4,15.4,15.4
2004-01-29,14.8,14.8,14.8,14.8
2004-01-30,14.93,14.93,14.93,14.93
2004-01-31,14.93,14.93,14.93,14.93
2004-02-02,14.75,14.75,14.75,14.75
2004-02-03,14.69,14.69,14.69,14.69
2004-02-04,14.14,14.14,14.14,14.14
2004-02-05,14.17,14.17,14.17,14.17
2004-02-06,14.96,14.96,14.96,14.96
2004-02-07,14.97,14.97,14.97,14.97
2004-02-09,15.1,15.1,15.1,15.1
2004-02-10,15.55,15.55,15.55,15.55
2004-02-11,15.65,15.65,15.65,15.65
2004-02-12,15.25,15.25,15.25,15.25
2004-02-13,14.95,14.95,14.95,14.95
2004-02-14,14.97,14.97,14.97,14.97
2004-02-17,15.08,15.08,15.08,15.08
2004-02-18,15.4,15.4,15.4,15.4
2004-02-19,15.0,15.0,15.0,15.0
2004-02-20,14.8,14.8,14.8,14.8
2004-02-23,14.02,14.02,14.02,14.02
2004-02-24,14.01,14.01,14.01,14.01
2004-02-25,14.54,14.54,14.54,14.54
2004-02-26,15.08,15.08,15.08,15.08
2004-02-27,14.97,14.97,14.97,14.97
2004-02-28,15.0,15.0,15.0,15.0
2004-03-01,14.89,14.89,14.89,14.89
2004-03-02,14.92,14.92,14.92,14.92
2004-03-03,14.6,14.6,14.6,14.6
2004-03-04,15.17,15.17,15.17,15.17
2004-03-05,15.33,15.33,15.33,15.33
2004-03-06,15.3,15.3,15.3,15.3
2004-03-08,14.71,14.71,14.71,14.71
2004-03-09,14.56,14.56,14.56,14.56
2004-03-10,14.52,14.52,14.52,14.52
2004-03-11,14.35,14.35,14.35,14.35
2004-03-12,15.0,15.0,15.0,15.0
2004-03-15,14.5,14.5,14.5,14.5
2004-03-16,14.92,14.92,14.92,14.92
2004-03-17,15.26,15.26,15.26,15.26
2004-03-18,15.39,15.39,15.39,15.39
2004-03-19,15.25,15.25,15.25,15.25
2004-03-22,14.79,14.79,14.79,14.79
2004-03-23,14.86,14.86,14.86,14.86
2004-03-24,15.36,15.36,15.36,15.36
2004-03-25,16.0,16.0,16.0,16.0
2004-03-26,15.51,15.51,15.51,15.51
2004-03-29,15.73,15.73,15.73,15.73
2004-03-30,16.03,16.03,16.03,16.03
2004-03-31,16.23,16.23,16.23,16.23
2004-04-01,16.76,16.76,16.76,16.76
2004-04-02,17.43,17.43,17.43,17.43
2004-04-05,17.43,17.43,17.43,17.43
2004-04-06,17.05,17.05,17.05,17.05
2004-04-07,17.3,17.3,17.3,17.3
2004-04-08,17.03,17.03,17.03,17.03
2004-04-12,17.4,17.4,17.4,17.4
2004-04-13,17.03,17.03,17.03,17.03
2004-04-14,17.54,17.54,17.54,17.54
2004-04-15,16.0,16.0,16.0,16.0
2004-04-16,16.07,16.07,16.07,16.07
2004-04-19,16.35,16.35,16.35,16.35
2004-04-20,15.97,15.97,15.97,15.97
2004-04-21,16.23,16.23,16.23,16.23
2004-04-22,16.47,16.47,16.47,16.47
2004-04-23,16.34,16.34,16.34,16.34
2004-04-26,16.01,16.01,16.01,16.01
2004-04-27,15.55,15.55,15.55,15.55
2004-04-28,15.15,15.15,15.15,15.15
2004-04-29,14.64,14.64,14.64,14.64
2004-04-30,14.38,14.38,14.38,14.38
2004-05-03,14.27,14.27,14.27,14.27
2004-05-04,14.49,14.49,14.49,14.49
2004-05-05,14.35,14.35,14.35,14.35
2004-05-06,14.35,14.35,14.35,14.35
2004-05-07,14.93,14.93,14.93,14.93
2004-05-10,15.04,15.04,15.04,15.04
2004-05-11,15.45,15.45,15.45,15.45
2004-05-12,15.14,15.14,15.14,15.14
2004-05-13,14.56,14.56,14.56,14.56
2004-05-14,13.75,13.75,13.75,13.75
2004-05-15,13.75,13.75,13.75,13.75
2004-05-17,13.95,13.95,13.95,13.95
2004-05-18,14.11,14.11,14.11,14.11
2004-05-19,14.46,14.46,14.46,14.46
2004-05-20,14.21,14.21,14.21,14.21
2004-05-21,14.25,14.25,14.25,14.25
2004-05-24,14.4,14.4,14.4,14.4
2004-05-25,14.89,14.89,14.89,14.89
2004-05-26,15.24,15.24,15.24,15.24
2004-05-27,15.38,15.38,15.38,15.38
2004-05-28,15.55,15.55,15.55,15.55
2004-05-29,15.55,15.55,15.55,15.55
2004-06-01,15.34,15.34,15.34,15.34
2004-06-02,15.05,15.05,15.05,15.05
2004-06-03,14.65,14.65,14.65,14.65
2004-06-04,15.19,15.19,15.19,15.19
2004-06-07,15.8,15.8,15.8,15.8
2004-06-08,16.12,16.12,16.12,16.12
2004-06-09,15.53,15.53,15.53,15.53
2004-06-10,15.75,15.75,15.75,15.75
2004-06-14,15.22,15.22,15.22,15.22
2004-06-15,15.39,15.39,15.39,15.39
2004-06-16,15.15,15.15,15.15,15.15
2004-06-17,14.8,14.8,14.8,14.8
2004-06-18,14.88,14.88,14.88,14.88
2004-06-21,14.12,14.12,14.12,14.12
2004-06-22,14.69,14.69,14.69,14.69
2004-06-23,15.35,15.35,15.35,15.35
2004-06-24,15.28,15.28,15.28,15.28
2004-06-25,15.55,15.55,15.55,15.55
2004-06-28,15.35,15.35,15.35,15.35
2004-06-29,15.81,15.81,15.81,15.81
2004-06-30,15.93,15.93,15.93,15.93
2004-07-01,15.45,15.45,15.45,15.45
2004-07-02,15.27,15.27,15.27,15.27
2004-07-06,14.85,14.85,14.85,14.85
2004-07-07,14.91,14.91,14.91,14.91
2004-07-08,15.0,15.0,15.0,15.0
2004-07-09,14.87,14.87,14.87,14.87
2004-07-12,14.45,14.45,14.45,14.45
2004-07-13,14.1,14.1,14.1,14.1
2004-07-14,13.72,13.72,13.72,13.72
2004-07-15,13.1,13.1,13.1,13.1
2004-07-16,12.62,12.62,12.62,12.62
2004-07-19,12.65,12.65,12.65,12.65
2004-07-20,12.9,12.9,12.9,12.9
2004-07-21,12.12,12.12,12.12,12.12
2004-07-22,12.56,12.56,12.56,12.56
2004-07-23,12.2,12.2,12.2,12.2
2004-07-26,11.69,11.69,11.69,11.69
2004-07-27,11.55,11.55,11.55,11.55
2004-07-28,11.36,11.36,11.36,11.36
2004-07-29,12.0,12.0,12.0,12.0
2004-07-30,12.5,12.5,12.5,12.5
2004-08-02,12.32,12.32,12.32,12.32
2004-08-03,11.8388,11.8388,11.8388,11.8388
2004-08-04,11.7798,11.7798,11.7798,11.7798
2004-08-05,11.76,11.76,11.76,11.76
2004-08-06,11.25,11.25,11.25,11.25
2004-08-09,11.11,11.11,11.11,11.11
2004-08-10,11.3,11.3,11.3,11.3
2004-08-11,10.95,10.95,10.95,10.95
2004-08-12,11.0,11.0,11.0,11.0
2004-08-13,10.86,10.86,10.86,10.86
2004-08-16,11.24,11.24,11.24,11.24
2004-08-17,11.32,11.32,11.32,11.32
2004-08-18,11.88,11.88,11.88,11.88
2004-08-19,11.73,11.73,11.73,11.73
2004-08-20,12.15,12.15,12.15,12.15
2004-08-23,12.27,12.27,12.27,12.27
2004-08-24,11.96,11.96,11.96,11.96
2004-08-25,12.03,12.03,12.03,12.03
2004-08-26,11.8,11.8,11.8,11.8
2004-08-27,11.96,11.96,11.96,11.96
2004-08-30,11.59,11.59,11.59,11.59
2004-08-31,11.45,11.45,11.45,11.45
2004-09-01,11.69,11.69,11.69,11.69
2004-09-02,11.3,11.3,11.3,11.3
2004-09-03,10.92,10.92,10.92,10.92
2004-09-07,10.95,10.95,10.95,10.95
2004-09-08,10.89,10.89,10.89,10.89
2004-09-09,11.52,11.52,11.52,11.52
2004-09-10,12.25,12.25,12.25,12.25
2004-09-13,12.9,12.9,12.9,12.9
2004-09-14,12.7,12.7,12.7,12.7
2004-09-15,12.27,12.27,12.27,12.27
2004-09-16,12.23,12.23,12.23,12.23
2004-09-17,12.68,12.68,12.68,12.68
2004-09-20,12.78,12.78,12.78,12.78
2004-09-21,13.03,13.03,13.03,13.03
2004-09-22,13.0,13.0,13.0,13.0
2004-09-23,12.85,12.85,12.85,12.85
2004-09-24,12.45,12.45,12.45,12.45
2004-09-27,12.47,12.47,12.47,12.47
2004-09-28,12.46,12.46,12.46,12.46
2004-09-29,12.8,12.8,12.8,12.8
2004-09-30,13.03,13.03,13.03,13.03
2004-10-01,13.5,13.5,13.5,13.5
2004-10-04,13.5,13.5,13.5,13.5
2004-10-05,13.75,13.75,13.75,13.75
2004-10-06,13.99,13.99,13.99,13.99
2004-10-07,14.13,14.13,14.13,14.13
2004-10-08,13.5,13.5,13.5,13.5
2004-10-11,13.88,13.88,13.88,13.88
2004-10-12,14.15,14.15,14.15,14.15
2004-10-13,13.64,13.64,13.64,13.64
2004-10-14,13.53,13.53,13.53,13.53
2004-10-15,14.01,14.01,14.01,14.01
2004-10-18,14.35,14.35,14.35,14.35
2004-10-19,14.77,14.77,14.77,14.77
2004-10-20,15.52,15.52,15.52,15.52
2004-10-21,15.87,15.87,15.87,15.87
2004-10-22,15.54,15.54,15.54,15.54
2004-10-25,15.5,15.5,15.5,15.5
2004-10-26,15.604,15.604,15.604,15.604
2004-10-27,16.05,16.05,16.05,16.05
2004-10-28,16.8,16.8,16.8,16.8
2004-10-29,16.65,16.65,16.65,16.65
2004-11-01,17.2,17.2,17.2,17.2
2004-11-02,17.75,17.75,17.75,17.75
2004-11-03,16.98,16.98,16.98,16.98
2004-11-04,17.05,17.05,17.05,17.05
2004-11-05,17.06,17.06,17.06,17.06
2004-11-08,17.37,17.37,17.37,17.37
2004-11-09,17.17,17.17,17.17,17.17
2004-11-10,17.29,17.29,17.29,17.29
2004-11-11,18.63,18.63,18.63,18.63
2004-11-12,21.0,21.0,21.0,21.0
2004-11-13,21.02,21.02,21.02,21.02
2004-11-15,20.99,20.99,20.99,20.99
2004-11-16,21.14,21.14,21.14,21.14
2004-11-17,21.98,21.98,21.98,21.98
2004-11-18,21.92,21.92,21.92,21.92
2004-11-19,20.84,20.84,20.84,20.84
2004-11-20,20.8,20.8,20.8,20.8
2004-11-22,20.9,20.9,20.9,20.9
2004-11-23,21.4,21.4,21.4,21.4
2004-11-24,21.55,21.55,21.55,21.55
2004-11-26,21.54,21.54,21.54,21.54
2004-11-29,21.25,21.25,21.25,21.25
2004-11-30,21.4,21.4,21.4,21.4
2004-12-01,22.59,22.59,22.59,22.59
2004-12-02,23.52,23.52,23.52,23.52
2004-12-03,23.27,23.27,23.27,23.27
2004-12-04,23.27,23.27,23.27,23.27
2004-12-06,24.85,24.85,24.85,24.85
2004-12-07,23.69,23.69,23.69,23.69
2004-12-08,22.6,22.6,22.6,22.6
2004-12-09,22.1,22.1,22.1,22.1
2004-12-10,21.84,21.84,21.84,21.84
2004-12-13,22.13,22.13,22.13,22.13
2004-12-14,22.54,22.54,22.54,22.54
2004-12-15,22.6,22.6,22.6,22.6
2004-12-16,22.46,22.46,22.46,22.46
2004-12-17,22.43,22.43,22.43,22.43
2004-12-18,22.46,22.46,22.46,22.46
2004-12-20,21.91,21.91,21.91,21.91
2004-12-21,21.85,21.85,21.85,21.85
2004-12-22,21.89,21.89,21.89,21.89
2004-12-23,21.96,21.96,21.96,21.96
2004-12-27,21.7,21.7,21.7,21.7
2004-12-28,21.75,21.75,21.75,21.75
2004-12-29,21.96,21.96,21.96,21.96
2004-12-30,21.77,21.77,21.77,21.77
2004-12-31,22.0,22.0,22.0,22.0
2005-01-01,22.03,22.03,22.03,22.03
2005-01-03,21.47,21.47,21.47,21.47
2005-01-04,20.2,20.2,20.2,20.2
2005-01-05,20.01,20.01,20.01,20.01
2005-01-06,19.71,19.71,19.71,19.71
2005-01-07,19.86,19.86,19.86,19.86
2005-01-08,19.87,19.87,19.87,19.87
2005-01-10,19.97,19.97,19.97,19.97
2005-01-11,15.03,15.03,15.03,15.03
2005-01-12,15.1,15.1,15.1,15.1
2005-01-13,15.12,15.12,15.12,15.12
2005-01-14,15.17,15.17,15.17,15.17
2005-01-18,15.21,15.21,15.21,15.21
2005-01-19,15.4,15.4,15.4,15.4
2005-01-20,15.63,15.63,15.63,15.63
2005-01-21,15.34,15.34,15.34,15.34
2005-01-24,15.15,15.15,15.15,15.15
2005-01-25,15.63,15.63,15.63,15.63
2005-01-26,15.94,15.94,15.94,15.94
2005-01-27,16.25,16.25,16.25,16.25
2005-01-28,15.73,15.73,15.73,15.73
2005-01-31,15.94,15.94,15.94,15.94
2005-02-01,16.3,16.3,16.3,16.3
2005-02-02,16.67,16.67,16.67,16.67
2005-02-03,16.65,16.65,16.65,16.65
2005-02-04,17.49,17.49,17.49,17.49
2005-02-07,17.28,17.28,17.28,17.28
2005-02-08,17.53,17.53,17.53,17.53
2005-02-09,18.0,18.0,18.0,18.0
2005-02-10,17.67,17.67,17.67,17.67
2005-02-11,18.07,18.07,18.07,18.07
2005-02-12,18.03,18.03,18.03,18.03
2005-02-14,18.24,18.24,18.24,18.24
2005-02-15,17.68,17.68,17.68,17.68
2005-02-16,17.42,17.42,17.42,17.42
2005-02-17,17.08,17.08,17.08,17.08
2005-02-18,16.9,16.9,16.9,16.9
2005-02-22,17.0,17.0,17.0,17.0
2005-02-23,16.5,16.5,16.5,16.5
2005-02-24,17.62,17.62,17.62,17.62
2005-02-25,17.68,17.68,17.68,17.68
2005-02-28,17.45,17.45,17.45,17.45
2005-03-01,17.6,17.6,17.6,17.6
2005-03-02,17.7574,17.7574,17.7574,17.7574
2005-03-03,17.52,17.52,17.52,17.52
2005-03-04,17.45,17.45,17.45,17.45
2005-03-07,17.47,17.47,17.47,17.47
2005-03-08,17.12,17.12,17.12,17.12
2005-03-09,16.9885,16.9885,16.9885,16.9885
2005-03-10,17.06,17.06,17.06,17.06
2005-03-11,16.35,16.35,16.35,16.35
2005-03-14,16.55,16.55,16.55,16.55
2005-03-15,16.08,16.08,16.08,16.08
2005-03-16,15.99,15.99,15.99,15.99
2005-03-17,16.12,16.12,16.12,16.12
2005-03-18,16.08,16.08,16.08,16.08
2005-03-21,15.87,15.87,15.87,15.87
2005-03-22,15.38,15.38,15.38,15.38
2005-03-23,15.65,15.65,15.65,15.65
2005-03-24,16.12,16.12,16.12,16.12
2005-03-28,15.46,15.46,15.46,15.46
2005-03-29,15.44,15.44,15.44,15.44
2005-03-30,16.21,16.21,16.21,16.21
2005-03-31,16.12,16.12,16.12,16.12
2005-04-01,16.19,16.19,16.19,16.19
2005-04-04,15.83,15.83,15.83,15.83
2005-04-05,15.86,15.86,15.86,15.86
2005-04-06,15.74,15.74,15.74,15.74
2005-04-07,16.18,16.18,16.18,16.18
2005-04-08,17.09,17.09,17.09,17.09
2005-04-11,17.09,17.09,17.09,17.09
2005-04-12,17.27,17.27,17.27,17.27
2005-04-13,17.55,17.55,17.55,17.55
2005-04-14,16.1,16.1,16.1,16.1
2005-04-15,15.45,15.45,15.45,15.45
2005-04-18,15.5,15.5,15.5,15.5
2005-04-19,15.53,15.53,15.53,15.53
2005-04-20,14.75,14.75,14.75,14.75
2005-04-21,14.96,14.96,14.96,14.96
2005-04-22,14.65,14.65,14.65,14.65
2005-04-25,14.68,14.68,14.68,14.68
2005-04-26,14.65,14.65,14.65,14.65
2005-04-27,14.55,14.55,14.55,14.55
2005-04-28,14.16,14.16,14.16,14.16
2005-04-29,14.3,14.3,14.3,14.3
2005-05-02,14.3338,14.3338,14.3338,14.3338
2005-05-03,14.36,14.36,14.36,14.36
2005-05-04,14.66,14.66,14.66,14.66
2005-05-05,14.65,14.65,14.65,14.65
2005-05-06,14.86,14.86,14.86,14.86
2005-05-09,15.05,15.05,15.05,15.05
2005-05-10,15.0,15.0,15.0,15.0
2005-05-11,15.01,15.01,15.01,15.01
2005-05-12,15.32,15.32,15.32,15.32
2005-05-13,15.44,15.44,15.44,15.44
2005-05-16,15.64,15.64,15.64,15.64
2005-05-17,15.63,15.63,15.63,15.63
2005-05-18,15.97,15.97,15.97,15.97
2005-05-19,15.85,15.85,15.85,15.85
2005-05-20,15.98,15.98,15.98,15.98
2005-05-23,15.96,15.96,15.96,15.96
