timestamp,open,high,low,close
2004-01-02,52.64,53.05,51.47,51.74
2004-01-05,52.0,53.58,51.42,53.22
2004-01-06,53.255,53.37,52.76,53.068999999999996
2004-01-07,52.91,52.967,50.96,51.84
2004-01-08,52.2,52.24,50.05,50.1
2004-01-09,49.69,52.13,49.35,51.75
2004-01-12,51.6,53.01,50.81,52.898999999999994
2004-01-13,52.9,54.95,52.43,54.87
2004-01-14,54.8,55.94,54.24,54.95
2004-01-15,54.91,56.726000000000006,54.68,56.5
2004-01-16,55.72,56.41,55.3,55.54
2004-01-20,55.74,56.82,55.43,56.53
2004-01-21,56.5,56.99,55.65,56.94
2004-01-22,56.85,57.8,56.27,57.16
2004-01-23,56.95,57.61,56.67,57.16
2004-01-26,57.11,57.25,56.31100000000001,57.19
2004-01-27,56.6,57.714,53.6,53.88
2004-01-28,54.0,55.5,51.66,51.88
2004-01-29,51.96,52.15,48.66,49.2
2004-01-30,49.98,51.29,49.28,50.48
2004-02-02,50.5,50.75,47.99,48.11
2004-02-03,48.18,48.27,44.6,44.66
2004-02-04,44.7,45.88,44.48,45.35
2004-02-05,45.78,46.989,45.6,46.1
2004-02-06,46.05,46.7,45.53,46.33
2004-02-09,46.46,46.75,45.71,45.81
2004-02-10,45.65,46.239,45.5,45.59
2004-02-11,45.8,47.35,45.56,47.2
2004-02-12,47.135,48.0,46.74,47.011
2004-02-13,47.123000000000005,47.58,46.25,46.48
2004-02-17,46.5,46.82899999999999,44.865,45.65
2004-02-18,45.7,45.7,44.64,45.0
2004-02-19,44.875,46.03,44.6,45.0
2004-02-20,44.92,45.34,44.7,45.14
2004-02-23,45.18,45.3,43.38,43.96
2004-02-24,43.93,43.99,42.23,42.31
2004-02-25,42.5,43.2,42.32,43.16
2004-02-26,43.16,43.85,43.0,43.7
2004-02-27,44.0,44.0,42.54,43.11
2004-03-01,43.15,43.43,42.62,42.97
2004-03-02,42.86,43.47,41.88,41.88
2004-03-03,41.98,43.34,41.66,43.11
2004-03-04,43.13,44.4,43.12,44.34
2004-03-05,44.36,44.8,43.67,44.02
2004-03-08,43.76,45.01,43.19,43.37
2004-03-09,43.37,43.85,42.3,42.77
2004-03-10,42.71,43.19,41.5,41.5
2004-03-11,41.46,42.36,40.72,41.2
2004-03-12,41.49,42.56,41.36,42.54
2004-03-15,42.49,42.73,40.94,41.13
2004-03-16,41.0,42.29,41.0,42.16
2004-03-17,42.08,43.41,42.08,42.79
2004-03-18,42.74,43.2,42.23,43.06
2004-03-19,43.1,43.71,42.6,42.76
2004-03-22,42.15,42.15,40.52,40.67
2004-03-23,41.1,41.7,39.87,40.26
2004-03-24,40.3,40.48,39.22,39.75
2004-03-25,40.0,42.74,39.95,42.4
2004-03-26,42.15,42.37,41.29,41.98
2004-03-29,42.0,43.09,41.9,42.83
2004-03-30,42.76,43.89,42.52,43.87
2004-03-31,43.795,44.0,43.0,43.31
2004-04-01,43.28,44.86,43.28,44.84
2004-04-02,44.8,46.25,44.79,46.15
2004-04-05,46.09,47.15,45.64,46.91
2004-04-06,46.7,46.95,45.76,46.6233
2004-04-07,46.51,47.45,45.4,47.15
2004-04-08,47.15,48.27,47.07,48.1
2004-04-12,48.5,48.5,47.57,47.94
2004-04-13,47.96,48.31,46.31,46.31
2004-04-14,46.5,47.62,45.9,47.06
2004-04-15,46.9,47.56,46.39,46.42
2004-04-16,47.0,47.0,45.32,45.41
2004-04-19,45.7,47.2,45.15,47.0
2004-04-20,48.0,48.0,45.0,45.34
2004-04-21,45.5,46.42,44.96,45.76
2004-04-22,46.38,49.08,45.65,47.5
2004-04-23,46.9,46.9,45.52,46.31
2004-04-26,46.29,47.75,46.17,47.18
2004-04-27,47.24,48.74,46.79,47.99
2004-04-28,48.2,48.34,46.65,46.79
2004-04-29,46.83,47.06,45.54,46.41
2004-04-30,46.28,46.4,43.39,43.6
2004-05-03,43.85,45.1,43.34,44.41
2004-05-04,44.4,44.55,43.74,43.9
2004-05-05,43.9,45.02,43.9,44.26
2004-05-06,44.255,44.255,42.79,43.47
2004-05-07,43.25,44.05,41.71,42.2
2004-05-10,41.65,42.11,40.61,41.2
2004-05-11,41.5,43.01,41.5,42.5
2004-05-12,42.6,43.63,41.28,43.25
2004-05-13,42.97,44.09,42.27,43.62
2004-05-14,43.5,43.9,42.78,43.2
2004-05-17,43.125,43.125,41.73,42.08
2004-05-18,42.28,43.1,41.75,41.8
2004-05-19,42.0,43.27,41.3,41.39
2004-05-20,41.66,41.94,40.81,41.01
2004-05-21,41.1,41.33,40.58,41.24
2004-05-24,41.25,42.26,41.18,41.63
2004-05-25,41.3,43.84,41.2,43.62
2004-05-26,43.48,44.92,43.31,44.74
2004-05-27,44.74,47.78,44.7,47.6
2004-05-28,47.4,48.67,46.93,48.37
2004-06-01,48.0,50.43,47.87,50.3
2004-06-02,50.46,51.16,49.77,50.31
2004-06-03,50.01,50.33,49.3987,49.59
2004-06-04,50.0,51.5,49.72,50.97
2004-06-07,51.58,51.93,50.7,51.72
2004-06-08,51.62,52.11,51.1,51.86
2004-06-09,51.88,51.88,50.05,50.34
2004-06-10,50.35,50.5,49.29,49.75
2004-06-14,49.75,49.95,49.06,49.28
2004-06-15,49.26,50.58,49.26,50.11
2004-06-16,50.35,50.73,50.0,50.35
2004-06-17,50.5,50.91,49.43,49.45
2004-06-18,49.76,50.26,49.51,49.6
2004-06-21,49.8,50.28,49.27,49.77
2004-06-22,49.77,49.79,48.2632,49.0
2004-06-23,48.95,50.98,48.43,50.86
2004-06-24,50.85,51.9,50.71,50.85
2004-06-25,51.0,51.84,50.91,51.68
2004-06-28,52.0,54.01,52.0,53.3
2004-06-29,53.52,53.89,52.7,53.71
2004-06-30,53.72,54.67,53.44,54.4
