timestamp,open,high,low,close
2004-01-02,18.0,18.0,18.0,18.0
2004-01-05,18.06,18.06,18.06,18.06
2004-01-06,17.98,17.98,17.98,17.98
2004-01-07,18.07,18.07,18.07,18.07
2004-01-08,18.13,18.13,18.13,18.13
2004-01-09,17.87,17.87,17.87,17.87
2004-01-12,17.78,17.78,17.78,17.78
2004-01-13,17.7378,17.7378,17.7378,17.7378
2004-01-14,17.7944,17.7944,17.7944,17.7944
2004-01-15,17.67,17.67,17.67,17.67
2004-01-16,17.82,17.82,17.82,17.82
2004-01-20,17.7039,17.7039,17.7039,17.7039
2004-01-21,17.7441,17.7441,17.7441,17.7441
2004-01-22,17.66,17.66,17.66,17.66
2004-01-23,17.69,17.69,17.69,17.69
2004-01-26,17.76,17.76,17.76,17.76
2004-01-27,17.05,17.05,17.05,17.05
2004-01-28,16.75,16.75,16.75,16.75
2004-01-29,16.68,16.68,16.68,16.68
2004-01-30,16.37,16.37,16.37,16.37
2004-02-02,16.45,16.45,16.45,16.45
2004-02-03,16.45,16.45,16.45,16.45
2004-02-04,16.29,16.29,16.29,16.29
2004-02-05,16.89,16.89,16.89,16.89
2004-02-06,17.15,17.15,17.15,17.15
2004-02-09,17.22,17.22,17.22,17.22
2004-02-10,16.59,16.59,16.59,16.59
2004-02-11,16.66,16.66,16.66,16.66
2004-02-12,16.56,16.56,16.56,16.56
2004-02-13,16.32,16.32,16.32,16.32
2004-02-17,16.44,16.44,16.44,16.44
2004-02-18,16.4516,16.4516,16.4516,16.4516
2004-02-19,16.63,16.63,16.63,16.63
2004-02-20,16.4,16.4,16.4,16.4
2004-02-23,16.81,16.81,16.81,16.81
2004-02-24,16.64,16.64,16.64,16.64
2004-02-25,16.57,16.57,16.57,16.57
2004-02-26,16.48,16.48,16.48,16.48
2004-02-27,16.68,16.68,16.68,16.68
2004-03-01,16.86,16.86,16.86,16.86
2004-03-02,16.5,16.5,16.5,16.5
2004-03-03,16.55,16.55,16.55,16.55
2004-03-04,16.48,16.48,16.48,16.48
2004-03-05,16.68,16.68,16.68,16.68
2004-03-08,16.42,16.42,16.42,16.42
2004-03-09,16.39,16.39,16.39,16.39
2004-03-10,16.1953,16.1953,16.1953,16.1953
2004-03-11,16.105,16.105,16.105,16.105
2004-03-12,16.4,16.4,16.4,16.4
2004-03-15,16.53,16.53,16.53,16.53
2004-03-16,16.52,16.52,16.52,16.52
2004-03-17,16.68,16.68,16.68,16.68
2004-03-18,16.58,16.58,16.58,16.58
2004-03-19,16.61,16.61,16.61,16.61
2004-03-22,16.43,16.43,16.43,16.43
2004-03-23,16.5,16.5,16.5,16.5
2004-03-24,16.5,16.5,16.5,16.5
2004-03-25,16.81,16.81,16.81,16.81
2004-03-26,16.94,16.94,16.94,16.94
2004-03-29,16.93,16.93,16.93,16.93
2004-03-30,16.95,16.95,16.95,16.95
2004-03-31,17.05,17.05,17.05,17.05
2004-04-01,17.03,17.03,17.03,17.03
2004-04-02,17.23,17.23,17.23,17.23
2004-04-05,17.6,17.6,17.6,17.6
2004-04-06,17.542,17.542,17.542,17.542
2004-04-07,17.44,17.44,17.44,17.44
2004-04-08,17.3,17.3,17.3,17.3
2004-04-12,17.35,17.35,17.35,17.35
2004-04-13,17.12,17.12,17.12,17.12
2004-04-14,16.92,16.92,16.92,16.92
2004-04-15,16.93,16.93,16.93,16.93
2004-04-16,17.1,17.1,17.1,17.1
2004-04-19,17.02,17.02,17.02,17.02
2004-04-20,16.8584,16.8584,16.8584,16.8584
2004-04-21,17.0,17.0,17.0,17.0
2004-04-22,17.2743,17.2743,17.2743,17.2743
2004-04-23,17.0,17.0,17.0,17.0
2004-04-26,16.76,16.76,16.76,16.76
2004-04-27,16.9,16.9,16.9,16.9
2004-04-28,17.01,17.01,17.01,17.01
2004-04-29,16.83,16.83,16.83,16.83
2004-04-30,17.02,17.02,17.02,17.02
2004-05-03,17.02,17.02,17.02,17.02
2004-05-04,17.03,17.03,17.03,17.03
2004-05-05,16.8827,16.8827,16.8827,16.8827
2004-05-06,16.58,16.58,16.58,16.58
2004-05-07,16.3,16.3,16.3,16.3
2004-05-10,15.92,15.92,15.92,15.92
2004-05-11,15.97,15.97,15.97,15.97
2004-05-12,15.5499,15.5499,15.5499,15.5499
2004-05-13,15.64,15.64,15.64,15.64
2004-05-14,15.6,15.6,15.6,15.6
2004-05-17,15.38,15.38,15.38,15.38
2004-05-18,15.51,15.51,15.51,15.51
2004-05-19,15.58,15.58,15.58,15.58
2004-05-20,15.69,15.69,15.69,15.69
2004-05-21,16.11,16.11,16.11,16.11
2004-05-24,16.11,16.11,16.11,16.11
2004-05-25,16.51,16.51,16.51,16.51
2004-05-26,16.6,16.6,16.6,16.6
2004-05-27,16.64,16.64,16.64,16.64
2004-05-28,16.68,16.68,16.68,16.68
2004-06-01,16.74,16.74,16.74,16.74
2004-06-02,17.01,17.01,17.01,17.01
2004-06-03,16.95,16.95,16.95,16.95
2004-06-04,16.95,16.95,16.95,16.95
2004-06-07,17.08,17.08,17.08,17.08
2004-06-08,17.08,17.08,17.08,17.08
2004-06-09,17.05,17.05,17.05,17.05
2004-06-10,16.97,16.97,16.97,16.97
2004-06-14,16.93,16.93,16.93,16.93
2004-06-15,17.03,17.03,17.03,17.03
2004-06-16,17.0,17.0,17.0,17.0
2004-06-17,17.1,17.1,17.1,17.1
2004-06-18,17.07,17.07,17.07,17.07
2004-06-21,17.05,17.05,17.05,17.05
2004-06-22,17.01,17.01,17.01,17.01
2004-06-23,17.0,17.0,17.0,17.0
2004-06-24,17.0801,17.0801,17.0801,17.0801
2004-06-25,17.07,17.07,17.07,17.07
2004-06-28,17.01,17.01,17.01,17.01
2004-06-29,17.05,17.05,17.05,17.05
2004-06-30,17.1,17.1,17.1,17.1
2004-07-01,16.94,16.94,16.94,16.94
2004-07-02,16.84,16.84,16.84,16.84
2004-07-06,16.57,16.57,16.57,16.57
2004-07-07,16.58,16.58,16.58,16.58
