timestamp,open,high,low,close
2004-01-02,52.82,52.97,52.18,52.67
2004-01-05,52.9,53.35,52.32,53.3
2004-01-06,53.0,53.16,52.51,53.15
2004-01-07,52.97,52.97,51.62,52.77
2004-01-08,52.87,53.43,52.7,53.43
2004-01-09,52.96,52.96,51.93,51.98
2004-01-12,51.99,52.61,51.89,52.52
2004-01-13,52.59,53.99,52.59,53.96
2004-01-14,53.85,54.79,53.84,54.71
2004-01-15,54.72,55.15,54.21,54.87
2004-01-16,54.87,55.38,54.86,55.0
2004-01-20,54.71,55.18,54.33,54.38
2004-01-21,53.5,53.5,52.12,52.29
2004-01-22,51.35,51.35,48.08,49.85
2004-01-23,49.86,49.86,48.1583,48.19
2004-01-26,48.8,50.1,48.66,49.9
2004-01-27,50.05,50.45,49.47,49.58
2004-01-28,49.86,50.8,49.45,49.58
2004-01-29,50.43,50.59,49.16,49.5406
2004-01-30,49.7,49.97,49.46,49.761
2004-02-02,49.95,50.22,49.56,49.76
2004-02-03,49.81,49.83,48.9,49.07
2004-02-04,48.8,49.17,48.41,48.62
2004-02-05,48.73,49.2,48.55,49.12
2004-02-06,49.2,49.77,48.85,49.76
2004-02-09,49.7,50.37,49.61,50.0
2004-02-10,50.2,50.7,49.86,50.53
2004-02-11,50.7,51.589,50.09,51.57
2004-02-12,51.52,51.52,50.87,51.01
2004-02-13,51.1,51.3,50.31,50.31
2004-02-17,50.91,50.92,50.36,50.72
2004-02-18,50.95,50.95,49.77,50.2217
2004-02-19,50.1,50.77,50.0,50.0
2004-02-20,50.25,50.48,49.24,49.63
2004-02-23,49.57,49.76,49.11,49.35
2004-02-24,49.41,49.84,49.04,49.45
2004-02-25,49.51,49.74,49.07,49.4
2004-02-26,49.4,49.4,48.78,49.0
2004-02-27,48.27,49.38,48.0,48.24
2004-03-01,48.63,49.4,48.42,49.29
2004-03-02,49.29,49.46,49.1,49.28
2004-03-03,49.75,49.85,49.16,49.26
2004-03-04,49.1,49.33,48.72,49.16
2004-03-05,49.16,49.95,48.94,49.85
2004-03-08,49.65,50.05,49.48,49.5
2004-03-09,49.85,49.85,48.61,48.79
2004-03-10,48.8,48.8,47.39,47.7
2004-03-11,47.64,48.15,47.0,47.23
2004-03-12,47.13,48.14,47.13,47.96
2004-03-15,47.9,47.9,46.72,47.02
2004-03-16,47.4,47.71,46.73,47.3
2004-03-17,47.28,48.2,47.28,47.95
2004-03-18,47.895,47.895,47.03,47.65
2004-03-19,47.6,47.93,47.52,47.7025
2004-03-22,47.45,47.48,46.8,47.23
2004-03-23,47.33,47.59,46.92,47.16
2004-03-24,47.4,48.04,47.25,48.04
2004-03-25,48.26,49.9,48.25,49.77
2004-03-26,49.48,49.64,48.77,49.35
2004-03-29,49.6,50.78,49.6,49.9
2004-03-30,49.87,50.0,49.46,50.0
2004-03-31,50.1,50.22,49.5,50.12
2004-04-01,50.12,50.62,49.89,50.05
2004-04-02,51.35,51.79,51.05,51.55
2004-04-05,51.55,52.0,51.45,52.0
2004-04-06,51.48,52.03,51.45,52.03
2004-04-07,52.09,52.13,51.15,51.42
2004-04-08,51.66,51.88,51.09,51.34
2004-04-12,51.41,51.98,51.41,51.95
2004-04-13,51.96,51.96,51.44,51.55
2004-04-14,51.36,52.31,51.35,51.81
2004-04-15,51.99,52.68,51.98,52.61
2004-04-16,52.54,52.81,52.14,52.69
2004-04-19,52.55,52.65,52.21,52.45
2004-04-20,52.7,52.88,51.67,51.8959
2004-04-21,51.85,52.27,51.33,52.09
2004-04-22,51.86,52.95,51.72,52.79
2004-04-23,52.63,52.87,52.04,52.87
2004-04-26,52.86,53.19,52.0,52.19
2004-04-27,52.09,52.72,51.84,52.45
2004-04-28,51.6,51.74,50.75,50.95
2004-04-29,51.15,51.39,49.84,49.85
2004-04-30,49.91,50.45,49.63,49.81
2004-05-03,49.9,49.9,49.15,49.7
2004-05-04,49.6,49.93,49.16,49.49
2004-05-05,49.43,49.58,49.06,49.5
2004-05-06,49.5,49.76,48.97,49.378
2004-05-07,49.04,49.3,48.63,48.75
2004-05-10,48.2,48.95,47.84,48.6
2004-05-11,48.61,49.4,48.61,49.12
2004-05-12,48.75,49.1,48.1,49.0849
2004-05-13,48.76,49.4,48.76,49.0
2004-05-14,49.01,49.19,48.31,48.85
2004-05-17,48.17,48.39,47.5,48.02
2004-05-18,48.1,48.44,47.9,48.33
2004-05-19,48.62,49.37,47.96,48.1509
2004-05-20,48.24,48.58,47.86,48.05
2004-05-21,48.39,49.09,48.39,48.61
2004-05-24,49.19,49.55,48.47,48.61
2004-05-25,48.76,49.78,48.34,49.75
2004-05-26,49.7,50.55,49.57,49.86
2004-05-27,50.13,50.84,50.13,50.48
2004-05-28,50.52,50.52,49.57,49.97
2004-06-01,49.71,50.01,49.63,49.9
2004-06-02,49.9,50.05,49.18,49.45
2004-06-03,49.43,49.44,48.39,48.42
2004-06-04,48.92,48.92,48.37,48.58
2004-06-07,48.83,49.55,48.72,49.49
2004-06-08,49.19,49.88,48.99,49.82
2004-06-09,49.71,50.1,49.45,49.6
2004-06-10,49.62,49.91,49.39,49.71
2004-06-14,49.46,49.55,49.06,49.3
2004-06-15,49.65,49.93,49.35,49.47
2004-06-16,49.48,49.57,49.03,49.45
2004-06-17,49.28,49.75,49.14,49.64
2004-06-18,49.75,50.62,49.45,50.21
2004-06-21,50.2,50.52,49.95,50.17
2004-06-22,49.95,50.78,49.86,50.7
2004-06-23,50.76,51.54,50.49,51.47
2004-06-24,51.25,51.45,50.87,51.13
2004-06-25,51.14,52.4,51.14,52.0
2004-06-28,52.07,52.18,51.54,51.77
2004-06-29,51.5,52.15,51.5,52.08
2004-06-30,52.09,52.67,51.76,52.52
2004-07-01,52.07,52.15,50.8,51.47
2004-07-02,51.5,51.5,50.66,51.02
2004-07-06,50.93,51.45,50.89,51.0
2004-07-07,51.0,51.36,50.85,51.05
2004-07-08,50.95,51.35,50.52,50.95
2004-07-09,51.1,51.53,51.0,51.24
2004-07-12,51.34,51.34,50.72,51.21
2004-07-13,51.1,51.63,50.81,51.49
2004-07-14,51.36,51.89,50.86,51.61
2004-07-15,51.61,51.76,51.12,51.3
2004-07-16,51.4,51.4,50.78,51.08
2004-07-19,51.09,51.18,50.83,51.03
2004-07-20,51.03,51.6209,50.9,51.55
2004-07-21,51.62,51.62,50.63,50.68
2004-07-22,50.6,50.6,49.77,50.07
2004-07-23,49.75,50.05,49.4,49.67
2004-07-26,49.77,49.77,48.89,49.02
2004-07-27,48.92,49.22,48.48,48.78
2004-07-28,50.0,50.0,49.0,49.8
2004-07-29,49.78,52.12,49.75,51.95
2004-07-30,51.95,51.98,51.55,51.75
2004-08-02,51.71,52.26,51.42,52.0235
2004-08-03,52.05,52.05,51.47,51.8
2004-08-04,51.65,52.8,51.29,52.4
2004-08-05,52.6,52.6,51.44,51.458999999999996
2004-08-06,51.05,51.07,49.91,50.07
2004-08-09,50.05,50.87,50.05,50.53
2004-08-10,50.78,51.2,50.35,51.1
2004-08-11,50.71,50.93,50.12,50.75
2004-08-12,50.5,50.58,49.96,50.36
2004-08-13,50.21,50.26,49.16,49.55
2004-08-16,49.77,51.6,49.77,51.55
2004-08-17,51.95,52.08,50.93,50.9487
2004-08-18,50.9,52.0,50.76,51.9925
2004-08-19,51.51,52.04,51.27,51.91
2004-08-20,51.73,52.66,51.73,52.56
2004-08-23,52.66,52.97,52.49,52.62
2004-08-24,52.85,52.93,52.16,52.52
2004-08-25,52.45,52.69,51.75,52.52
2004-08-26,52.53,52.96,52.35,52.8
2004-08-27,52.48,52.5,51.94,52.31
2004-08-30,52.54,52.8,51.95,52.07
2004-08-31,52.1,52.38,51.88,52.38
2004-09-01,53.0,53.98,53.0,53.77
2004-09-02,53.77,54.84,53.73,54.75
2004-09-03,54.75,55.7,54.63,54.91
2004-09-07,55.02,55.24,54.8,55.0
2004-09-08,55.0,55.0,53.66,54.0766
2004-09-09,53.91,54.2,53.28,53.7
2004-09-10,53.65,53.67,52.91,53.37
2004-09-13,53.4,53.65,52.54,52.7325
2004-09-14,52.54,52.93,52.1,52.78
2004-09-15,52.59,52.76,52.25,52.53
2004-09-16,52.6,53.82,52.6,53.24
2004-09-17,54.0,54.16,53.62,53.73
2004-09-20,53.42,54.23,53.42,54.02
2004-09-21,54.22,54.33,53.9,54.03
2004-09-22,53.87,53.97,53.05,53.4
2004-09-23,53.22,53.3,52.02,52.1
2004-09-24,52.11,52.73,52.11,52.61
2004-09-27,52.56,53.1,52.3,52.97
2004-09-28,53.2,54.48,53.04,54.38
2004-09-29,54.15,54.68,53.7,54.68
2004-09-30,54.63,54.88,54.01,54.3785
2004-10-01,54.18,54.61,53.82,54.54
2004-10-04,54.51,54.87,54.41,54.56
2004-10-05,54.4,54.73,54.26,54.7
2004-10-06,54.6,55.35,54.6,54.9493
2004-10-07,55.06,55.08,54.41,54.42
2004-10-08,54.4,54.49,53.9,54.0737
2004-10-11,53.99,54.6,53.99,54.31
2004-10-12,53.9,53.9,53.22,53.4
2004-10-13,53.86,53.95,52.58,52.8129
2004-10-14,52.84,53.47,52.63,52.96
2004-10-15,53.1,54.35,53.1,53.81
2004-10-18,53.8075,53.88,53.25,53.68
2004-10-19,53.58,53.92,52.53,52.53
2004-10-20,52.55,52.82,52.23,52.52
2004-10-21,52.45,53.01,52.11,52.82
2004-10-22,52.72,53.7,52.67,52.9
2004-10-25,52.71,53.26,52.49,52.848
2004-10-26,52.92,53.8126,52.65,53.81
2004-10-27,53.81,54.0,52.78,53.8
2004-10-28,53.1,53.39,51.85,53.11
2004-10-29,53.07,53.8,52.84,53.18
2004-11-01,53.06,53.07,52.62,52.8
2004-11-02,52.93,53.2,52.21,52.31
2004-11-03,53.4,53.53,52.89,53.1
2004-11-04,53.29,53.52,52.96,53.45
2004-11-05,53.85,53.97,52.99,53.49
2004-11-08,53.35,53.43,52.91,53.11
2004-11-09,53.25,54.61,53.25,54.33
2004-11-10,54.54,55.42,54.52,55.0
2004-11-11,54.93,55.41,54.69,55.22
2004-11-12,55.35,55.55,54.8,55.44
2004-11-15,55.0,55.56,54.95,55.32
2004-11-16,55.43,55.73,55.21,55.22
2004-11-17,55.95,56.94,55.78,55.98
2004-11-18,56.1,56.78,56.08,56.4988
2004-11-19,56.31,56.41,55.57,55.91
2004-11-22,55.9,56.0,55.4,55.76
2004-11-23,55.76,56.48,55.64,56.08
2004-11-24,56.33,57.04,56.33,56.8917
2004-11-26,57.23,57.31,56.77,56.79
2004-11-29,56.79,57.22,56.25,56.86
2004-11-30,56.9,57.35,56.64,57.25
2004-12-01,57.45,58.15,57.3,58.01
2004-12-02,57.97,58.0,57.3,57.54
2004-12-03,57.65,58.3,57.58,58.16
2004-12-06,58.0,58.46,57.76,58.24
2004-12-07,58.3,58.37,56.7,57.91
2004-12-08,56.6,57.08,56.2,57.03
2004-12-09,56.87,58.0,56.42,57.95
2004-12-10,57.65,58.1,57.41,57.41
2004-12-13,57.46,57.94,57.46,57.8226
2004-12-14,57.76,58.0,57.51,57.78
2004-12-15,57.78,57.97,57.42,57.82
2004-12-16,57.46,57.69,56.61,57.0118
2004-12-17,57.0,57.31,56.74,56.9873
2004-12-20,57.23,58.42,57.23,58.08
2004-12-21,58.58,58.66,57.84,58.5821
2004-12-22,58.7,59.18,58.5,58.87
2004-12-23,58.6,58.92,58.36,58.69
2004-12-27,58.94,58.94,57.75,58.16
2004-12-28,58.41,58.74,58.34,58.74
2004-12-29,58.63,58.69,58.37,58.65
2004-12-30,58.61,58.64,58.1,58.25
2004-12-31,58.3,58.43,57.9,57.97
2005-01-03,58.25,58.41,57.5,57.96
2005-01-04,57.97,58.26,56.89,56.94
2005-01-05,57.6,58.78,56.95,56.99
2005-01-06,57.1,57.63,57.1,57.34
2005-01-07,57.5,58.2,57.29,57.65
2005-01-10,57.55,58.13,57.26,57.69
2005-01-11,57.7,57.75,56.65,56.65
2005-01-12,56.92,57.41,56.33,57.38
2005-01-13,57.14,57.56,56.57,56.84
2005-01-14,56.94,57.72,56.94,57.69
2005-01-18,57.23,58.0289,57.0,58.0289
2005-01-19,57.8,58.0,57.14,57.15
2005-01-20,57.16,57.64,56.75,57.38
2005-01-21,57.27,57.5,56.68,56.77
2005-01-24,56.85,57.06,55.99,55.99
2005-01-25,56.43,57.16,56.37,56.9
2005-01-26,57.75,58.3,57.6,57.94
2005-01-27,57.75,57.95,57.47,57.7
2005-01-28,58.14,58.28,57.53,58.17
