timestamp,open,high,low,close
2004-01-02,17.64,17.64,17.64,17.64
2004-01-05,17.99,17.99,17.99,17.99
2004-01-06,17.92,17.92,17.92,17.92
2004-01-07,17.81,17.81,17.81,17.81
2004-01-08,17.87,17.87,17.87,17.87
2004-01-09,17.81,17.81,17.81,17.81
2004-01-12,17.87,17.87,17.87,17.87
2004-01-13,18.15,18.15,18.15,18.15
2004-01-14,18.16,18.16,18.16,18.16
2004-01-15,18.38,18.38,18.38,18.38
2004-01-16,18.44,18.44,18.44,18.44
2004-01-20,18.65,18.65,18.65,18.65
2004-01-21,18.76,18.76,18.76,18.76
2004-01-22,18.58,18.58,18.58,18.58
2004-01-23,18.6,18.6,18.6,18.6
2004-01-26,19.12,19.12,19.12,19.12
2004-01-27,19.03,19.03,19.03,19.03
2004-01-28,18.94,18.94,18.94,18.94
2004-01-29,18.72,18.72,18.72,18.72
2004-01-30,18.61,18.61,18.61,18.61
2004-02-02,18.37,18.37,18.37,18.37
2004-02-03,18.3,18.3,18.3,18.3
2004-02-04,18.1,18.1,18.1,18.1
2004-02-05,18.18,18.18,18.18,18.18
2004-02-06,18.25,18.25,18.25,18.25
2004-02-09,18.55,18.55,18.55,18.55
2004-02-10,18.55,18.55,18.55,18.55
2004-02-11,18.84,18.84,18.84,18.84
2004-02-12,18.78,18.78,18.78,18.78
2004-02-13,18.64,18.64,18.64,18.64
2004-02-17,18.96,18.96,18.96,18.96
2004-02-18,19.0,19.0,19.0,19.0
2004-02-19,18.8,18.8,18.8,18.8
2004-02-20,18.83,18.83,18.83,18.83
2004-02-23,18.82,18.82,18.82,18.82
2004-02-24,18.83,18.83,18.83,18.83
2004-02-25,19.0,19.0,19.0,19.0
2004-02-26,19.12,19.12,19.12,19.12
2004-02-27,19.25,19.25,19.25,19.25
2004-03-01,19.71,19.71,19.71,19.71
2004-03-02,19.63,19.63,19.63,19.63
2004-03-03,19.72,19.72,19.72,19.72
2004-03-04,19.75,19.75,19.75,19.75
2004-03-05,19.69,19.69,19.69,19.69
2004-03-08,19.59,19.59,19.59,19.59
2004-03-09,19.44,19.44,19.44,19.44
2004-03-10,19.21,19.21,19.21,19.21
2004-03-11,18.87,18.87,18.87,18.87
2004-03-12,19.0,19.0,19.0,19.0
2004-03-15,18.59,18.59,18.59,18.59
2004-03-16,18.7,18.7,18.7,18.7
2004-03-17,18.72,18.72,18.72,18.72
2004-03-18,18.77,18.77,18.77,18.77
2004-03-19,19.54,19.54,19.54,19.54
2004-03-22,19.59,19.59,19.59,19.59
2004-03-23,19.15,19.15,19.15,19.15
2004-03-24,18.8,18.8,18.8,18.8
2004-03-25,18.51,18.51,18.51,18.51
2004-03-26,18.48,18.48,18.48,18.48
2004-03-29,18.57,18.57,18.57,18.57
2004-03-30,18.6,18.6,18.6,18.6
2004-03-31,18.72,18.72,18.72,18.72
2004-04-01,18.65,18.65,18.65,18.65
2004-04-02,18.66,18.66,18.66,18.66
2004-04-05,18.68,18.68,18.68,18.68
2004-04-06,18.8,18.8,18.8,18.8
2004-04-07,18.57,18.57,18.57,18.57
2004-04-08,18.6,18.6,18.6,18.6
2004-04-12,18.77,18.77,18.77,18.77
2004-04-13,18.67,18.67,18.67,18.67
2004-04-14,18.36,18.36,18.36,18.36
2004-04-15,18.31,18.31,18.31,18.31
2004-04-16,18.26,18.26,18.26,18.26
2004-04-19,18.29,18.29,18.29,18.29
2004-04-20,18.36,18.36,18.36,18.36
2004-04-21,18.44,18.44,18.44,18.44
2004-04-22,19.07,19.07,19.07,19.07
2004-04-23,19.33,19.33,19.33,19.33
2004-04-26,19.65,19.65,19.65,19.65
2004-04-27,19.55,19.55,19.55,19.55
2004-04-28,19.38,19.38,19.38,19.38
2004-04-29,19.28,19.28,19.28,19.28
2004-04-30,19.24,19.24,19.24,19.24
2004-05-03,19.16,19.16,19.16,19.16
2004-05-04,19.36,19.36,19.36,19.36
2004-05-05,19.53,19.53,19.53,19.53
2004-05-06,19.37,19.37,19.37,19.37
2004-05-07,18.66,18.66,18.66,18.66
2004-05-10,18.24,18.24,18.24,18.24
2004-05-11,18.61,18.61,18.61,18.61
2004-05-12,18.27,18.27,18.27,18.27
2004-05-13,18.37,18.37,18.37,18.37
2004-05-14,18.4,18.4,18.4,18.4
2004-05-17,18.1,18.1,18.1,18.1
2004-05-18,17.94,17.94,17.94,17.94
2004-05-19,17.9,17.9,17.9,17.9
2004-05-20,17.83,17.83,17.83,17.83
2004-05-21,17.86,17.86,17.86,17.86
2004-05-24,17.86,17.86,17.86,17.86
2004-05-25,18.54,18.54,18.54,18.54
2004-05-26,18.78,18.78,18.78,18.78
2004-05-27,19.0,19.0,19.0,19.0
2004-05-28,18.94,18.94,18.94,18.94
2004-06-01,19.18,19.18,19.18,19.18
2004-06-02,19.24,19.24,19.24,19.24
2004-06-03,19.0,19.0,19.0,19.0
2004-06-04,19.19,19.19,19.19,19.19
2004-06-07,19.69,19.69,19.69,19.69
2004-06-08,20.32,20.32,20.32,20.32
2004-06-09,20.47,20.47,20.47,20.47
2004-06-10,20.59,20.59,20.59,20.59
2004-06-14,20.45,20.45,20.45,20.45
2004-06-15,20.61,20.61,20.61,20.61
2004-06-16,20.89,20.89,20.89,20.89
2004-06-17,20.99,20.99,20.99,20.99
2004-06-18,21.07,21.07,21.07,21.07
2004-06-21,20.89,20.89,20.89,20.89
2004-06-22,21.1,21.1,21.1,21.1
2004-06-23,21.07,21.07,21.07,21.07
2004-06-24,20.91,20.91,20.91,20.91
2004-06-25,20.71,20.71,20.71,20.71
2004-06-28,20.7,20.7,20.7,20.7
2004-06-29,20.77,20.77,20.77,20.77
2004-06-30,21.22,21.22,21.22,21.22
2004-07-01,21.22,21.22,21.22,21.22
2004-07-02,21.42,21.42,21.42,21.42
2004-07-06,21.31,21.31,21.31,21.31
2004-07-07,21.49,21.49,21.49,21.49
2004-07-08,21.28,21.28,21.28,21.28
