timestamp,open,high,low,close
2004-01-02,13.55,13.55,13.55,13.55
2004-01-05,13.88,13.88,13.88,13.88
2004-01-06,13.53,13.53,13.53,13.53
2004-01-07,12.77,12.77,12.77,12.77
2004-01-08,13.03,13.03,13.03,13.03
2004-01-09,12.49,12.49,12.49,12.49
2004-01-12,12.46,12.46,12.46,12.46
2004-01-13,12.12,12.12,12.12,12.12
2004-01-14,11.9,11.9,11.9,11.9
2004-01-15,11.7,11.7,11.7,11.7
2004-01-16,11.77,11.77,11.77,11.77
2004-01-20,12.16,12.16,12.16,12.16
2004-01-21,11.26,11.26,11.26,11.26
2004-01-22,10.06,10.06,10.06,10.06
2004-01-23,10.0,10.0,10.0,10.0
2004-01-26,9.94,9.94,9.94,9.94
2004-01-27,10.08,10.08,10.08,10.08
2004-01-28,9.46,9.46,9.46,9.46
2004-01-29,9.3,9.3,9.3,9.3
2004-01-30,9.4,9.4,9.4,9.4
2004-02-02,9.15,9.15,9.15,9.15
2004-02-03,9.1,9.1,9.1,9.1
2004-02-04,8.72,8.72,8.72,8.72
2004-02-05,8.76,8.76,8.76,8.76
2004-02-06,9.5,9.5,9.5,9.5
2004-02-09,9.69,9.69,9.69,9.69
2004-02-10,10.1596,10.1596,10.1596,10.1596
2004-02-11,10.95,10.95,10.95,10.95
2004-02-12,10.66,10.66,10.66,10.66
2004-02-13,10.55,10.55,10.55,10.55
2004-02-17,12.5877,12.5877,12.5877,12.5877
2004-02-18,12.52,12.52,12.52,12.52
2004-02-19,12.61,12.61,12.61,12.61
2004-02-20,12.24,12.24,12.24,12.24
2004-02-23,11.98,11.98,11.98,11.98
2004-02-24,12.03,12.03,12.03,12.03
2004-02-25,12.12,12.12,12.12,12.12
2004-02-26,12.36,12.36,12.36,12.36
2004-02-27,12.7,12.7,12.7,12.7
2004-03-01,13.22,13.22,13.22,13.22
2004-03-02,13.003,13.003,13.003,13.003
2004-03-03,12.81,12.81,12.81,12.81
2004-03-04,12.97,12.97,12.97,12.97
2004-03-05,12.76,12.76,12.76,12.76
2004-03-08,12.38,12.38,12.38,12.38
2004-03-09,11.94,11.94,11.94,11.94
2004-03-10,11.3058,11.3058,11.3058,11.3058
2004-03-11,11.024,11.024,11.024,11.024
2004-03-12,11.47,11.47,11.47,11.47
2004-03-15,10.3,10.3,10.3,10.3
2004-03-16,10.0317,10.0317,10.0317,10.0317
2004-03-17,11.49,11.49,11.49,11.49
2004-03-18,11.51,11.51,11.51,11.51
2004-03-19,11.63,11.63,11.63,11.63
2004-03-22,10.9533,10.9533,10.9533,10.9533
2004-03-23,11.01,11.01,11.01,11.01
2004-03-24,10.46,10.46,10.46,10.46
2004-03-25,11.0,11.0,11.0,11.0
2004-03-26,11.14,11.14,11.14,11.14
2004-03-29,11.82,11.82,11.82,11.82
2004-03-30,12.1382,12.1382,12.1382,12.1382
2004-03-31,12.2025,12.2025,12.2025,12.2025
2004-04-01,12.17,12.17,12.17,12.17
2004-04-02,12.64,12.64,12.64,12.64
2004-04-05,12.86,12.86,12.86,12.86
2004-04-06,12.55,12.55,12.55,12.55
2004-04-07,12.35,12.35,12.35,12.35
2004-04-08,12.06,12.06,12.06,12.06
2004-04-12,12.65,12.65,12.65,12.65
2004-04-13,11.46,11.46,11.46,11.46
2004-04-14,11.32,11.32,11.32,11.32
2004-04-15,11.168,11.168,11.168,11.168
2004-04-16,11.48,11.48,11.48,11.48
2004-04-19,11.58,11.58,11.58,11.58
2004-04-20,10.8854,10.8854,10.8854,10.8854
2004-04-21,10.67,10.67,10.67,10.67
2004-04-22,11.82,11.82,11.82,11.82
2004-04-23,11.35,11.35,11.35,11.35
2004-04-26,11.55,11.55,11.55,11.55
2004-04-27,11.55,11.55,11.55,11.55
2004-04-28,11.06,11.06,11.06,11.06
