timestamp,open,high,low,close
2004-01-02,55.86,55.86,55.86,55.86
2004-01-05,57.94,57.94,57.94,57.94
2004-01-06,57.82,57.82,57.82,57.82
2004-01-07,58.2,58.2,58.2,58.2
2004-01-08,57.8,57.8,57.8,57.8
2004-01-09,56.8,56.8,56.8,56.8
2004-01-12,56.8,56.8,56.8,56.8
2004-01-13,56.5,56.5,56.5,56.5
2004-01-14,57.6,57.6,57.6,57.6
2004-01-15,58.0,58.0,58.0,58.0
2004-01-16,58.29,58.29,58.29,58.29
2004-01-20,57.71,57.71,57.71,57.71
2004-01-21,58.22,58.22,58.22,58.22
2004-01-22,57.5,57.5,57.5,57.5
2004-01-23,56.92,56.92,56.92,56.92
2004-01-26,57.04,57.04,57.04,57.04
2004-01-27,61.19,61.19,61.19,61.19
2004-01-28,59.15,59.15,59.15,59.15
2004-01-29,59.9973,59.9973,59.9973,59.9973
2004-01-30,62.17,62.17,62.17,62.17
2004-02-02,61.1,61.1,61.1,61.1
2004-02-03,62.29,62.29,62.29,62.29
2004-02-04,62.56,62.56,62.56,62.56
2004-02-05,63.11,63.11,63.11,63.11
2004-02-06,62.17,62.17,62.17,62.17
2004-02-09,61.82,61.82,61.82,61.82
2004-02-10,61.87,61.87,61.87,61.87
2004-02-11,61.25,61.25,61.25,61.25
2004-02-12,60.8,60.8,60.8,60.8
2004-02-13,60.62,60.62,60.62,60.62
2004-02-17,60.8,60.8,60.8,60.8
2004-02-18,61.05,61.05,61.05,61.05
2004-02-19,61.48,61.48,61.48,61.48
2004-02-20,61.64,61.64,61.64,61.64
2004-02-23,61.97,61.97,61.97,61.97
2004-02-24,62.17,62.17,62.17,62.17
2004-02-25,62.16,62.16,62.16,62.16
2004-02-26,63.1,63.1,63.1,63.1
2004-02-27,63.37,63.37,63.37,63.37
2004-03-01,63.84,63.84,63.84,63.84
2004-03-02,64.5,64.5,64.5,64.5
2004-03-03,63.56,63.56,63.56,63.56
2004-03-04,63.51,63.51,63.51,63.51
2004-03-05,63.5,63.5,63.5,63.5
2004-03-08,62.72,62.72,62.72,62.72
2004-03-09,61.5,61.5,61.5,61.5
2004-03-10,61.0163,61.0163,61.0163,61.0163
2004-03-11,60.75,60.75,60.75,60.75
2004-03-12,61.31,61.31,61.31,61.31
2004-03-15,60.74,60.74,60.74,60.74
2004-03-16,60.69,60.69,60.69,60.69
2004-03-17,60.9,60.9,60.9,60.9
2004-03-18,62.21,62.21,62.21,62.21
2004-03-19,62.01,62.01,62.01,62.01
2004-03-22,61.3,61.3,61.3,61.3
2004-03-23,61.38,61.38,61.38,61.38
2004-03-24,61.12,61.12,61.12,61.12
2004-03-25,61.75,61.75,61.75,61.75
2004-03-26,61.38,61.38,61.38,61.38
2004-03-29,61.85,61.85,61.85,61.85
2004-03-30,62.08,62.08,62.08,62.08
2004-03-31,62.21,62.21,62.21,62.21
2004-04-01,63.04,63.04,63.04,63.04
2004-04-02,63.22,63.22,63.22,63.22
2004-04-05,63.53,63.53,63.53,63.53
2004-04-06,62.99,62.99,62.99,62.99
2004-04-07,62.19,62.19,62.19,62.19
2004-04-08,61.595,61.595,61.595,61.595
2004-04-12,62.16,62.16,62.16,62.16
2004-04-13,61.88,61.88,61.88,61.88
2004-04-14,62.71,62.71,62.71,62.71
2004-04-15,62.75,62.75,62.75,62.75
2004-04-16,63.4,63.4,63.4,63.4
2004-04-19,63.35,63.35,63.35,63.35
2004-04-20,61.99100000000001,61.99100000000001,61.99100000000001,61.99100000000001
2004-04-21,62.5,62.5,62.5,62.5
2004-04-22,64.39,64.39,64.39,64.39
2004-04-23,64.94,64.94,64.94,64.94
2004-04-26,64.86,64.86,64.86,64.86
2004-04-27,64.77,64.77,64.77,64.77
2004-04-28,64.18,64.18,64.18,64.18
2004-04-29,63.42,63.42,63.42,63.42
2004-04-30,64.23,64.23,64.23,64.23
2004-05-03,63.42,63.42,63.42,63.42
2004-05-04,63.14,63.14,63.14,63.14
2004-05-05,62.9,62.9,62.9,62.9
2004-05-06,62.578,62.578,62.578,62.578
2004-05-07,61.31,61.31,61.31,61.31
2004-05-10,59.94,59.94,59.94,59.94
2004-05-11,60.36,60.36,60.36,60.36
2004-05-12,60.34,60.34,60.34,60.34
2004-05-13,60.19,60.19,60.19,60.19
2004-05-14,60.01,60.01,60.01,60.01
2004-05-17,59.76,59.76,59.76,59.76
2004-05-18,60.27,60.27,60.27,60.27
2004-05-19,60.01,60.01,60.01,60.01
2004-05-20,59.04,59.04,59.04,59.04
2004-05-21,59.87,59.87,59.87,59.87
2004-05-24,59.87,59.87,59.87,59.87
2004-05-25,60.74,60.74,60.74,60.74
2004-05-26,60.21,60.21,60.21,60.21
2004-05-27,59.6,59.6,59.6,59.6
2004-05-28,59.04,59.04,59.04,59.04
2004-06-01,58.63,58.63,58.63,58.63
2004-06-02,58.95,58.95,58.95,58.95
2004-06-03,59.29,59.29,59.29,59.29
2004-06-04,59.62,59.62,59.62,59.62
2004-06-07,60.04,60.04,60.04,60.04
2004-06-08,60.67,60.67,60.67,60.67
2004-06-09,60.23,60.23,60.23,60.23
2004-06-10,60.01,60.01,60.01,60.01
2004-06-14,60.1,60.1,60.1,60.1
2004-06-15,60.21,60.21,60.21,60.21
2004-06-16,60.4,60.4,60.4,60.4
2004-06-17,60.83,60.83,60.83,60.83
2004-06-18,61.11,61.11,61.11,61.11
2004-06-21,61.9,61.9,61.9,61.9
2004-06-22,62.6,62.6,62.6,62.6
2004-06-23,63.26,63.26,63.26,63.26
2004-06-24,62.81,62.81,62.81,62.81
2004-06-25,63.52,63.52,63.52,63.52
2004-06-28,64.4,64.4,64.4,64.4
2004-06-29,64.29,64.29,64.29,64.29
