timestamp,open,high,low,close
2004-01-02,41.85,41.85,41.85,41.85
2004-01-03,41.85,41.85,41.85,41.85
2004-01-05,42.07,42.07,42.07,42.07
2004-01-06,41.9293,41.9293,41.9293,41.9293
2004-01-07,42.28,42.28,42.28,42.28
2004-01-08,42.86,42.86,42.86,42.86
2004-01-09,42.64,42.64,42.64,42.64
2004-01-12,42.4,42.4,42.4,42.4
2004-01-13,42.24,42.24,42.24,42.24
2004-01-14,43.0201,43.0201,43.0201,43.0201
2004-01-15,43.04,43.04,43.04,43.04
2004-01-16,44.01,44.01,44.01,44.01
2004-01-17,43.85,43.85,43.85,43.85
2004-01-20,43.1,43.1,43.1,43.1
2004-01-21,43.6,43.6,43.6,43.6
2004-01-22,42.9,42.9,42.9,42.9
2004-01-23,41.85,41.85,41.85,41.85
2004-01-26,42.44,42.44,42.44,42.44
2004-01-27,41.94,41.94,41.94,41.94
2004-01-28,41.54,41.54,41.54,41.54
2004-01-29,42.2973,42.2973,42.2973,42.2973
2004-01-30,41.7656,41.7656,41.7656,41.7656
2004-02-02,42.54,42.54,42.54,42.54
2004-02-03,43.05,43.05,43.05,43.05
2004-02-04,43.56,43.56,43.56,43.56
2004-02-05,44.36,44.36,44.36,44.36
2004-02-06,44.36,44.36,44.36,44.36
2004-02-09,43.96,43.96,43.96,43.96
2004-02-10,43.77,43.77,43.77,43.77
2004-02-11,44.48,44.48,44.48,44.48
2004-02-12,44.37,44.37,44.37,44.37
2004-02-13,44.58,44.58,44.58,44.58
2004-02-17,44.62,44.62,44.62,44.62
2004-02-18,44.5,44.5,44.5,44.5
2004-02-19,44.52,44.52,44.52,44.52
2004-02-20,44.34,44.34,44.34,44.34
2004-02-23,43.62,43.62,43.62,43.62
2004-02-24,43.25,43.25,43.25,43.25
2004-02-25,43.82,43.82,43.82,43.82
2004-02-26,42.85,42.85,42.85,42.85
2004-02-27,43.37,43.37,43.37,43.37
2004-03-01,43.77,43.77,43.77,43.77
2004-03-02,43.33,43.33,43.33,43.33
2004-03-03,43.1,43.1,43.1,43.1
2004-03-04,42.63,42.63,42.63,42.63
2004-03-05,42.72,42.72,42.72,42.72
2004-03-08,42.42,42.42,42.42,42.42
2004-03-09,41.68,41.68,41.68,41.68
2004-03-10,41.1048,41.1048,41.1048,41.1048
2004-03-11,40.15,40.15,40.15,40.15
2004-03-12,40.3,40.3,40.3,40.3
2004-03-13,40.25,40.25,40.25,40.25
2004-03-15,39.78,39.78,39.78,39.78
2004-03-16,39.41,39.41,39.41,39.41
2004-03-17,39.8,39.8,39.8,39.8
2004-03-18,39.72,39.72,39.72,39.72
2004-03-19,39.43,39.43,39.43,39.43
2004-03-22,38.68,38.68,38.68,38.68
2004-03-23,39.11,39.11,39.11,39.11
2004-03-24,39.03,39.03,39.03,39.03
2004-03-25,39.72,39.72,39.72,39.72
2004-03-26,39.35,39.35,39.35,39.35
2004-03-29,39.93,39.93,39.93,39.93
2004-03-30,40.33,40.33,40.33,40.33
