timestamp,open,high,low,close
2004-01-02,36.9308,36.9308,36.9308,36.9308
2004-01-05,37.21,37.21,37.21,37.21
2004-01-06,38.68,38.68,38.68,38.68
2004-01-07,40.8,40.8,40.8,40.8
2004-01-08,41.31,41.31,41.31,41.31
2004-01-09,42.38,42.38,42.38,42.38
2004-01-12,41.4,41.4,41.4,41.4
2004-01-13,40.8,40.8,40.8,40.8
2004-01-14,40.42,40.42,40.42,40.42
2004-01-15,41.95,41.95,41.95,41.95
2004-01-16,43.19,43.19,43.19,43.19
2004-01-20,43.52,43.52,43.52,43.52
2004-01-21,44.95,44.95,44.95,44.95
2004-01-22,44.7,44.7,44.7,44.7
2004-01-23,44.39,44.39,44.39,44.39
2004-01-26,44.93,44.93,44.93,44.93
2004-01-27,44.47,44.47,44.47,44.47
2004-01-28,42.75,42.75,42.75,42.75
2004-01-29,43.62,43.62,43.62,43.62
2004-01-30,42.79,42.79,42.79,42.79
2004-02-02,44.28,44.28,44.28,44.28
2004-02-03,44.7483,44.7483,44.7483,44.7483
2004-02-04,43.2582,43.2582,43.2582,43.2582
2004-02-05,42.25,42.25,42.25,42.25
2004-02-06,43.74,43.74,43.74,43.74
2004-02-09,44.04,44.04,44.04,44.04
2004-02-10,43.42,43.42,43.42,43.42
2004-02-11,44.35,44.35,44.35,44.35
2004-02-12,44.41,44.41,44.41,44.41
2004-02-13,43.4228,43.4228,43.4228,43.4228
2004-02-17,44.26,44.26,44.26,44.26
2004-02-18,53.3,53.3,53.3,53.3
2004-02-19,58.98,58.98,58.98,58.98
2004-02-20,56.85,56.85,56.85,56.85
2004-02-23,55.65,55.65,55.65,55.65
2004-02-24,54.5163,54.5163,54.5163,54.5163
2004-02-25,54.88,54.88,54.88,54.88
2004-02-26,55.68,55.68,55.68,55.68
2004-02-27,55.45,55.45,55.45,55.45
2004-03-01,56.32,56.32,56.32,56.32
2004-03-02,58.1,58.1,58.1,58.1
2004-03-03,58.25,58.25,58.25,58.25
2004-03-04,59.02,59.02,59.02,59.02
2004-03-05,59.21,59.21,59.21,59.21
2004-03-08,57.4246,57.4246,57.4246,57.4246
2004-03-09,56.2,56.2,56.2,56.2
2004-03-10,55.94600000000001,55.94600000000001,55.94600000000001,55.94600000000001
2004-03-11,54.9,54.9,54.9,54.9
2004-03-12,54.68,54.68,54.68,54.68
2004-03-15,52.9463,52.9463,52.9463,52.9463
2004-03-16,51.71,51.71,51.71,51.71
2004-03-17,54.0601,54.0601,54.0601,54.0601
2004-03-18,53.76,53.76,53.76,53.76
2004-03-19,52.88,52.88,52.88,52.88
2004-03-22,52.32,52.32,52.32,52.32
2004-03-23,52.73,52.73,52.73,52.73
2004-03-24,54.65,54.65,54.65,54.65
