timestamp,open,high,low,close
2004-01-02,7.31,7.31,7.31,7.31
2004-01-05,7.3833,7.3833,7.3833,7.3833
2004-01-06,7.2938,7.2938,7.2938,7.2938
2004-01-07,7.245,7.245,7.245,7.245
2004-01-08,7.3338,7.3338,7.3338,7.3338
2004-01-09,7.2063,7.2063,7.2063,7.2063
2004-01-12,7.165,7.165,7.165,7.165
2004-01-13,7.1475,7.1475,7.1475,7.1475
2004-01-14,7.1594,7.1594,7.1594,7.1594
2004-01-15,7.1888,7.1888,7.1888,7.1888
2004-01-16,7.2968,7.2968,7.2968,7.2968
2004-01-20,7.3204,7.3204,7.3204,7.3204
2004-01-21,7.3375,7.3375,7.3375,7.3375
2004-01-22,7.3513,7.3513,7.3513,7.3513
2004-01-23,7.3521,7.3521,7.3521,7.3521
2004-01-26,7.38,7.38,7.38,7.38
2004-01-27,7.55,7.55,7.55,7.55
2004-01-28,7.4763,7.4763,7.4763,7.4763
2004-01-29,7.615,7.615,7.615,7.615
2004-01-30,7.8225,7.8225,7.8225,7.8225
2004-02-02,8.015,8.015,8.015,8.015
2004-02-03,7.93,7.93,7.93,7.93
2004-02-04,7.9675,7.9675,7.9675,7.9675
2004-02-05,8.0025,8.0025,8.0025,8.0025
2004-02-06,8.0712,8.0712,8.0712,8.0712
2004-02-09,8.0688,8.0688,8.0688,8.0688
2004-02-10,8.0725,8.0725,8.0725,8.0725
2004-02-11,8.095,8.095,8.095,8.095
2004-02-12,8.1113,8.1113,8.1113,8.1113
2004-02-13,8.0125,8.0125,8.0125,8.0125
2004-02-17,8.01,8.01,8.01,8.01
2004-02-18,8.0238,8.0238,8.0238,8.0238
2004-02-19,8.0875,8.0875,8.0875,8.0875
2004-02-20,8.0087,8.0087,8.0087,8.0087
2004-02-23,7.985,7.985,7.985,7.985
2004-02-24,8.0438,8.0438,8.0438,8.0438
2004-02-25,8.0125,8.0125,8.0125,8.0125
2004-02-26,8.0217,8.0217,8.0217,8.0217
2004-02-27,8.0625,8.0625,8.0625,8.0625
2004-03-01,8.1563,8.1563,8.1563,8.1563
2004-03-02,8.1004,8.1004,8.1004,8.1004
2004-03-03,8.125,8.125,8.125,8.125
2004-03-04,8.135,8.135,8.135,8.135
2004-03-05,8.2688,8.2688,8.2688,8.2688
2004-03-08,8.3471,8.3471,8.3471,8.3471
2004-03-09,8.2825,8.2825,8.2825,8.2825
2004-03-10,8.2593,8.2593,8.2593,8.2593
2004-03-11,8.1488,8.1488,8.1488,8.1488
2004-03-12,8.2338,8.2338,8.2338,8.2338
2004-03-15,8.1125,8.1125,8.1125,8.1125
2004-03-16,8.1388,8.1388,8.1388,8.1388
2004-03-17,8.1525,8.1525,8.1525,8.1525
2004-03-18,8.0688,8.0688,8.0688,8.0688
2004-03-19,8.1654,8.1654,8.1654,8.1654
2004-03-22,7.9088,7.9088,7.9088,7.9088
2004-03-23,8.0769,8.0769,8.0769,8.0769
2004-03-24,8.1413,8.1413,8.1413,8.1413
2004-03-25,8.3125,8.3125,8.3125,8.3125
2004-03-26,8.3863,8.3863,8.3863,8.3863
2004-03-29,8.4625,8.4625,8.4625,8.4625
2004-03-30,8.5563,8.5563,8.5563,8.5563
2004-03-31,8.4725,8.4725,8.4725,8.4725
2004-04-01,8.565,8.565,8.565,8.565
2004-04-02,8.6657,8.6657,8.6657,8.6657
2004-04-05,8.7,8.7,8.7,8.7
2004-04-06,8.8125,8.8125,8.8125,8.8125
2004-04-07,8.7313,8.7313,8.7313,8.7313
2004-04-08,8.7369,8.7369,8.7369,8.7369
2004-04-12,8.84,8.84,8.84,8.84
2004-04-13,8.76,8.76,8.76,8.76
2004-04-14,8.6938,8.6938,8.6938,8.6938
2004-04-15,8.7238,8.7238,8.7238,8.7238
2004-04-16,8.7125,8.7125,8.7125,8.7125
2004-04-19,8.82,8.82,8.82,8.82
2004-04-20,8.7063,8.7063,8.7063,8.7063
2004-04-21,8.619,8.619,8.619,8.619
2004-04-22,8.8684,8.8684,8.8684,8.8684
2004-04-23,8.7638,8.7638,8.7638,8.7638
2004-04-26,8.7238,8.7238,8.7238,8.7238
2004-04-27,8.7125,8.7125,8.7125,8.7125
2004-04-28,8.5338,8.5338,8.5338,8.5338
2004-04-29,8.2163,8.2163,8.2163,8.2163
2004-04-30,8.2463,8.2463,8.2463,8.2463
2004-05-03,8.349,8.349,8.349,8.349
2004-05-04,8.305,8.305,8.305,8.305
2004-05-05,8.2191,8.2191,8.2191,8.2191
2004-05-06,8.0529,8.0529,8.0529,8.0529
2004-05-07,7.6575,7.6575,7.6575,7.6575
2004-05-10,7.8325,7.8325,7.8325,7.8325
2004-05-11,7.8988,7.8988,7.8988,7.8988
2004-05-12,8.0906,8.0906,8.0906,8.0906
2004-05-13,8.1925,8.1925,8.1925,8.1925
2004-05-14,8.17,8.17,8.17,8.17
2004-05-17,7.9712,7.9712,7.9712,7.9712
2004-05-18,8.13,8.13,8.13,8.13
2004-05-19,8.07,8.07,8.07,8.07
2004-05-20,8.1313,8.1313,8.1313,8.1313
2004-05-21,8.1288,8.1288,8.1288,8.1288
2004-05-24,8.1288,8.1288,8.1288,8.1288
2004-05-25,8.2438,8.2438,8.2438,8.2438
2004-05-26,8.2913,8.2913,8.2913,8.2913
2004-05-27,8.39,8.39,8.39,8.39
2004-05-28,8.5388,8.5388,8.5388,8.5388
2004-06-01,8.4406,8.4406,8.4406,8.4406
2004-06-02,8.5063,8.5063,8.5063,8.5063
2004-06-03,8.4575,8.4575,8.4575,8.4575
2004-06-04,8.5588,8.5588,8.5588,8.5588
2004-06-07,8.7757,8.7757,8.7757,8.7757
2004-06-08,8.7488,8.7488,8.7488,8.7488
2004-06-09,8.6863,8.6863,8.6863,8.6863
2004-06-10,8.7238,8.7238,8.7238,8.7238
2004-06-14,8.6588,8.6588,8.6588,8.6588
2004-06-15,8.6663,8.6663,8.6663,8.6663
2004-06-16,8.6525,8.6525,8.6525,8.6525
2004-06-17,8.6788,8.6788,8.6788,8.6788
2004-06-18,8.83,8.83,8.83,8.83
2004-06-21,8.7875,8.7875,8.7875,8.7875
2004-06-22,8.8575,8.8575,8.8575,8.8575
2004-06-23,8.935,8.935,8.935,8.935
2004-06-24,8.8863,8.8863,8.8863,8.8863
2004-06-25,8.9617,8.9617,8.9617,8.9617
2004-06-28,8.8675,8.8675,8.8675,8.8675
2004-06-29,8.9438,8.9438,8.9438,8.9438
2004-06-30,9.0063,9.0063,9.0063,9.0063
2004-07-01,8.9138,8.9138,8.9138,8.9138
2004-07-02,8.8389,8.8389,8.8389,8.8389
2004-07-06,9.0138,9.0138,9.0138,9.0138
