timestamp,open,high,low,close
2004-01-02,26.0,26.0,26.0,26.0
2004-01-05,26.45,26.45,26.45,26.45
2004-01-06,26.3093,26.3093,26.3093,26.3093
2004-01-07,26.34,26.34,26.34,26.34
2004-01-08,26.38,26.38,26.38,26.38
2004-01-09,26.32,26.32,26.32,26.32
2004-01-12,26.32,26.32,26.32,26.32
2004-01-13,26.219,26.219,26.219,26.219
2004-01-14,26.14,26.14,26.14,26.14
2004-01-15,26.17,26.17,26.17,26.17
2004-01-16,26.18,26.18,26.18,26.18
2004-01-20,26.1,26.1,26.1,26.1
2004-01-21,26.25,26.25,26.25,26.25
2004-01-22,26.25,26.25,26.25,26.25
2004-01-23,26.35,26.35,26.35,26.35
2004-01-26,26.25,26.25,26.25,26.25
2004-01-27,26.88,26.88,26.88,26.88
2004-01-28,25.8,25.8,25.8,25.8
2004-01-29,25.7773,25.7773,25.7773,25.7773
2004-01-30,25.8905,25.8905,25.8905,25.8905
2004-02-02,25.93,25.93,25.93,25.93
2004-02-03,25.91,25.91,25.91,25.91
2004-02-04,25.87,25.87,25.87,25.87
2004-02-05,25.89,25.89,25.89,25.89
2004-02-06,26.01,26.01,26.01,26.01
2004-02-09,25.96,25.96,25.96,25.96
2004-02-10,26.11,26.11,26.11,26.11
2004-02-11,26.23,26.23,26.23,26.23
2004-02-12,26.17,26.17,26.17,26.17
2004-02-13,26.16,26.16,26.16,26.16
2004-02-17,26.54,26.54,26.54,26.54
2004-02-18,26.0,26.0,26.0,26.0
2004-02-19,26.54,26.54,26.54,26.54
2004-02-20,26.48,26.48,26.48,26.48
2004-02-23,26.68,26.68,26.68,26.68
2004-02-24,26.67,26.67,26.67,26.67
2004-02-25,26.78,26.78,26.78,26.78
2004-02-26,26.83,26.83,26.83,26.83
2004-02-27,27.19,27.19,27.19,27.19
2004-03-01,27.3,27.3,27.3,27.3
2004-03-02,27.44,27.44,27.44,27.44
2004-03-03,27.57,27.57,27.57,27.57
2004-03-04,27.54,27.54,27.54,27.54
2004-03-05,27.57,27.57,27.57,27.57
2004-03-08,27.39,27.39,27.39,27.39
2004-03-09,27.76,27.76,27.76,27.76
2004-03-10,27.7049,27.7049,27.7049,27.7049
2004-03-11,27.06,27.06,27.06,27.06
2004-03-12,27.44,27.44,27.44,27.44
2004-03-13,27.5,27.5,27.5,27.5
2004-03-15,26.82,26.82,26.82,26.82
2004-03-16,26.44,26.44,26.44,26.44
2004-03-17,26.5924,26.5924,26.5924,26.5924
2004-03-18,26.49,26.49,26.49,26.49
2004-03-19,26.2425,26.2425,26.2425,26.2425
2004-03-22,25.8741,25.8741,25.8741,25.8741
2004-03-23,26.05,26.05,26.05,26.05
2004-03-24,25.75,25.75,25.75,25.75
2004-03-25,26.6409,26.6409,26.6409,26.6409
2004-03-26,26.62,26.62,26.62,26.62
2004-03-29,26.92,26.92,26.92,26.92
2004-03-30,26.84,26.84,26.84,26.84
2004-03-31,26.94,26.94,26.94,26.94
2004-04-01,27.1291,27.1291,27.1291,27.1291
2004-04-02,27.47,27.47,27.47,27.47
2004-04-05,27.6,27.6,27.6,27.6
2004-04-06,27.5,27.5,27.5,27.5
2004-04-07,27.89,27.89,27.89,27.89
2004-04-08,28.16,28.16,28.16,28.16
2004-04-12,28.17,28.17,28.17,28.17
2004-04-13,28.23,28.23,28.23,28.23
2004-04-14,28.48,28.48,28.48,28.48
2004-04-15,28.66,28.66,28.66,28.66
2004-04-16,28.82,28.82,28.82,28.82
2004-04-19,28.99,28.99,28.99,28.99
2004-04-20,28.9445,28.9445,28.9445,28.9445
2004-04-21,29.08,29.08,29.08,29.08
2004-04-22,29.315,29.315,29.315,29.315
2004-04-23,29.3,29.3,29.3,29.3
2004-04-26,29.3134,29.3134,29.3134,29.3134
2004-04-27,29.31,29.31,29.31,29.31
2004-04-28,28.98,28.98,28.98,28.98
2004-04-29,29.01,29.01,29.01,29.01
2004-04-30,28.89,28.89,28.89,28.89
2004-05-03,29.26,29.26,29.26,29.26
2004-05-04,29.21,29.21,29.21,29.21
2004-05-05,29.24,29.24,29.24,29.24
2004-05-06,29.34,29.34,29.34,29.34
2004-05-07,29.23,29.23,29.23,29.23
2004-05-10,28.82,28.82,28.82,28.82
2004-05-11,28.7615,28.7615,28.7615,28.7615
2004-05-12,28.56,28.56,28.56,28.56
2004-05-13,28.36,28.36,28.36,28.36
2004-05-14,28.54,28.54,28.54,28.54
2004-05-17,28.07,28.07,28.07,28.07
2004-05-18,28.16,28.16,28.16,28.16
2004-05-19,27.9309,27.9309,27.9309,27.9309
2004-05-20,27.78,27.78,27.78,27.78
2004-05-21,27.66,27.66,27.66,27.66
2004-05-24,27.66,27.66,27.66,27.66
2004-05-25,28.26,28.26,28.26,28.26
2004-05-26,28.37,28.37,28.37,28.37
2004-05-27,28.23,28.23,28.23,28.23
2004-05-28,28.12,28.12,28.12,28.12
2004-06-01,27.94,27.94,27.94,27.94
2004-06-02,27.84,27.84,27.84,27.84
2004-06-03,27.6887,27.6887,27.6887,27.6887
2004-06-04,27.88,27.88,27.88,27.88
2004-06-07,27.95,27.95,27.95,27.95
2004-06-08,28.1,28.1,28.1,28.1
2004-06-09,27.96,27.96,27.96,27.96
2004-06-10,27.86,27.86,27.86,27.86
2004-06-14,27.6,27.6,27.6,27.6
2004-06-15,27.49,27.49,27.49,27.49
2004-06-16,27.63,27.63,27.63,27.63
2004-06-17,27.52,27.52,27.52,27.52
2004-06-18,27.55,27.55,27.55,27.55
2004-06-21,27.56,27.56,27.56,27.56
2004-06-22,27.7,27.7,27.7,27.7
2004-06-23,27.69,27.69,27.69,27.69
2004-06-24,27.4301,27.4301,27.4301,27.4301
2004-06-25,27.1233,27.1233,27.1233,27.1233
2004-06-28,27.31,27.31,27.31,27.31
2004-06-29,27.05,27.05,27.05,27.05
2004-06-30,27.2,27.2,27.2,27.2
2004-07-01,26.69,26.69,26.69,26.69
2004-07-02,26.87,26.87,26.87,26.87
2004-07-06,26.85,26.85,26.85,26.85
2004-07-07,26.99,26.99,26.99,26.99
2004-07-08,27.24,27.24,27.24,27.24
2004-07-09,27.53,27.53,27.53,27.53
2004-07-12,27.64,27.64,27.64,27.64
2004-07-13,27.35,27.35,27.35,27.35
2004-07-14,27.2166,27.2166,27.2166,27.2166
2004-07-15,27.1967,27.1967,27.1967,27.1967
2004-07-16,27.09,27.09,27.09,27.09
2004-07-19,27.19,27.19,27.19,27.19
2004-07-20,27.29,27.29,27.29,27.29
2004-07-21,26.9,26.9,26.9,26.9
2004-07-22,26.84,26.84,26.84,26.84
2004-07-23,26.74,26.74,26.74,26.74
2004-07-26,26.65,26.65,26.65,26.65
2004-07-27,26.44,26.44,26.44,26.44
2004-07-28,26.571,26.571,26.571,26.571
2004-07-29,26.15,26.15,26.15,26.15
2004-07-30,25.9975,25.9975,25.9975,25.9975
2004-08-02,26.33,26.33,26.33,26.33
2004-08-03,26.25,26.25,26.25,26.25
2004-08-04,26.37,26.37,26.37,26.37
2004-08-05,26.2,26.2,26.2,26.2
2004-08-06,25.7267,25.7267,25.7267,25.7267
2004-08-09,25.77,25.77,25.77,25.77
2004-08-10,25.8632,25.8632,25.8632,25.8632
2004-08-11,26.05,26.05,26.05,26.05
2004-08-12,26.16,26.16,26.16,26.16
2004-08-13,26.02,26.02,26.02,26.02
2004-08-16,26.06,26.06,26.06,26.06
2004-08-17,26.0487,26.0487,26.0487,26.0487
2004-08-18,26.1225,26.1225,26.1225,26.1225
2004-08-19,26.0,26.0,26.0,26.0
2004-08-20,26.18,26.18,26.18,26.18
2004-08-23,25.99,25.99,25.99,25.99
2004-08-24,26.09,26.09,26.09,26.09
2004-08-25,25.93,25.93,25.93,25.93
2004-08-26,26.22,26.22,26.22,26.22
2004-08-27,26.28,26.28,26.28,26.28
2004-08-30,26.14,26.14,26.14,26.14
2004-08-31,26.2,26.2,26.2,26.2
2004-09-01,26.2,26.2,26.2,26.2
2004-09-02,26.0,26.0,26.0,26.0
2004-09-03,27.14,27.14,27.14,27.14
2004-09-07,27.52,27.52,27.52,27.52
2004-09-08,27.0606,27.0606,27.0606,27.0606
2004-09-09,26.94,26.94,26.94,26.94
2004-09-10,26.94,26.94,26.94,26.94
2004-09-13,27.18,27.18,27.18,27.18
2004-09-14,27.0094,27.0094,27.0094,27.0094
2004-09-15,26.69,26.69,26.69,26.69
2004-09-16,26.9825,26.9825,26.9825,26.9825
2004-09-17,26.94,26.94,26.94,26.94
2004-09-20,26.33,26.33,26.33,26.33
2004-09-21,25.81,25.81,25.81,25.81
2004-09-22,25.96,25.96,25.96,25.96
2004-09-23,25.77,25.77,25.77,25.77
2004-09-24,25.84,25.84,25.84,25.84
2004-09-27,25.63,25.63,25.63,25.63
2004-09-28,25.91,25.91,25.91,25.91
2004-09-29,25.95,25.95,25.95,25.95
2004-09-30,25.71,25.71,25.71,25.71
2004-10-01,25.86,25.86,25.86,25.86
2004-10-04,26.21,26.21,26.21,26.21
2004-10-05,26.21,26.21,26.21,26.21
2004-10-06,26.215,26.215,26.215,26.215
2004-10-07,25.93,25.93,25.93,25.93
2004-10-08,25.9603,25.9603,25.9603,25.9603
2004-10-11,25.96,25.96,25.96,25.96
2004-10-12,26.01,26.01,26.01,26.01
2004-10-13,25.6818,25.6818,25.6818,25.6818
2004-10-14,25.85,25.85,25.85,25.85
2004-10-15,26.096,26.096,26.096,26.096
2004-10-18,26.02,26.02,26.02,26.02
2004-10-19,25.95,25.95,25.95,25.95
2004-10-20,25.79,25.79,25.79,25.79
2004-10-21,25.77,25.77,25.77,25.77
2004-10-22,25.6,25.6,25.6,25.6
2004-10-25,25.59,25.59,25.59,25.59
2004-10-26,25.99,25.99,25.99,25.99
2004-10-27,26.4,26.4,26.4,26.4
2004-10-28,26.18,26.18,26.18,26.18
2004-10-29,26.4,26.4,26.4,26.4
2004-11-01,26.5,26.5,26.5,26.5
2004-11-02,26.53,26.53,26.53,26.53
2004-11-03,26.8138,26.8138,26.8138,26.8138
2004-11-04,27.27,27.27,27.27,27.27
2004-11-05,27.29,27.29,27.29,27.29
