timestamp,open,high,low,close
2018-11-07,47.26,47.26,47.26,47.26
2018-11-08,47.5,47.5,47.5,47.5
2018-11-09,47.95,47.95,47.95,47.95
2018-11-12,47.93,47.93,47.93,47.93
2018-11-13,48.01,48.01,48.01,48.01
2018-11-14,48.33,48.33,48.33,48.33
2018-11-15,48.4,48.4,48.4,48.4
2018-11-16,49.17,49.17,49.17,49.17
2018-11-19,48.85,48.85,48.85,48.85
2018-11-20,48.0,48.0,48.0,48.0
2018-11-21,48.5,48.5,48.5,48.5
2018-11-23,48.88,48.88,48.88,48.88
2018-11-26,48.66,48.66,48.66,48.66
2018-11-27,48.44,48.44,48.44,48.44
2018-11-28,49.09,49.09,49.09,49.09
2018-11-29,48.73,48.73,48.73,48.73
2018-11-30,48.54,48.54,48.54,48.54
2018-12-03,47.62,47.62,47.62,47.62
2018-12-04,47.8,47.8,47.8,47.8
2018-12-06,47.92,47.92,47.92,47.92
2018-12-07,47.04,47.04,47.04,47.04
2018-12-10,47.33,47.33,47.33,47.33
2018-12-11,47.2,47.2,47.2,47.2
2018-12-12,46.84,46.84,46.84,46.84
2018-12-13,47.63,47.63,47.63,47.63
2018-12-14,47.28,47.28,47.28,47.28
2018-12-17,46.83,46.83,46.83,46.83
2018-12-18,46.84,46.84,46.84,46.84
2018-12-19,46.14,46.14,46.14,46.14
2018-12-20,46.16,46.16,46.16,46.16
2018-12-21,46.09,46.09,46.09,46.09
2018-12-24,45.54,45.54,45.54,45.54
2018-12-26,46.3,46.3,46.3,46.3
2018-12-27,46.14,46.14,46.14,46.14
2018-12-28,45.53,45.53,45.53,45.53
2018-12-31,45.85,45.85,45.85,45.85
2019-01-02,44.94,44.94,44.94,44.94
2019-01-03,44.48,44.48,44.48,44.48
2019-01-04,45.07,45.07,45.07,45.07
2019-01-07,46.03,46.03,46.03,46.03
2019-01-08,46.72,46.72,46.72,46.72
2019-01-09,46.57,46.57,46.57,46.57
2019-01-10,46.8,46.8,46.8,46.8
2019-01-11,47.34,47.34,47.34,47.34
2019-01-14,46.43,46.43,46.43,46.43
2019-01-15,46.2,46.2,46.2,46.2
2019-01-16,45.9,45.9,45.9,45.9
2019-01-17,46.1,46.1,46.1,46.1
2019-01-18,46.2,46.2,46.2,46.2
2019-01-22,45.87,45.87,45.87,45.87
2019-01-23,46.7,46.7,46.7,46.7
2019-01-24,46.26,46.26,46.26,46.26
2019-01-25,45.08,45.08,45.08,45.08
2019-01-28,44.66,44.66,44.66,44.66
2019-01-29,45.71,45.71,45.71,45.71
2019-01-30,46.16,46.16,46.16,46.16
2019-01-31,47.58,47.58,47.58,47.58
2019-02-01,47.55,47.55,47.55,47.55
2019-02-04,48.06,48.06,48.06,48.06
2019-02-05,48.21,48.21,48.21,48.21
2019-02-06,48.31,48.31,48.31,48.31
2019-02-07,48.0,48.0,48.0,48.0
2019-02-08,48.19,48.19,48.19,48.19
2019-02-11,48.13,48.13,48.13,48.13
2019-02-12,47.47,47.47,47.47,47.47
2019-02-13,47.45,47.45,47.45,47.45
2019-02-14,46.79,46.79,46.79,46.79
2019-02-15,46.68,46.68,46.68,46.68
2019-02-19,46.43,46.43,46.43,46.43
2019-02-20,46.46,46.46,46.46,46.46
2019-02-21,46.64,46.64,46.64,46.64
2019-02-22,47.09,47.09,47.09,47.09
2019-02-25,46.7,46.7,46.7,46.7
2019-02-26,46.57,46.57,46.57,46.57
2019-02-27,46.87,46.87,46.87,46.87
2019-02-28,47.1329,47.1329,47.1329,47.1329
2019-03-01,47.12,47.12,47.12,47.12
2019-03-04,47.38,47.38,47.38,47.38
2019-03-05,47.6,47.6,47.6,47.6
2019-03-06,47.88,47.88,47.88,47.88
2019-03-07,47.76,47.76,47.76,47.76
2019-03-08,47.83,47.83,47.83,47.83
2019-03-11,49.0,49.0,49.0,49.0
2019-03-12,48.88,48.88,48.88,48.88
2019-03-13,48.81,48.81,48.81,48.81
2019-03-14,48.76,48.76,48.76,48.76
2019-03-15,49.32,49.32,49.32,49.32
2019-03-18,49.6,49.6,49.6,49.6
2019-03-19,49.21,49.21,49.21,49.21
2019-03-20,48.65,48.65,48.65,48.65
2019-03-21,49.51,49.51,49.51,49.51
2019-03-22,49.42,49.42,49.42,49.42
2019-03-25,49.17,49.17,49.17,49.17
2019-03-26,50.85,50.85,50.85,50.85
2019-03-27,51.07,51.07,51.07,51.07
2019-03-28,52.0,52.0,52.0,52.0
2019-03-29,51.74,51.74,51.74,51.74
2019-04-01,51.37,51.37,51.37,51.37
2019-04-02,50.85,50.85,50.85,50.85
2019-04-03,50.84,50.84,50.84,50.84
2019-04-04,50.97,50.97,50.97,50.97
2019-04-05,50.98,50.98,50.98,50.98
2019-04-08,51.6,51.6,51.6,51.6
2019-04-09,51.51,51.51,51.51,51.51
2019-04-10,51.15,51.15,51.15,51.15
2019-04-11,51.22,51.22,51.22,51.22
2019-04-12,51.35,51.35,51.35,51.35
2019-04-15,51.78,51.78,51.78,51.78
2019-04-16,51.54,51.54,51.54,51.54
2019-04-17,51.9,51.9,51.9,51.9
2019-04-18,52.04,52.04,52.04,52.04
2019-04-22,51.86,51.86,51.86,51.86
2019-04-23,52.63,52.63,52.63,52.63
2019-04-24,52.39,52.39,52.39,52.39
2019-04-25,52.43,52.43,52.43,52.43
2019-04-26,52.48,52.48,52.48,52.48
2019-04-29,52.96,52.96,52.96,52.96
2019-04-30,53.59,53.59,53.59,53.59
2019-05-01,53.44,53.44,53.44,53.44
2019-05-02,53.65,53.65,53.65,53.65
2019-05-03,54.38,54.38,54.38,54.38
2019-05-06,54.49,54.49,54.49,54.49
2019-05-07,54.1,54.1,54.1,54.1
2019-05-08,54.2,54.2,54.2,54.2
2019-05-09,53.7,53.7,53.7,53.7
2019-05-10,54.69,54.69,54.69,54.69
2019-05-13,54.71,54.71,54.71,54.71
2019-05-14,55.13,55.13,55.13,55.13
2019-05-15,55.75,55.75,55.75,55.75
2019-05-16,56.22,56.22,56.22,56.22
2019-05-17,56.71,56.71,56.71,56.71
2019-05-20,56.77,56.77,56.77,56.77
2019-05-21,56.31,56.31,56.31,56.31
2019-05-22,56.92,56.92,56.92,56.92
2019-05-23,55.85,55.85,55.85,55.85
2019-05-24,56.75,56.75,56.75,56.75
2019-05-28,55.56,55.56,55.56,55.56
2019-05-29,54.77,54.77,54.77,54.77
2019-05-30,55.54,55.54,55.54,55.54
2019-05-31,55.4,55.4,55.4,55.4
2019-06-03,56.45,56.45,56.45,56.45
2019-06-04,56.52,56.52,56.52,56.52
2019-06-05,56.74,56.74,56.74,56.74
2019-06-06,57.35,57.35,57.35,57.35
2019-06-07,57.61,57.61,57.61,57.61
2019-06-10,57.72,57.72,57.72,57.72
2019-06-11,58.24,58.24,58.24,58.24
2019-06-12,57.87,57.87,57.87,57.87
2019-06-13,57.35,57.35,57.35,57.35
2019-06-14,56.74,56.74,56.74,56.74
2019-06-17,57.45,57.45,57.45,57.45
2019-06-18,56.58,56.58,56.58,56.58
2019-06-19,57.67,57.67,57.67,57.67
2019-06-20,57.35,57.35,57.35,57.35
2019-06-21,57.4,57.4,57.4,57.4
2019-06-24,57.19,57.19,57.19,57.19
2019-06-25,56.9,56.9,56.9,56.9
2019-06-26,55.5,55.5,55.5,55.5
2019-06-27,55.5,55.5,55.5,55.5
2019-06-28,56.5,56.5,56.5,56.5
2019-07-01,56.63,56.63,56.63,56.63
2019-07-02,57.12,57.12,57.12,57.12
2019-07-03,57.89,57.89,57.89,57.89
2019-07-05,57.9,57.9,57.9,57.9
2019-07-08,57.85,57.85,57.85,57.85
2019-07-09,57.31,57.31,57.31,57.31
2019-07-10,57.04,57.04,57.04,57.04
2019-07-11,56.96,56.96,56.96,56.96
2019-07-12,57.16,57.16,57.16,57.16
2019-07-15,57.58,57.58,57.58,57.58
2019-07-16,57.04,57.04,57.04,57.04
2019-07-17,56.35,56.35,56.35,56.35
2019-07-18,56.65,56.65,56.65,56.65
2019-07-19,56.61,56.61,56.61,56.61
2019-07-22,57.16,57.16,57.16,57.16
2019-07-23,57.56,57.56,57.56,57.56
2019-07-24,56.55,56.55,56.55,56.55
2019-07-25,56.41,56.41,56.41,56.41
2019-07-26,57.33,57.33,57.33,57.33
2019-07-29,57.3,57.3,57.3,57.3
2019-07-30,56.35,56.35,56.35,56.35
2019-07-31,55.28,55.28,55.28,55.28
2019-08-01,55.54,55.54,55.54,55.54
