timestamp,open,high,low,close
2004-01-02,9.04,9.24,9.0,9.08
2004-01-05,9.2,9.38,9.113999999999999,9.113999999999999
2004-01-06,9.08,9.25,9.06,9.14
2004-01-07,9.05,9.43,9.05,9.35
2004-01-08,9.13,9.48,9.12,9.37
2004-01-09,9.25,9.45,9.15,9.22
2004-01-12,9.25,9.3,9.13,9.29
2004-01-13,9.26,9.3,8.92,9.18
2004-01-14,9.12,9.2,8.9,9.19
2004-01-15,9.14,9.14,8.93,9.05
2004-01-16,9.05,9.13,8.91,8.957
2004-01-20,9.0,9.0827,8.8,9.08
2004-01-21,9.02,9.07,8.82,9.0
2004-01-22,8.95,9.01,8.75,8.92
2004-01-23,8.8,8.95,8.65,8.8
2004-01-26,8.75,8.82,8.6,8.77
2004-01-27,8.7,8.79,8.62,8.71
2004-01-28,8.66,8.73,8.5,8.58
2004-01-29,8.65,8.82,8.48,8.78
2004-01-30,8.55,8.55,8.28,8.38
2004-02-02,8.45,8.69,8.1,8.43
2004-02-03,8.62,8.95,8.3,8.89
2004-02-04,8.79,8.95,8.65,8.815
2004-02-05,8.75,8.75,8.3,8.38
2004-02-06,8.48,8.74,8.35,8.68
2004-02-09,8.71,8.96,8.61,8.87
2004-02-10,9.25,9.65,9.25,9.6402
2004-02-11,9.65,9.96,9.42,9.65
2004-02-12,9.55,9.8,9.45,9.4849
2004-02-13,9.58,9.58,9.2,9.24
2004-02-17,9.38,9.64,9.35,9.5483
2004-02-18,9.45,9.63,9.4,9.51
2004-02-19,9.54,9.58,9.45,9.51
2004-02-20,9.5,9.57,9.25,9.36
2004-02-23,9.35,9.35,8.0,8.75
2004-02-24,8.76,9.01,8.74,8.95
2004-02-25,9.0,9.18,9.0,9.0724
2004-02-26,9.05,9.23,8.91,9.2
2004-02-27,9.2,9.53,9.2,9.4
2004-03-01,9.52,9.65,9.51,9.6
2004-03-02,9.45,9.63,9.3,9.4555
2004-03-03,9.45,9.45,9.13,9.3215
2004-03-04,9.3,9.45,9.2,9.4
2004-03-05,9.21,9.71,9.21,9.6818
2004-03-08,9.6,9.81,9.36,9.4519
2004-03-09,9.43,9.53,9.09,9.16
2004-03-10,9.2,9.24,8.81,8.9542
2004-03-11,8.85,9.06,8.75,8.8
2004-03-12,8.85,9.1,8.77,9.1
2004-03-15,9.02,9.04,8.73,8.75
2004-03-16,8.91,8.96,8.75,8.783999999999999
2004-03-17,8.83,9.17,8.79,9.14
2004-03-18,9.08,9.1,8.85,8.88
2004-03-19,8.87,9.01,8.77,8.85
2004-03-22,8.86,8.89,8.65,8.7634
2004-03-23,8.71,8.92,8.71,8.77
2004-03-24,8.82,8.9,8.65,8.8315
2004-03-25,8.87,9.0,8.79,8.99
2004-03-26,8.99,9.09,8.94,9.01
2004-03-29,9.02,9.36,8.94,9.34
2004-03-30,9.3,9.47,9.25,9.38
2004-03-31,9.36,9.45,9.27,9.355
2004-04-01,9.3,9.65,9.28,9.65
2004-04-02,9.6,9.93,9.6,9.83
2004-04-05,9.8,9.84,9.5,9.5619
2004-04-06,9.51,9.63,9.45,9.59
2004-04-07,9.59,9.59,9.28,9.37
2004-04-08,9.44,9.52,9.23,9.28
2004-04-12,9.31,9.46,9.25,9.25
2004-04-13,9.28,9.28,8.85,8.87
2004-04-14,8.64,8.95,8.64,8.8
2004-04-15,8.94,9.35,8.94,9.2223
2004-04-16,9.25,9.5,9.16,9.5
2004-04-19,9.25,9.6,9.23,9.48
2004-04-20,9.49,9.56,9.22,9.29
2004-04-21,9.29,9.29,8.97,9.14
2004-04-22,9.19,9.65,9.19,9.45
2004-04-23,9.45,9.47,9.27,9.42
2004-04-26,9.4,9.65,9.35,9.41
2004-04-27,9.45,9.5,9.273,9.273
2004-04-28,9.3,9.3,8.95,9.01
2004-04-29,8.95,9.02,8.75,8.87
2004-04-30,8.87,8.94,8.4,8.44
2004-05-03,8.56,8.82,8.47,8.7
2004-05-04,8.81,9.14,8.68,8.98
2004-05-05,9.0,9.0,8.85,8.92
2004-05-06,8.75,8.81,8.6,8.7417
2004-05-07,8.7,8.75,8.2,8.2012
2004-05-10,8.4,8.4,7.89,8.13
2004-05-11,8.25,8.36,8.21,8.2846
2004-05-12,8.3,8.76,8.26,8.7
2004-05-13,8.71,8.71,8.55,8.6653
2004-05-14,8.36,8.62,8.36,8.51
2004-05-17,8.4,8.48,8.22,8.4
2004-05-18,8.41,8.6,8.35,8.51
2004-05-19,8.56,8.75,8.4,8.43
2004-05-20,8.45,8.65,8.42,8.63
2004-05-21,8.63,8.85,8.55,8.8182
2004-05-24,8.87,8.98,8.59,8.7351
2004-05-25,8.61,9.01,8.61,9.0
2004-05-26,8.99,9.0,8.71,8.82
2004-05-27,8.8,8.94,8.8,8.82
2004-05-28,8.85,8.95,8.84,8.93
2004-06-01,8.93,8.95,8.75,8.78
2004-06-02,8.76,9.0,8.72,9.0
2004-06-03,8.97,9.23,8.89,9.02
2004-06-04,9.17,9.25,9.1,9.12
2004-06-07,9.29,9.4,9.2,9.33
2004-06-08,9.25,9.35,9.17,9.3
2004-06-09,9.3,9.3,9.17,9.24
2004-06-10,9.3,9.71,9.25,9.4
2004-06-14,9.3,9.31,9.1,9.25
2004-06-15,9.27,9.44,9.27,9.44
2004-06-16,9.5,9.5,9.31,9.46
2004-06-17,9.46,9.5,9.3,9.5
2004-06-18,9.5,9.83,9.5,9.7
2004-06-21,9.8,9.82,9.36,9.68
2004-06-22,9.65,9.69,9.45,9.66
2004-06-23,9.6,9.92,9.47,9.83
2004-06-24,9.7,9.95,9.65,9.85
2004-06-25,9.99,10.6,9.9,10.02
2004-06-28,10.1,10.2,9.8,9.92
2004-06-29,9.93,10.22,9.93,10.05
2004-06-30,10.05,10.2,9.92,9.97
2004-07-01,10.05,10.16,9.73,9.9
2004-07-02,9.81,9.9,9.6,9.81
2004-07-06,9.62,9.8,9.54,9.56
2004-07-07,9.56,9.8,9.5,9.53
2004-07-08,9.43,9.85,9.43,9.63
2004-07-09,9.61,9.69,9.44,9.63
2004-07-12,9.63,9.95,9.63,9.92
2004-07-13,9.96,9.99,9.8,9.91
2004-07-14,9.9,10.14,9.88,10.0
2004-07-15,10.25,10.25,10.01,10.2
2004-07-16,10.31,10.46,10.2,10.25
2004-07-19,10.31,10.4,10.13,10.2
2004-07-20,10.25,10.4,10.14,10.38
2004-07-21,10.44,10.45,9.85,9.93
2004-07-22,9.93,10.1,9.75,9.99
2004-07-23,9.95,10.11,9.85,9.9
2004-07-26,9.9,10.03,9.62,9.73
2004-07-27,9.8,10.0,9.7,10.0
2004-07-28,9.98,10.24,9.8,10.05
2004-07-29,10.1,10.25,10.01,10.2
2004-07-30,10.17,10.23,10.09,10.14
2004-08-02,10.04,10.12,9.92,10.08
2004-08-03,10.08,10.18,9.93,10.0
2004-08-04,9.96,10.05,9.78,9.98
2004-08-05,9.95,9.98,9.65,9.68
2004-08-06,9.53,9.6,9.41,9.42
2004-08-09,9.45,9.54,9.36,9.49
2004-08-10,9.45,9.72,9.45,9.65
2004-08-11,9.55,9.55,9.32,9.54
2004-08-12,9.4,9.47,9.21,9.36
2004-08-13,9.46,9.68,9.36,9.43
2004-08-16,9.43,9.68,9.43,9.65
2004-08-17,9.67,9.79,9.5,9.62
2004-08-18,9.6,9.82,9.6,9.79
2004-08-19,9.77,9.93,9.62,9.67
2004-08-20,9.75,9.95,9.74,9.87
2004-08-23,9.9,9.91,9.56,9.64
2004-08-24,9.71,9.78,9.59,9.62
2004-08-25,9.6,9.9,9.51,9.82
2004-08-26,9.75,9.92,9.61,9.62
2004-08-27,9.68,9.83,9.64,9.78
2004-08-30,9.72,9.8,9.55,9.63
2004-08-31,9.58,9.77,9.49,9.73
2004-09-01,9.52,9.82,9.52,9.82
2004-09-02,9.79,10.04,9.77,10.0
2004-09-03,10.25,10.25,10.02,10.1
2004-09-07,10.33,10.35,10.17,10.32
2004-09-08,10.4,10.4,10.15,10.2201
2004-09-09,10.35,10.46,10.16,10.37
2004-09-10,10.5,10.51,10.32,10.46
2004-09-13,10.44,10.45,10.27,10.35
2004-09-14,10.44,10.45,10.3,10.41
2004-09-15,10.3,10.64,10.15,10.4
2004-09-16,10.38,10.53,10.3,10.38
2004-09-17,10.4,10.4,9.93,10.0046
2004-09-20,9.98,10.08,9.85,9.99
2004-09-21,10.0,10.05,9.95,9.99
2004-09-22,9.95,9.95,9.67,9.67
2004-09-23,9.75,9.84,9.7,9.77
2004-09-24,9.82,9.93,9.79,9.86
2004-09-27,9.82,9.82,9.66,9.79
2004-09-28,9.75,10.15,9.75,10.05
2004-09-29,10.1,10.27,10.07,10.26
2004-09-30,10.15,10.34,10.1,10.31
2004-10-01,10.3,10.35,10.18,10.32
2004-10-04,10.35,10.48,10.35,10.4
