timestamp,open,high,low,close
2006-10-23,25.0,25.0,25.0,25.0
2006-10-24,23.55,23.55,23.55,23.55
2006-10-25,23.29,23.29,23.29,23.29
2006-10-26,24.06,24.06,24.06,24.06
2006-10-27,23.6,23.6,23.6,23.6
2006-10-30,23.63,23.63,23.63,23.63
2006-10-31,23.51,23.51,23.51,23.51
2006-11-01,22.16,22.16,22.16,22.16
2006-11-02,22.13,22.13,22.13,22.13
2006-11-03,22.58,22.58,22.58,22.58
2006-11-06,23.36,23.36,23.36,23.36
2006-11-07,23.5452,23.5452,23.5452,23.5452
2006-11-08,23.12,23.12,23.12,23.12
2006-11-09,22.75,22.75,22.75,22.75
2006-11-10,22.96,22.96,22.96,22.96
2006-11-13,22.93,22.93,22.93,22.93
2006-11-14,23.49,23.49,23.49,23.49
2006-11-15,23.5,23.5,23.5,23.5
2006-11-16,24.5,24.5,24.5,24.5
2006-11-17,24.85,24.85,24.85,24.85
2006-11-20,24.71,24.71,24.71,24.71
2006-11-21,24.83,24.83,24.83,24.83
2006-11-22,26.11,26.11,26.11,26.11
2006-11-24,25.88,25.88,25.88,25.88
2006-11-27,25.19,25.19,25.19,25.19
2006-11-28,25.38,25.38,25.38,25.38
2006-11-29,25.33,25.33,25.33,25.33
2006-11-30,25.1,25.1,25.1,25.1
2006-12-01,24.87,24.87,24.87,24.87
2006-12-04,24.44,24.44,24.44,24.44
2006-12-05,24.94,24.94,24.94,24.94
2006-12-06,26.63,26.63,26.63,26.63
2006-12-07,25.59,25.59,25.59,25.59
2006-12-08,25.44,25.44,25.44,25.44
2006-12-11,25.28,25.28,25.28,25.28
2006-12-12,24.82,24.82,24.82,24.82
2006-12-13,25.45,25.45,25.45,25.45
2006-12-14,27.85,27.85,27.85,27.85
2006-12-15,28.82,28.82,28.82,28.82
2006-12-16,28.84,28.84,28.84,28.84
2006-12-18,27.88,27.88,27.88,27.88
2006-12-19,27.69,27.69,27.69,27.69
2006-12-20,28.52,28.52,28.52,28.52
2006-12-21,28.0,28.0,28.0,28.0
2006-12-22,27.64,27.64,27.64,27.64
2006-12-26,27.6,27.6,27.6,27.6
2006-12-27,28.1,28.1,28.1,28.1
2006-12-28,28.2,28.2,28.2,28.2
2006-12-29,27.6,27.6,27.6,27.6
2007-01-03,27.4154,27.4154,27.4154,27.4154
2007-01-04,28.86,28.86,28.86,28.86
2007-01-05,29.3,29.3,29.3,29.3
2007-01-08,29.0584,29.0584,29.0584,29.0584
2007-01-09,29.27,29.27,29.27,29.27
2007-01-10,28.84,28.84,28.84,28.84
2007-01-11,29.48,29.48,29.48,29.48
2007-01-12,29.81,29.81,29.81,29.81
2007-01-16,30.23,30.23,30.23,30.23
2007-01-17,29.38,29.38,29.38,29.38
2007-01-18,28.88,28.88,28.88,28.88
2007-01-19,28.35,28.35,28.35,28.35
2007-01-20,28.32,28.32,28.32,28.32
2007-01-22,28.16,28.16,28.16,28.16
2007-01-23,28.19,28.19,28.19,28.19
2007-01-24,28.2,28.2,28.2,28.2
2007-01-25,28.0,28.0,28.0,28.0
2007-01-26,28.75,28.75,28.75,28.75
2007-01-29,28.06,28.06,28.06,28.06
2007-01-30,28.67,28.67,28.67,28.67
2007-01-31,28.0,28.0,28.0,28.0
2007-02-01,27.4,27.4,27.4,27.4
2007-02-02,27.52,27.52,27.52,27.52
2007-02-05,26.84,26.84,26.84,26.84
2007-02-06,27.01,27.01,27.01,27.01
2007-02-07,27.22,27.22,27.22,27.22
2007-02-08,28.61,28.61,28.61,28.61
2007-02-09,28.36,28.36,28.36,28.36
2007-02-12,28.5,28.5,28.5,28.5
2007-02-13,28.9,28.9,28.9,28.9
2007-02-14,30.0,30.0,30.0,30.0
2007-02-15,31.14,31.14,31.14,31.14
2007-02-16,31.51,31.51,31.51,31.51
2007-02-20,32.04,32.04,32.04,32.04
2007-02-21,31.78,31.78,31.78,31.78
2007-02-22,31.8,31.8,31.8,31.8
2007-02-23,32.59,32.59,32.59,32.59
2007-02-26,31.34,31.34,31.34,31.34
2007-02-27,29.85,29.85,29.85,29.85
2007-02-28,31.8,31.8,31.8,31.8
2007-03-01,28.33,28.33,28.33,28.33
2007-03-02,27.15,27.15,27.15,27.15
2007-03-05,26.19,26.19,26.19,26.19
2007-03-06,26.25,26.25,26.25,26.25
2007-03-07,26.74,26.74,26.74,26.74
2007-03-08,26.43,26.43,26.43,26.43
2007-03-09,26.5,26.5,26.5,26.5
2007-03-12,26.39,26.39,26.39,26.39
2007-03-13,25.46,25.46,25.46,25.46
2007-03-14,25.69,25.69,25.69,25.69
2007-03-15,25.41,25.41,25.41,25.41
2007-03-16,25.2,25.2,25.2,25.2
2007-03-19,25.41,25.41,25.41,25.41
2007-03-20,25.49,25.49,25.49,25.49
2007-03-21,26.4,26.4,26.4,26.4
2007-03-22,26.4,26.4,26.4,26.4
