timestamp,open,high,low,close
2004-01-02,6.3637,6.8813,6.2538,6.6438
2004-01-05,6.6125,6.9813,6.58,6.8288
2004-01-06,6.81,6.8113,6.595,6.65
2004-01-07,6.5813,6.7388,6.4475,6.7388
2004-01-08,6.75,6.7563,6.6138,6.7182
2004-01-09,6.7188,6.7188,6.6125,6.6125
2004-01-12,6.6438,6.7163,6.5575,6.7025
2004-01-13,6.725,6.8788,6.675,6.7795
2004-01-14,6.4813,6.4813,6.1313,6.3166
2004-01-15,6.3012,6.5,6.3012,6.3925
2004-01-16,6.4,6.425,6.2563,6.2649
2004-01-20,6.22,6.22,5.9388,6.17
2004-01-21,6.2188,6.3063,6.1563,6.2688
2004-01-22,6.2688,6.3375,6.215,6.3
2004-01-23,6.3012,6.3225,6.175,6.195
2004-01-26,6.1438,6.1938,6.0725,6.1488
2004-01-27,6.1363,6.15,6.0063,6.0188
2004-01-28,6.0188,6.0188,5.7188,5.7375
2004-01-29,5.6563,5.6563,5.3325,5.5338
2004-01-30,5.5038,5.5488,5.4638,5.5488
2004-02-02,5.5475,5.6537,5.5388,5.5775
2004-02-03,5.575,5.6375,5.5163,5.547999999999999
2004-02-04,5.5563,5.5563,5.3375,5.374
2004-02-05,5.3625,5.4125,5.2513,5.4063
2004-02-06,5.3938,5.7188,5.3938,5.675
2004-02-09,5.7875,5.8925,5.7688,5.86
2004-02-10,5.86,6.0675,5.8538,6.0188
2004-02-11,6.3438,6.77,6.3012,6.77
2004-02-12,6.7688,6.8975,6.6925,6.8063
2004-02-13,6.825,6.8988,6.7188,6.7813
2004-02-17,6.8,7.155,6.8,6.9425
2004-02-18,6.955,7.025,6.8688,6.8938
2004-02-19,6.9063,7.0,6.9013,6.9063
2004-02-20,6.9125,6.9213,6.7825,6.8675
2004-02-23,6.875,7.0625,6.8175,7.0625
2004-02-24,7.0313,7.2575,7.0313,7.135
2004-02-25,7.1363,7.2563,7.1363,7.1813
2004-02-26,7.1763,7.3338,7.1663,7.3260000000000005
2004-02-27,7.3313,7.4875,7.3313,7.3938
2004-03-01,7.4875,8.1625,7.4625,8.0438
2004-03-02,8.0438,8.2762,8.035,8.1309
2004-03-03,8.1063,8.1063,7.8238,8.0188
2004-03-04,8.0188,8.5125,7.9575,8.5
2004-03-05,8.4688,8.4688,8.0438,8.2225
2004-03-08,8.2125,8.645,8.19,8.3075
2004-03-09,8.3075,8.3075,8.0225,8.1125
2004-03-10,8.1375,8.1813,7.645,7.685
2004-03-11,7.525,8.1463,7.5163,7.722
2004-03-12,7.7438,7.9563,7.5688,7.7675
2004-03-15,7.7688,7.7763,7.5388,7.5613
2004-03-16,7.6,7.6863,7.2625,7.4078
2004-03-17,7.4463,8.0313,7.4463,7.9938
2004-03-18,7.9563,8.1625,7.7825,7.9913
2004-03-19,8.0625,8.375,7.975,8.2063
2004-03-22,8.1625,8.1625,7.8025,7.9385
2004-03-23,8.0,8.0388,7.8238,7.9207
2004-03-24,7.9625,7.9625,7.4513,7.5107
2004-03-25,7.55,7.6738,7.4263,7.6138
2004-03-26,7.6013,8.2263,7.6013,8.175
2004-03-29,8.225,8.35,8.0413,8.1063
2004-03-30,8.1063,8.3763,8.075,8.3675
2004-03-31,8.5125,8.5875,8.175,8.2438
2004-04-01,8.2038,8.2125,7.8363,8.0125
2004-04-02,8.0938,8.4975,8.0688,8.4625
2004-04-05,8.4375,8.595,8.2225,8.375
2004-04-06,8.25,8.5025,8.1013,8.5
2004-04-07,8.4688,8.4688,8.2013,8.2263
2004-04-08,8.2875,8.2875,8.06,8.065
2004-04-12,8.0738,8.3451,8.0738,8.345
2004-04-13,8.325,8.325,7.7188,7.8563
2004-04-14,7.62,7.725,7.4563,7.505
2004-04-15,7.5125,7.5588,7.15,7.3215
2004-04-16,7.3563,7.5188,7.16,7.3425
2004-04-19,7.385,7.425,7.1,7.2938
2004-04-20,7.3125,7.5175,7.1625,7.175
2004-04-21,7.145,7.145,6.75,7.095
2004-04-22,7.0625,7.26,6.945,7.1438
2004-04-23,7.1538,7.2,6.8913,7.02
2004-04-26,7.0438,7.1925,6.9375,6.95
2004-04-27,6.9188,6.9875,6.7125,6.775
2004-04-28,6.7625,6.7625,6.39,6.425
2004-04-29,6.2513,6.4887,5.9413,6.115
2004-04-30,6.1563,6.1875,5.91,5.9225
2004-05-03,5.9625,5.9625,5.7375,5.7765
2004-05-04,5.9375,5.9875,5.7075,5.7875
2004-05-05,5.8188,5.9138,5.775,5.8575
2004-05-06,5.8263,5.8263,5.4683,5.4683
2004-05-07,5.4488,5.535,5.1888,5.2063
2004-05-10,5.2075,5.4225,4.9875,5.24
2004-05-11,5.3625,5.3625,5.2113,5.3322
2004-05-12,5.3775,5.435,4.85,5.2581
2004-05-13,5.25,5.3,5.2013,5.2749
2004-05-14,5.275,5.3125,5.0188,5.0558
2004-05-17,4.9813,5.05,4.8637,4.95
2004-05-18,4.95,5.3888,4.9325,5.3438
2004-05-19,5.4638,5.8012,5.3888,5.4275
2004-05-20,5.4625,5.5363,5.245,5.3763
2004-05-21,5.5313,5.5438,5.4375,5.4652
2004-05-24,5.525,5.6913,5.5125,5.6267
2004-05-25,5.5813,5.8838,5.5813,5.825
2004-05-26,5.875,5.9338,5.7188,5.8375
2004-05-27,5.9163,5.9563,5.8412,5.875
2004-05-28,5.8938,5.9163,5.8113,5.8613
2004-06-01,5.8813,6.0125,5.825,5.88
2004-06-02,5.9,5.9125,5.7,5.875
2004-06-03,5.8625,5.88,5.7875,5.8012
2004-06-04,5.8263,6.025,5.8263,6.0238
2004-06-07,6.1125,6.2538,6.1125,6.195
2004-06-08,6.175,6.2338,6.1125,6.23
2004-06-09,6.1775,6.2025,5.935,6.065
2004-06-10,6.0813,6.1563,6.0,6.1
2004-06-14,6.0763,6.0763,5.895,5.9825
2004-06-15,6.0138,6.2463,6.0125,6.24
2004-06-16,6.24,6.325,6.1137,6.3113
2004-06-17,6.3113,6.4438,6.275,6.4375
2004-06-18,6.5013,6.5638,6.4455,6.4475
2004-06-21,6.61,6.8625,6.5163,6.8038
2004-06-22,6.7938,6.925,6.715,6.925
2004-06-23,6.925,7.1375,6.8875,7.1375
2004-06-24,7.1138,7.1138,6.9375,6.9938
2004-06-25,7.0188,7.0835,6.92,7.0813
2004-06-28,7.1063,7.1063,6.7438,6.8625
2004-06-29,6.8625,7.0238,6.8563,7.0138
2004-06-30,6.995,7.0488,6.8913,7.0488
2004-07-01,7.0138,7.0313,6.9088,6.935
2004-07-02,6.96,6.96,6.795,6.8975
2004-07-06,6.9125,6.9875,6.7813,6.815
2004-07-07,6.8463,7.0325,6.7988,7.0325
2004-07-08,6.95,7.02,6.905,6.9238
2004-07-09,6.95,6.9638,6.6875,6.7775
2004-07-12,6.6875,6.7125,6.6113,6.6375
2004-07-13,6.6625,6.7963,6.65,6.7513
2004-07-14,6.77,7.2888,6.77,7.25
2004-07-15,7.2625,7.3025,7.1638,7.1888
2004-07-16,7.25,7.275,7.1038,7.1125
2004-07-19,7.1,7.1,6.8063,6.955
2004-07-20,6.9688,6.9813,6.7813,6.9688
2004-07-21,7.0,7.0,6.6025,6.6125
2004-07-22,6.625,6.6375,6.375,6.5313
2004-07-23,6.5,6.5688,6.4375,6.4625
2004-07-26,6.4813,6.4813,6.2213,6.2875
2004-07-27,6.2638,6.5063,6.2513,6.4625
2004-07-28,6.625,7.0,6.625,7.0
2004-07-29,7.3625,7.8988,7.3313,7.8763
2004-07-30,7.8563,8.2913,7.7463,8.0978
2004-08-02,8.1925,8.475,8.0388,8.465
2004-08-03,8.3263,8.535,8.2075,8.2075
2004-08-04,8.27,8.48,8.2125,8.4012
2004-08-05,8.3713,8.5013,8.1675,8.1975
2004-08-06,8.1575,8.1625,7.8163,7.8888
2004-08-09,7.875,8.0613,7.875,7.9525
2004-08-10,7.9838,8.2613,7.9788,8.2338
2004-08-11,8.2025,8.2038,8.035,8.1263
2004-08-12,8.1925,8.1925,7.9138,7.9888
2004-08-13,8.01,8.0938,7.9163,7.9875
2004-08-16,7.945,8.1988,7.945,8.1063
2004-08-17,8.125,8.2188,8.0438,8.1
2004-08-18,7.9925,8.3713,7.9925,8.2775
2004-08-19,8.31,8.4963,8.2188,8.3763
2004-08-20,8.3775,8.475,8.3188,8.4
2004-08-23,8.4313,8.6512,8.0887,8.2313
2004-08-24,8.2575,8.3188,7.97,8.13
2004-08-25,8.1125,8.2188,8.05,8.1625
2004-08-26,8.1563,8.2137,8.0875,8.185
2004-08-27,8.1938,8.4113,8.1938,8.345
2004-08-30,8.3075,8.375,8.1263,8.1438
2004-08-31,8.1425,8.3438,8.1425,8.3438
2004-09-01,8.33,8.4763,8.2375,8.3063
2004-09-02,8.3063,8.5313,8.2738,8.515
2004-09-03,8.5,8.5625,8.4438,8.5338
2004-09-07,8.525,8.9375,8.525,8.9025
2004-09-08,8.8375,9.0375,8.8375,8.9488
2004-09-09,9.1563,9.3225,9.05,9.2638
2004-09-10,9.2813,9.29,9.0663,9.205
2004-09-13,9.3125,9.3788,9.1888,9.2002
2004-09-14,9.1625,9.22,9.12,9.2075
2004-09-15,9.2,9.3738,9.18,9.2963
2004-09-16,9.3163,9.475,9.3163,9.355
2004-09-17,9.39,9.4688,9.3625,9.4613
