timestamp,open,high,low,close
2004-01-02,5.99,6.0434,5.95,5.98
2004-01-05,5.9883,6.0284,5.9784,6.0242
2004-01-06,5.9984,5.9984,5.8984,5.9216
2004-01-07,5.91,5.91,5.71,5.8667
2004-01-08,5.86,5.89,5.8484,5.88
2004-01-09,5.8534,5.87,5.8017,5.8233
2004-01-12,5.8084,5.81,5.75,5.7972
2004-01-13,5.8084,5.8284,5.745,5.785
2004-01-14,5.8084,5.815,5.71,5.7417
2004-01-15,5.7084,5.7166,5.6634,5.6717
2004-01-16,5.71,5.71,5.6267,5.63
2004-01-20,5.6417,5.72,5.6267,5.6689
2004-01-21,5.7084,5.845,5.6917,5.8416
2004-01-22,5.8084,5.8834,5.8,5.8834
2004-01-23,5.88,5.9,5.8384,5.875
2004-01-26,5.875,5.9834,5.8717,5.9784
2004-01-27,5.975,6.0134,5.7217,5.7367
2004-01-28,5.675,5.675,5.4984,5.5134
2004-01-29,5.3767,5.4067,5.34,5.3592
2004-01-30,5.3217,5.3217,5.1867,5.2417
2004-02-02,5.27,5.2784,5.175,5.2166
2004-02-03,5.1983,5.355,5.185,5.2417
2004-02-04,5.2166,5.2566,5.1334,5.2417
2004-02-05,5.1967,5.2284,5.15,5.1948
2004-02-06,5.1834,5.2517,5.1384,5.2334
2004-02-09,5.265,5.35,5.2417,5.335
2004-02-10,5.33,5.3967,5.3167,5.3667
2004-02-11,5.3584,5.44,5.33,5.425
2004-02-12,5.4167,5.425,5.345,5.35
2004-02-13,5.3334,5.3334,5.2417,5.2667
2004-02-17,5.255,5.255,5.0634,5.0817
2004-02-18,5.215,5.2717,5.21,5.2338
2004-02-19,5.2467,5.305,5.2134,5.22
2004-02-20,5.2917,5.2984,5.1717,5.2134
2004-02-23,5.1917,5.215,5.1334,5.1667
2004-02-24,5.0867,5.175,5.0717,5.1517
2004-02-25,5.1517,5.2034,5.1234,5.1684
2004-02-26,5.1667,5.1667,5.0733,5.1284
2004-02-27,5.155,5.2767,5.1417,5.255
2004-03-01,5.25,5.25,5.1084,5.1284
2004-03-02,5.1367,5.1567,5.0916,5.1217
2004-03-03,5.1117,5.13,5.0684,5.0984
2004-03-04,5.0834,5.1434,5.0584,5.0787
2004-03-05,5.055,5.2017,5.0419,5.1917
2004-03-08,5.1834,5.2067,5.1367,5.1867
2004-03-09,5.1584,5.1767,5.1017,5.1334
2004-03-10,5.1133,5.1133,5.0084,5.0111
2004-03-11,5.0017,5.12,4.9867,5.0334
2004-03-12,5.0417,5.1167,5.0167,5.0967
2004-03-15,5.09,5.09,4.9917,5.06
2004-03-16,5.075,5.0867,4.9467,5.025
2004-03-17,5.025,5.0717,5.025,5.0317
2004-03-18,5.03,5.0534,4.9767,5.0334
2004-03-19,5.0517,5.055,4.98,5.0021
2004-03-22,4.9666,4.9967,4.8633,4.875
2004-03-23,4.9167,4.95,4.87,4.8867
2004-03-24,4.8384,4.87,4.8,4.87
2004-03-25,4.8917,4.9917,4.8816,4.9834
2004-03-26,4.955,5.0217,4.9217,4.9767
2004-03-29,4.9817,5.0684,4.955,5.055
2004-03-30,5.0317,5.0317,4.945,4.9767
2004-03-31,4.9784,5.0667,4.9367,5.0484
2004-04-01,5.0317,5.0534,5.0117,5.0284
2004-04-02,5.0617,5.1117,5.035,5.0667
2004-04-05,5.075,5.0817,5.0066,5.03
2004-04-06,5.0034,5.0916,4.9984,5.0733
2004-04-07,5.0417,5.0634,4.9967,5.0234
2004-04-08,5.04,5.0517,4.9834,4.9883
2004-04-12,5.0034,5.025,4.965,4.98
2004-04-13,5.0,5.0317,4.9584,4.9617
2004-04-14,4.9617,4.9817,4.9134,4.9284
2004-04-15,4.9284,4.9584,4.8984,4.905
2004-04-16,4.9234,4.96,4.88,4.9534
2004-04-19,4.95,4.9617,4.9084,4.9382
2004-04-20,4.95,5.0234,4.9284,4.9692
2004-04-21,4.9917,5.025,4.94,5.01
2004-04-22,5.0084,5.1817,5.005,5.1709
2004-04-23,5.1667,5.2234,5.125,5.2166
2004-04-26,5.2166,5.2383,5.0784,5.09
2004-04-27,5.1117,5.1367,5.05,5.0611
2004-04-28,5.125,5.295,5.085,5.2867
2004-04-29,5.2867,5.2867,5.1467,5.175
2004-04-30,5.175,5.2234,5.1117,5.1267
2004-05-03,5.1234,5.2034,5.1217,5.1917
2004-05-04,5.2,5.215,5.1316,5.16
2004-05-05,5.1517,5.1584,5.11,5.1235
2004-05-06,5.115,5.155,5.075,5.1284
2004-05-07,5.1217,5.13,5.05,5.0517
2004-05-10,5.02,5.1,5.0017,5.0334
2004-05-11,5.04,5.155,5.04,5.155
2004-05-12,5.15,5.185,5.0234,5.1755
2004-05-13,5.1584,5.23,5.1484,5.21
2004-05-14,5.19,5.2084,5.1567,5.175
2004-05-17,5.1167,5.2,5.0916,5.1517
2004-05-18,5.155,5.1767,5.08,5.1367
2004-05-19,5.1384,5.2234,5.115,5.1367
2004-05-20,5.1367,5.1684,5.0884,5.1217
2004-05-21,5.115,5.1217,5.0517,5.0834
2004-05-24,5.0834,5.1667,5.0834,5.0834
2004-05-25,5.125,5.2134,5.1034,5.2084
2004-05-26,5.1884,5.2134,5.14,5.1884
2004-05-27,5.2084,5.305,5.1967,5.2867
2004-05-28,5.2884,5.2984,5.2417,5.2667
2004-06-01,5.2383,5.2817,5.2067,5.255
2004-06-02,5.27,5.37,5.25,5.3534
2004-06-03,5.3367,5.35,5.2767,5.2905
2004-06-04,5.3067,5.385,5.2934,5.3816
2004-06-07,5.375,5.48,5.375,5.475
2004-06-08,5.435,5.505,5.425,5.4934
2004-06-09,5.3834,5.4417,5.35,5.41
2004-06-10,5.425,5.44,5.335,5.3384
2004-06-14,5.3334,5.335,5.1817,5.23
2004-06-15,5.245,5.3717,5.2417,5.2667
2004-06-16,5.27,5.3167,5.25,5.3067
2004-06-17,5.2784,5.2784,5.24,5.2584
2004-06-18,5.235,5.325,5.2284,5.2667
2004-06-21,5.2834,5.345,5.2834,5.325
2004-06-22,5.305,5.3084,5.2334,5.3
2004-06-23,5.28,5.4584,5.28,5.4534
2004-06-24,5.4534,5.4967,5.44,5.4666
2004-06-25,5.4666,5.495,5.43,5.4534
2004-06-28,5.45,5.5367,5.4317,5.4517
2004-06-29,5.4117,5.4984,5.4067,5.49
2004-06-30,5.4334,5.48,5.3717,5.4617
2004-07-01,5.4634,5.4967,5.3416,5.4084
2004-07-02,5.4084,5.4084,5.29,5.2967
2004-07-06,5.28,5.3416,5.2667,5.2667
2004-07-07,5.2617,5.2684,5.2117,5.245
2004-07-08,5.21,5.235,5.1417,5.165
2004-07-09,5.1667,5.25,5.165,5.225
2004-07-12,5.2134,5.225,5.11,5.1567
2004-07-13,5.1567,5.17,5.11,5.1267
2004-07-14,5.1267,5.2217,5.09,5.175
2004-07-15,5.1467,5.2184,5.14,5.21
2004-07-16,5.29,5.2984,5.1367,5.1419
2004-07-19,5.1584,5.2034,5.1217,5.15
2004-07-20,5.1667,5.2984,5.1634,5.2634
2004-07-21,5.3067,5.3284,5.185,5.1967
2004-07-22,5.1717,5.185,5.0284,5.055
2004-07-23,5.0567,5.0717,4.9984,5.03
2004-07-26,5.0167,5.07,4.995,5.0167
2004-07-27,5.0417,5.0916,5.0234,5.05
2004-07-28,5.0967,5.3217,5.0817,5.245
2004-07-29,5.2834,5.4167,5.26,5.3334
2004-07-30,5.305,5.3167,5.16,5.2166
2004-08-02,5.2067,5.2284,5.1534,5.2067
2004-08-03,5.215,5.2566,5.1767,5.2417
2004-08-04,5.2166,5.2667,5.1734,5.2467
2004-08-05,5.2534,5.3034,5.15,5.1509
2004-08-06,5.1,5.1284,5.0267,5.0334
2004-08-09,5.0417,5.1067,5.0234,5.0284
2004-08-10,5.05,5.1517,5.05,5.1434
2004-08-11,5.1084,5.1983,5.1017,5.1634
2004-08-12,5.1316,5.1367,5.02,5.02
2004-08-13,5.0334,5.07,5.0184,5.0594
2004-08-16,5.0817,5.2467,5.0817,5.2467
2004-08-17,5.2467,5.2584,5.1867,5.2448
2004-08-18,5.24,5.2904,5.2067,5.2904
2004-08-19,5.2817,5.2817,5.1867,5.205
2004-08-20,5.205,5.2917,5.2,5.29
2004-08-23,5.2684,5.3034,5.1724,5.175
2004-08-24,5.175,5.225,5.1717,5.2017
2004-08-25,5.185,5.205,5.145,5.195
2004-08-26,5.195,5.2634,5.17,5.2434
2004-08-27,5.2534,5.31,5.2534,5.3
2004-08-30,5.3017,5.3084,5.235,5.2367
2004-08-31,5.2484,5.2634,5.1983,5.2634
2004-09-01,5.25,5.3117,5.2334,5.2584
2004-09-02,5.275,5.3534,5.255,5.3517
2004-09-03,5.3517,5.3834,5.325,5.365
2004-09-07,5.4017,5.4334,5.3517,5.405
2004-09-08,5.4084,5.55,5.4084,5.5484
2004-09-09,5.5417,5.5484,5.4267,5.4534
2004-09-10,5.4367,5.5467,5.4134,5.5417
2004-09-13,5.5667,5.5667,5.45,5.5
2004-09-14,5.4967,5.5117,5.4634,5.49
2004-09-15,5.4917,5.5834,5.4867,5.5684
2004-09-16,5.5684,5.6316,5.5534,5.5914
2004-09-17,5.595,5.6534,5.5417,5.6125
2004-09-20,5.61,5.6334,5.545,5.585
2004-09-21,5.6133,5.6834,5.6133,5.6834
2004-09-22,5.6434,5.6434,5.5617,5.5884
2004-09-23,5.6,5.645,5.5817,5.6233
2004-09-24,5.5617,5.7134,5.5617,5.6834
2004-09-27,5.675,5.6817,5.6234,5.625
2004-09-28,5.61,5.6334,5.54,5.5916
2004-09-29,5.585,5.6267,5.565,5.5867
2004-09-30,5.5517,5.56,5.5167,5.5331
2004-10-01,5.535,5.6384,5.5217,5.6334
2004-10-04,5.68,5.7717,5.6767,5.695
2004-10-05,5.7134,5.7134,5.6467,5.6899
2004-10-06,5.6634,5.9034,5.6634,5.8237
2004-10-07,5.8984,5.9384,5.825,5.8317
2004-10-08,5.805,5.8884,5.7884,5.885
2004-10-11,5.8684,5.885,5.83,5.885
