timestamp,open,high,low,close
2004-01-02,10.49,10.49,10.49,10.49
2004-01-05,10.975,10.975,10.975,10.975
2004-01-06,11.125,11.125,11.125,11.125
2004-01-07,11.03,11.03,11.03,11.03
2004-01-08,10.965,10.965,10.965,10.965
2004-01-09,10.63,10.63,10.63,10.63
2004-01-12,10.845,10.845,10.845,10.845
2004-01-13,10.3,10.3,10.3,10.3
2004-01-14,10.2,10.2,10.2,10.2
2004-01-15,10.8295,10.8295,10.8295,10.8295
2004-01-16,10.75,10.75,10.75,10.75
2004-01-20,11.325,11.325,11.325,11.325
2004-01-21,12.1,12.1,12.1,12.1
2004-01-22,11.25,11.25,11.25,11.25
2004-01-23,10.905,10.905,10.905,10.905
2004-01-26,10.535,10.535,10.535,10.535
2004-01-27,10.645,10.645,10.645,10.645
2004-01-28,10.275,10.275,10.275,10.275
2004-01-29,10.32,10.32,10.32,10.32
2004-01-30,10.083,10.083,10.083,10.083
2004-02-02,10.0,10.0,10.0,10.0
2004-02-03,9.86,9.86,9.86,9.86
2004-02-04,9.62,9.62,9.62,9.62
2004-02-05,9.7935,9.7935,9.7935,9.7935
2004-02-06,9.82,9.82,9.82,9.82
2004-02-09,9.75,9.75,9.75,9.75
2004-02-10,9.755,9.755,9.755,9.755
2004-02-11,10.065,10.065,10.065,10.065
2004-02-12,9.79,9.79,9.79,9.79
2004-02-13,9.7214,9.7214,9.7214,9.7214
2004-02-17,9.815,9.815,9.815,9.815
2004-02-18,9.785,9.785,9.785,9.785
2004-02-19,9.625,9.625,9.625,9.625
2004-02-20,10.225,10.225,10.225,10.225
2004-02-23,10.575,10.575,10.575,10.575
2004-02-24,10.4317,10.4317,10.4317,10.4317
2004-02-25,10.46,10.46,10.46,10.46
2004-02-26,10.69,10.69,10.69,10.69
2004-02-27,10.59,10.59,10.59,10.59
2004-03-01,10.37,10.37,10.37,10.37
2004-03-02,10.125,10.125,10.125,10.125
2004-03-03,10.01,10.01,10.01,10.01
2004-03-04,10.25,10.25,10.25,10.25
2004-03-05,10.01,10.01,10.01,10.01
2004-03-08,9.755,9.755,9.755,9.755
2004-03-09,9.88,9.88,9.88,9.88
2004-03-10,9.7375,9.7375,9.7375,9.7375
2004-03-11,9.255,9.255,9.255,9.255
2004-03-12,9.83,9.83,9.83,9.83
2004-03-15,9.7066,9.7066,9.7066,9.7066
2004-03-16,9.945,9.945,9.945,9.945
2004-03-17,10.13,10.13,10.13,10.13
2004-03-18,10.375,10.375,10.375,10.375
2004-03-19,10.3963,10.3963,10.3963,10.3963
2004-03-22,10.275,10.275,10.275,10.275
2004-03-23,10.14,10.14,10.14,10.14
2004-03-24,10.25,10.25,10.25,10.25
2004-03-25,11.02,11.02,11.02,11.02
2004-03-26,11.2,11.2,11.2,11.2
2004-03-29,11.2639,11.2639,11.2639,11.2639
2004-03-30,11.015,11.015,11.015,11.015
2004-03-31,10.825,10.825,10.825,10.825
2004-04-01,11.12,11.12,11.12,11.12
2004-04-02,11.4675,11.4675,11.4675,11.4675
2004-04-05,11.4853,11.4853,11.4853,11.4853
2004-04-06,11.32,11.32,11.32,11.32
2004-04-07,11.45,11.45,11.45,11.45
2004-04-08,11.425,11.425,11.425,11.425
2004-04-12,11.515,11.515,11.515,11.515
2004-04-13,11.235,11.235,11.235,11.235
2004-04-14,11.17,11.17,11.17,11.17
2004-04-15,10.605,10.605,10.605,10.605
2004-04-16,10.92,10.92,10.92,10.92
2004-04-19,10.9,10.9,10.9,10.9
2004-04-20,10.8605,10.8605,10.8605,10.8605
2004-04-21,9.545,9.545,9.545,9.545
2004-04-22,10.65,10.65,10.65,10.65
2004-04-23,10.755,10.755,10.755,10.755
2004-04-26,10.43,10.43,10.43,10.43
2004-04-27,10.385,10.385,10.385,10.385
2004-04-28,9.77,9.77,9.77,9.77
2004-04-29,9.6916,9.6916,9.6916,9.6916
2004-04-30,9.525,9.525,9.525,9.525
2004-05-03,9.525,9.525,9.525,9.525
2004-05-04,10.235,10.235,10.235,10.235
2004-05-05,10.1796,10.1796,10.1796,10.1796
2004-05-06,10.085,10.085,10.085,10.085
2004-05-07,10.005,10.005,10.005,10.005
2004-05-10,10.0545,10.0545,10.0545,10.0545
2004-05-11,10.1703,10.1703,10.1703,10.1703
2004-05-12,10.235,10.235,10.235,10.235
2004-05-13,10.255,10.255,10.255,10.255
2004-05-14,10.08,10.08,10.08,10.08
2004-05-17,9.935,9.935,9.935,9.935
2004-05-18,9.95,9.95,9.95,9.95
2004-05-19,9.905,9.905,9.905,9.905
2004-05-20,9.915,9.915,9.915,9.915
2004-05-21,10.02,10.02,10.02,10.02
2004-05-24,10.155,10.155,10.155,10.155
2004-05-25,10.445,10.445,10.445,10.445
2004-05-26,10.4386,10.4386,10.4386,10.4386
2004-05-27,10.2912,10.2912,10.2912,10.2912
2004-05-28,10.52,10.52,10.52,10.52
2004-06-01,10.225,10.225,10.225,10.225
2004-06-02,10.065,10.065,10.065,10.065
2004-06-03,10.065,10.065,10.065,10.065
2004-06-04,10.105,10.105,10.105,10.105
2004-06-07,10.4775,10.4775,10.4775,10.4775
2004-06-08,10.395,10.395,10.395,10.395
2004-06-09,10.315,10.315,10.315,10.315
2004-06-10,10.275,10.275,10.275,10.275
2004-06-14,9.925,9.925,9.925,9.925
2004-06-15,9.8706,9.8706,9.8706,9.8706
2004-06-16,9.775,9.775,9.775,9.775
2004-06-17,9.75,9.75,9.75,9.75
2004-06-18,9.655,9.655,9.655,9.655
2004-06-21,9.43,9.43,9.43,9.43
2004-06-22,9.5521,9.5521,9.5521,9.5521
2004-06-23,9.57,9.57,9.57,9.57
2004-06-24,9.785,9.785,9.785,9.785
2004-06-25,9.935,9.935,9.935,9.935
2004-06-28,9.855,9.855,9.855,9.855
2004-06-29,10.11,10.11,10.11,10.11
2004-06-30,10.18,10.18,10.18,10.18
2004-07-01,9.58,9.58,9.58,9.58
