timestamp,open,high,low,close
2004-01-02,16.36,16.36,16.36,16.36
2004-01-05,16.41,16.41,16.41,16.41
2004-01-06,16.35,16.35,16.35,16.35
2004-01-07,16.47,16.47,16.47,16.47
2004-01-08,16.58,16.58,16.58,16.58
2004-01-09,16.0,16.0,16.0,16.0
2004-01-12,16.1,16.1,16.1,16.1
2004-01-13,16.3,16.3,16.3,16.3
2004-01-14,16.64,16.64,16.64,16.64
2004-01-15,17.77,17.77,17.77,17.77
2004-01-16,16.6508,16.6508,16.6508,16.6508
2004-01-20,16.500999999999998,16.500999999999998,16.500999999999998,16.500999999999998
2004-01-21,17.52,17.52,17.52,17.52
2004-01-22,17.86,17.86,17.86,17.86
2004-01-23,17.44,17.44,17.44,17.44
2004-01-26,17.68,17.68,17.68,17.68
2004-01-27,17.15,17.15,17.15,17.15
2004-01-28,16.54,16.54,16.54,16.54
2004-01-29,16.56,16.56,16.56,16.56
2004-01-30,16.96,16.96,16.96,16.96
2004-02-02,16.74,16.74,16.74,16.74
2004-02-03,16.94,16.94,16.94,16.94
2004-02-04,16.57,16.57,16.57,16.57
2004-02-05,17.05,17.05,17.05,17.05
2004-02-06,17.53,17.53,17.53,17.53
2004-02-09,17.47,17.47,17.47,17.47
2004-02-10,17.5621,17.5621,17.5621,17.5621
2004-02-11,17.51,17.51,17.51,17.51
2004-02-12,17.29,17.29,17.29,17.29
2004-02-13,16.99,16.99,16.99,16.99
2004-02-17,17.3669,17.3669,17.3669,17.3669
2004-02-18,17.34,17.34,17.34,17.34
2004-02-19,17.09,17.09,17.09,17.09
2004-02-20,17.16,17.16,17.16,17.16
2004-02-23,16.85,16.85,16.85,16.85
2004-02-24,17.01,17.01,17.01,17.01
2004-02-25,17.31,17.31,17.31,17.31
2004-02-26,17.71,17.71,17.71,17.71
2004-02-27,17.6,17.6,17.6,17.6
2004-03-01,18.55,18.55,18.55,18.55
2004-03-02,18.07,18.07,18.07,18.07
2004-03-03,18.003,18.003,18.003,18.003
2004-03-04,18.33,18.33,18.33,18.33
2004-03-05,18.38,18.38,18.38,18.38
2004-03-08,18.12,18.12,18.12,18.12
2004-03-09,17.69,17.69,17.69,17.69
2004-03-10,17.1125,17.1125,17.1125,17.1125
