timestamp,open,high,low,close
2007-07-02,27.65,27.65,27.65,27.65
2007-07-03,26.67,26.67,26.67,26.67
2007-07-05,25.94,25.94,25.94,25.94
2007-07-06,25.64,25.64,25.64,25.64
2007-07-09,25.44,25.44,25.44,25.44
2007-07-10,25.1,25.1,25.1,25.1
2007-07-11,25.1,25.1,25.1,25.1
2007-07-12,26.34,26.34,26.34,26.34
2007-07-13,27.16,27.16,27.16,27.16
2007-07-16,26.8,26.8,26.8,26.8
2007-07-17,26.55,26.55,26.55,26.55
2007-07-18,26.36,26.36,26.36,26.36
2007-07-19,26.71,26.71,26.71,26.71
2007-07-20,26.99,26.99,26.99,26.99
2007-07-23,25.7,25.7,25.7,25.7
2007-07-24,25.0,25.0,25.0,25.0
2007-07-25,24.1,24.1,24.1,24.1
2007-07-26,23.54,23.54,23.54,23.54
2007-07-27,23.7218,23.7218,23.7218,23.7218
2007-07-30,24.3,24.3,24.3,24.3
2007-07-31,23.05,23.05,23.05,23.05
2007-08-01,23.28,23.28,23.28,23.28
2007-08-02,23.6001,23.6001,23.6001,23.6001
2007-08-03,21.99,21.99,21.99,21.99
2007-08-06,22.2,22.2,22.2,22.2
2007-08-07,23.05,23.05,23.05,23.05
2007-08-08,24.29,24.29,24.29,24.29
2007-08-09,22.5,22.5,22.5,22.5
2007-08-10,22.16,22.16,22.16,22.16
2007-08-13,22.1,22.1,22.1,22.1
2007-08-14,21.96,21.96,21.96,21.96
2007-08-15,21.62,21.62,21.62,21.62
2007-08-16,23.22,23.22,23.22,23.22
2007-08-17,23.18,23.18,23.18,23.18
2007-08-20,23.45,23.45,23.45,23.45
2007-08-21,23.63,23.63,23.63,23.63
2007-08-22,24.05,24.05,24.05,24.05
2007-08-23,23.7,23.7,23.7,23.7
2007-08-24,23.97,23.97,23.97,23.97
2007-08-27,23.83,23.83,23.83,23.83
2007-08-28,22.71,22.71,22.71,22.71
2007-08-29,23.29,23.29,23.29,23.29
2007-08-30,22.73,22.73,22.73,22.73
2007-08-31,23.14,23.14,23.14,23.14
2007-09-04,23.44,23.44,23.44,23.44
2007-09-05,22.51,22.51,22.51,22.51
2007-09-06,22.0,22.0,22.0,22.0
2007-09-07,21.12,21.12,21.12,21.12
2007-09-10,20.56,20.56,20.56,20.56
2007-09-11,20.61,20.61,20.61,20.61
2007-09-12,21.0,21.0,21.0,21.0
2007-09-13,21.37,21.37,21.37,21.37
2007-09-14,21.31,21.31,21.31,21.31
2007-09-17,21.3,21.3,21.3,21.3
2007-09-18,23.25,23.25,23.25,23.25
2007-09-19,23.41,23.41,23.41,23.41
2007-09-20,22.61,22.61,22.61,22.61
2007-09-21,22.41,22.41,22.41,22.41
2007-09-24,22.28,22.28,22.28,22.28
2007-09-25,21.58,21.58,21.58,21.58
2007-09-26,21.4,21.4,21.4,21.4
2007-09-27,20.64,20.64,20.64,20.64
2007-09-28,20.5,20.5,20.5,20.5
2007-10-01,21.43,21.43,21.43,21.43
2007-10-02,21.4,21.4,21.4,21.4
2007-10-03,21.38,21.38,21.38,21.38
2007-10-04,22.21,22.21,22.21,22.21
2007-10-05,22.73,22.73,22.73,22.73
2007-10-08,22.65,22.65,22.65,22.65
2007-10-09,23.05,23.05,23.05,23.05
2007-10-10,22.66,22.66,22.66,22.66
2007-10-11,22.0,22.0,22.0,22.0
2007-10-12,22.13,22.13,22.13,22.13
2007-10-15,21.18,21.18,21.18,21.18
2007-10-16,20.93,20.93,20.93,20.93
2007-10-17,20.95,20.95,20.95,20.95
2007-10-18,20.38,20.38,20.38,20.38
2007-10-19,19.8,19.8,19.8,19.8
2007-10-22,19.68,19.68,19.68,19.68
2007-10-23,19.35,19.35,19.35,19.35
2007-10-24,18.23,18.23,18.23,18.23
2007-10-25,17.5,17.5,17.5,17.5
2007-10-26,18.82,18.82,18.82,18.82
2007-10-29,19.4,19.4,19.4,19.4
2007-10-30,20.14,20.14,20.14,20.14
2007-10-31,19.13,19.13,19.13,19.13
2007-11-01,18.52,18.52,18.52,18.52
2007-11-02,18.2,18.2,18.2,18.2
2007-11-05,18.16,18.16,18.16,18.16
