timestamp,open,high,low,close
2004-01-02,39.75,40.05,39.34,39.43
2004-01-05,39.58,40.93,39.56,40.648
2004-01-06,40.68,40.72,40.34,40.4393
2004-01-07,40.27,41.46,40.27,41.25
2004-01-08,41.27,42.41,41.18,42.29
2004-01-09,42.2,42.69,42.17,42.28
2004-01-12,42.1,42.25,42.01,42.16
2004-01-13,42.15,42.6,42.15,42.52
2004-01-14,42.68,44.13,42.68,44.02
2004-01-15,43.91,43.91,42.96,43.75
2004-01-16,43.81,43.85,43.29,43.74
2004-01-20,43.73,43.95,43.29,43.511
2004-01-21,43.38,43.4,42.9,43.16
2004-01-22,43.15,43.24,42.69,42.96
2004-01-23,42.98,43.65,42.97,43.39
2004-01-26,43.57,43.81,42.33,43.79
2004-01-27,41.9,42.24,41.02,41.9
2004-01-28,42.12,42.61,41.45,41.5
2004-01-29,41.69,41.69,40.16,40.65
2004-01-30,40.7,41.37,40.55,41.32
2004-02-02,41.7,41.81,40.71,41.12
2004-02-03,41.0,41.14,40.3,40.42
2004-02-04,40.2,40.61,39.49,39.62
2004-02-05,39.6,39.83,39.24,39.6
2004-02-06,39.82,40.74,39.79,40.31
2004-02-09,40.43,40.71,40.06,40.41
2004-02-10,40.38,40.54,39.9,40.54
2004-02-11,40.49,41.69,40.38,41.69
2004-02-12,41.46,41.52,41.13,41.34
2004-02-13,41.15,41.69,40.57,40.72
2004-02-17,41.25,41.39,40.77,41.1
2004-02-18,41.3,41.3,40.67,40.8792
2004-02-19,41.05,41.5,40.64,40.68
2004-02-20,40.8,40.83,39.91,40.33
2004-02-23,40.73,40.79,39.62,39.74
2004-02-24,39.75,39.75,38.77,39.14
2004-02-25,39.16,39.43,39.0,39.23
2004-02-26,39.53,39.72,38.65,39.69
2004-02-27,39.68,39.75,38.99,39.19
2004-03-01,39.46,40.27,39.41,40.22
2004-03-02,40.22,40.7,39.89,40.2494
2004-03-03,39.97,40.43,39.78,40.24
2004-03-04,40.37,40.43,39.96,40.08
2004-03-05,40.1,41.4,40.1,41.39
2004-03-08,41.39,41.55,40.33,40.33
2004-03-09,40.45,40.58,39.57,39.76
2004-03-10,39.91,39.99,37.81,37.9117
2004-03-11,37.95,38.85,37.85,37.95
2004-03-12,38.25,39.45,38.21,39.15
2004-03-15,39.05,39.12,38.26,38.55
2004-03-16,38.8,39.08,38.8,38.9
2004-03-17,39.06,39.49,39.06,39.26
2004-03-18,39.03,39.27,38.07,38.7
2004-03-19,38.7,39.17,38.37,38.4875
2004-03-22,38.15,38.22,37.02,37.71
2004-03-23,37.67,37.86,36.41,36.74
2004-03-24,36.9,37.4,36.48,36.95
2004-03-25,37.305,37.94,36.88,37.91
2004-03-26,37.6,38.05,37.37,37.53
2004-03-29,37.86,38.9,37.85,38.52
2004-03-30,38.35,39.26,38.15,39.04
2004-03-31,39.05,39.16,38.45,38.77
2004-04-01,38.93,39.43,38.73,39.13
2004-04-02,39.94,40.34,39.83,40.33
2004-04-05,40.28,40.8,40.23,40.73
2004-04-06,40.76,41.6,40.5,41.35
2004-04-07,41.37,41.37,40.68,40.9
2004-04-08,41.05,41.52,40.91,41.1
2004-04-12,41.24,41.55,41.1,41.25
2004-04-13,41.6,41.61,40.28,40.41
2004-04-14,40.37,41.31,40.28,41.04
2004-04-15,41.12,41.6,40.48,41.0261
2004-04-16,40.7,40.79,40.33,40.664
2004-04-19,40.35,40.4,39.75,40.199
2004-04-20,40.9,40.95,40.01,40.3302
2004-04-21,40.36,41.33,40.33,41.1714
2004-04-22,41.15,42.39,41.04,42.2551
2004-04-23,42.2,42.28,41.46,41.9
2004-04-26,41.9,42.25,41.81,42.0192
2004-04-27,41.95,42.81,41.88,42.04
2004-04-28,42.0,42.0,41.16,41.45
2004-04-29,41.4,41.76,41.0,41.09
2004-04-30,41.25,41.3,39.92,40.03
2004-05-03,40.05,40.64,39.85,40.18
2004-05-04,40.08,40.35,39.74,40.16
2004-05-05,40.15,40.15,39.0,39.0099
2004-05-06,38.96,39.33,38.68,39.02
2004-05-07,38.85,39.05,37.86,37.95
2004-05-10,37.6,37.9,36.52,36.78
2004-05-11,36.79,37.25,36.79,37.11
2004-05-12,37.16,37.18,36.24,37.08
2004-05-13,36.74,37.5,36.58,37.05
2004-05-14,36.9,37.31,36.52,36.99
2004-05-17,36.41,36.41,35.63,36.0502
2004-05-18,36.06,36.88,36.06,36.88
2004-05-19,36.95,37.61,36.63,36.64
2004-05-20,36.52,36.58,36.03,36.03
2004-05-21,36.47,36.69,36.26,36.49
2004-05-24,36.95,37.47,36.49,36.49
2004-05-25,37.33,38.28,37.07,38.2
2004-05-26,37.9,38.56,37.9,38.49
2004-05-27,39.08,39.51,38.73,38.99
2004-05-28,39.05,39.22,38.85,38.96
2004-06-01,38.61,38.86,38.15,38.67
2004-06-02,39.12,39.51,38.77,39.37
2004-06-03,39.15,39.34,38.79,38.9087
2004-06-04,39.25,39.61,39.05,39.5
2004-06-07,39.6,40.7,39.6,40.7
2004-06-08,40.7,41.15,40.47,41.15
2004-06-09,41.08,42.01,41.05,41.8
2004-06-10,41.6,42.15,41.6,41.76
2004-06-14,41.49,41.64,40.61,40.85
2004-06-15,41.17,41.49,41.04,41.33
2004-06-16,41.28,41.6,41.01,41.43
2004-06-17,41.43,41.43,40.93,41.33
2004-06-18,41.12,41.93,41.02,41.27
2004-06-21,41.13,41.31,40.87,40.89
2004-06-22,40.75,41.07,40.7,41.05
2004-06-23,41.05,41.75,40.92,41.72
2004-06-24,41.72,41.73,41.4,41.45
2004-06-25,41.5,41.98,41.19,41.63
2004-06-28,41.9,42.4,41.62,41.9536
2004-06-29,41.67,41.76,41.54,41.67
2004-06-30,41.74,42.1,41.64,42.1
2004-07-01,42.25,42.25,41.38,41.73
2004-07-02,41.6,41.6,40.57,40.92
2004-07-06,40.67,40.73,40.25,40.5
2004-07-07,40.54,41.0,40.54,40.8797
2004-07-08,40.7,40.81,40.2,40.2
2004-07-09,40.44,41.07,40.43,41.02
2004-07-12,41.0,41.01,40.36,40.64
2004-07-13,40.64,40.82,40.29,40.31
2004-07-14,40.14,40.14,39.48,39.6366
2004-07-15,39.67,39.92,39.32,39.3249
2004-07-16,39.42,39.46,38.15,38.68
2004-07-19,39.1,39.32,38.35,38.63
2004-07-20,39.5,40.15,39.5,39.84
2004-07-21,39.97,41.2,39.82,40.45
2004-07-22,40.36,40.38,39.07,39.7
2004-07-23,39.6,39.6,38.78,38.97
2004-07-26,39.1,39.12,38.48,38.55
2004-07-27,38.73,39.29,38.27,39.2
2004-07-28,39.24,39.43,38.78,39.29
2004-07-29,39.5,39.83,39.41,39.64
2004-07-30,39.72,39.77,39.45,39.68
2004-08-02,39.44,39.69,39.15,39.62
2004-08-03,39.62,39.7,39.25,39.33
2004-08-04,39.22,39.5,38.92,39.25
2004-08-05,39.32,39.37,38.51,38.54
2004-08-06,38.01,38.09,37.55,37.81
2004-08-09,38.0,38.3,37.62,37.9358
2004-08-10,37.98,38.25,37.82,38.25
2004-08-11,38.01,38.01,37.14,37.66
2004-08-12,37.61,37.61,37.04,37.07
2004-08-13,37.32,37.32,36.69,36.82
2004-08-16,36.95,37.81,36.9,37.67
2004-08-17,37.72,38.49,37.72,38.0687
2004-08-18,38.05,38.41,37.76,38.3825
2004-08-19,38.35,38.51,38.12,38.46
2004-08-20,38.42,38.84,38.18,38.68
2004-08-23,38.6,38.93,38.3,38.36
2004-08-24,38.65,38.84,38.18,38.4202
2004-08-25,38.44,38.77,38.02,38.7
2004-08-26,38.75,38.83,38.56,38.79
2004-08-27,38.85,38.96,38.57,38.77
2004-08-30,38.85,38.85,38.2,38.2
2004-08-31,38.3,38.43,37.54,37.73
2004-09-01,38.13,38.4,37.9,38.2
2004-09-02,37.95,39.08,37.8,38.95
2004-09-03,38.95,38.97,38.73,38.85
2004-09-07,39.12,39.47,38.67,39.02
2004-09-08,39.04,39.04,38.34,38.38
2004-09-09,38.65,38.74,37.99,38.48
2004-09-10,38.22,38.69,38.14,38.66
2004-09-13,38.61,39.47,38.55,39.0326
2004-09-14,39.12,39.12,38.77,38.88
2004-09-15,38.81,38.81,38.36,38.51
2004-09-16,38.63,39.18,38.57,38.8633
2004-09-17,39.0,39.42,38.96,39.04
2004-09-20,38.99,39.12,38.61,38.7
2004-09-21,38.9,39.25,38.76,39.12
2004-09-22,38.75,38.8,38.27,38.35
2004-09-23,38.25,38.25,37.76,37.8596
2004-09-24,37.78,37.98,37.56,37.74
2004-09-27,37.82,37.82,37.28,37.51
2004-09-28,37.53,37.9,37.09,37.83
2004-09-29,37.7,38.75,37.68,38.65
2004-09-30,38.7,39.08,38.38,38.8685
2004-10-01,39.02,39.95,38.8,39.65
2004-10-04,39.34,40.42,39.34,40.2
2004-10-05,40.14,40.14,39.51,39.6696
2004-10-06,39.59,40.13,39.42,40.1293
2004-10-07,40.1,40.1,38.86,38.91
2004-10-08,38.53,38.78,37.83,38.01
2004-10-11,38.16,38.35,37.99,37.99
2004-10-12,38.02,38.02,37.64,37.71
2004-10-13,38.05,38.23,37.43,37.5019
2004-10-14,37.45,37.55,36.84,36.9
2004-10-15,37.1,37.24,36.83,36.87
2004-10-18,36.67,36.68,36.21,36.44
2004-10-19,36.6,37.38,36.3,36.3591
2004-10-20,36.3,37.46,35.13,37.02
2004-10-21,37.02,37.46,36.21,37.11
2004-10-22,37.3,37.5,36.91,36.91
2004-10-25,36.8,36.93,36.41,36.81
2004-10-26,36.71,37.42,36.35,37.39
2004-10-27,37.31,38.07,37.04,38.01
2004-10-28,38.01,38.44,37.51,38.44
2004-10-29,38.36,39.28,38.3036,39.27
2004-11-01,39.27,39.29,38.96,39.19
2004-11-02,39.2,39.85,39.14,39.5
2004-11-03,39.8,39.98,39.58,39.7367
2004-11-04,39.86,40.75,39.66,40.5
2004-11-05,40.99,40.99,40.62,40.82
2004-11-08,40.86,41.03,40.42,40.92
2004-11-09,40.93,40.97,40.51,40.8
2004-11-10,40.77,40.91,40.47,40.58
2004-11-11,40.8,41.79,40.76,41.65
2004-11-12,41.6,41.68,41.26,41.68
2004-11-15,41.65,41.74,41.15,41.47
2004-11-16,41.2,41.46,41.0,41.16
2004-11-17,41.11,41.77,41.11,41.4
2004-11-18,41.32,41.83,41.25,41.37
2004-11-19,41.31,41.31,40.7,40.7367
2004-11-22,40.76,41.21,40.56,41.13
2004-11-23,41.18,41.18,40.49,40.83
2004-11-24,40.96,41.06,40.66,40.8197
2004-11-26,40.65,40.91,40.27,40.73
2004-11-29,40.73,40.84,39.98,40.52
2004-11-30,40.5,40.54,40.0,40.45
2004-12-01,40.35,41.62,39.98,41.62
2004-12-02,41.41,41.87,41.21,41.435
2004-12-03,41.52,41.78,41.0,41.52
2004-12-06,41.52,41.56,41.0,41.43
2004-12-07,41.42,41.82,41.27,41.69
2004-12-08,41.38,41.86,41.37,41.73
2004-12-09,41.63,41.99,40.97,41.95
2004-12-10,41.89,41.98,41.21,41.43
2004-12-13,41.5,41.91,41.27,41.7375
2004-12-14,41.75,42.66,41.63,42.66
2004-12-15,42.5,42.56,41.9,42.08
2004-12-16,42.01,42.18,41.75,42.0018
2004-12-17,41.76,42.19,41.28,41.54
2004-12-20,41.7,41.96,41.38,41.5
2004-12-21,41.55,41.63,41.18,41.35
2004-12-22,41.46,41.71,41.181000000000004,41.3207
2004-12-23,41.29,41.6,41.21,41.25
2004-12-27,41.15,41.59,40.96,41.01
2004-12-28,41.1,41.67,40.98,41.61
2004-12-29,41.62,41.93,41.3726,41.62
2004-12-30,41.87,42.01,41.66,42.0
2004-12-31,42.05,42.23,41.94,41.94
2005-01-03,41.91,42.11,41.11,41.17
2005-01-04,41.57,41.78,40.89,40.98
2005-01-05,40.99,41.34,40.14,40.19
2005-01-06,40.16,40.16,39.72,39.81
2005-01-07,39.71,39.81,39.21,39.3953
2005-01-10,39.12,39.35,38.9994,38.9994
2005-01-11,39.01,39.05,38.6,38.7
2005-01-12,38.85,39.54,38.81,39.54
2005-01-13,39.54,39.65,39.08,39.2
2005-01-14,39.5,40.1,39.24,40.09
2005-01-18,40.12,40.2,39.26,39.7389
2005-01-19,39.57,39.86,38.98,39.0597
2005-01-20,39.04,39.16,38.26,38.64
2005-01-21,38.86,39.25,38.31,38.6179
2005-01-24,38.41,39.11,38.26,38.8295
2005-01-25,38.96,39.46,38.83,39.06
2005-01-26,38.45,38.45,36.87,37.24
2005-01-27,37.24,37.63,36.95,37.34
2005-01-28,37.46,37.54,36.88,37.18
2005-01-31,37.32,38.32,37.11,38.3
2005-02-01,38.49,38.59,37.79,38.02
2005-02-02,38.02,38.06,37.73,37.85
2005-02-03,37.91,37.91,37.26,37.39
2005-02-04,37.4,37.88,37.37,37.818000000000005
2005-02-07,37.71,38.56,37.61,38.56
2005-02-08,38.35,39.11,38.3,39.03
2005-02-09,38.85,38.9,38.0,38.5538
2005-02-10,38.1098,38.35,37.55,37.75
2005-02-11,37.9,38.99,37.68,38.89
2005-02-14,38.89,39.07,38.59,38.8413
2005-02-15,38.93,38.93,38.44,38.75
2005-02-16,38.54,39.02,38.23,38.902
2005-02-17,38.69,38.89,37.98,38.09
2005-02-18,37.82,38.1,37.64,38.01
2005-02-22,37.6,38.04,37.31,37.31
2005-02-23,37.55,37.8,37.15,37.78
2005-02-24,37.91,38.2,37.4,38.07
2005-02-25,38.01,38.77,37.9,38.77
2005-02-28,38.84,38.84,38.29,38.6681
2005-03-01,38.58,39.34,38.58,39.15
2005-03-02,38.91,39.04,38.65,38.82
2005-03-03,38.9,39.02,38.59,38.84
2005-03-04,38.97,39.65,38.89,39.62
2005-03-07,39.78,40.61,39.74,40.3
2005-03-08,40.3,40.45,39.85,39.89
2005-03-09,39.71,40.1,39.66,39.8941
2005-03-10,39.92,40.49,39.92,40.1
2005-03-11,40.06,40.31,39.44,39.5492
2005-03-14,39.72,40.23,39.5,39.63
2005-03-15,39.8,39.9,39.55,39.55
2005-03-16,39.51,39.53,38.98,39.05
2005-03-17,38.88,39.35,38.84,39.2973
2005-03-18,39.29,39.55,38.8,38.9944
2005-03-21,39.01,39.4,38.89,39.17
2005-03-22,39.42,39.79,38.92,39.2858
2005-03-23,38.89,38.97,38.53,38.6
2005-03-24,38.65,38.95,38.61,38.61
2005-03-28,38.59,38.7,38.36,38.39
2005-03-29,38.25,38.3,37.44,37.44
2005-03-30,37.45,38.02,37.45,37.95
2005-03-31,37.97,38.14,37.74,37.79
2005-04-01,37.92,37.94,37.26,37.26
2005-04-04,37.26,37.45,36.92,37.25
2005-04-05,37.19,37.57,37.19,37.45
2005-04-06,37.55,37.93,37.49,37.56
2005-04-07,37.64,38.2,37.56,37.97
2005-04-08,38.38,38.38,37.71,37.71
2005-04-11,38.13,38.8,37.92,38.6
2005-04-12,38.43,38.85,37.85,38.69
2005-04-13,38.49,38.52,37.64,37.73
2005-04-14,37.75,37.75,36.79,36.79
2005-04-15,36.37,36.39,35.6,35.64
2005-04-18,35.68,36.37,35.65,36.32
2005-04-19,36.28,36.57,35.8,36.45
2005-04-20,36.37,36.6,35.03,35.82
2005-04-21,35.91,36.39,35.32,36.09
2005-04-22,35.95,35.95,34.7,35.03
2005-04-25,35.16,35.33,34.81,35.12
2005-04-26,35.14,35.3,34.63,34.7
2005-04-27,34.45,35.42,34.2,35.37
2005-04-28,35.21,35.56,35.01,35.26
2005-04-29,35.39,36.39,35.35,36.36
2005-05-02,36.45,36.67,36.26,36.56
2005-05-03,36.41,37.04,36.39,36.7
2005-05-04,36.86,37.46,36.67,37.43
2005-05-05,37.3,37.59,36.76,36.94
2005-05-06,37.25,37.5,37.05,37.3
2005-05-09,37.2,37.54,36.94,37.54
2005-05-10,37.2,37.26,36.67,36.8
2005-05-11,36.85,36.97,36.11,36.9
2005-05-12,36.87,37.13,36.46,36.63
2005-05-13,36.65,36.8,36.31,36.45
2005-05-16,36.54,37.01,36.5,36.97
2005-05-17,36.75,37.17,36.48,37.17
2005-05-18,37.17,37.76,37.17,37.62
2005-05-19,37.7,37.92,37.43,37.569
2005-05-20,37.1,37.32,36.95,37.22
2005-05-23,37.27,37.5,37.12,37.2408
2005-05-24,36.98,37.05,36.66,36.97
2005-05-25,36.8,36.88,36.46,36.82
2005-05-26,36.9,37.1,36.85,37.08
2005-05-27,37.19,38.2,37.08,37.82
2005-05-31,37.78,38.01,37.37,37.87
2005-06-01,37.91,38.37,37.77,38.26
2005-06-02,37.97,38.46,37.82,38.27
2005-06-03,38.0,38.31,37.86,38.01
2005-06-06,37.92,38.06,37.49,37.61
2005-06-07,37.56,38.22,37.56,37.95
2005-06-08,37.95,38.13,37.62,37.63
2005-06-09,37.5,37.5,36.9,37.05
2005-06-10,37.04,37.27,36.96,37.1
2005-06-13,36.99,37.23,36.89,37.08
2005-06-14,37.13,37.26,36.82,36.9734
2005-06-15,37.06,37.06,36.37,36.6399
2005-06-16,36.67,36.93,36.57,36.8
2005-06-17,37.01,37.35,36.72,36.76
2005-06-20,36.55,36.98,36.5,36.83
2005-06-21,36.87,37.29,36.7,37.06
2005-06-22,37.25,37.29,36.9,36.98
2005-06-23,36.98,36.99,36.42,36.44
2005-06-24,36.41,36.5,35.88,36.0606
2005-06-27,36.06,36.12,35.7,35.86
2005-06-28,35.86,36.59,35.83,36.5624
2005-06-29,36.76,36.89,36.57,36.74
2005-06-30,36.74,36.74,36.27,36.74
2005-07-01,36.79,36.97,36.52,36.82
2005-07-05,36.77,37.02,36.43,36.91
2005-07-06,36.9,36.91,36.47,36.47
2005-07-07,36.1,36.49,35.8,36.47
2005-07-08,36.45,36.86,36.37,36.81
2005-07-11,37.0,37.0,36.53,36.8
2005-07-12,36.71,36.88,36.37,36.88
2005-07-13,36.84,37.55,36.75,37.53
2005-07-14,38.02,38.31,37.76,38.18
2005-07-15,37.97,38.56,37.83,38.53
2005-07-18,38.45,39.04,38.45,38.89
2005-07-19,39.0,39.74,38.91,39.02
2005-07-20,39.05,39.62,38.67,39.58
2005-07-21,39.55,41.0,39.39,41.0
2005-07-22,40.6,41.35,40.3,41.29
2005-07-25,41.16,41.7,40.51,40.63
2005-07-26,40.84,41.87,40.73,41.44
2005-07-27,41.32,41.65,41.13,41.47
2005-07-28,41.47,42.0,41.47,41.87
2005-07-29,41.63,41.72,40.91,41.2625
2005-08-01,41.4,41.74,41.34,41.54
