timestamp,open,high,low,close
2004-01-02,13.38,13.67,13.19,13.22
2004-01-05,13.33,13.67,13.22,13.62
2004-01-06,13.63,13.81,13.55,13.71
2004-01-07,13.71,13.81,13.52,13.8
2004-01-08,13.8,13.89,13.52,13.55
2004-01-09,13.56,13.58,13.34,13.34
2004-01-12,13.38,13.5,13.23,13.49
2004-01-13,13.57,13.85,13.45,13.79
2004-01-14,13.8,13.97,13.62,13.75
2004-01-15,13.67,14.19,13.66,14.05
2004-01-16,13.97,14.15,13.9,14.06
2004-01-20,14.1,14.17,13.81,13.82
2004-01-21,13.94,14.16,13.52,14.11
2004-01-22,14.15,14.66,13.99,14.57
2004-01-23,14.5,14.63,14.37,14.59
2004-01-26,14.55,14.6,14.13,14.43
2004-01-27,14.52,14.52,14.11,14.2
2004-01-28,14.27,14.31,13.89,14.04
2004-01-29,14.23,14.23,13.72,14.16
2004-01-30,14.12,14.27,13.89,14.07
2004-02-02,14.08,14.13,13.79,13.83
2004-02-03,13.83,13.88,13.6,13.69
2004-02-04,13.67,14.0,13.63,13.78
2004-02-05,13.85,14.21,13.78,14.16
2004-02-06,14.19,14.28,14.03,14.21
2004-02-09,14.22,14.34,14.13,14.2
2004-02-10,14.2,14.27,14.07,14.15
2004-02-11,14.25,14.56,14.17,14.53
2004-02-12,14.52,14.71,14.47,14.56
2004-02-13,14.55,14.69,14.34,14.45
2004-02-17,14.52,14.61,14.47,14.57
2004-02-18,14.52,14.56,14.35,14.45
2004-02-19,14.53,14.64,14.38,14.5
2004-02-20,14.42,14.65,14.36,14.6
2004-02-23,14.56,14.59,14.19,14.26
2004-02-24,14.24,14.51,14.11,14.14
2004-02-25,14.16,14.24,13.95,14.22
2004-02-26,14.17,14.44,14.11,14.4
2004-02-27,14.42,14.49,14.31,14.42
2004-03-01,14.71,14.71,14.39,14.5
2004-03-02,14.5,14.62,14.28,14.32
2004-03-03,14.27,14.3,14.1,14.23
2004-03-04,14.24,14.34,14.15,14.29
2004-03-05,14.29,14.68,14.14,14.6
2004-03-08,14.57,15.15,14.52,14.64
2004-03-09,14.73,14.87,14.56,14.73
2004-03-10,14.74,14.75,14.37,14.4
2004-03-11,14.31,14.46,14.16,14.22
2004-03-12,14.25,14.55,14.21,14.54
2004-03-15,14.55,14.6,14.24,14.27
2004-03-16,14.35,14.41,14.16,14.27
2004-03-17,14.35,14.65,14.26,14.61
2004-03-18,14.57,14.62,14.42,14.55
2004-03-19,14.58,14.63,14.29,14.38
2004-03-22,14.27,14.31,13.7,13.93
2004-03-23,13.99,14.06,13.65,13.79
2004-03-24,13.8,14.02,13.72,13.95
2004-03-25,13.96,14.26,13.91,14.2
2004-03-26,14.23,14.25,14.06,14.06
2004-03-29,14.09,14.41,14.09,14.41
2004-03-30,14.36,14.71,14.3,14.71
2004-03-31,14.71,14.83,14.54,14.66
2004-04-01,14.58,15.25,14.54,15.2
2004-04-02,15.18,15.59,15.18,15.52
2004-04-05,15.52,15.66,15.43,15.57
2004-04-06,15.45,15.65,15.43,15.54
2004-04-07,15.55,15.88,15.49,15.82
2004-04-08,15.89,16.04,15.76,15.95
2004-04-12,16.12,16.12,15.86,16.04
2004-04-13,16.15,16.15,15.6,15.64
2004-04-14,15.68,15.93,15.58,15.85
2004-04-15,15.87,15.99,15.76,15.89
2004-04-16,15.78,15.91,15.68,15.76
2004-04-19,15.78,16.01,15.71,15.96
2004-04-20,16.01,16.17,15.52,15.62
2004-04-21,15.78,16.66,15.38,16.22
2004-04-22,16.42,17.49,16.2,17.37
2004-04-23,17.42,17.43,17.09,17.23
2004-04-26,17.26,17.35,16.87,17.19
2004-04-27,17.18,17.83,17.1,17.68
2004-04-28,17.67,17.79,17.46,17.53
2004-04-29,17.53,17.72,17.11,17.26
2004-04-30,17.29,17.37,16.79,16.8
2004-05-03,16.64,17.27,16.64,17.24
2004-05-04,17.27,17.53,17.11,17.43
2004-05-05,17.31,17.59,17.31,17.38
2004-05-06,17.39,17.39,16.85,17.03
2004-05-07,17.04,17.23,16.79,16.8
2004-05-10,16.65,16.8,16.19,16.47
2004-05-11,16.47,16.84,16.44,16.75
2004-05-12,16.83,17.05,16.32,16.98
2004-05-13,16.92,16.92,16.65,16.67
2004-05-14,16.62,16.83,16.44,16.62
2004-05-17,16.31,16.61,16.31,16.52
2004-05-18,16.61,16.74,16.6,16.66
2004-05-19,16.78,17.03,16.64,16.66
2004-05-20,16.62,16.93,16.62,16.89
2004-05-21,16.93,16.96,16.8,16.86
2004-05-24,17.0,17.46,16.9,17.34
2004-05-25,17.3,18.0,17.23,17.95
2004-05-26,17.92,18.25,17.87,18.19
2004-05-27,18.16,18.58,18.15,18.52
2004-05-28,18.52,18.88,18.42,18.72
2004-06-01,18.66,18.93,18.37,18.93
2004-06-02,18.89,19.09,18.68,18.72
2004-06-03,18.64,18.7,18.41,18.47
2004-06-04,18.52,18.74,18.39,18.54
2004-06-07,18.96,18.96,18.48,18.62
2004-06-08,18.56,18.75,18.5,18.72
2004-06-09,18.72,18.73,18.13,18.21
2004-06-10,18.31,18.41,18.1,18.38
2004-06-14,18.31,18.39,17.9,18.02
2004-06-15,18.05,18.48,18.05,18.36
2004-06-16,18.37,18.52,18.32,18.45
2004-06-17,18.58,18.58,18.18,18.23
2004-06-18,18.15,18.39,18.15,18.2
2004-06-21,18.23,18.36,18.01,18.07
2004-06-22,18.07,18.35,17.74,18.35
2004-06-23,18.32,18.59,18.27,18.58
2004-06-24,18.61,18.79,18.58,18.69
2004-06-25,18.7,19.26,18.64,19.15
2004-06-28,19.2,19.79,19.16,19.54
2004-06-29,19.54,19.54,19.2,19.32
2004-06-30,19.39,19.57,19.16,19.35
2004-07-01,19.42,19.42,18.96,19.05
2004-07-02,19.07,19.23,18.82,19.23
2004-07-06,19.15,19.22,18.79,18.93
2004-07-07,18.6,18.91,17.23,17.5
2004-07-08,17.52,17.86,17.32,17.64
