timestamp,open,high,low,close
2004-01-02,23.97,23.97,23.97,23.97
2004-01-05,24.2,24.2,24.2,24.2
2004-01-06,24.4893,24.4893,24.4893,24.4893
2004-01-07,24.04,24.04,24.04,24.04
2004-01-08,24.09,24.09,24.09,24.09
2004-01-09,24.0,24.0,24.0,24.0
2004-01-12,24.05,24.05,24.05,24.05
2004-01-13,24.04,24.04,24.04,24.04
2004-01-14,24.25,24.25,24.25,24.25
2004-01-15,24.23,24.23,24.23,24.23
2004-01-16,23.99,23.99,23.99,23.99
2004-01-20,24.0574,24.0574,24.0574,24.0574
2004-01-21,24.25,24.25,24.25,24.25
2004-01-22,25.49,25.49,25.49,25.49
2004-01-23,26.22,26.22,26.22,26.22
2004-01-26,26.85,26.85,26.85,26.85
2004-01-27,26.85,26.85,26.85,26.85
2004-01-28,25.88,25.88,25.88,25.88
2004-01-29,25.6773,25.6773,25.6773,25.6773
2004-01-30,26.01,26.01,26.01,26.01
2004-02-02,26.05,26.05,26.05,26.05
2004-02-03,25.47,25.47,25.47,25.47
2004-02-04,25.5,25.5,25.5,25.5
2004-02-05,26.1,26.1,26.1,26.1
2004-02-06,26.1,26.1,26.1,26.1
2004-02-09,26.16,26.16,26.16,26.16
2004-02-10,26.5,26.5,26.5,26.5
2004-02-11,26.56,26.56,26.56,26.56
2004-02-12,26.72,26.72,26.72,26.72
2004-02-13,26.74,26.74,26.74,26.74
2004-02-17,26.99,26.99,26.99,26.99
2004-02-18,27.0016,27.0016,27.0016,27.0016
2004-02-19,26.47,26.47,26.47,26.47
2004-02-20,26.42,26.42,26.42,26.42
2004-02-23,25.96,25.96,25.96,25.96
2004-02-24,26.39,26.39,26.39,26.39
2004-02-25,26.07,26.07,26.07,26.07
2004-02-26,26.07,26.07,26.07,26.07
2004-02-27,26.21,26.21,26.21,26.21
2004-03-01,26.35,26.35,26.35,26.35
2004-03-02,26.28,26.28,26.28,26.28
2004-03-03,26.48,26.48,26.48,26.48
2004-03-04,26.7,26.7,26.7,26.7
2004-03-05,26.92,26.92,26.92,26.92
2004-03-08,26.78,26.78,26.78,26.78
2004-03-09,26.87,26.87,26.87,26.87
2004-03-10,26.4142,26.4142,26.4142,26.4142
2004-03-11,25.9,25.9,25.9,25.9
2004-03-12,25.82,25.82,25.82,25.82
2004-03-15,25.35,25.35,25.35,25.35
2004-03-16,25.33,25.33,25.33,25.33
2004-03-17,25.84,25.84,25.84,25.84
2004-03-18,26.15,26.15,26.15,26.15
2004-03-19,26.0925,26.0925,26.0925,26.0925
2004-03-22,25.55,25.55,25.55,25.55
2004-03-23,25.47,25.47,25.47,25.47
2004-03-24,25.6,25.6,25.6,25.6
2004-03-25,25.6,25.6,25.6,25.6
2004-03-26,25.28,25.28,25.28,25.28
2004-03-29,25.88,25.88,25.88,25.88
2004-03-30,25.62,25.62,25.62,25.62
2004-03-31,25.82,25.82,25.82,25.82
2004-04-01,25.98,25.98,25.98,25.98
2004-04-02,26.24,26.24,26.24,26.24
2004-04-05,26.76,26.76,26.76,26.76
2004-04-06,27.1,27.1,27.1,27.1
2004-04-07,27.2,27.2,27.2,27.2
2004-04-08,27.065,27.065,27.065,27.065
2004-04-12,27.14,27.14,27.14,27.14
2004-04-13,26.96,26.96,26.96,26.96
2004-04-14,26.5,26.5,26.5,26.5
2004-04-15,26.48,26.48,26.48,26.48
2004-04-16,26.47,26.47,26.47,26.47
2004-04-19,26.149,26.149,26.149,26.149
2004-04-20,25.4727,25.4727,25.4727,25.4727
2004-04-21,25.87,25.87,25.87,25.87
2004-04-22,26.105,26.105,26.105,26.105
2004-04-23,25.76,25.76,25.76,25.76
2004-04-26,25.4834,25.4834,25.4834,25.4834
2004-04-27,25.21,25.21,25.21,25.21
2004-04-28,24.68,24.68,24.68,24.68
2004-04-29,24.36,24.36,24.36,24.36
2004-04-30,24.51,24.51,24.51,24.51
2004-05-03,25.15,25.15,25.15,25.15
2004-05-04,24.7,24.7,24.7,24.7
2004-05-05,24.6427,24.6427,24.6427,24.6427
2004-05-06,24.67,24.67,24.67,24.67
2004-05-07,24.25,24.25,24.25,24.25
2004-05-10,24.26,24.26,24.26,24.26
2004-05-11,24.41,24.41,24.41,24.41
2004-05-12,24.2944,24.2944,24.2944,24.2944
2004-05-13,25.19,25.19,25.19,25.19
2004-05-14,24.98,24.98,24.98,24.98
2004-05-17,24.57,24.57,24.57,24.57
2004-05-18,24.82,24.82,24.82,24.82
2004-05-19,24.47,24.47,24.47,24.47
2004-05-20,24.47,24.47,24.47,24.47
2004-05-21,24.2,24.2,24.2,24.2
2004-05-24,24.2,24.2,24.2,24.2
2004-05-25,24.15,24.15,24.15,24.15
2004-05-26,24.61,24.61,24.61,24.61
2004-05-27,24.46,24.46,24.46,24.46
2004-05-28,24.51,24.51,24.51,24.51
2004-06-01,24.2,24.2,24.2,24.2
2004-06-02,24.49,24.49,24.49,24.49
2004-06-03,24.72,24.72,24.72,24.72
2004-06-04,24.65,24.65,24.65,24.65
2004-06-07,24.96,24.96,24.96,24.96
2004-06-08,25.29,25.29,25.29,25.29
2004-06-09,24.77,24.77,24.77,24.77
2004-06-10,24.94,24.94,24.94,24.94
2004-06-14,24.95,24.95,24.95,24.95
2004-06-15,25.36,25.36,25.36,25.36
2004-06-16,25.41,25.41,25.41,25.41
2004-06-17,25.33,25.33,25.33,25.33
2004-06-18,24.99,24.99,24.99,24.99
2004-06-21,24.94,24.94,24.94,24.94
2004-06-22,24.84,24.84,24.84,24.84
2004-06-23,25.11,25.11,25.11,25.11
2004-06-24,25.0,25.0,25.0,25.0
2004-06-25,25.3306,25.3306,25.3306,25.3306
2004-06-28,24.74,24.74,24.74,24.74
2004-06-29,24.74,24.74,24.74,24.74
2004-06-30,24.75,24.75,24.75,24.75
2004-07-01,24.31,24.31,24.31,24.31
2004-07-02,24.07,24.07,24.07,24.07
2004-07-06,23.94,23.94,23.94,23.94
2004-07-07,23.9197,23.9197,23.9197,23.9197
2004-07-08,23.58,23.58,23.58,23.58
2004-07-09,23.32,23.32,23.32,23.32
2004-07-12,23.31,23.31,23.31,23.31
2004-07-13,23.59,23.59,23.59,23.59
2004-07-14,23.57,23.57,23.57,23.57
2004-07-15,23.7,23.7,23.7,23.7
2004-07-16,23.4,23.4,23.4,23.4
2004-07-19,23.26,23.26,23.26,23.26
2004-07-20,24.0,24.0,24.0,24.0
2004-07-21,23.9,23.9,23.9,23.9
2004-07-22,24.0,24.0,24.0,24.0
2004-07-23,23.93,23.93,23.93,23.93
2004-07-26,24.13,24.13,24.13,24.13
2004-07-27,24.15,24.15,24.15,24.15
2004-07-28,24.29,24.29,24.29,24.29
2004-07-29,24.3,24.3,24.3,24.3
2004-07-30,24.12,24.12,24.12,24.12
2004-08-02,24.15,24.15,24.15,24.15
2004-08-03,23.809,23.809,23.809,23.809
2004-08-04,24.42,24.42,24.42,24.42
2004-08-05,24.0112,24.0112,24.0112,24.0112
2004-08-06,23.73,23.73,23.73,23.73
2004-08-09,23.7785,23.7785,23.7785,23.7785
2004-08-10,23.94,23.94,23.94,23.94
2004-08-11,24.09,24.09,24.09,24.09
2004-08-12,23.8,23.8,23.8,23.8
2004-08-13,23.57,23.57,23.57,23.57
2004-08-16,24.32,24.32,24.32,24.32
2004-08-17,24.45,24.45,24.45,24.45
2004-08-18,24.7125,24.7125,24.7125,24.7125
2004-08-19,24.84,24.84,24.84,24.84
2004-08-20,25.1,25.1,25.1,25.1
2004-08-23,24.96,24.96,24.96,24.96
2004-08-24,25.18,25.18,25.18,25.18
2004-08-25,24.53,24.53,24.53,24.53
2004-08-26,24.22,24.22,24.22,24.22
2004-08-27,24.27,24.27,24.27,24.27
2004-08-30,24.09,24.09,24.09,24.09
2004-08-31,24.4,24.4,24.4,24.4
2004-09-01,24.32,24.32,24.32,24.32
2004-09-02,24.64,24.64,24.64,24.64
2004-09-03,24.77,24.77,24.77,24.77
2004-09-07,24.69,24.69,24.69,24.69
2004-09-08,24.6,24.6,24.6,24.6
2004-09-09,24.81,24.81,24.81,24.81
2004-09-10,24.97,24.97,24.97,24.97
2004-09-13,25.18,25.18,25.18,25.18
2004-09-14,25.58,25.58,25.58,25.58
2004-09-15,25.42,25.42,25.42,25.42
2004-09-16,25.5867,25.5867,25.5867,25.5867
2004-09-17,25.58,25.58,25.58,25.58
2004-09-20,25.56,25.56,25.56,25.56
2004-09-21,26.1,26.1,26.1,26.1
2004-09-22,25.79,25.79,25.79,25.79
2004-09-23,26.14,26.14,26.14,26.14
2004-09-24,26.64,26.64,26.64,26.64
2004-09-27,26.53,26.53,26.53,26.53
2004-09-28,26.14,26.14,26.14,26.14
2004-09-29,26.05,26.05,26.05,26.05
2004-09-30,26.3082,26.3082,26.3082,26.3082
2004-10-01,26.74,26.74,26.74,26.74
2004-10-04,26.89,26.89,26.89,26.89
2004-10-05,26.58,26.58,26.58,26.58
2004-10-06,26.8393,26.8393,26.8393,26.8393
2004-10-07,26.57,26.57,26.57,26.57
2004-10-08,26.04,26.04,26.04,26.04
2004-10-11,26.03,26.03,26.03,26.03
2004-10-12,26.17,26.17,26.17,26.17
2004-10-13,26.0669,26.0669,26.0669,26.0669
2004-10-14,26.0,26.0,26.0,26.0
2004-10-15,25.93,25.93,25.93,25.93
2004-10-18,26.4,26.4,26.4,26.4
2004-10-19,26.26,26.26,26.26,26.26
2004-10-20,26.23,26.23,26.23,26.23
2004-10-21,26.0,26.0,26.0,26.0
2004-10-22,25.72,25.72,25.72,25.72
2004-10-25,25.6903,25.6903,25.6903,25.6903
2004-10-26,25.78,25.78,25.78,25.78
2004-10-27,26.57,26.57,26.57,26.57
2004-10-28,26.68,26.68,26.68,26.68
2004-10-29,26.15,26.15,26.15,26.15
2004-11-01,26.43,26.43,26.43,26.43
2004-11-02,26.45,26.45,26.45,26.45
2004-11-03,26.81,26.81,26.81,26.81
2004-11-04,27.08,27.08,27.08,27.08
2004-11-05,26.8,26.8,26.8,26.8
2004-11-08,26.97,26.97,26.97,26.97
2004-11-09,26.83,26.83,26.83,26.83
2004-11-10,27.2,27.2,27.2,27.2
2004-11-11,27.18,27.18,27.18,27.18
2004-11-12,27.29,27.29,27.29,27.29
2004-11-15,27.35,27.35,27.35,27.35
2004-11-16,27.3,27.3,27.3,27.3
2004-11-17,27.12,27.12,27.12,27.12
2004-11-18,27.28,27.28,27.28,27.28
2004-11-19,26.99,26.99,26.99,26.99
2004-11-22,27.28,27.28,27.28,27.28
2004-11-23,27.59,27.59,27.59,27.59
2004-11-24,28.11,28.11,28.11,28.11
2004-11-26,28.24,28.24,28.24,28.24
2004-11-29,28.04,28.04,28.04,28.04
2004-11-30,27.62,27.62,27.62,27.62
2004-12-01,27.69,27.69,27.69,27.69
2004-12-02,27.65,27.65,27.65,27.65
2004-12-03,27.7,27.7,27.7,27.7
2004-12-06,28.05,28.05,28.05,28.05
2004-12-07,27.81,27.81,27.81,27.81
2004-12-08,28.0,28.0,28.0,28.0
2004-12-09,27.68,27.68,27.68,27.68
2004-12-10,27.78,27.78,27.78,27.78
2004-12-13,28.2615,28.2615,28.2615,28.2615
2004-12-14,28.37,28.37,28.37,28.37
2004-12-15,28.22,28.22,28.22,28.22
2004-12-16,28.0118,28.0118,28.0118,28.0118
2004-12-17,28.05,28.05,28.05,28.05
2004-12-20,28.02,28.02,28.02,28.02
2004-12-21,27.89,27.89,27.89,27.89
2004-12-22,28.03,28.03,28.03,28.03
2004-12-23,27.8,27.8,27.8,27.8
2004-12-27,27.64,27.64,27.64,27.64
2004-12-28,27.7504,27.7504,27.7504,27.7504
2004-12-29,28.0,28.0,28.0,28.0
2004-12-30,28.05,28.05,28.05,28.05
2004-12-31,28.1,28.1,28.1,28.1
2005-01-03,28.66,28.66,28.66,28.66
2005-01-04,27.66,27.66,27.66,27.66
2005-01-05,27.83,27.83,27.83,27.83
2005-01-06,27.6,27.6,27.6,27.6
2005-01-07,27.48,27.48,27.48,27.48
2005-01-10,27.3694,27.3694,27.3694,27.3694
2005-01-11,27.31,27.31,27.31,27.31
2005-01-12,27.35,27.35,27.35,27.35
2005-01-13,27.2,27.2,27.2,27.2
2005-01-14,27.51,27.51,27.51,27.51
2005-01-18,28.0492,28.0492,28.0492,28.0492
2005-01-19,27.81,27.81,27.81,27.81
2005-01-20,28.12,28.12,28.12,28.12
2005-01-21,28.0,28.0,28.0,28.0
2005-01-24,28.38,28.38,28.38,28.38
2005-01-25,28.1,28.1,28.1,28.1
2005-01-26,27.91,27.91,27.91,27.91
2005-01-27,27.79,27.79,27.79,27.79
2005-01-28,27.93,27.93,27.93,27.93
2005-01-31,28.3,28.3,28.3,28.3
2005-02-01,28.78,28.78,28.78,28.78
2005-02-02,29.1,29.1,29.1,29.1
2005-02-03,30.3,30.3,30.3,30.3
2005-02-04,31.008000000000006,31.008000000000006,31.008000000000006,31.008000000000006
2005-02-07,30.74,30.74,30.74,30.74
2005-02-08,30.4599,30.4599,30.4599,30.4599
2005-02-09,30.84,30.84,30.84,30.84
2005-02-10,30.9,30.9,30.9,30.9
2005-02-11,31.15,31.15,31.15,31.15
2005-02-14,31.05,31.05,31.05,31.05
2005-02-15,31.32,31.32,31.32,31.32
2005-02-16,31.04,31.04,31.04,31.04
2005-02-17,30.7,30.7,30.7,30.7
2005-02-18,30.59,30.59,30.59,30.59
2005-02-22,30.4326,30.4326,30.4326,30.4326
2005-02-23,30.02,30.02,30.02,30.02
2005-02-24,30.2998,30.2998,30.2998,30.2998
2005-02-25,30.44,30.44,30.44,30.44
2005-02-28,30.39,30.39,30.39,30.39
2005-03-01,30.48,30.48,30.48,30.48
2005-03-02,30.927,30.927,30.927,30.927
2005-03-03,30.64,30.64,30.64,30.64
2005-03-04,30.85,30.85,30.85,30.85
2005-03-07,31.27,31.27,31.27,31.27
2005-03-08,30.72,30.72,30.72,30.72
2005-03-09,30.5759,30.5759,30.5759,30.5759
2005-03-10,30.6,30.6,30.6,30.6
2005-03-11,30.51,30.51,30.51,30.51
2005-03-14,30.95,30.95,30.95,30.95
2005-03-15,30.81,30.81,30.81,30.81
2005-03-16,30.61,30.61,30.61,30.61
2005-03-17,30.81,30.81,30.81,30.81
2005-03-18,30.5978,30.5978,30.5978,30.5978
2005-03-21,30.67,30.67,30.67,30.67
2005-03-22,30.57,30.57,30.57,30.57
2005-03-23,30.39,30.39,30.39,30.39
2005-03-24,30.52,30.52,30.52,30.52
2005-03-28,30.83,30.83,30.83,30.83
2005-03-29,30.45,30.45,30.45,30.45
2005-03-30,30.9,30.9,30.9,30.9
2005-03-31,30.69,30.69,30.69,30.69
2005-04-01,30.49,30.49,30.49,30.49
2005-04-04,30.68,30.68,30.68,30.68
2005-04-05,30.87,30.87,30.87,30.87
2005-04-06,30.6,30.6,30.6,30.6
2005-04-07,30.78,30.78,30.78,30.78
2005-04-08,30.8,30.8,30.8,30.8
2005-04-11,30.78,30.78,30.78,30.78
2005-04-12,31.3,31.3,31.3,31.3
2005-04-13,30.87,30.87,30.87,30.87
2005-04-14,30.47,30.47,30.47,30.47
2005-04-15,29.9,29.9,29.9,29.9
2005-04-18,30.25,30.25,30.25,30.25
2005-04-19,30.96,30.96,30.96,30.96
2005-04-20,30.72,30.72,30.72,30.72
2005-04-21,32.54,32.54,32.54,32.54
2005-04-22,32.84,32.84,32.84,32.84
2005-04-25,33.87,33.87,33.87,33.87
2005-04-26,32.95,32.95,32.95,32.95
2005-04-27,33.59,33.59,33.59,33.59
2005-04-28,33.19,33.19,33.19,33.19
2005-04-29,33.65,33.65,33.65,33.65
2005-05-02,34.5126,34.5126,34.5126,34.5126
2005-05-03,34.64,34.64,34.64,34.64
2005-05-04,35.0078,35.0078,35.0078,35.0078
2005-05-05,34.76,34.76,34.76,34.76
2005-05-06,34.79,34.79,34.79,34.79
2005-05-09,34.6094,34.6094,34.6094,34.6094
2005-05-10,34.42,34.42,34.42,34.42
2005-05-11,34.66,34.66,34.66,34.66
2005-05-12,34.53,34.53,34.53,34.53
2005-05-13,35.5,35.5,35.5,35.5
2005-05-16,35.73,35.73,35.73,35.73
2005-05-17,35.4,35.4,35.4,35.4
2005-05-18,35.83,35.83,35.83,35.83
2005-05-19,35.57,35.57,35.57,35.57
2005-05-20,35.41,35.41,35.41,35.41
2005-05-23,35.4308,35.4308,35.4308,35.4308
2005-05-24,35.03,35.03,35.03,35.03
2005-05-25,34.45,34.45,34.45,34.45
2005-05-26,34.93,34.93,34.93,34.93
2005-05-27,35.18,35.18,35.18,35.18
2005-05-31,34.69,34.69,34.69,34.69
2005-06-01,35.2,35.2,35.2,35.2
2005-06-02,35.56,35.56,35.56,35.56
2005-06-03,35.334,35.334,35.334,35.334
2005-06-06,35.49,35.49,35.49,35.49
2005-06-07,35.02,35.02,35.02,35.02
2005-06-08,34.51,34.51,34.51,34.51
2005-06-09,34.35,34.35,34.35,34.35
2005-06-10,34.19,34.19,34.19,34.19
2005-06-13,34.28,34.28,34.28,34.28
2005-06-14,34.4997,34.4997,34.4997,34.4997
2005-06-15,34.8899,34.8899,34.8899,34.8899
2005-06-16,34.995,34.995,34.995,34.995
2005-06-17,35.34,35.34,35.34,35.34
2005-06-20,35.33,35.33,35.33,35.33
2005-06-21,35.46,35.46,35.46,35.46
2005-06-22,35.44,35.44,35.44,35.44
2005-06-23,34.95,34.95,34.95,34.95
2005-06-24,34.9006,34.9006,34.9006,34.9006
2005-06-27,35.16,35.16,35.16,35.16
2005-06-28,35.78,35.78,35.78,35.78
2005-06-29,35.72,35.72,35.72,35.72
2005-06-30,35.72,35.72,35.72,35.72
2005-07-01,36.02,36.02,36.02,36.02
2005-07-05,35.98,35.98,35.98,35.98
2005-07-06,35.72,35.72,35.72,35.72
2005-07-07,35.76,35.76,35.76,35.76
2005-07-08,36.29,36.29,36.29,36.29
2005-07-11,36.62,36.62,36.62,36.62
2005-07-12,36.9,36.9,36.9,36.9
2005-07-13,36.84,36.84,36.84,36.84
2005-07-14,36.84,36.84,36.84,36.84
2005-07-15,36.92,36.92,36.92,36.92
2005-07-18,36.38,36.38,36.38,36.38
2005-07-19,36.39,36.39,36.39,36.39
2005-07-20,37.55,37.55,37.55,37.55
2005-07-21,36.65,36.65,36.65,36.65
2005-07-22,36.47,36.47,36.47,36.47
2005-07-25,36.26,36.26,36.26,36.26
2005-07-26,36.53,36.53,36.53,36.53
2005-07-27,36.46,36.46,36.46,36.46
2005-07-28,36.5,36.5,36.5,36.5
2005-07-29,36.4,36.4,36.4,36.4
2005-08-01,36.4,36.4,36.4,36.4
2005-08-02,36.52,36.52,36.52,36.52
2005-08-03,36.3,36.3,36.3,36.3
2005-08-04,36.3,36.3,36.3,36.3
2005-08-05,35.75,35.75,35.75,35.75
2005-08-08,35.4,35.4,35.4,35.4
2005-08-09,35.57,35.57,35.57,35.57
2005-08-10,33.9034,33.9034,33.9034,33.9034
2005-08-11,34.0,34.0,34.0,34.0
2005-08-12,34.0902,34.0902,34.0902,34.0902
2005-08-15,34.2801,34.2801,34.2801,34.2801
2005-08-16,33.81,33.81,33.81,33.81
2005-08-17,33.69,33.69,33.69,33.69
2005-08-18,33.7,33.7,33.7,33.7
2005-08-19,33.6,33.6,33.6,33.6
2005-08-22,33.48,33.48,33.48,33.48
2005-08-23,33.7,33.7,33.7,33.7
2005-08-24,33.8,33.8,33.8,33.8
2005-08-25,33.75,33.75,33.75,33.75
2005-08-26,33.39,33.39,33.39,33.39
2005-08-29,33.461,33.461,33.461,33.461
2005-08-30,33.1,33.1,33.1,33.1
2005-08-31,33.04,33.04,33.04,33.04
2005-09-01,33.18,33.18,33.18,33.18
2005-09-02,33.45,33.45,33.45,33.45
2005-09-06,33.2001,33.2001,33.2001,33.2001
2005-09-07,33.53,33.53,33.53,33.53
2005-09-08,33.74,33.74,33.74,33.74
2005-09-09,34.1063,34.1063,34.1063,34.1063
2005-09-12,33.93,33.93,33.93,33.93
2005-09-13,33.83,33.83,33.83,33.83
2005-09-14,33.98,33.98,33.98,33.98
2005-09-15,33.93,33.93,33.93,33.93
2005-09-16,34.5965,34.5965,34.5965,34.5965
2005-09-19,33.599000000000004,33.599000000000004,33.599000000000004,33.599000000000004
2005-09-20,33.88,33.88,33.88,33.88
2005-09-21,33.24,33.24,33.24,33.24
2005-09-22,33.2,33.2,33.2,33.2
2005-09-23,34.13,34.13,34.13,34.13
2005-09-26,34.55,34.55,34.55,34.55
2005-09-27,34.87,34.87,34.87,34.87
2005-09-28,35.1007,35.1007,35.1007,35.1007
2005-09-29,35.0,35.0,35.0,35.0
2005-09-30,34.9378,34.9378,34.9378,34.9378
2005-10-03,34.81,34.81,34.81,34.81
2005-10-04,34.48,34.48,34.48,34.48
2005-10-05,33.89,33.89,33.89,33.89
2005-10-06,34.16,34.16,34.16,34.16
2005-10-07,34.23,34.23,34.23,34.23
2005-10-10,34.21,34.21,34.21,34.21
2005-10-11,33.84,33.84,33.84,33.84
2005-10-12,33.85,33.85,33.85,33.85
2005-10-13,34.02,34.02,34.02,34.02
2005-10-14,34.3,34.3,34.3,34.3
2005-10-17,34.07,34.07,34.07,34.07
2005-10-18,34.5692,34.5692,34.5692,34.5692
2005-10-19,34.81,34.81,34.81,34.81
2005-10-20,34.36,34.36,34.36,34.36
2005-10-21,36.67,36.67,36.67,36.67
2005-10-24,36.02,36.02,36.02,36.02
2005-10-25,35.38,35.38,35.38,35.38
2005-10-26,35.08,35.08,35.08,35.08
2005-10-27,35.5,35.5,35.5,35.5
2005-10-28,35.54,35.54,35.54,35.54
2005-10-31,34.47,34.47,34.47,34.47
2005-11-01,34.7,34.7,34.7,34.7
2005-11-02,34.8,34.8,34.8,34.8
2005-11-03,34.84,34.84,34.84,34.84
2005-11-04,35.1,35.1,35.1,35.1
2005-11-07,34.91,34.91,34.91,34.91
2005-11-08,34.8233,34.8233,34.8233,34.8233
2005-11-09,34.87,34.87,34.87,34.87
2005-11-10,36.17,36.17,36.17,36.17
2005-11-11,36.66,36.66,36.66,36.66
2005-11-14,36.74,36.74,36.74,36.74
2005-11-15,36.67,36.67,36.67,36.67
2005-11-16,36.5,36.5,36.5,36.5
