timestamp,open,high,low,close
2008-07-01,10.25,10.25,10.25,10.25
2008-07-07,10.25,10.25,10.25,10.25
2008-07-09,10.24,10.24,10.24,10.24
2008-07-10,10.2,10.2,10.2,10.2
2008-07-11,10.19,10.19,10.19,10.19
2008-07-15,10.23,10.23,10.23,10.23
2008-07-18,10.26,10.26,10.26,10.26
2008-07-21,10.34,10.34,10.34,10.34
2008-07-23,10.3,10.3,10.3,10.3
2008-07-24,10.3,10.3,10.3,10.3
2008-07-25,10.73,10.73,10.73,10.73
2008-07-28,10.61,10.61,10.61,10.61
2008-07-29,10.59,10.59,10.59,10.59
2008-07-30,10.6,10.6,10.6,10.6
2008-07-31,10.55,10.55,10.55,10.55
2008-08-01,10.6,10.6,10.6,10.6
2008-08-04,10.6,10.6,10.6,10.6
2008-08-05,10.66,10.66,10.66,10.66
2008-08-06,10.72,10.72,10.72,10.72
2008-08-07,10.6399,10.6399,10.6399,10.6399
2008-08-08,10.6,10.6,10.6,10.6
2008-08-11,10.6,10.6,10.6,10.6
2008-08-12,10.65,10.65,10.65,10.65
2008-08-13,10.67,10.67,10.67,10.67
2008-08-14,10.65,10.65,10.65,10.65
2008-08-15,10.5,10.5,10.5,10.5
2008-08-18,10.69,10.69,10.69,10.69
2008-08-19,10.65,10.65,10.65,10.65
2008-08-20,10.63,10.63,10.63,10.63
2008-08-21,10.43,10.43,10.43,10.43
2008-08-22,10.62,10.62,10.62,10.62
2008-08-25,10.55,10.55,10.55,10.55
2008-08-26,10.43,10.43,10.43,10.43
2008-08-27,10.5499,10.5499,10.5499,10.5499
2008-08-28,10.55,10.55,10.55,10.55
2008-08-29,10.42,10.42,10.42,10.42
2008-09-02,10.46,10.46,10.46,10.46
2008-09-03,10.5,10.5,10.5,10.5
2008-09-04,10.54,10.54,10.54,10.54
2008-09-05,10.42,10.42,10.42,10.42
2008-09-08,10.5,10.5,10.5,10.5
2008-09-09,10.48,10.48,10.48,10.48
2008-09-10,10.5999,10.5999,10.5999,10.5999
2008-09-11,10.53,10.53,10.53,10.53
2008-09-15,10.56,10.56,10.56,10.56
2008-09-16,10.46,10.46,10.46,10.46
2008-09-17,10.31,10.31,10.31,10.31
2008-09-18,10.1,10.1,10.1,10.1
2008-09-19,10.5,10.5,10.5,10.5
2008-09-22,10.25,10.25,10.25,10.25
2008-09-23,10.23,10.23,10.23,10.23
2008-09-24,10.38,10.38,10.38,10.38
2008-09-25,10.3,10.3,10.3,10.3
2008-09-26,10.5,10.5,10.5,10.5
2008-09-29,10.04,10.04,10.04,10.04
2008-09-30,9.85,9.85,9.85,9.85
2008-10-01,10.134,10.134,10.134,10.134
2008-10-02,9.77,9.77,9.77,9.77
2008-10-03,9.86,9.86,9.86,9.86
2008-10-06,8.96,8.96,8.96,8.96
2008-10-07,8.2,8.2,8.2,8.2
2008-10-08,7.61,7.61,7.61,7.61
2008-10-09,8.5,8.5,8.5,8.5
2008-10-10,7.33,7.33,7.33,7.33
2008-10-13,8.4,8.4,8.4,8.4
2008-10-14,8.12,8.12,8.12,8.12
2008-10-15,8.0,8.0,8.0,8.0
2008-10-16,7.72,7.72,7.72,7.72
2008-10-17,8.11,8.11,8.11,8.11
2008-10-20,8.16,8.16,8.16,8.16
2008-10-21,8.1001,8.1001,8.1001,8.1001
2008-10-22,8.02,8.02,8.02,8.02
2008-10-23,9.5,9.5,9.5,9.5
2008-10-24,9.04,9.04,9.04,9.04
2008-10-27,9.24,9.24,9.24,9.24
2008-10-28,9.1101,9.1101,9.1101,9.1101
2008-10-29,9.1,9.1,9.1,9.1
2008-10-30,9.2,9.2,9.2,9.2
2008-10-31,9.6,9.6,9.6,9.6
2008-11-03,9.61,9.61,9.61,9.61
2008-11-04,9.78,9.78,9.78,9.78
2008-11-05,9.53,9.53,9.53,9.53
2008-11-06,9.47,9.47,9.47,9.47
2008-11-07,9.44,9.44,9.44,9.44
2008-11-12,9.22,9.22,9.22,9.22
2008-11-13,8.77,8.77,8.77,8.77
2008-11-14,9.35,9.35,9.35,9.35
2008-11-17,9.36,9.36,9.36,9.36
2008-11-18,9.26,9.26,9.26,9.26
2008-11-19,9.15,9.15,9.15,9.15
2008-11-20,8.77,8.77,8.77,8.77
2008-11-21,6.85,6.85,6.85,6.85
2008-11-24,7.43,7.43,7.43,7.43
2008-11-25,7.5499,7.5499,7.5499,7.5499
2008-11-26,7.99,7.99,7.99,7.99
2008-11-28,8.0,8.0,8.0,8.0
2008-12-01,7.76,7.76,7.76,7.76
2008-12-02,7.98,7.98,7.98,7.98
2008-12-03,8.13,8.13,8.13,8.13
2008-12-04,8.41,8.41,8.41,8.41
2008-12-05,8.6199,8.6199,8.6199,8.6199
2008-12-08,8.8136,8.8136,8.8136,8.8136
2008-12-09,8.71,8.71,8.71,8.71
2008-12-10,8.8,8.8,8.8,8.8
2008-12-11,8.6,8.6,8.6,8.6
2008-12-12,8.64,8.64,8.64,8.64
2008-12-15,8.52,8.52,8.52,8.52
2008-12-16,8.9399,8.9399,8.9399,8.9399
2008-12-17,8.71,8.71,8.71,8.71
2008-12-18,9.22,9.22,9.22,9.22
2008-12-19,9.18,9.18,9.18,9.18
2008-12-22,9.14,9.14,9.14,9.14
2008-12-23,9.3,9.3,9.3,9.3
2008-12-24,9.25,9.25,9.25,9.25
2008-12-26,9.6,9.6,9.6,9.6
2008-12-29,9.5,9.5,9.5,9.5
2008-12-30,9.66,9.66,9.66,9.66
2008-12-31,9.58,9.58,9.58,9.58
2009-01-02,9.66,9.66,9.66,9.66
2009-01-05,9.57,9.57,9.57,9.57
2009-01-06,9.69,9.69,9.69,9.69
2009-01-08,9.36,9.36,9.36,9.36
2009-01-09,9.32,9.32,9.32,9.32
2009-01-12,9.31,9.31,9.31,9.31
2009-01-13,9.3,9.3,9.3,9.3
2009-01-14,9.21,9.21,9.21,9.21
2009-01-15,9.05,9.05,9.05,9.05
2009-01-16,9.01,9.01,9.01,9.01
2009-01-20,9.3,9.3,9.3,9.3
2009-01-21,8.92,8.92,8.92,8.92
2009-01-22,9.02,9.02,9.02,9.02
2009-01-23,9.06,9.06,9.06,9.06
2009-01-26,9.17,9.17,9.17,9.17
2009-01-28,9.84,9.84,9.84,9.84
2009-01-29,9.75,9.75,9.75,9.75
2009-01-30,9.54,9.54,9.54,9.54
2009-02-02,9.35,9.35,9.35,9.35
2009-02-03,9.52,9.52,9.52,9.52
2009-02-04,9.53,9.53,9.53,9.53
2009-02-05,9.53,9.53,9.53,9.53
2009-02-06,9.8,9.8,9.8,9.8
2009-02-09,9.84,9.84,9.84,9.84
2009-02-10,9.69,9.69,9.69,9.69
2009-02-11,9.8492,9.8492,9.8492,9.8492
2009-02-12,9.85,9.85,9.85,9.85
2009-02-13,9.87,9.87,9.87,9.87
2009-02-17,9.9981,9.9981,9.9981,9.9981
2009-02-18,9.9,9.9,9.9,9.9
2009-02-19,9.95,9.95,9.95,9.95
2009-02-20,9.9,9.9,9.9,9.9
2009-02-23,9.826,9.826,9.826,9.826
2009-02-24,9.82,9.82,9.82,9.82
2009-02-25,9.78,9.78,9.78,9.78
2009-02-26,9.9,9.9,9.9,9.9
2009-02-27,9.68,9.68,9.68,9.68
2009-03-02,9.0,9.0,9.0,9.0
2009-03-03,9.0,9.0,9.0,9.0
2009-03-04,8.6,8.6,8.6,8.6
2009-03-05,8.022,8.022,8.022,8.022
2009-03-06,8.0,8.0,8.0,8.0
2009-03-09,8.35,8.35,8.35,8.35
2009-03-10,9.64,9.64,9.64,9.64
2009-03-11,9.83,9.83,9.83,9.83
2009-03-12,10.03,10.03,10.03,10.03
2009-03-16,10.1,10.1,10.1,10.1
2009-03-17,10.25,10.25,10.25,10.25
2009-03-18,10.186,10.186,10.186,10.186
2009-03-19,10.21,10.21,10.21,10.21
2009-03-23,10.35,10.35,10.35,10.35
2009-03-24,10.4,10.4,10.4,10.4
2009-03-25,10.25,10.25,10.25,10.25
2009-03-26,10.25,10.25,10.25,10.25
2009-03-27,10.25,10.25,10.25,10.25
2009-03-30,9.9,9.9,9.9,9.9
2009-03-31,10.0,10.0,10.0,10.0
2009-04-01,9.85,9.85,9.85,9.85
2009-04-02,9.85,9.85,9.85,9.85
2009-04-03,9.91,9.91,9.91,9.91
2018-01-02,51.38,51.38,51.38,51.38
2018-01-03,50.87,50.87,50.87,50.87
2018-01-04,52.45,52.45,52.45,52.45
2018-01-05,52.0,52.0,52.0,52.0
2018-01-08,50.06,50.06,50.06,50.06
2018-01-09,50.06,50.06,50.06,50.06
2018-01-10,49.67,49.67,49.67,49.67
2018-01-11,50.51,50.51,50.51,50.51
2018-01-12,51.46,51.46,51.46,51.46
2018-01-16,51.31,51.31,51.31,51.31
2018-01-17,52.25,52.25,52.25,52.25
2018-01-18,51.92,51.92,51.92,51.92
2018-01-19,52.43,52.43,52.43,52.43
2018-01-22,52.95,52.95,52.95,52.95
2018-01-23,53.06,53.06,53.06,53.06
2018-01-24,52.88,52.88,52.88,52.88
2018-01-25,53.7,53.7,53.7,53.7
2018-01-26,54.0,54.0,54.0,54.0
2018-01-29,53.75,53.75,53.75,53.75
2018-01-30,53.3,53.3,53.3,53.3
2018-01-31,52.92,52.92,52.92,52.92
2018-02-01,52.97,52.97,52.97,52.97
2018-02-02,51.73,51.73,51.73,51.73
2018-02-05,50.33,50.33,50.33,50.33
2018-02-06,51.89,51.89,51.89,51.89
2018-02-07,52.65,52.65,52.65,52.65
2018-02-08,51.47,51.47,51.47,51.47
2018-02-09,51.35,51.35,51.35,51.35
2018-02-12,51.87,51.87,51.87,51.87
2018-02-13,51.25,51.25,51.25,51.25
2018-02-14,52.01,52.01,52.01,52.01
2018-02-15,52.83,52.83,52.83,52.83
2018-02-16,52.1,52.1,52.1,52.1
2018-02-20,52.04,52.04,52.04,52.04
2018-02-21,52.78,52.78,52.78,52.78
2018-02-22,53.04,53.04,53.04,53.04
2018-02-23,53.02,53.02,53.02,53.02
2018-02-26,53.62,53.62,53.62,53.62
2018-02-27,54.64,54.64,54.64,54.64
2018-02-28,53.26,53.26,53.26,53.26
2018-03-01,53.79,53.79,53.79,53.79
2018-03-02,55.08,55.08,55.08,55.08
2018-03-05,55.75,55.75,55.75,55.75
2018-03-06,57.01,57.01,57.01,57.01
2018-03-07,58.2,58.2,58.2,58.2
2018-03-08,57.17,57.17,57.17,57.17
2018-03-09,58.37,58.37,58.37,58.37
2018-03-12,58.57,58.57,58.57,58.57
2018-03-13,58.11,58.11,58.11,58.11
2018-03-14,58.11,58.11,58.11,58.11
2018-03-15,58.04,58.04,58.04,58.04
2018-03-16,57.63,57.63,57.63,57.63
2018-03-19,57.49,57.49,57.49,57.49
2018-03-20,57.3,57.3,57.3,57.3
2018-03-21,57.73,57.73,57.73,57.73
2018-03-22,56.91,56.91,56.91,56.91
2018-03-23,56.13,56.13,56.13,56.13
2018-03-26,56.56,56.56,56.56,56.56
2018-03-27,56.56,56.56,56.56,56.56
2018-03-28,57.08,57.08,57.08,57.08
2018-03-29,57.17,57.17,57.17,57.17
2018-04-02,55.68,55.68,55.68,55.68
2018-04-03,57.51,57.51,57.51,57.51
2018-04-04,58.67,58.67,58.67,58.67
2018-04-05,59.2709,59.2709,59.2709,59.2709
2018-04-06,57.8633,57.8633,57.8633,57.8633
2018-04-09,57.66,57.66,57.66,57.66
2018-04-10,57.18,57.18,57.18,57.18
2018-04-11,57.13,57.13,57.13,57.13
2018-04-12,57.24,57.24,57.24,57.24
2018-04-13,56.85,56.85,56.85,56.85
2018-04-16,56.8,56.8,56.8,56.8
2018-04-17,58.31,58.31,58.31,58.31
2018-04-18,58.8,58.8,58.8,58.8
2018-04-19,58.15,58.15,58.15,58.15
2018-04-20,57.92,57.92,57.92,57.92
2018-04-23,57.82,57.82,57.82,57.82
2018-04-24,57.39,57.39,57.39,57.39
2018-04-25,57.39,57.39,57.39,57.39
2018-04-26,58.0,58.0,58.0,58.0
2018-04-27,61.54,61.54,61.54,61.54
2018-04-30,60.82,60.82,60.82,60.82
2018-05-01,61.59,61.59,61.59,61.59
2018-05-02,62.36,62.36,62.36,62.36
2018-05-03,62.81,62.81,62.81,62.81
2018-05-04,62.88,62.88,62.88,62.88
2018-05-07,63.15,63.15,63.15,63.15
2018-05-08,63.34,63.34,63.34,63.34
2018-05-09,63.52,63.52,63.52,63.52
2018-05-10,63.68,63.68,63.68,63.68
2018-05-11,63.16,63.16,63.16,63.16
2018-05-14,62.75,62.75,62.75,62.75
2018-05-15,62.64,62.64,62.64,62.64
2018-05-16,63.27,63.27,63.27,63.27
2018-05-17,63.13,63.13,63.13,63.13
2018-05-18,62.9,62.9,62.9,62.9
2018-05-21,63.19,63.19,63.19,63.19
2018-05-22,63.79,63.79,63.79,63.79
2018-05-23,63.74,63.74,63.74,63.74
2018-05-24,63.79,63.79,63.79,63.79
2018-05-25,63.3,63.3,63.3,63.3
2018-05-29,64.05,64.05,64.05,64.05
2018-05-30,65.46,65.46,65.46,65.46
2018-05-31,64.75,64.75,64.75,64.75
2018-06-01,64.94,64.94,64.94,64.94
2018-06-04,65.74,65.74,65.74,65.74
2018-06-05,66.55,66.55,66.55,66.55
2018-06-06,66.54,66.54,66.54,66.54
2018-06-07,65.7,65.7,65.7,65.7
2018-06-08,66.31,66.31,66.31,66.31
