timestamp,open,high,low,close
2005-08-09,47.3,47.3,47.3,47.3
2005-08-10,47.4,47.4,47.4,47.4
2005-08-11,45.6,45.6,45.6,45.6
2005-08-12,44.6,44.6,44.6,44.6
2005-08-15,43.1,43.1,43.1,43.1
2005-08-16,42.9,42.9,42.9,42.9
2005-08-17,43.38,43.38,43.38,43.38
2005-08-18,43.5,43.5,43.5,43.5
2005-08-19,43.6,43.6,43.6,43.6
2005-08-22,43.5,43.5,43.5,43.5
2005-08-23,42.8808,42.8808,42.8808,42.8808
2005-08-24,43.18,43.18,43.18,43.18
2005-08-25,44.44,44.44,44.44,44.44
2005-08-26,44.68,44.68,44.68,44.68
2005-08-29,44.7,44.7,44.7,44.7
2005-08-30,44.8,44.8,44.8,44.8
2005-08-31,44.52,44.52,44.52,44.52
2005-09-01,44.44,44.44,44.44,44.44
2005-09-02,44.74,44.74,44.74,44.74
2005-09-06,44.16,44.16,44.16,44.16
2005-09-07,44.3036,44.3036,44.3036,44.3036
2005-09-08,44.9,44.9,44.9,44.9
2005-09-09,43.9102,43.9102,43.9102,43.9102
2005-09-12,44.12,44.12,44.12,44.12
2005-09-13,44.08,44.08,44.08,44.08
2005-09-14,43.7,43.7,43.7,43.7
2005-09-15,42.82,42.82,42.82,42.82
2005-09-16,42.0,42.0,42.0,42.0
2005-09-19,42.0,42.0,42.0,42.0
2005-09-20,41.9,41.9,41.9,41.9
2005-09-21,41.3,41.3,41.3,41.3
2005-09-22,40.5,40.5,40.5,40.5
2005-09-23,40.16,40.16,40.16,40.16
2005-09-26,40.0,40.0,40.0,40.0
2005-09-27,39.5,39.5,39.5,39.5
2005-09-28,39.46,39.46,39.46,39.46
2005-09-29,39.7898,39.7898,39.7898,39.7898
2005-09-30,39.62,39.62,39.62,39.62
2005-10-03,40.88,40.88,40.88,40.88
2005-10-04,41.3216,41.3216,41.3216,41.3216
2005-10-05,40.1,40.1,40.1,40.1
2005-10-06,39.6,39.6,39.6,39.6
2005-10-07,40.16,40.16,40.16,40.16
2005-10-10,40.6,40.6,40.6,40.6
