timestamp,open,high,low,close
2004-01-02,16.0,16.14,16.0,16.0
2004-01-05,16.3,16.7,16.25,16.6
2004-01-06,16.6,16.72,16.41,16.49
2004-01-07,16.54,17.05,16.46,17.05
2004-01-08,17.12,17.34,17.01,17.1
2004-01-09,17.19,17.19,16.42,16.56
2004-01-10,16.56,16.66,16.56,16.66
2004-01-12,16.5,16.54,16.14,16.33
2004-01-13,16.35,16.45,16.16,16.28
2004-01-14,16.2,16.28,16.0,16.18
2004-01-15,16.18,16.22,15.88,16.05
2004-01-16,16.05,16.29,16.05,16.29
2004-01-20,16.35,16.5,16.15,16.22
2004-01-21,16.21,16.46,16.16,16.44
2004-01-22,16.95,16.95,16.15,16.43
2004-01-23,16.43,16.43,15.66,15.85
2004-01-26,15.83,15.98,15.52,15.96
2004-01-27,15.85,16.14,15.84,15.94
2004-01-28,15.95,16.01,15.5,15.6
2004-01-29,15.65,15.65,14.54,14.77
2004-01-30,14.75,14.75,14.34,14.41
2004-02-02,14.32,14.32,13.88,13.9
2004-02-03,13.9,13.93,13.62,13.7
2004-02-04,13.7,14.01,13.43,13.8
2004-02-05,13.99,14.19,13.83,14.14
2004-02-06,14.19,14.31,14.01,14.3
2004-02-09,14.35,14.4,14.04,14.16
2004-02-10,14.09,14.75,14.09,14.52
2004-02-11,14.44,14.71,14.26,14.63
2004-02-12,14.6,14.76,14.5,14.55
2004-02-13,14.5,14.6,14.31,14.36
2004-02-17,14.29,14.69,14.29,14.58
2004-02-18,14.6,14.6,14.3884,14.4766
2004-02-19,14.45,14.63,14.44,14.45
2004-02-20,14.46,14.46,13.99,14.2
2004-02-23,14.17,14.17,13.93,13.98
2004-02-24,13.91,13.92,13.49,13.6
2004-02-25,13.6,13.7,13.45,13.65
2004-02-26,13.57,13.68,13.36,13.6
2004-02-27,13.8,13.95,13.65,13.75
2004-03-01,13.9,14.08,13.78,13.99
2004-03-02,13.99,14.25,13.94,14.12
2004-03-03,14.12,14.12,13.8,13.88
2004-03-04,13.85,13.97,13.61,13.69
2004-03-05,13.73,14.14,13.46,14.1
2004-03-08,14.0,14.07,13.65,13.7
2004-03-09,13.76,13.84,13.5,13.53
2004-03-10,13.6,13.62,13.09,13.18
2004-03-11,13.18,13.19,12.93,12.93
2004-03-12,13.05,13.44,13.05,13.29
2004-03-15,13.27,13.27,13.0,13.02
2004-03-16,13.02,13.23,13.0,13.1
2004-03-17,13.2,13.44,13.16,13.37
2004-03-18,13.35,13.37,13.23,13.32
2004-03-19,13.3,13.33,13.01,13.06
2004-03-22,13.06,13.06,12.76,12.95
2004-03-23,13.0,13.15,12.83,12.89
2004-03-24,12.93,13.01,12.75,12.99
2004-03-25,12.9,13.24,12.9,13.18
2004-03-26,13.2,13.45,13.07,13.26
2004-03-29,13.37,13.59,13.36,13.41
2004-03-30,13.31,13.68,13.31,13.62
2004-03-31,13.62,13.7,13.46,13.57
2004-04-01,13.56,13.72,13.41,13.45
2004-04-02,13.7,13.95,13.45,13.66
2004-04-05,13.63,14.08,13.63,14.0
2004-04-06,14.0,14.03,13.88,13.9
2004-04-07,13.98,13.98,13.63,13.75
2004-04-08,13.77,13.84,13.5,13.58
2004-04-09,13.58,13.58,13.58,13.58
2004-04-12,13.62,13.78,13.59,13.6
2004-04-13,13.72,13.74,13.32,13.43
2004-04-14,13.39,13.49,13.19,13.36
2004-04-15,13.25,13.28,13.0,13.15
2004-04-16,13.2,13.5,13.13,13.5
2004-04-19,13.35,13.44,13.18,13.349
2004-04-20,13.55,14.07,13.5,13.7
2004-04-21,14.74,15.1,14.46,15.0
2004-04-22,14.94,15.97,14.9,15.95
2004-04-23,15.85,15.93,15.58,15.65
2004-04-26,15.8,16.09,15.59,15.59
2004-04-27,15.69,16.22,15.67,16.05
2004-04-28,16.02,16.03,15.45,15.47
2004-04-29,15.32,15.81,15.18,15.4
2004-04-30,15.33,15.62,15.32,15.37
2004-05-03,15.37,15.6,14.91,15.15
2004-05-04,15.2,15.65,15.1,15.41
2004-05-05,15.41,15.41,15.0,15.11
2004-05-06,14.95,14.96,14.68,14.89
2004-05-07,14.48,14.76,14.210999999999999,14.35
2004-05-10,14.25,14.25,13.9,14.03
2004-05-11,14.15,14.51,14.02,14.4
2004-05-12,14.3,14.55,13.94,14.49
2004-05-13,14.35,14.48,14.19,14.41
2004-05-14,14.4,14.75,14.34,14.75
2004-05-17,14.5,14.5,14.12,14.27
2004-05-18,14.328,14.53,14.2,14.39
