timestamp,open,high,low,close
2004-01-02,9.7625,9.7625,9.7625,9.7625
2004-01-05,9.8975,9.8975,9.8975,9.8975
2004-01-06,9.8625,9.8625,9.8625,9.8625
2004-01-07,9.8525,9.8525,9.8525,9.8525
2004-01-08,9.795,9.795,9.795,9.795
2004-01-09,9.6825,9.6825,9.6825,9.6825
2004-01-12,9.69,9.69,9.69,9.69
2004-01-13,9.5375,9.5375,9.5375,9.5375
2004-01-14,9.8025,9.8025,9.8025,9.8025
2004-01-15,9.655,9.655,9.655,9.655
2004-01-16,9.3639,9.3639,9.3639,9.3639
2004-01-20,9.485,9.485,9.485,9.485
2004-01-21,9.395,9.395,9.395,9.395
2004-01-22,9.465,9.465,9.465,9.465
2004-01-23,9.4425,9.4425,9.4425,9.4425
2004-01-26,9.685,9.685,9.685,9.685
2004-01-27,9.955,9.955,9.955,9.955
2004-01-28,9.2025,9.2025,9.2025,9.2025
2004-01-29,9.3,9.3,9.3,9.3
2004-01-30,9.34,9.34,9.34,9.34
2004-02-02,9.215,9.215,9.215,9.215
2004-02-03,9.0525,9.0525,9.0525,9.0525
2004-02-04,9.2455,9.2455,9.2455,9.2455
2004-02-05,9.2625,9.2625,9.2625,9.2625
2004-02-06,9.4925,9.4925,9.4925,9.4925
2004-02-09,9.44,9.44,9.44,9.44
2004-02-10,9.5624,9.5624,9.5624,9.5624
2004-02-11,9.845,9.845,9.845,9.845
2004-02-12,9.725,9.725,9.725,9.725
2004-02-13,9.7257,9.7257,9.7257,9.7257
2004-02-17,9.83,9.83,9.83,9.83
2004-02-18,9.7775,9.7775,9.7775,9.7775
2004-02-19,9.51,9.51,9.51,9.51
2004-02-20,9.4901,9.4901,9.4901,9.4901
2004-02-23,9.4725,9.4725,9.4725,9.4725
2004-02-24,9.53,9.53,9.53,9.53
2004-02-25,9.5425,9.5425,9.5425,9.5425
2004-02-26,9.6161,9.6161,9.6161,9.6161
2004-02-27,9.6525,9.6525,9.6525,9.6525
2004-03-01,9.7635,9.7635,9.7635,9.7635
2004-03-02,9.67,9.67,9.67,9.67
2004-03-03,9.59,9.59,9.59,9.59
2004-03-04,9.61,9.61,9.61,9.61
2004-03-05,9.55,9.55,9.55,9.55
2004-03-08,9.485,9.485,9.485,9.485
2004-03-09,9.5025,9.5025,9.5025,9.5025
2004-03-10,9.4163,9.4163,9.4163,9.4163
