timestamp,open,high,low,close
2004-01-02,23.2,23.2,23.2,23.2
2004-01-05,22.95,22.95,22.95,22.95
2004-01-06,23.11,23.11,23.11,23.11
2004-01-07,23.55,23.55,23.55,23.55
2004-01-08,23.26,23.26,23.26,23.26
2004-01-09,23.49,23.49,23.49,23.49
2004-01-12,25.64,25.64,25.64,25.64
2004-01-13,25.52,25.52,25.52,25.52
2004-01-14,25.415,25.415,25.415,25.415
2004-01-15,25.49,25.49,25.49,25.49
2004-01-16,25.2,25.2,25.2,25.2
2004-01-20,25.0,25.0,25.0,25.0
2004-01-21,25.01,25.01,25.01,25.01
2004-01-22,25.05,25.05,25.05,25.05
2004-01-23,24.8,24.8,24.8,24.8
2004-01-26,24.75,24.75,24.75,24.75
2004-01-27,25.11,25.11,25.11,25.11
2004-01-28,24.28,24.28,24.28,24.28
2004-01-29,23.98,23.98,23.98,23.98
2004-01-30,24.65,24.65,24.65,24.65
2004-02-02,24.43,24.43,24.43,24.43
2004-02-03,25.12,25.12,25.12,25.12
2004-02-04,24.6,24.6,24.6,24.6
2004-02-05,23.84,23.84,23.84,23.84
2004-02-06,23.7,23.7,23.7,23.7
2004-02-09,23.72,23.72,23.72,23.72
2004-02-10,23.71,23.71,23.71,23.71
2004-02-11,23.98,23.98,23.98,23.98
2004-02-12,25.02,25.02,25.02,25.02
2004-02-13,25.23,25.23,25.23,25.23
2004-02-17,25.5,25.5,25.5,25.5
2004-02-18,25.5,25.5,25.5,25.5
2004-02-19,25.74,25.74,25.74,25.74
2004-02-20,25.88,25.88,25.88,25.88
2004-02-23,26.01,26.01,26.01,26.01
2004-02-24,26.2,26.2,26.2,26.2
2004-02-25,26.69,26.69,26.69,26.69
2004-02-26,26.7,26.7,26.7,26.7
2004-02-27,26.2,26.2,26.2,26.2
2004-03-01,27.15,27.15,27.15,27.15
2004-03-02,26.2,26.2,26.2,26.2
2004-03-03,26.39,26.39,26.39,26.39
2004-03-04,26.28,26.28,26.28,26.28
2004-03-05,25.9,25.9,25.9,25.9
2004-03-08,25.77,25.77,25.77,25.77
2004-03-09,25.43,25.43,25.43,25.43
2004-03-10,24.9042,24.9042,24.9042,24.9042
2004-03-11,24.06,24.06,24.06,24.06
2004-03-12,24.15,24.15,24.15,24.15
2004-03-15,22.9016,22.9016,22.9016,22.9016
2004-03-16,23.25,23.25,23.25,23.25
2004-03-17,23.5275,23.5275,23.5275,23.5275
2004-03-18,23.17,23.17,23.17,23.17
2004-03-19,23.05,23.05,23.05,23.05
2004-03-22,22.607,22.607,22.607,22.607
2004-03-23,23.21,23.21,23.21,23.21
2004-03-24,23.45,23.45,23.45,23.45
2004-03-25,24.8,24.8,24.8,24.8
2004-03-26,24.8,24.8,24.8,24.8
2004-03-29,25.36,25.36,25.36,25.36
2004-03-30,25.49,25.49,25.49,25.49
2004-03-31,25.8,25.8,25.8,25.8
2004-04-01,25.23,25.23,25.23,25.23
2004-04-02,25.99,25.99,25.99,25.99
2004-04-05,26.16,26.16,26.16,26.16
2004-04-06,26.1549,26.1549,26.1549,26.1549
2004-04-07,25.88,25.88,25.88,25.88
2004-04-08,25.34,25.34,25.34,25.34
2004-04-12,25.39,25.39,25.39,25.39
2004-04-13,26.44,26.44,26.44,26.44
2004-04-14,26.21,26.21,26.21,26.21
2004-04-15,26.96,26.96,26.96,26.96
2004-04-16,26.25,26.25,26.25,26.25
2004-04-19,25.98,25.98,25.98,25.98
2004-04-20,25.9,25.9,25.9,25.9
2004-04-21,26.15,26.15,26.15,26.15
2004-04-22,25.9563,25.9563,25.9563,25.9563
2004-04-23,26.7,26.7,26.7,26.7
2004-04-26,26.01,26.01,26.01,26.01
2004-04-27,26.14,26.14,26.14,26.14
2004-04-28,24.8,24.8,24.8,24.8
2004-04-29,24.04,24.04,24.04,24.04
2004-04-30,24.0,24.0,24.0,24.0
2004-05-03,24.0,24.0,24.0,24.0
2004-05-04,23.975,23.975,23.975,23.975
2004-05-05,23.78,23.78,23.78,23.78
2004-05-06,22.94,22.94,22.94,22.94
2004-05-07,22.45,22.45,22.45,22.45
2004-05-10,21.89,21.89,21.89,21.89
2004-05-11,21.724,21.724,21.724,21.724
2004-05-12,21.36,21.36,21.36,21.36
2004-05-13,21.36,21.36,21.36,21.36
2004-05-14,21.73,21.73,21.73,21.73
2004-05-17,21.007,21.007,21.007,21.007
2004-05-18,21.56,21.56,21.56,21.56
2004-05-19,21.4,21.4,21.4,21.4
2004-05-20,21.11,21.11,21.11,21.11
2004-05-21,21.89,21.89,21.89,21.89
2004-05-24,22.41,22.41,22.41,22.41
2004-05-25,23.1,23.1,23.1,23.1
2004-05-26,22.92,22.92,22.92,22.92
2004-05-27,22.99,22.99,22.99,22.99
2004-05-28,23.6,23.6,23.6,23.6
2004-06-01,23.1,23.1,23.1,23.1
2004-06-02,22.85,22.85,22.85,22.85
2004-06-03,22.8,22.8,22.8,22.8
2004-06-04,22.93,22.93,22.93,22.93
2004-06-07,23.1957,23.1957,23.1957,23.1957
2004-06-08,23.25,23.25,23.25,23.25
2004-06-09,23.16,23.16,23.16,23.16
2004-06-10,23.41,23.41,23.41,23.41
2004-06-14,23.16,23.16,23.16,23.16
2004-06-15,23.79,23.79,23.79,23.79
2004-06-16,23.8296,23.8296,23.8296,23.8296
2004-06-17,23.82,23.82,23.82,23.82
2004-06-18,23.89,23.89,23.89,23.89
2004-06-21,23.35,23.35,23.35,23.35
2004-06-22,23.0,23.0,23.0,23.0
2004-06-23,23.63,23.63,23.63,23.63
2004-06-24,23.76,23.76,23.76,23.76
2004-06-25,24.7033,24.7033,24.7033,24.7033
2004-06-28,24.95,24.95,24.95,24.95
2004-06-29,23.88,23.88,23.88,23.88
2004-06-30,24.34,24.34,24.34,24.34
2004-07-01,24.06,24.06,24.06,24.06
2004-07-02,23.45,23.45,23.45,23.45
2004-07-06,23.28,23.28,23.28,23.28
2004-07-07,23.1097,23.1097,23.1097,23.1097
2004-07-08,22.3,22.3,22.3,22.3
2004-07-09,22.6,22.6,22.6,22.6
2004-07-12,22.91,22.91,22.91,22.91
2004-07-13,22.6,22.6,22.6,22.6
2004-07-14,22.17,22.17,22.17,22.17
2004-07-15,22.23,22.23,22.23,22.23
2004-07-16,21.77,21.77,21.77,21.77
2004-07-19,21.65,21.65,21.65,21.65
2004-07-20,21.92,21.92,21.92,21.92
2004-07-21,20.65,20.65,20.65,20.65
2004-07-22,20.72,20.72,20.72,20.72
2004-07-23,20.86,20.86,20.86,20.86
2004-07-26,20.3,20.3,20.3,20.3
2004-07-27,21.07,21.07,21.07,21.07
2004-07-28,20.939,20.939,20.939,20.939
2004-07-29,22.7,22.7,22.7,22.7
2004-07-30,22.4,22.4,22.4,22.4
2004-08-02,22.2,22.2,22.2,22.2
2004-08-03,21.53,21.53,21.53,21.53
2004-08-04,21.76,21.76,21.76,21.76
2004-08-05,21.0,21.0,21.0,21.0
2004-08-06,20.51,20.51,20.51,20.51
2004-08-09,20.52,20.52,20.52,20.52
2004-08-10,21.0,21.0,21.0,21.0
2004-08-11,20.7002,20.7002,20.7002,20.7002
2004-08-12,20.27,20.27,20.27,20.27
2004-08-13,20.07,20.07,20.07,20.07
2004-08-16,20.69,20.69,20.69,20.69
2004-08-17,21.53,21.53,21.53,21.53
2004-08-18,21.98,21.98,21.98,21.98
2004-08-19,21.93,21.93,21.93,21.93
2004-08-20,21.95,21.95,21.95,21.95
2004-08-23,22.11,22.11,22.11,22.11
2004-08-24,22.55,22.55,22.55,22.55
2004-08-25,22.72,22.72,22.72,22.72
2004-08-26,22.44,22.44,22.44,22.44
2004-08-27,22.9,22.9,22.9,22.9
2004-08-30,22.49,22.49,22.49,22.49
2004-08-31,22.37,22.37,22.37,22.37
2004-09-01,22.52,22.52,22.52,22.52
2004-09-02,22.92,22.92,22.92,22.92
2004-09-03,22.95,22.95,22.95,22.95
2004-09-07,22.78,22.78,22.78,22.78
2004-09-08,22.64,22.64,22.64,22.64
2004-09-09,22.48,22.48,22.48,22.48
2004-09-10,23.15,23.15,23.15,23.15
2004-09-13,23.55,23.55,23.55,23.55
2004-09-14,23.33,23.33,23.33,23.33
2004-09-15,23.33,23.33,23.33,23.33
2004-09-16,23.57,23.57,23.57,23.57
2004-09-17,23.695,23.695,23.695,23.695
2004-09-20,23.24,23.24,23.24,23.24
2004-09-21,24.07,24.07,24.07,24.07
2004-09-22,23.76,23.76,23.76,23.76
2004-09-23,23.32,23.32,23.32,23.32
2004-09-24,23.43,23.43,23.43,23.43
2004-09-27,22.99,22.99,22.99,22.99
2004-09-28,22.83,22.83,22.83,22.83
2004-09-29,23.6,23.6,23.6,23.6
2004-09-30,23.7,23.7,23.7,23.7
2004-10-01,24.1,24.1,24.1,24.1
2004-10-04,24.18,24.18,24.18,24.18
2004-10-05,23.9896,23.9896,23.9896,23.9896
2004-10-06,24.2,24.2,24.2,24.2
2004-10-07,24.07,24.07,24.07,24.07
2004-10-08,24.03,24.03,24.03,24.03
2004-10-11,24.0,24.0,24.0,24.0
2004-10-12,23.72,23.72,23.72,23.72
2004-10-13,23.0887,23.0887,23.0887,23.0887
2004-10-14,23.01,23.01,23.01,23.01
2004-10-15,23.04,23.04,23.04,23.04
2004-10-18,23.43,23.43,23.43,23.43
2004-10-19,23.46,23.46,23.46,23.46
2004-10-20,23.27,23.27,23.27,23.27
2004-10-21,23.71,23.71,23.71,23.71
2004-10-22,23.54,23.54,23.54,23.54
2004-10-25,23.4643,23.4643,23.4643,23.4643
2004-10-26,23.66,23.66,23.66,23.66
2004-10-27,24.2,24.2,24.2,24.2
2004-10-28,24.43,24.43,24.43,24.43
2004-10-29,24.4,24.4,24.4,24.4
2004-11-01,24.15,24.15,24.15,24.15
2004-11-02,24.27,24.27,24.27,24.27
2004-11-03,24.44,24.44,24.44,24.44
2004-11-04,23.8,23.8,23.8,23.8
2004-11-05,24.21,24.21,24.21,24.21
2004-11-08,23.95,23.95,23.95,23.95
2004-11-09,23.78,23.78,23.78,23.78
2004-11-10,23.9,23.9,23.9,23.9
2004-11-11,23.77,23.77,23.77,23.77
2004-11-12,23.97,23.97,23.97,23.97
2004-11-15,24.4703,24.4703,24.4703,24.4703
2004-11-16,24.26,24.26,24.26,24.26
2004-11-17,24.11,24.11,24.11,24.11
2004-11-18,24.0,24.0,24.0,24.0
2004-11-19,24.21,24.21,24.21,24.21
2004-11-22,24.99,24.99,24.99,24.99
2004-11-23,25.7097,25.7097,25.7097,25.7097
2004-11-24,26.31,26.31,26.31,26.31
2004-11-26,26.45,26.45,26.45,26.45
2004-11-29,26.46,26.46,26.46,26.46
2004-11-30,25.9315,25.9315,25.9315,25.9315
2004-12-01,27.01,27.01,27.01,27.01
2004-12-02,27.01,27.01,27.01,27.01
2004-12-03,27.0652,27.0652,27.0652,27.0652
2004-12-06,26.76,26.76,26.76,26.76
2004-12-07,26.95,26.95,26.95,26.95
2004-12-08,26.85,26.85,26.85,26.85
2004-12-09,26.61,26.61,26.61,26.61
2004-12-10,26.45,26.45,26.45,26.45
2004-12-13,26.28,26.28,26.28,26.28
2004-12-14,26.7417,26.7417,26.7417,26.7417
2004-12-15,26.8816,26.8816,26.8816,26.8816
2004-12-16,26.562,26.562,26.562,26.562
2004-12-17,26.74,26.74,26.74,26.74
2004-12-20,26.29,26.29,26.29,26.29
2004-12-21,26.65,26.65,26.65,26.65
2004-12-22,26.7987,26.7987,26.7987,26.7987
2004-12-23,26.64,26.64,26.64,26.64
2004-12-27,26.46,26.46,26.46,26.46
2004-12-28,26.6831,26.6831,26.6831,26.6831
2004-12-29,27.19,27.19,27.19,27.19
2004-12-30,26.94,26.94,26.94,26.94
2004-12-31,26.93,26.93,26.93,26.93
2005-01-03,26.62,26.62,26.62,26.62
2005-01-04,26.01,26.01,26.01,26.01
2005-01-05,25.9887,25.9887,25.9887,25.9887
2005-01-06,26.21,26.21,26.21,26.21
2005-01-07,26.0734,26.0734,26.0734,26.0734
2005-01-10,25.9994,25.9994,25.9994,25.9994
2005-01-11,26.02,26.02,26.02,26.02
2005-01-12,26.06,26.06,26.06,26.06
2005-01-13,25.98,25.98,25.98,25.98
2005-01-14,26.32,26.32,26.32,26.32
2005-01-18,26.35,26.35,26.35,26.35
2005-01-19,25.99,25.99,25.99,25.99
2005-01-20,25.99,25.99,25.99,25.99
2005-01-21,25.99,25.99,25.99,25.99
2005-01-24,25.82,25.82,25.82,25.82
2005-01-25,26.0,26.0,26.0,26.0
2005-01-26,26.08,26.08,26.08,26.08
2005-01-27,26.46,26.46,26.46,26.46
2005-01-28,26.27,26.27,26.27,26.27
2005-01-31,26.85,26.85,26.85,26.85
2005-02-01,27.23,27.23,27.23,27.23
2005-02-02,27.39,27.39,27.39,27.39
2005-02-03,27.23,27.23,27.23,27.23
2005-02-04,27.298,27.298,27.298,27.298
2005-02-07,27.0853,27.0853,27.0853,27.0853
2005-02-08,27.2399,27.2399,27.2399,27.2399
2005-02-09,26.8921,26.8921,26.8921,26.8921
2005-02-10,26.98,26.98,26.98,26.98
2005-02-11,27.2,27.2,27.2,27.2
2005-02-14,26.9325,26.9325,26.9325,26.9325
2005-02-15,26.76,26.76,26.76,26.76
2005-02-16,26.6865,26.6865,26.6865,26.6865
2005-02-17,26.63,26.63,26.63,26.63
2005-02-18,26.4,26.4,26.4,26.4
2005-02-22,26.5949,26.5949,26.5949,26.5949
2005-02-23,26.34,26.34,26.34,26.34
2005-02-24,26.8498,26.8498,26.8498,26.8498
2005-02-25,27.25,27.25,27.25,27.25
2005-02-28,27.3,27.3,27.3,27.3
2005-03-01,27.45,27.45,27.45,27.45
2005-03-02,28.8183,28.8183,28.8183,28.8183
2005-03-03,28.68,28.68,28.68,28.68
