timestamp,open,high,low,close
2004-01-02,6.94,6.94,6.94,6.94
2004-01-05,6.9833,6.9833,6.9833,6.9833
2004-01-06,6.96,6.96,6.96,6.96
2004-01-07,6.9833,6.9833,6.9833,6.9833
2004-01-08,6.9333,6.9333,6.9333,6.9333
2004-01-09,6.9167,6.9167,6.9167,6.9167
2004-01-12,6.95,6.95,6.95,6.95
2004-01-13,6.9567,6.9567,6.9567,6.9567
2004-01-14,7.0667,7.0667,7.0667,7.0667
2004-01-15,7.09,7.09,7.09,7.09
2004-01-16,7.1467,7.1467,7.1467,7.1467
2004-01-20,7.0567,7.0567,7.0567,7.0567
2004-01-21,7.1333,7.1333,7.1333,7.1333
2004-01-22,7.0233,7.0233,7.0233,7.0233
2004-01-23,6.9667,6.9667,6.9667,6.9667
2004-01-26,6.9633,6.9633,6.9633,6.9633
2004-01-27,6.8233,6.8233,6.8233,6.8233
2004-01-28,6.2967,6.2967,6.2967,6.2967
2004-01-29,6.4,6.4,6.4,6.4
2004-01-30,6.4167,6.4167,6.4167,6.4167
2004-02-02,6.4333,6.4333,6.4333,6.4333
2004-02-03,6.3933,6.3933,6.3933,6.3933
2004-02-04,6.4233,6.4233,6.4233,6.4233
2004-02-05,6.4833,6.4833,6.4833,6.4833
2004-02-06,6.6633,6.6633,6.6633,6.6633
2004-02-09,6.6867,6.6867,6.6867,6.6867
2004-02-10,6.7431,6.7431,6.7431,6.7431
2004-02-11,6.8167,6.8167,6.8167,6.8167
2004-02-12,6.8281,6.8281,6.8281,6.8281
2004-02-13,6.7974,6.7974,6.7974,6.7974
2004-02-17,6.9388,6.9388,6.9388,6.9388
2004-02-18,6.95,6.95,6.95,6.95
2004-02-19,7.0933,7.0933,7.0933,7.0933
2004-02-20,7.0833,7.0833,7.0833,7.0833
2004-02-23,7.04,7.04,7.04,7.04
2004-02-24,7.0533,7.0533,7.0533,7.0533
2004-02-25,7.0933,7.0933,7.0933,7.0933
2004-02-26,7.1667,7.1667,7.1667,7.1667
2004-02-27,7.22,7.22,7.22,7.22
2004-03-01,7.3667,7.3667,7.3667,7.3667
2004-03-02,7.2209,7.2209,7.2209,7.2209
2004-03-03,7.317,7.317,7.317,7.317
2004-03-04,7.48,7.48,7.48,7.48
2004-03-05,7.5288,7.5288,7.5288,7.5288
2004-03-08,7.4167,7.4167,7.4167,7.4167
2004-03-09,7.1667,7.1667,7.1667,7.1667
2004-03-10,7.1067,7.1067,7.1067,7.1067
2004-03-11,7.0313,7.0313,7.0313,7.0313
2004-03-12,7.1833,7.1833,7.1833,7.1833
2004-03-15,6.9167,6.9167,6.9167,6.9167
2004-03-16,6.8708,6.8708,6.8708,6.8708
2004-03-17,6.9967,6.9967,6.9967,6.9967
2004-03-18,6.96,6.96,6.96,6.96
2004-03-19,6.8317,6.8317,6.8317,6.8317
2004-03-22,6.65,6.65,6.65,6.65
2004-03-23,6.6033,6.6033,6.6033,6.6033
2004-03-24,6.525,6.525,6.525,6.525
2004-03-25,6.8333,6.8333,6.8333,6.8333
2004-03-26,6.83,6.83,6.83,6.83
2004-03-29,6.97,6.97,6.97,6.97
