timestamp,open,high,low,close
2013-11-29,673.5,673.5,673.5,673.5
2013-12-02,649.62,649.62,649.62,649.62
2013-12-03,636.88,636.88,636.88,636.88
2013-12-04,623.69,623.69,623.69,623.69
2013-12-05,625.86,625.86,625.86,625.86
2013-12-06,624.61,624.61,624.61,624.61
2013-12-09,606.9572,606.9572,606.9572,606.9572
2013-12-10,620.62,620.62,620.62,620.62
2013-12-11,609.64,609.64,609.64,609.64
2013-12-12,610.15,610.15,610.15,610.15
2013-12-13,616.43,616.43,616.43,616.43
2013-12-16,625.4404,625.4404,625.4404,625.4404
2013-12-17,627.352,627.352,627.352,627.352
2013-12-18,638.56,638.56,638.56,638.56
2013-12-19,634.09,634.09,634.09,634.09
2013-12-20,642.16,642.16,642.16,642.16
2013-12-23,650.66,650.66,650.66,650.66
2013-12-24,652.97,652.97,652.97,652.97
2013-12-26,656.52,656.52,656.52,656.52
2013-12-27,658.48,658.48,658.48,658.48
2013-12-30,658.27,658.27,658.27,658.27
2013-12-31,663.32,663.32,663.32,663.32
2014-01-02,655.71,655.71,655.71,655.71
2014-01-03,669.73,669.73,669.73,669.73
2014-01-06,666.0,666.0,666.0,666.0
2014-01-07,662.67,662.67,662.67,662.67
2014-01-08,659.45,659.45,659.45,659.45
2014-01-09,665.67,665.67,665.67,665.67
2014-01-10,657.05,657.05,657.05,657.05
2014-01-13,647.11,647.11,647.11,647.11
2014-01-14,652.0,652.0,652.0,652.0
2014-01-15,648.5,648.5,648.5,648.5
2014-01-16,650.85,650.85,650.85,650.85
2014-01-17,645.0,645.0,645.0,645.0
2014-01-21,642.58,642.58,642.58,642.58
2014-01-22,645.71,645.71,645.71,645.71
2014-01-24,630.55,630.55,630.55,630.55
2014-01-27,638.17,638.17,638.17,638.17
2014-01-28,642.0,642.0,642.0,642.0
2014-01-29,631.5,631.5,631.5,631.5
2014-01-30,642.95,642.95,642.95,642.95
2014-01-31,621.03,621.03,621.03,621.03
2014-02-03,614.5,614.5,614.5,614.5
2014-02-04,628.21,628.21,628.21,628.21
2014-02-05,640.37,640.37,640.37,640.37
2014-02-06,645.37,645.37,645.37,645.37
2014-02-07,647.01,647.01,647.01,647.01
2014-02-10,646.25,646.25,646.25,646.25
2014-02-11,648.08,648.08,648.08,648.08
2014-02-12,655.0,655.0,655.0,655.0
2014-02-13,658.03,658.03,658.03,658.03
2014-02-14,659.2,659.2,659.2,659.2
2014-02-18,662.92,662.92,662.92,662.92
2014-02-19,660.0,660.0,660.0,660.0
2014-02-20,674.58,674.58,674.58,674.58
2014-02-21,683.85,683.85,683.85,683.85
2014-02-24,702.15,702.15,702.15,702.15
2014-02-25,724.5,724.5,724.5,724.5
2014-02-26,717.66,717.66,717.66,717.66
2014-02-27,720.69,720.69,720.69,720.69
2014-02-28,719.11,719.11,719.11,719.11
2014-03-03,700.3,700.3,700.3,700.3
2014-03-04,698.31,698.31,698.31,698.31
2014-03-05,698.385,698.385,698.385,698.385
2014-03-06,701.56,701.56,701.56,701.56
2014-03-07,702.84,702.84,702.84,702.84
2014-03-10,715.13,715.13,715.13,715.13
2014-03-11,708.945,708.945,708.945,708.945
2014-03-12,731.5,731.5,731.5,731.5
2014-03-13,715.96,715.96,715.96,715.96
2014-03-14,718.74,718.74,718.74,718.74
2014-03-17,715.45,715.45,715.45,715.45
2014-03-18,718.01,718.01,718.01,718.01
2014-03-19,715.53,715.53,715.53,715.53
2014-03-20,706.88,706.88,706.88,706.88
2014-03-21,707.68,707.68,707.68,707.68
2014-03-24,700.0,700.0,700.0,700.0
2014-03-25,698.51,698.51,698.51,698.51
2014-03-26,700.5,700.5,700.5,700.5
2014-03-27,700.0,700.0,700.0,700.0
2014-03-28,706.0,706.0,706.0,706.0
2014-03-31,703.75,703.75,703.75,703.75
2014-04-01,703.75,703.75,703.75,703.75
2014-04-02,724.33,724.33,724.33,724.33
2014-04-03,729.19,729.19,729.19,729.19
2014-04-04,708.9,708.9,708.9,708.9
2014-04-07,708.0,708.0,708.0,708.0
2014-04-08,691.75,691.75,691.75,691.75
2014-04-09,714.98,714.98,714.98,714.98
2014-04-10,692.69,692.69,692.69,692.69
2014-04-11,682.2,682.2,682.2,682.2
2014-04-14,673.42,673.42,673.42,673.42
2014-04-15,661.32,661.32,661.32,661.32
2014-04-16,663.5,663.5,663.5,663.5
2014-04-17,662.97,662.97,662.97,662.97
2014-04-21,674.59,674.59,674.59,674.59
2014-04-22,680.35,680.35,680.35,680.35
2014-04-23,689.99,689.99,689.99,689.99
2014-04-24,691.79,691.79,691.79,691.79
2014-04-25,692.1,692.1,692.1,692.1
2014-04-28,674.5,674.5,674.5,674.5
2014-04-29,670.335,670.335,670.335,670.335
2014-04-30,671.14,671.14,671.14,671.14
2014-05-01,676.11,676.11,676.11,676.11
2014-05-02,683.2,683.2,683.2,683.2
2014-05-05,670.68,670.68,670.68,670.68
2014-05-06,667.2882,667.2882,667.2882,667.2882
2014-05-07,675.74,675.74,675.74,675.74
2014-05-08,664.39,664.39,664.39,664.39
2014-05-09,666.92,666.92,666.92,666.92
2014-05-12,676.77,676.77,676.77,676.77
2014-05-13,674.1,674.1,674.1,674.1
2014-05-14,667.0,667.0,667.0,667.0
2014-05-15,662.6,662.6,662.6,662.6
