timestamp,open,high,low,close
2004-01-02,7.2507,7.2507,7.2507,7.2507
2004-01-05,7.2875,7.2875,7.2875,7.2875
2004-01-06,7.2425,7.2425,7.2425,7.2425
2004-01-07,7.785,7.785,7.785,7.785
2004-01-08,7.6638,7.6638,7.6638,7.6638
2004-01-09,7.8074,7.8074,7.8074,7.8074
2004-01-12,7.8625,7.8625,7.8625,7.8625
2004-01-13,7.6552,7.6552,7.6552,7.6552
2004-01-14,7.625,7.625,7.625,7.625
2004-01-15,7.7438,7.7438,7.7438,7.7438
2004-01-16,7.9225,7.9225,7.9225,7.9225
2004-01-20,7.9088,7.9088,7.9088,7.9088
2004-01-21,8.1713,8.1713,8.1713,8.1713
2004-01-22,8.15,8.15,8.15,8.15
2004-01-23,8.2063,8.2063,8.2063,8.2063
2004-01-26,8.0438,8.0438,8.0438,8.0438
2004-01-27,7.6875,7.6875,7.6875,7.6875
2004-01-28,7.6275,7.6275,7.6275,7.6275
2004-01-29,7.1875,7.1875,7.1875,7.1875
2004-01-30,6.8675,6.8675,6.8675,6.8675
2004-02-02,7.0338,7.0338,7.0338,7.0338
2004-02-03,7.0447,7.0447,7.0447,7.0447
2004-02-04,7.015,7.015,7.015,7.015
2004-02-05,7.0007,7.0007,7.0007,7.0007
2004-02-06,7.0467,7.0467,7.0467,7.0467
2004-02-09,7.215,7.215,7.215,7.215
2004-02-10,7.2063,7.2063,7.2063,7.2063
2004-02-11,7.3338,7.3338,7.3338,7.3338
2004-02-12,7.395,7.395,7.395,7.395
2004-02-13,7.2829,7.2829,7.2829,7.2829
2004-02-17,7.2763,7.2763,7.2763,7.2763
2004-02-18,7.1825,7.1825,7.1825,7.1825
2004-02-19,7.0025,7.0025,7.0025,7.0025
2004-02-20,6.9575,6.9575,6.9575,6.9575
2004-02-23,6.7888,6.7888,6.7888,6.7888
2004-02-24,6.7714,6.7714,6.7714,6.7714
2004-02-25,6.8075,6.8075,6.8075,6.8075
2004-02-26,6.8125,6.8125,6.8125,6.8125
2004-02-27,6.7763,6.7763,6.7763,6.7763
2004-03-01,6.8525,6.8525,6.8525,6.8525
2004-03-02,6.8013,6.8013,6.8013,6.8013
2004-03-03,6.9313,6.9313,6.9313,6.9313
2004-03-04,6.95,6.95,6.95,6.95
2004-03-05,7.145,7.145,7.145,7.145
2004-03-08,6.9851,6.9851,6.9851,6.9851
2004-03-09,7.06,7.06,7.06,7.06
2004-03-10,7.1471,7.1471,7.1471,7.1471
2004-03-11,6.9813,6.9813,6.9813,6.9813
2004-03-12,7.2475,7.2475,7.2475,7.2475
2004-03-15,7.0413,7.0413,7.0413,7.0413
2004-03-16,6.8738,6.8738,6.8738,6.8738
