timestamp,open,high,low,close
2014-04-03,573.0,587.95,566.1,572.5
2014-04-04,575.85,579.88,544.63,547.2
2014-04-07,544.25,549.65,531.18,541.5
2014-04-08,540.99,559.803,540.99,559.0
2014-04-09,561.05,567.9,555.49,567.5
2014-04-10,573.74,573.74,545.57,547.29
2014-04-11,543.5,547.58,534.42,539.0
2014-04-14,535.0,552.96,535.0,545.71
2014-04-15,548.0,553.5,530.78,552.3
2014-04-16,553.0,564.0,528.0,543.5
2014-04-17,544.7,557.85,530.1,545.99
2014-04-21,546.75,548.0,534.254,538.51
2014-04-22,540.17,555.2253,536.99,545.6
2014-04-23,544.4,545.55,535.8,541.0
2014-04-24,547.52,547.52,531.23,533.5
2014-04-25,532.02,533.5,522.4,524.1
2014-04-28,526.0,527.4,511.35,522.7
2014-04-29,525.0,537.7458,519.1,533.72
2014-04-30,535.0,537.13,529.42,537.13
2014-05-01,534.88,539.67,533.06,538.75
2014-05-02,540.81,541.92,532.05,532.05
2014-05-05,530.5,536.83,528.06,535.75
2014-05-06,536.35,536.35,522.32,522.76
2014-05-07,523.88,525.58,511.09,516.41
2014-05-08,518.75,527.11,514.3,520.0
2014-05-09,519.88,527.13,514.41,526.4
2014-05-12,528.88,538.57,527.71,538.42
2014-05-13,538.88,543.52,537.38,540.7
2014-05-14,542.3,542.3,533.12,534.41
2014-05-15,533.85,533.85,525.48,529.1
2014-05-16,528.87,529.95,523.898,528.45
2014-05-19,527.38,539.2,526.145,538.54
2014-05-20,540.21,546.195,536.69,539.89
2014-05-21,544.2,550.5,540.7,549.7
2014-05-22,551.15,557.93,549.7,554.16
2014-05-23,559.88,564.88,554.42,563.0
2014-05-27,567.0,574.87,564.37,574.75
2014-05-28,576.55,578.79,570.09,571.0
2014-05-29,570.71,573.15,568.6,570.5
2014-05-30,571.59,571.75,565.79,570.1
2014-06-02,571.56,572.4,556.891,564.0
2014-06-03,562.25,562.25,552.69,554.5
2014-06-04,553.03,558.35,548.58,553.2
2014-06-05,556.1,565.0,555.1,564.5
2014-06-06,567.0,568.0,559.63,566.7
2014-06-09,566.6,571.75,566.0,569.97
2014-06-10,568.04,571.91,566.1973,568.3
2014-06-11,566.06,568.76,563.91,567.5
2014-06-12,568.0,568.0,557.2,558.0
2014-06-13,562.64,562.64,554.0,560.25
2014-06-16,557.4,557.99,550.0255,551.55
2014-06-17,552.9,553.525,547.73,552.0
2014-06-18,551.5,561.284,551.5,560.75
2014-06-19,560.04,565.0,557.0,564.43
2014-06-20,564.43,567.51,559.54,565.07
2014-06-21,565.07,565.07,565.07,565.07
2014-06-23,564.0,574.3,561.46,573.98
2014-06-24,574.0,582.25,569.3499,571.6
2014-06-25,573.45,587.202,572.11,586.6
2014-06-26,587.13,589.49,580.02,583.55
2014-06-27,585.25,587.7,582.62,585.0
2014-06-30,586.83,588.17,583.38,584.75
2014-07-01,584.75,593.54,584.45,592.2
2014-07-02,594.2,594.49,589.27,590.82
2014-07-03,589.25,594.18,589.25,593.08
2014-07-07,592.21,595.51,588.0041,590.4
2014-07-08,588.13,589.04,574.01,577.0
2014-07-09,580.4,584.38,577.0,584.0
2014-07-10,576.5,585.18,572.49,579.05
2014-07-11,582.1,588.2,580.35,586.89
2014-07-14,590.0,594.85,586.9,594.26
2014-07-15,594.16,596.66,585.6,593.45
2014-07-16,595.0,597.06,590.0,590.08
2014-07-17,590.05,597.7,577.21,589.15
2014-07-18,590.01,606.53,590.0,605.25
2014-07-21,603.0,603.9,594.46,598.0
2014-07-22,600.5,608.8275,599.5,603.5
2014-07-23,605.89,606.9,602.01,605.43
2014-07-24,609.15,609.15,601.0,601.11
2014-07-25,599.15,601.77,595.79,598.0
2014-07-28,595.6,601.05,593.34,599.02
2014-07-29,597.75,598.39,592.31,593.6
2014-07-30,595.8,598.14,592.86,596.0
2014-07-31,595.0,595.0,577.72,582.44
2014-08-01,574.0,583.43,568.05,573.6
2014-08-02,574.8,574.8,574.8,574.8
2014-08-04,576.0,583.7,572.85,582.89
2014-08-05,582.5,582.5,570.38,572.7
2014-08-06,571.65,578.644,568.07,575.2
2014-08-07,577.94,578.31,569.54,572.05
2014-08-08,568.53,579.33,568.53,577.45
2014-08-11,578.9,580.69,575.3,577.25
2014-08-12,578.99,578.99,569.91,573.5
2014-08-13,576.0,586.0,574.83,584.56
2014-08-14,586.5,587.16,581.015,584.65
2014-08-15,586.3,589.44,581.36,584.0
2014-08-18,586.07,595.05,586.07,594.0
2014-08-19,595.75,598.0,594.44,598.0
2014-08-20,596.2,596.2,593.095,595.1
2014-08-21,594.2603,594.81,591.24,592.61
2014-08-22,590.99,594.7,590.13,592.0
2014-08-25,595.05,595.75,589.49,590.85
2014-08-26,592.15,592.3,587.15,587.15
2014-08-27,590.0,590.0,580.93,584.03
2014-08-28,584.11,584.5,578.17,582.0
2014-08-29,582.01,583.98,578.35,583.98
2014-09-02,585.0,589.2468,582.422,588.09
2014-09-03,590.93,594.15,586.71,589.5
2014-09-04,591.0,597.92,591.0,592.0
2014-09-05,593.55,598.95,593.4,598.6
2014-09-08,598.0,603.37,598.0,601.0
2014-09-09,601.45,601.45,590.71,592.0
2014-09-10,590.21,593.65,587.14,590.9984
2014-09-11,590.86,591.9,586.33,591.24
2014-09-12,592.78,592.78,583.0,584.0
2014-09-13,584.75,584.75,584.75,584.75
2014-09-15,585.34,585.5,577.06,582.01
2014-09-16,582.0,590.02,580.25,587.36
2014-09-17,589.4,596.02,587.46,593.5
2014-09-18,594.25,597.55,593.33,597.1
2014-09-19,598.0,605.4,597.25,605.0
2014-09-22,600.55,603.535,593.33,595.52
2014-09-23,594.0,596.212,590.0,591.18
2014-09-24,593.32,600.05,590.4,598.49
2014-09-25,598.5,598.5,584.76,589.0
2014-09-26,589.2,589.45,585.0,587.97
2014-09-29,584.0,589.24,581.57,587.5
2014-09-30,588.5,591.4,584.73,587.85
2014-10-01,588.0,588.5,578.07,579.63
2014-10-02,580.85,583.08,574.122,580.0
2014-10-03,584.53,588.27,583.54,586.2
2014-10-06,588.58,595.15,585.535,586.12
2014-10-07,586.0,586.0,574.11,575.25
2014-10-08,574.1,584.47,567.9099,583.76
2014-10-09,582.55,582.6,569.0,569.0
2014-10-10,566.28,575.195,555.0,556.1
2014-10-13,551.0,560.8599,530.0,540.05
2014-10-14,544.0,558.26,543.05,549.04
2014-10-15,553.95,553.95,529.04,535.1
2014-10-16,530.76,540.86,507.3,525.9
2014-10-17,525.9,542.95,518.88,522.6
2014-10-20,525.17,534.0,519.79,532.0
2014-10-21,534.95,538.73,530.66,538.08
2014-10-22,539.68,550.74,539.68,543.9
2014-10-23,546.73,557.2399,545.5,552.0
2014-10-24,553.03,555.99,545.16,549.42
2014-10-27,549.0,553.4,546.82,550.0
2014-10-28,552.07,559.15,550.47,557.9
2014-10-29,558.0,564.74,555.98,558.0
2014-10-30,556.55,562.41,552.14,560.57
2014-10-31,568.68,568.7,565.06,567.57
2014-11-03,567.55,569.67,561.76,563.25
2014-11-04,563.25,564.69,558.69,560.0
2014-11-05,561.04,566.98,554.24,556.0
2014-11-06,556.45,557.01,550.68,551.5
2014-11-07,551.6,555.7,549.45,551.1
2014-11-10,549.2,560.6,549.2,558.23
2014-11-11,560.0,562.42,556.3901,561.29
2014-11-12,560.0,561.1,555.5,558.25
2014-11-13,561.45,561.45,554.095,557.0
2014-11-14,556.0,557.62,552.51,556.85
2014-11-17,555.4,555.4,544.67,547.96
2014-11-18,547.6,552.49,543.87,544.5
2014-11-19,545.0,548.09,539.47,547.2
2014-11-20,546.9,546.9,541.7,543.65
2014-11-21,545.39,550.5,545.07,546.0
2014-11-24,547.0,551.16,544.34,546.8
2014-11-25,547.35,552.32,547.25,549.23
2014-11-26,550.0,550.0,545.31,548.09
2014-11-28,545.05,549.5,544.8601,549.08
2014-12-01,547.02,547.96,538.74,539.66
2014-12-02,540.0,541.5,534.9275,538.55
2014-12-03,539.43,541.13,535.26,536.97
2014-12-04,536.97,542.62,534.89,542.62
2014-12-05,542.68,542.68,527.44,528.46
2014-12-06,528.15,528.15,528.0,528.0
2014-12-08,528.1,533.43,527.06,530.75
2014-12-09,529.25,536.44,523.59,536.1
2014-12-10,535.03,539.15,527.82,528.5
2014-12-11,531.0,536.994,529.1,530.03
2014-12-12,528.01,531.81,521.0,522.9
2014-12-13,522.85,524.72,522.85,523.0
2014-12-15,523.33,525.18,515.46,515.98
2014-12-16,517.95,517.95,497.6,498.5
2014-12-17,499.01,508.97,499.01,506.0
2014-12-18,505.97,516.0,505.97,514.35
2014-12-19,516.25,520.638,509.2085,520.0
2014-12-22,519.5,532.94,519.5,531.46
2014-12-23,533.45,542.05,533.04,538.05
2014-12-24,539.0,539.98,535.245,537.0
2014-12-26,537.32,543.15,535.51,541.0
2014-12-29,539.5,543.82,537.05,537.05
2014-12-30,535.8,537.84,533.61,535.49
2014-12-31,535.49,538.33,530.23,530.7
2015-01-01,530.5,530.5,530.5,530.5
2015-01-02,534.42,535.37,527.0,528.0
2015-01-03,527.85,527.85,527.85,527.85
2015-01-05,527.2,527.7,517.79,519.9999
2015-01-06,521.0,521.0,505.85,507.65
2015-01-07,510.09,511.0,503.83,504.96
