timestamp,open,high,low,close
2004-01-02,2.73,2.73,2.73,2.73
2004-01-05,3.1,3.1,3.1,3.1
2004-01-06,3.06,3.06,3.06,3.06
2004-01-07,3.14,3.14,3.14,3.14
2004-01-08,3.43,3.43,3.43,3.43
2004-01-09,3.45,3.45,3.45,3.45
2004-01-12,3.7,3.7,3.7,3.7
2004-01-13,3.64,3.64,3.64,3.64
2004-01-14,3.62,3.62,3.62,3.62
2004-01-15,3.55,3.55,3.55,3.55
2004-01-16,3.35,3.35,3.35,3.35
2004-01-20,3.38,3.38,3.38,3.38
2004-01-21,3.2,3.2,3.2,3.2
2004-01-22,3.28,3.28,3.28,3.28
2004-01-23,3.27,3.27,3.27,3.27
2004-01-26,3.29,3.29,3.29,3.29
2004-01-27,3.21,3.21,3.21,3.21
2004-01-28,3.44,3.44,3.44,3.44
2004-01-29,3.12,3.12,3.12,3.12
2004-01-30,3.11,3.11,3.11,3.11
2004-02-02,3.11,3.11,3.11,3.11
2004-02-03,3.12,3.12,3.12,3.12
2004-02-04,3.12,3.12,3.12,3.12
2004-02-05,3.15,3.15,3.15,3.15
2004-02-06,3.26,3.26,3.26,3.26
2004-02-09,3.25,3.25,3.25,3.25
2004-02-10,3.3466,3.3466,3.3466,3.3466
2004-02-11,3.45,3.45,3.45,3.45
2004-02-12,3.5,3.5,3.5,3.5
2004-02-13,3.4,3.4,3.4,3.4
2004-02-17,3.5094,3.5094,3.5094,3.5094
2004-02-18,3.55,3.55,3.55,3.55
2004-02-19,3.4,3.4,3.4,3.4
2004-02-20,3.4,3.4,3.4,3.4
2004-02-23,3.15,3.15,3.15,3.15
2004-02-24,3.07,3.07,3.07,3.07
2004-02-25,3.05,3.05,3.05,3.05
2004-02-26,2.82,2.82,2.82,2.82
2004-02-27,2.85,2.85,2.85,2.85
2004-03-01,2.91,2.91,2.91,2.91
2004-03-02,2.92,2.92,2.92,2.92
2004-03-03,2.9755,2.9755,2.9755,2.9755
2004-03-04,3.07,3.07,3.07,3.07
2004-03-05,3.0,3.0,3.0,3.0
2004-03-08,2.9,2.9,2.9,2.9
2004-03-09,2.9,2.9,2.9,2.9
2004-03-10,2.8042,2.8042,2.8042,2.8042
2004-03-11,2.75,2.75,2.75,2.75
2004-03-12,2.9,2.9,2.9,2.9
2004-03-15,2.7,2.7,2.7,2.7
2004-03-16,2.6751,2.6751,2.6751,2.6751
2004-03-17,2.71,2.71,2.71,2.71
2004-03-18,2.74,2.74,2.74,2.74
2004-03-19,2.67,2.67,2.67,2.67
2004-03-22,2.5678,2.5678,2.5678,2.5678
2004-03-23,2.58,2.58,2.58,2.58
2004-03-24,2.57,2.57,2.57,2.57
2004-03-25,2.87,2.87,2.87,2.87
2004-03-26,2.91,2.91,2.91,2.91
2004-03-29,3.09,3.09,3.09,3.09
2004-03-30,3.0095,3.0095,3.0095,3.0095
2004-03-31,3.115,3.115,3.115,3.115
2004-04-01,3.24,3.24,3.24,3.24
2004-04-02,3.2,3.2,3.2,3.2
2004-04-05,3.15,3.15,3.15,3.15
2004-04-06,3.02,3.02,3.02,3.02
2004-04-07,2.99,2.99,2.99,2.99
2004-04-08,2.92,2.92,2.92,2.92
2004-04-12,2.96,2.96,2.96,2.96
2004-04-13,2.78,2.78,2.78,2.78
2004-04-14,3.0,3.0,3.0,3.0
2004-04-15,3.03,3.03,3.03,3.03
2004-04-16,3.09,3.09,3.09,3.09
2004-04-19,3.03,3.03,3.03,3.03
2004-04-20,2.95,2.95,2.95,2.95
2004-04-21,2.93,2.93,2.93,2.93
2004-04-22,2.88,2.88,2.88,2.88
2004-04-23,2.88,2.88,2.88,2.88
2004-04-26,2.89,2.89,2.89,2.89
2004-04-27,2.9,2.9,2.9,2.9
2004-04-28,2.83,2.83,2.83,2.83
2004-04-29,2.76,2.76,2.76,2.76
2004-04-30,2.86,2.86,2.86,2.86
2004-05-03,2.85,2.85,2.85,2.85
2004-05-04,2.77,2.77,2.77,2.77
2004-05-05,2.79,2.79,2.79,2.79
2004-05-06,2.68,2.68,2.68,2.68
2004-05-07,2.6004,2.6004,2.6004,2.6004
2004-05-10,2.51,2.51,2.51,2.51
2004-05-11,2.6046,2.6046,2.6046,2.6046
2004-05-12,2.9,2.9,2.9,2.9
2004-05-13,2.82,2.82,2.82,2.82
2004-05-14,2.78,2.78,2.78,2.78
2004-05-17,2.82,2.82,2.82,2.82
2004-05-18,2.85,2.85,2.85,2.85
2004-05-19,2.82,2.82,2.82,2.82
2004-05-20,2.79,2.79,2.79,2.79
2004-05-21,2.9594,2.9594,2.9594,2.9594
2004-05-24,2.95,2.95,2.95,2.95
2004-05-25,3.15,3.15,3.15,3.15
2004-05-26,3.11,3.11,3.11,3.11
2004-05-27,3.06,3.06,3.06,3.06
2004-05-28,3.14,3.14,3.14,3.14
2004-06-01,3.24,3.24,3.24,3.24
2004-06-02,3.3,3.3,3.3,3.3
2004-06-03,3.88,3.88,3.88,3.88
2004-06-04,4.43,4.43,4.43,4.43
2004-06-07,4.8,4.8,4.8,4.8
2004-06-08,4.88,4.88,4.88,4.88
2004-06-09,4.8,4.8,4.8,4.8
2004-06-10,4.93,4.93,4.93,4.93
2004-06-14,4.68,4.68,4.68,4.68
2004-06-15,5.0,5.0,5.0,5.0
2004-06-16,4.91,4.91,4.91,4.91
2004-06-17,5.24,5.24,5.24,5.24
2004-06-18,5.57,5.57,5.57,5.57
2004-06-21,5.68,5.68,5.68,5.68
2004-06-22,5.65,5.65,5.65,5.65
2004-06-23,6.03,6.03,6.03,6.03
2004-06-24,5.91,5.91,5.91,5.91
2004-06-25,6.4953,6.4953,6.4953,6.4953
2004-06-28,6.36,6.36,6.36,6.36
2004-06-29,6.45,6.45,6.45,6.45
2004-06-30,6.2,6.2,6.2,6.2
2004-07-01,6.04,6.04,6.04,6.04
2004-07-02,6.01,6.01,6.01,6.01
2004-07-06,5.8,5.8,5.8,5.8
2004-07-07,5.95,5.95,5.95,5.95
2004-07-08,5.94,5.94,5.94,5.94
2004-07-09,6.1,6.1,6.1,6.1
2004-07-12,6.29,6.29,6.29,6.29
2004-07-13,6.0,6.0,6.0,6.0
2004-07-14,6.02,6.02,6.02,6.02
2004-07-15,5.99,5.99,5.99,5.99
2004-07-16,6.05,6.05,6.05,6.05
2004-07-19,5.88,5.88,5.88,5.88
2004-07-20,5.86,5.86,5.86,5.86
2004-07-21,5.6,5.6,5.6,5.6
2004-07-22,5.45,5.45,5.45,5.45
2004-07-23,5.71,5.71,5.71,5.71
2004-07-26,5.26,5.26,5.26,5.26
2004-07-27,5.6,5.6,5.6,5.6
2004-07-28,5.53,5.53,5.53,5.53
2004-07-29,5.7,5.7,5.7,5.7
2004-07-30,5.81,5.81,5.81,5.81
2004-08-02,5.96,5.96,5.96,5.96
2004-08-03,5.97,5.97,5.97,5.97
2004-08-04,6.11,6.11,6.11,6.11
2004-08-05,5.87,5.87,5.87,5.87
2004-08-06,5.55,5.55,5.55,5.55
2004-08-09,5.55,5.55,5.55,5.55
2004-08-10,5.74,5.74,5.74,5.74
2004-08-11,5.69,5.69,5.69,5.69
2004-08-12,5.61,5.61,5.61,5.61
2004-08-13,5.68,5.68,5.68,5.68
2004-08-16,6.07,6.07,6.07,6.07
2004-08-17,5.88,5.88,5.88,5.88
2004-08-18,6.39,6.39,6.39,6.39
2004-08-19,5.95,5.95,5.95,5.95
2004-08-20,6.15,6.15,6.15,6.15
2004-08-23,6.05,6.05,6.05,6.05
2004-08-24,6.04,6.04,6.04,6.04
2004-08-25,6.7,6.7,6.7,6.7
2004-08-26,7.22,7.22,7.22,7.22
2004-08-27,8.2,8.2,8.2,8.2
2004-08-30,7.79,7.79,7.79,7.79
2004-08-31,7.64,7.64,7.64,7.64
2004-09-01,8.02,8.02,8.02,8.02
2004-09-02,8.72,8.72,8.72,8.72
2004-09-03,8.88,8.88,8.88,8.88
2004-09-07,8.88,8.88,8.88,8.88
2004-09-08,8.46,8.46,8.46,8.46
2004-09-09,9.07,9.07,9.07,9.07
2004-09-10,9.1,9.1,9.1,9.1
2004-09-13,9.1,9.1,9.1,9.1
2004-09-14,9.1,9.1,9.1,9.1
2004-09-15,8.74,8.74,8.74,8.74
2004-09-16,8.95,8.95,8.95,8.95
2004-09-17,8.66,8.66,8.66,8.66
2004-09-20,8.67,8.67,8.67,8.67
2004-09-21,8.79,8.79,8.79,8.79
2004-09-22,8.73,8.73,8.73,8.73
2004-09-23,8.89,8.89,8.89,8.89
2004-09-24,9.06,9.06,9.06,9.06
2004-09-27,9.2,9.2,9.2,9.2
2004-09-28,9.35,9.35,9.35,9.35
2004-09-29,9.17,9.17,9.17,9.17
2004-09-30,9.45,9.45,9.45,9.45
2004-10-01,9.84,9.84,9.84,9.84
2004-10-04,9.89,9.89,9.89,9.89
2004-10-05,9.88,9.88,9.88,9.88
2004-10-06,10.0,10.0,10.0,10.0
2004-10-07,9.55,9.55,9.55,9.55
2004-10-08,9.34,9.34,9.34,9.34
2004-10-11,9.48,9.48,9.48,9.48
2004-10-12,10.2,10.2,10.2,10.2
2004-10-13,9.8016,9.8016,9.8016,9.8016
2004-10-14,9.76,9.76,9.76,9.76
2004-10-15,11.65,11.65,11.65,11.65
2004-10-18,11.7,11.7,11.7,11.7
2004-10-19,11.76,11.76,11.76,11.76
2004-10-20,12.0,12.0,12.0,12.0
2004-10-21,12.01,12.01,12.01,12.01
2004-10-22,12.18,12.18,12.18,12.18
2004-10-25,12.09,12.09,12.09,12.09
2004-10-26,11.49,11.49,11.49,11.49
2004-10-27,10.83,10.83,10.83,10.83
2004-10-28,10.65,10.65,10.65,10.65
2004-10-29,10.72,10.72,10.72,10.72
2004-11-01,10.58,10.58,10.58,10.58
2004-11-02,10.6,10.6,10.6,10.6
2004-11-03,12.097,12.097,12.097,12.097
2004-11-04,12.59,12.59,12.59,12.59
2004-11-05,13.35,13.35,13.35,13.35
2004-11-08,12.68,12.68,12.68,12.68
2004-11-09,11.57,11.57,11.57,11.57
2004-11-10,14.5,14.5,14.5,14.5
2004-11-11,14.9,14.9,14.9,14.9
2004-11-12,14.48,14.48,14.48,14.48
2004-11-15,14.0,14.0,14.0,14.0
2004-11-16,13.3,13.3,13.3,13.3
2004-11-17,13.0,13.0,13.0,13.0
2004-11-18,12.8,12.8,12.8,12.8
2004-11-19,12.7,12.7,12.7,12.7
2004-11-22,13.18,13.18,13.18,13.18
2004-11-23,13.29,13.29,13.29,13.29
2004-11-24,13.0,13.0,13.0,13.0
2004-11-26,13.2,13.2,13.2,13.2
2004-11-29,13.2,13.2,13.2,13.2
2004-11-30,13.5627,13.5627,13.5627,13.5627
2004-12-01,13.82,13.82,13.82,13.82
2004-12-02,13.48,13.48,13.48,13.48
2004-12-03,13.75,13.75,13.75,13.75
2004-12-06,13.53,13.53,13.53,13.53
2004-12-07,13.01,13.01,13.01,13.01
2004-12-08,13.1,13.1,13.1,13.1
2004-12-09,12.99,12.99,12.99,12.99
2004-12-10,13.25,13.25,13.25,13.25
2004-12-13,13.46,13.46,13.46,13.46
2004-12-14,13.21,13.21,13.21,13.21
2004-12-15,13.858,13.858,13.858,13.858
2004-12-16,13.7244,13.7244,13.7244,13.7244
2004-12-17,13.51,13.51,13.51,13.51
2004-12-20,13.45,13.45,13.45,13.45
2004-12-21,13.525,13.525,13.525,13.525
2004-12-22,13.6918,13.6918,13.6918,13.6918
2004-12-23,14.01,14.01,14.01,14.01
2004-12-27,13.58,13.58,13.58,13.58
2004-12-28,14.0,14.0,14.0,14.0
2004-12-29,13.9,13.9,13.9,13.9
2004-12-30,13.65,13.65,13.65,13.65
2004-12-31,13.61,13.61,13.61,13.61
2005-01-03,13.7134,13.7134,13.7134,13.7134
2005-01-04,13.3963,13.3963,13.3963,13.3963
2005-01-05,12.8205,12.8205,12.8205,12.8205
2005-01-06,13.0011,13.0011,13.0011,13.0011
2005-01-07,12.99,12.99,12.99,12.99
2005-01-10,13.25,13.25,13.25,13.25
2005-01-11,13.0802,13.0802,13.0802,13.0802
2005-01-12,12.954,12.954,12.954,12.954
2005-01-13,13.15,13.15,13.15,13.15
2005-01-14,13.17,13.17,13.17,13.17
