timestamp,open,high,low,close
2004-01-02,97.13,97.13,97.13,97.13
2004-01-05,97.18,97.18,97.18,97.18
2004-01-06,96.6,96.6,96.6,96.6
2004-01-07,98.75,98.75,98.75,98.75
2004-01-08,98.75,98.75,98.75,98.75
2004-01-09,97.5,97.5,97.5,97.5
2004-01-12,97.78,97.78,97.78,97.78
2004-01-13,97.66,97.66,97.66,97.66
2004-01-14,100.0,100.0,100.0,100.0
2004-01-15,101.14,101.14,101.14,101.14
2004-01-16,100.35,100.35,100.35,100.35
2004-01-20,100.3346,100.3346,100.3346,100.3346
2004-01-21,101.5,101.5,101.5,101.5
2004-01-22,100.62,100.62,100.62,100.62
2004-01-23,99.55,99.55,99.55,99.55
2004-01-26,102.3,102.3,102.3,102.3
2004-01-27,101.25,101.25,101.25,101.25
2004-01-28,98.15,98.15,98.15,98.15
2004-01-29,99.4,99.4,99.4,99.4
2004-01-30,99.55,99.55,99.55,99.55
2004-02-02,99.81,99.81,99.81,99.81
2004-02-03,100.91,100.91,100.91,100.91
2004-02-04,99.82,99.82,99.82,99.82
2004-02-05,98.84,98.84,98.84,98.84
2004-02-06,101.34,101.34,101.34,101.34
2004-02-09,101.87,101.87,101.87,101.87
2004-02-10,102.18,102.18,102.18,102.18
2004-02-11,107.0,107.0,107.0,107.0
2004-02-12,107.88,107.88,107.88,107.88
2004-02-13,105.9,105.9,105.9,105.9
2004-02-17,106.95,106.95,106.95,106.95
2004-02-18,107.0905,107.0905,107.0905,107.0905
2004-02-19,105.7728,105.7728,105.7728,105.7728
2004-02-20,106.52,106.52,106.52,106.52
2004-02-23,106.67,106.67,106.67,106.67
2004-02-24,104.32,104.32,104.32,104.32
2004-02-25,105.82,105.82,105.82,105.82
2004-02-26,106.29,106.29,106.29,106.29
2004-02-27,105.87,105.87,105.87,105.87
2004-03-01,107.35,107.35,107.35,107.35
2004-03-02,106.4,106.4,106.4,106.4
2004-03-03,106.51,106.51,106.51,106.51
2004-03-04,108.5,108.5,108.5,108.5
2004-03-05,109.05,109.05,109.05,109.05
2004-03-08,107.35,107.35,107.35,107.35
2004-03-09,105.8,105.8,105.8,105.8
2004-03-10,103.625,103.625,103.625,103.625
2004-03-11,103.0,103.0,103.0,103.0
2004-03-12,104.93,104.93,104.93,104.93
2004-03-15,102.82,102.82,102.82,102.82
2004-03-16,102.75,102.75,102.75,102.75
2004-03-17,104.01,104.01,104.01,104.01
2004-03-18,103.7,103.7,103.7,103.7
2004-03-19,102.6475,102.6475,102.6475,102.6475
2004-03-22,101.3,101.3,101.3,101.3
2004-03-23,101.38,101.38,101.38,101.38
2004-03-24,99.24,99.24,99.24,99.24
2004-03-25,101.9,101.9,101.9,101.9
2004-03-26,103.75,103.75,103.75,103.75
2004-03-29,104.25,104.25,104.25,104.25
2004-03-30,104.27,104.27,104.27,104.27
2004-03-31,104.35,104.35,104.35,104.35
2004-04-01,106.0,106.0,106.0,106.0
2004-04-02,105.95,105.95,105.95,105.95
2004-04-05,105.698,105.698,105.698,105.698
2004-04-06,105.52,105.52,105.52,105.52
2004-04-07,105.25,105.25,105.25,105.25
2004-04-08,105.7,105.7,105.7,105.7
2004-04-12,105.91,105.91,105.91,105.91
2004-04-13,103.05,103.05,103.05,103.05
2004-04-14,101.46,101.46,101.46,101.46
2004-04-15,101.31,101.31,101.31,101.31
2004-04-16,103.3,103.3,103.3,103.3
2004-04-19,102.479,102.479,102.479,102.479
2004-04-20,99.91,99.91,99.91,99.91
2004-04-21,100.0,100.0,100.0,100.0
2004-04-22,101.81,101.81,101.81,101.81
2004-04-23,100.61,100.61,100.61,100.61
2004-04-26,101.515,101.515,101.515,101.515
2004-04-27,100.91,100.91,100.91,100.91
2004-04-28,98.39,98.39,98.39,98.39
2004-04-29,98.26,98.26,98.26,98.26
2004-04-30,96.75,96.75,96.75,96.75
2004-05-03,96.92,96.92,96.92,96.92
2004-05-04,97.37,97.37,97.37,97.37
2004-05-05,96.02,96.02,96.02,96.02
2004-05-06,96.1,96.1,96.1,96.1
2004-05-07,93.04,93.04,93.04,93.04
2004-05-10,92.3,92.3,92.3,92.3
2004-05-11,92.91,92.91,92.91,92.91
2004-05-12,93.0,93.0,93.0,93.0
2004-05-13,93.45,93.45,93.45,93.45
2004-05-14,94.01,94.01,94.01,94.01
2004-05-17,92.68,92.68,92.68,92.68
2004-05-18,93.31,93.31,93.31,93.31
2004-05-19,92.68,92.68,92.68,92.68
2004-05-20,92.41,92.41,92.41,92.41
2004-05-21,91.74,91.74,91.74,91.74
2004-05-24,91.74,91.74,91.74,91.74
2004-05-25,93.07,93.07,93.07,93.07
2004-05-26,93.39,93.39,93.39,93.39
2004-05-27,93.22,93.22,93.22,93.22
2004-05-28,93.93,93.93,93.93,93.93
2004-06-01,93.0,93.0,93.0,93.0
2004-06-02,91.77,91.77,91.77,91.77
2004-06-03,90.55,90.55,90.55,90.55
2004-06-04,91.46,91.46,91.46,91.46
2004-06-07,93.47,93.47,93.47,93.47
2004-06-08,94.01,94.01,94.01,94.01
2004-06-09,93.0,93.0,93.0,93.0
2004-06-10,93.01,93.01,93.01,93.01
2004-06-14,91.58,91.58,91.58,91.58
2004-06-15,90.25,90.25,90.25,90.25
2004-06-16,89.98,89.98,89.98,89.98
2004-06-17,89.34,89.34,89.34,89.34
2004-06-18,89.18,89.18,89.18,89.18
2004-06-21,89.2,89.2,89.2,89.2
2004-06-22,90.7,90.7,90.7,90.7
2004-06-23,91.76,91.76,91.76,91.76
2004-06-24,93.19,93.19,93.19,93.19
2004-06-25,94.46,94.46,94.46,94.46
2004-06-28,93.24,93.24,93.24,93.24
2004-06-29,94.0,94.0,94.0,94.0
2004-06-30,94.16,94.16,94.16,94.16
