timestamp,open,high,low,close
2004-01-02,7.87,8.03,7.8,7.8
2004-01-05,8.0,8.06,7.89,8.05
2004-01-06,7.98,8.03,7.91,7.94
2004-01-07,7.83,7.99,7.75,7.95
2004-01-08,8.0,8.45,7.99,8.37
2004-01-09,8.35,9.14,8.25,8.92
2004-01-10,8.93,8.93,8.93,8.93
2004-01-12,8.9,8.9,8.71,8.83
2004-01-13,8.85,8.89,8.65,8.78
2004-01-14,9.0,9.15,8.9,8.9929
2004-01-15,8.96,9.0,8.66,8.87
2004-01-16,8.95,9.0,8.85,8.9062
2004-01-20,8.99,9.9,8.99,9.5
2004-01-21,9.42,11.05,9.36,10.74
2004-01-22,10.75,11.9,10.0,10.26
2004-01-23,10.34,10.69,9.95,10.3
2004-01-26,10.24,10.41,10.05,10.4
2004-01-27,10.4,10.6,10.25,10.38
2004-01-28,10.48,11.2,10.25,10.45
2004-01-29,10.45,11.0,9.79,11.0
2004-01-30,9.92,9.92,9.49,9.5
2004-02-02,10.3,10.3,9.51,9.53
2004-02-03,9.5,9.56,9.3,9.33
2004-02-04,9.26,9.85,9.14,9.42
2004-02-05,9.45,9.46,9.08,9.23
2004-02-06,9.3,10.05,9.3,10.05
2004-02-09,9.99,10.2,9.69,9.69
2004-02-10,9.7,9.96,9.65,9.9099
2004-02-11,9.8,10.21,8.5,8.85
2004-02-12,8.85,9.09,8.41,8.7156
2004-02-13,8.85,8.95,8.51,8.7449
2004-02-17,8.41,8.66,8.25,8.3585
2004-02-18,8.28,8.34,8.0,8.06
2004-02-19,8.15,8.45,8.15,8.38
2004-02-20,8.37,8.38,8.01,8.15
2004-02-23,8.22,8.32,7.7,7.7
2004-02-24,7.6,7.94,7.56,7.81
2004-02-25,7.86,8.21,7.83,8.06
2004-02-26,8.05,8.12,7.73,8.0
2004-02-27,7.99,8.48,7.99,8.47
2004-03-01,8.43,8.75,8.32,8.487
2004-03-02,8.51,8.55,8.26,8.3567
2004-03-03,8.28,8.73,8.27,8.6854
2004-03-04,8.63,8.86,8.47,8.68
2004-03-05,8.6,8.71,8.48,8.48
2004-03-08,8.52,8.59,8.17,8.2
2004-03-09,8.2,8.2,7.96,8.12
2004-03-10,8.05,8.1,7.72,7.7875
2004-03-11,7.8,7.95,7.65,7.68
2004-03-12,7.77,7.94,7.69,7.9
2004-03-15,7.9,7.9,7.52,7.5951
2004-03-16,7.59,7.94,6.56,7.43
2004-03-17,7.51,8.05,7.42,7.98
2004-03-18,7.97,7.97,7.79,7.81
2004-03-19,7.9,7.9,7.56,7.61
2004-03-22,7.49,7.53,7.1,7.1983
2004-03-23,7.35,7.5,7.26,7.42
2004-03-24,7.42,7.42,7.06,7.09
2004-03-25,7.25,7.32,7.18,7.3
2004-03-26,7.4,7.59,7.31,7.54
2004-03-29,8.5,8.5,7.82,7.88
2004-03-30,7.95,8.43,7.87,8.43
2004-03-31,8.43,8.71,8.43,8.6075
2004-04-01,8.54,9.03,8.54,8.89
2004-04-02,9.0,9.18,8.9,9.01
2004-04-05,9.15,9.15,8.62,8.8914
2004-04-06,8.84,8.84,8.43,8.44
2004-04-07,8.44,8.8,8.36,8.64
2004-04-08,8.708,8.78,8.55,8.64
2004-04-12,8.7,9.87,8.7,9.0
2004-04-13,9.14,9.28,8.64,8.73
2004-04-14,8.7,8.85,8.56,8.68
2004-04-15,8.84,8.98,8.75,8.8003
2004-04-16,8.8,8.94,8.65,8.9
2004-04-19,8.94,9.13,8.9,9.03
2004-04-20,9.1,9.2,8.88,8.9445
2004-04-21,8.81,8.98,8.7,8.92
2004-04-22,8.96,9.29,8.9,9.25
2004-04-23,9.28,9.28,8.97,9.23
2004-04-26,9.2,9.35,9.16,9.19
2004-04-27,9.0,9.24,9.0,9.16
2004-04-28,9.03,9.1,8.8,8.92
2004-04-29,8.9,8.9,8.5,8.6578
2004-04-30,8.7,8.81,8.67,8.71
2004-05-03,8.71,8.86,8.55,8.68
2004-05-04,8.52,8.72,8.44,8.61
2004-05-05,8.71,9.0,8.66,8.96
2004-05-06,8.75,8.88,8.538,8.6406
2004-05-07,8.6,8.66,8.45,8.4713
2004-05-10,8.3,8.3,7.66,8.01
2004-05-11,8.1,8.28,8.02,8.1
2004-05-12,8.2,8.2,7.85,8.17
2004-05-13,8.18,8.29,8.03,8.2448
2004-05-14,8.26,8.27,8.01,8.02
2004-05-17,7.92,8.0,7.76,7.85
2004-05-18,8.02,8.22,7.83,8.16
2004-05-19,8.7,8.95,8.24,8.56
2004-05-20,8.55,8.55,8.11,8.26
2004-05-21,8.3,8.38,8.11,8.24
2004-05-24,8.3,8.54,8.24,8.5
2004-05-25,8.49,8.84,8.46,8.8
2004-05-26,8.86,8.88,8.66,8.81
2004-05-27,8.87,8.99,8.76,8.84
2004-05-28,8.8,8.8,8.69,8.7
2004-06-01,8.64,8.8,8.6,8.8
2004-06-02,8.87,8.9,8.67,8.76
2004-06-03,8.61,8.78,8.46,8.46
2004-06-04,8.51,8.75,8.51,8.66
2004-06-07,8.72,9.09,8.72,9.04
2004-06-08,9.0,9.15,8.9,9.15
2004-06-09,9.15,9.24,8.94,8.94
2004-06-10,8.92,9.13,8.91,9.02
2004-06-14,8.96,9.21,8.94,9.02
2004-06-15,9.03,9.27,8.91,9.22
2004-06-16,8.76,9.14,8.75,8.98
2004-06-17,8.91,9.5,8.9,9.41
2004-06-18,9.47,9.9716,9.47,9.88
2004-06-21,10.1,10.45,9.73,9.74
2004-06-22,9.64,9.71,9.39,9.7
2004-06-23,9.68,10.06,9.68,10.0
2004-06-24,9.97,10.13,9.84,9.85
2004-06-25,9.87,10.0,9.83,9.8428
2004-06-28,9.55,9.85,9.03,9.26
2004-06-29,9.27,9.35,9.14,9.14
2004-06-30,9.2048,9.24,9.05,9.09
2004-07-01,9.12,9.3,9.11,9.22
2004-07-02,9.19,9.43,9.09,9.33
2004-07-06,9.5,9.68,9.41,9.52
2004-07-07,9.55,9.82,9.55,9.71
2004-07-08,9.71,9.87,9.5,9.53
2004-07-09,9.6,9.77,9.59,9.59
2004-07-12,9.6,9.66,9.42,9.52
2004-07-13,9.49,9.78,9.49,9.71
2004-07-14,9.55,9.75,9.55,9.71
2004-07-15,9.68,9.74,9.65,9.67
2004-07-16,9.85,9.9,9.66,9.66
2004-07-19,9.5,9.85,9.5,9.73
2004-07-20,9.72,9.87,9.72,9.85
2004-07-21,9.86,9.99,9.51,9.51
2004-07-22,9.75,10.02,9.54,9.92
2004-07-23,10.11,10.25,10.04,10.14
2004-07-26,10.101,10.33,9.96,10.07
2004-07-27,10.11,10.46,10.11,10.36
2004-07-28,10.33,10.8,10.32,10.74
2004-07-29,10.78,11.1,10.57,11.1
2004-07-30,11.08,11.09,10.8,10.95
2004-08-02,10.84,11.46,10.77,11.46
2004-08-03,11.25,11.35,10.92,11.0
2004-08-04,10.89,11.1,10.52,10.85
2004-08-05,11.3,11.75,10.82,10.9
2004-08-06,11.01,11.01,10.3,10.37
2004-08-09,10.48,10.51,10.31,10.34
2004-08-10,10.34,10.93,10.34,10.9
2004-08-11,10.82,10.97,10.62,10.97
2004-08-12,10.99,10.99,10.45,10.49
2004-08-13,10.59,10.73,10.38,10.5
2004-08-16,10.54,11.0,10.53,11.0
2004-08-17,11.05,11.25,10.79,10.84
2004-08-18,10.78,11.12,10.76,11.09
2004-08-19,11.06,11.06,10.72,10.84
2004-08-20,11.0,11.0,10.83,10.91
2004-08-23,10.92,10.92,10.46,10.5
2004-08-24,10.65,10.75,10.5,10.59
2004-08-25,10.65,10.95,10.55,10.9
2004-08-26,10.93,10.98,10.75,10.82
2004-08-27,10.88,10.91,10.76,10.83
2004-08-30,10.83,11.08,10.82,10.89
2004-08-31,10.93,11.0,10.73,10.98
2004-09-01,11.02,11.42,11.02,11.42
2004-09-02,11.46,11.8,11.46,11.74
2004-09-03,11.69,11.75,11.59,11.67
2004-09-07,11.76,11.88,11.67,11.75
2004-09-08,11.85,12.0,11.7,11.7
2004-09-09,11.7,11.84,11.35,11.52
2004-09-10,11.52,11.55,11.28,11.54
2004-09-13,11.6,11.73,11.23,11.23
2004-09-14,11.34,11.57,11.16,11.27
2004-09-15,11.21,11.24,11.05,11.09
2004-09-16,11.1,11.24,11.04,11.08
2004-09-17,11.17,11.17,10.81,10.97
2004-09-20,10.9,10.91,10.75,10.83
2004-09-21,10.94,11.28,10.89,11.2
2004-09-22,11.2,11.2,10.81,10.84
2004-09-23,10.75,10.8,10.49,10.61
2004-09-24,10.6,10.66,10.42,10.63
2004-09-27,10.64,10.64,10.44,10.5
2004-09-28,10.51,10.84,10.51,10.84
2004-09-29,10.53,10.72,10.43,10.71
2004-09-30,10.58,10.82,10.58,10.74
2004-10-01,10.74,10.98,10.71,10.86
2004-10-04,10.86,11.33,10.86,11.28
2004-10-05,11.32,11.4,10.96,11.05
2004-10-06,11.07,11.09,10.83,10.97
2004-10-07,10.91,10.91,10.7,10.71
2004-10-08,10.62,10.68,10.01,10.12
2004-10-11,10.17,10.25,10.02,10.12
2004-10-12,10.1,10.1,9.71,9.9
2004-10-13,9.89,9.89,9.64,9.6959
2004-10-14,9.61,9.69,9.39,9.4
2004-10-15,9.45,9.69,9.21,9.6
2004-10-18,9.54,9.81,9.41,9.8
2004-10-19,9.92,9.95,9.47,9.52
2004-10-20,9.5,9.5,9.28,9.31
2004-10-21,9.31,9.79,9.22,9.73
2004-10-22,9.8,10.06,9.51,9.6352
2004-10-25,9.5,9.6,9.38,9.43
2004-10-26,9.4,9.65,9.35,9.65
2004-10-27,9.66,9.94,9.56,9.89
2004-10-28,9.9,10.03,9.79,9.99
2004-10-29,10.1,10.174,9.82,10.08
2004-11-01,10.08,10.182,9.92,10.182
2004-11-02,10.05,10.26,9.93,10.19
2004-11-03,10.23,10.31,9.88,9.9835
2004-11-04,10.01,10.23,9.96,10.23
2004-11-05,10.3,11.83,10.3,11.83
2004-11-08,11.82,11.82,11.36,11.6
2004-11-09,11.6,12.3,11.5,12.0
2004-11-10,12.0,12.0,11.28,11.56
2004-11-11,11.45,11.67,11.28,11.49
2004-11-12,11.55,11.67,11.42,11.66
2004-11-15,11.51,11.7,11.47,11.66
2004-11-16,11.59,11.61,11.43,11.52
2004-11-17,11.66,11.93,11.55,11.83
2004-11-18,11.85,12.62,11.85,12.5
2004-11-19,12.59,12.91,12.2,12.21
2004-11-22,12.14,12.26,12.03,12.15
2004-11-23,12.07,12.46,11.98,12.43
2004-11-24,12.43,12.53,12.19,12.49
2004-11-26,12.59,12.6,12.43,12.5
2004-11-29,12.76,13.0,12.5,12.64
2004-11-30,12.81,12.86,12.59,12.62
2004-12-01,12.63,12.84,12.55,12.75
2004-12-02,12.77,13.09,12.65,12.84
2004-12-03,12.96,13.15,12.81,13.08
2004-12-06,13.11,13.18,12.75,12.77
2004-12-07,12.75,12.87,12.51,12.6
2004-12-08,12.53,12.69,12.38,12.65
2004-12-09,12.54,12.69,12.4,12.6
2004-12-10,12.55,12.73,12.53,12.72
2004-12-13,12.75,13.12,12.64,13.0661
2004-12-14,13.06,14.02,13.06,13.91
2004-12-15,13.82,14.28,13.78,14.228
2004-12-16,14.23,14.35,14.08,14.27
2004-12-17,14.29,14.39,14.03,14.24
2004-12-20,14.29,14.65,14.29,14.56
2004-12-21,14.6,14.7,14.51,14.6447
2004-12-22,14.65,14.68,14.57,14.6232
2004-12-23,14.65,15.0,14.57,14.9
2004-12-27,14.79,14.89,14.62,14.82
2004-12-28,14.83,15.01,14.68,14.9573
2004-12-29,14.9,15.0,14.85,14.95
2004-12-30,14.95,15.0,14.86,14.89
2004-12-31,14.84,14.84,14.45,14.69
2005-01-03,14.67,15.02,14.58,14.95
2005-01-04,15.07,15.07,14.32,14.46
2005-01-05,14.46,14.75,14.15,14.3201
2005-01-06,14.36,14.8,14.36,14.6311
2005-01-07,14.68,14.74,14.58,14.68
2005-01-10,14.7,14.82,14.55,14.59
2005-01-11,14.55,14.7,14.45,14.5907
2005-01-12,14.53,14.66,14.33,14.5302
2005-01-13,14.5,15.07,14.47,14.86
2005-01-14,14.94,15.39,14.8,15.32
2005-01-18,15.5,15.5,14.89,15.36
2005-01-19,15.3,15.54,15.17,15.24
2005-01-20,15.17,15.17,14.71,14.7599
2005-01-21,14.74,14.85,14.46,14.52
2005-01-24,14.51,14.63,14.34,14.39
2005-01-25,14.4,15.0,14.4,14.62
2005-01-26,14.61,15.18,14.55,15.06
2005-01-27,15.01,15.64,14.99,15.61
2005-01-28,15.62,15.62,15.21,15.37
2005-01-31,15.41,15.66,15.24,15.44
2005-02-01,15.5,16.08,15.47,15.98
2005-02-02,15.99,16.05,15.74,15.93
2005-02-03,15.87,16.0,15.62,16.0
2005-02-04,15.6,15.61,14.3,14.4
2005-02-07,14.37,14.44,13.86,14.05
2005-02-08,14.14,14.34,14.08,14.2658
2005-02-09,14.26,14.34,13.84,13.9
2005-02-10,13.87,13.92,13.63,13.77
2005-02-11,13.76,14.19,13.66,14.0
2005-02-14,14.06,14.33,14.06,14.2859
2005-02-15,14.29,14.71,14.29,14.45
2005-02-16,14.33,14.33,13.89,13.9
2005-02-17,13.91,13.96,13.65,13.7
2005-02-18,13.8,13.96,13.7,13.79
2005-02-22,13.75,13.75,13.11,13.12
2005-02-23,13.71,14.07,13.65,14.0
2005-02-24,13.99,14.42,13.9,14.38
2005-02-25,14.37,14.75,14.26,14.7
2005-02-28,14.7,14.7,14.24,14.46
2005-03-01,14.58,14.66,14.48,14.55
2005-03-02,14.45,14.64,14.15,14.4655
2005-03-03,14.48,14.63,14.27,14.39
2005-03-04,14.41,14.57,14.26,14.53
2005-03-07,14.5,14.73,14.43,14.66
2005-03-08,14.61,14.71,14.4,14.53
2005-03-09,14.3,14.5,14.3,14.44
2005-03-10,14.4,14.64,14.26,14.63
2005-03-11,14.63,15.03,14.63,14.76
2005-03-14,14.7,15.02,14.58,14.84
2005-03-15,14.77,14.81,14.38,14.5
2005-03-16,14.15,14.45,13.92,14.25
2005-03-17,14.5,14.5,13.4,13.88
2005-03-18,13.95,13.96,13.55,13.65
2005-03-21,13.65,13.72,13.28,13.43
2005-03-22,13.63,13.82,13.42,13.52
