timestamp,open,high,low,close
2004-01-02,58.98,58.98,58.98,58.98
2004-01-05,59.66,59.66,59.66,59.66
2004-01-06,59.5493,59.5493,59.5493,59.5493
2004-01-07,60.95,60.95,60.95,60.95
2004-01-08,62.09,62.09,62.09,62.09
2004-01-09,62.13,62.13,62.13,62.13
2004-01-12,62.69,62.69,62.69,62.69
2004-01-13,62.41,62.41,62.41,62.41
2004-01-14,63.69,63.69,63.69,63.69
2004-01-15,63.8,63.8,63.8,63.8
2004-01-16,63.54,63.54,63.54,63.54
2004-01-20,63.21,63.21,63.21,63.21
2004-01-21,63.7,63.7,63.7,63.7
2004-01-22,63.2,63.2,63.2,63.2
2004-01-23,63.13,63.13,63.13,63.13
2004-01-26,64.28,64.28,64.28,64.28
2004-01-27,63.77,63.77,63.77,63.77
2004-01-28,63.27,63.27,63.27,63.27
2004-01-29,63.4373,63.4373,63.4373,63.4373
2004-01-30,63.9015,63.9015,63.9015,63.9015
2004-02-02,64.89,64.89,64.89,64.89
2004-02-03,64.97,64.97,64.97,64.97
2004-02-04,64.11,64.11,64.11,64.11
2004-02-05,64.73,64.73,64.73,64.73
2004-02-06,65.15,65.15,65.15,65.15
2004-02-09,64.91,64.91,64.91,64.91
2004-02-10,65.62,65.62,65.62,65.62
2004-02-11,65.8,65.8,65.8,65.8
2004-02-12,65.45,65.45,65.45,65.45
2004-02-13,65.5,65.5,65.5,65.5
2004-02-17,66.18,66.18,66.18,66.18
2004-02-18,65.9236,65.9236,65.9236,65.9236
2004-02-19,65.67,65.67,65.67,65.67
2004-02-20,65.42,65.42,65.42,65.42
2004-02-23,65.62,65.62,65.62,65.62
2004-02-24,65.24,65.24,65.24,65.24
2004-02-25,65.38,65.38,65.38,65.38
2004-02-26,65.81,65.81,65.81,65.81
2004-02-27,65.5,65.5,65.5,65.5
2004-03-01,65.4155,65.4155,65.4155,65.4155
2004-03-02,65.2974,65.2974,65.2974,65.2974
2004-03-03,66.02,66.02,66.02,66.02
2004-03-04,66.51,66.51,66.51,66.51
2004-03-05,65.89,65.89,65.89,65.89
2004-03-08,66.19,66.19,66.19,66.19
2004-03-09,65.81,65.81,65.81,65.81
2004-03-10,64.44,64.44,64.44,64.44
2004-03-11,62.67,62.67,62.67,62.67
2004-03-12,64.0,64.0,64.0,64.0
2004-03-15,61.94,61.94,61.94,61.94
2004-03-16,62.75,62.75,62.75,62.75
2004-03-17,63.71,63.71,63.71,63.71
2004-03-18,64.49,64.49,64.49,64.49
2004-03-19,63.9175,63.9175,63.9175,63.9175
2004-03-22,62.17,62.17,62.17,62.17
2004-03-23,61.96,61.96,61.96,61.96
2004-03-24,61.56,61.56,61.56,61.56
2004-03-25,62.3,62.3,62.3,62.3
2004-03-26,62.7,62.7,62.7,62.7
2004-03-29,63.76,63.76,63.76,63.76
2004-03-30,63.54,63.54,63.54,63.54
2004-03-31,63.7,63.7,63.7,63.7
2004-04-01,64.75,64.75,64.75,64.75
2004-04-02,65.71,65.71,65.71,65.71
2004-04-05,66.6,66.6,66.6,66.6
2004-04-06,66.406,66.406,66.406,66.406
2004-04-07,65.85,65.85,65.85,65.85
2004-04-08,66.7,66.7,66.7,66.7
2004-04-12,67.45,67.45,67.45,67.45
2004-04-13,65.98,65.98,65.98,65.98
2004-04-14,64.8,64.8,64.8,64.8
2004-04-15,63.894,63.894,63.894,63.894
2004-04-16,64.46,64.46,64.46,64.46
2004-04-19,64.51899999999999,64.51899999999999,64.51899999999999,64.51899999999999
2004-04-20,62.5513,62.5513,62.5513,62.5513
2004-04-21,63.758,63.758,63.758,63.758
2004-04-22,64.594,64.594,64.594,64.594
2004-04-23,63.74,63.74,63.74,63.74
2004-04-26,63.5347,63.5347,63.5347,63.5347
2004-04-27,62.913,62.913,62.913,62.913
2004-04-28,61.77,61.77,61.77,61.77
2004-04-29,61.49,61.49,61.49,61.49
2004-04-30,61.08,61.08,61.08,61.08
2004-05-03,62.03,62.03,62.03,62.03
2004-05-04,61.61,61.61,61.61,61.61
2004-05-05,64.35,64.35,64.35,64.35
2004-05-06,64.65,64.65,64.65,64.65
2004-05-07,63.5,63.5,63.5,63.5
2004-05-10,62.4,62.4,62.4,62.4
2004-05-11,63.5,63.5,63.5,63.5
2004-05-12,64.1,64.1,64.1,64.1
2004-05-13,63.42,63.42,63.42,63.42
2004-05-14,63.0,63.0,63.0,63.0
2004-05-17,63.1993,63.1993,63.1993,63.1993
2004-05-18,64.14,64.14,64.14,64.14
2004-05-19,64.4209,64.4209,64.4209,64.4209
2004-05-20,64.8,64.8,64.8,64.8
2004-05-21,64.95,64.95,64.95,64.95
2004-05-24,64.95,64.95,64.95,64.95
2004-05-25,67.09,67.09,67.09,67.09
2004-05-26,66.43,66.43,66.43,66.43
2004-05-27,66.15,66.15,66.15,66.15
2004-05-28,66.12,66.12,66.12,66.12
2004-06-01,65.75,65.75,65.75,65.75
2004-06-02,66.34,66.34,66.34,66.34
2004-06-03,65.7487,65.7487,65.7487,65.7487
2004-06-04,64.94,64.94,64.94,64.94
2004-06-07,67.05,67.05,67.05,67.05
2004-06-08,66.72,66.72,66.72,66.72
2004-06-09,65.59,65.59,65.59,65.59
2004-06-10,66.29,66.29,66.29,66.29
2004-06-14,65.26,65.26,65.26,65.26
2004-06-15,65.94,65.94,65.94,65.94
2004-06-16,66.18,66.18,66.18,66.18
2004-06-17,67.06,67.06,67.06,67.06
2004-06-18,67.59,67.59,67.59,67.59
2004-06-21,67.4,67.4,67.4,67.4
2004-06-22,67.43,67.43,67.43,67.43
2004-06-23,67.49,67.49,67.49,67.49
2004-06-24,67.2201,67.2201,67.2201,67.2201
2004-06-25,67.92,67.92,67.92,67.92
2004-06-28,67.94,67.94,67.94,67.94
2004-06-29,67.65,67.65,67.65,67.65
2004-06-30,68.74,68.74,68.74,68.74
2004-07-01,68.35,68.35,68.35,68.35
2004-07-02,68.16,68.16,68.16,68.16
2004-07-06,67.81,67.81,67.81,67.81
2004-07-07,67.1592,67.1592,67.1592,67.1592
2004-07-08,66.82,66.82,66.82,66.82
2004-07-09,66.52,66.52,66.52,66.52
2004-07-12,66.72,66.72,66.72,66.72
2004-07-13,66.6,66.6,66.6,66.6
2004-07-14,65.9966,65.9966,65.9966,65.9966
2004-07-15,65.5061,65.5061,65.5061,65.5061
2004-07-16,64.77,64.77,64.77,64.77
2004-07-19,65.59,65.59,65.59,65.59
2004-07-20,63.99,63.99,63.99,63.99
2004-07-21,63.41,63.41,63.41,63.41
2004-07-22,62.6,62.6,62.6,62.6
2004-07-23,62.4,62.4,62.4,62.4
2004-07-26,62.76,62.76,62.76,62.76
2004-07-27,63.23,63.23,63.23,63.23
2004-07-28,63.8,63.8,63.8,63.8
2004-07-29,64.45,64.45,64.45,64.45
2004-07-30,65.1026,65.1026,65.1026,65.1026
2004-08-02,64.54,64.54,64.54,64.54
2004-08-03,64.34,64.34,64.34,64.34
2004-08-04,64.82,64.82,64.82,64.82
2004-08-05,63.1812,63.1812,63.1812,63.1812
2004-08-06,61.403,61.403,61.403,61.403
2004-08-09,61.01,61.01,61.01,61.01
2004-08-10,61.0481,61.0481,61.0481,61.0481
2004-08-11,60.67,60.67,60.67,60.67
2004-08-12,59.17,59.17,59.17,59.17
2004-08-13,58.54,58.54,58.54,58.54
2004-08-16,59.49,59.49,59.49,59.49
2004-08-17,59.6487,59.6487,59.6487,59.6487
2004-08-18,60.0925,60.0925,60.0925,60.0925
2004-08-19,59.83,59.83,59.83,59.83
2004-08-20,60.6,60.6,60.6,60.6
2004-08-23,59.58,59.58,59.58,59.58
2004-08-24,59.84,59.84,59.84,59.84
2004-08-25,61.07,61.07,61.07,61.07
2004-08-26,61.31,61.31,61.31,61.31
2004-08-27,61.33,61.33,61.33,61.33
2004-08-30,61.17,61.17,61.17,61.17
2004-08-31,61.16,61.16,61.16,61.16
2004-09-01,60.36,60.36,60.36,60.36
