timestamp,open,high,low,close
2004-01-02,10.55,10.55,10.55,10.55
2004-01-05,10.75,10.75,10.75,10.75
2004-01-06,10.83,10.83,10.83,10.83
2004-01-07,10.61,10.61,10.61,10.61
2004-01-08,11.2,11.2,11.2,11.2
2004-01-09,10.97,10.97,10.97,10.97
2004-01-10,11.0,11.0,11.0,11.0
2004-01-12,11.22,11.22,11.22,11.22
2004-01-13,11.02,11.02,11.02,11.02
2004-01-14,11.13,11.13,11.13,11.13
2004-01-15,11.53,11.53,11.53,11.53
2004-01-16,11.6,11.6,11.6,11.6
2004-01-20,11.39,11.39,11.39,11.39
2004-01-21,11.47,11.47,11.47,11.47
2004-01-22,11.58,11.58,11.58,11.58
2004-01-23,11.49,11.49,11.49,11.49
2004-01-26,11.87,11.87,11.87,11.87
2004-01-27,11.65,11.65,11.65,11.65
2004-01-28,11.15,11.15,11.15,11.15
2004-01-29,11.05,11.05,11.05,11.05
2004-01-30,10.84,10.84,10.84,10.84
2004-02-02,10.94,10.94,10.94,10.94
2004-02-03,10.73,10.73,10.73,10.73
2004-02-04,10.57,10.57,10.57,10.57
2004-02-05,10.59,10.59,10.59,10.59
2004-02-06,10.8,10.8,10.8,10.8
2004-02-09,10.79,10.79,10.79,10.79
2004-02-10,10.99,10.99,10.99,10.99
2004-02-11,10.99,10.99,10.99,10.99
2004-02-12,10.45,10.45,10.45,10.45
2004-02-13,10.44,10.44,10.44,10.44
2004-02-14,10.48,10.48,10.48,10.48
2004-02-17,10.65,10.65,10.65,10.65
2004-02-18,10.73,10.73,10.73,10.73
2004-02-19,10.57,10.57,10.57,10.57
2004-02-20,10.48,10.48,10.48,10.48
2004-02-21,10.48,10.48,10.48,10.48
2004-02-23,10.38,10.38,10.38,10.38
2004-02-24,10.22,10.22,10.22,10.22
2004-02-25,10.31,10.31,10.31,10.31
2004-02-26,10.55,10.55,10.55,10.55
2004-02-27,10.32,10.32,10.32,10.32
2004-03-01,10.45,10.45,10.45,10.45
2004-03-02,10.41,10.41,10.41,10.41
2004-03-03,10.42,10.42,10.42,10.42
2004-03-04,10.33,10.33,10.33,10.33
2004-03-05,10.33,10.33,10.33,10.33
2004-03-08,10.26,10.26,10.26,10.26
2004-03-09,10.16,10.16,10.16,10.16
2004-03-10,10.13,10.13,10.13,10.13
