timestamp,open,high,low,close
2004-01-02,32.19,32.19,32.19,32.19
2004-01-05,32.93,32.93,32.93,32.93
2004-01-06,32.92,32.92,32.92,32.92
2004-01-07,34.2,34.2,34.2,34.2
2004-01-08,34.34,34.34,34.34,34.34
2004-01-09,33.95,33.95,33.95,33.95
2004-01-12,34.2,34.2,34.2,34.2
2004-01-13,33.65,33.65,33.65,33.65
2004-01-14,32.45,32.45,32.45,32.45
2004-01-15,33.12,33.12,33.12,33.12
2004-01-16,32.81,32.81,32.81,32.81
2004-01-20,32.25,32.25,32.25,32.25
2004-01-21,32.21,32.21,32.21,32.21
2004-01-22,31.47,31.47,31.47,31.47
2004-01-23,31.68,31.68,31.68,31.68
2004-01-26,32.25,32.25,32.25,32.25
2004-01-27,31.78,31.78,31.78,31.78
2004-01-28,31.38,31.38,31.38,31.38
2004-01-29,30.99,30.99,30.99,30.99
2004-01-30,30.56,30.56,30.56,30.56
2004-02-02,30.29,30.29,30.29,30.29
2004-02-03,31.1,31.1,31.1,31.1
2004-02-04,30.05,30.05,30.05,30.05
2004-02-05,29.99,29.99,29.99,29.99
2004-02-06,30.83,30.83,30.83,30.83
2004-02-09,30.557,30.557,30.557,30.557
2004-02-10,30.6,30.6,30.6,30.6
2004-02-11,30.8223,30.8223,30.8223,30.8223
2004-02-12,30.97,30.97,30.97,30.97
2004-02-13,30.19,30.19,30.19,30.19
2004-02-17,30.84,30.84,30.84,30.84
2004-02-18,30.94,30.94,30.94,30.94
2004-02-19,29.96,29.96,29.96,29.96
2004-02-20,30.02,30.02,30.02,30.02
2004-02-23,29.19,29.19,29.19,29.19
2004-02-24,29.21,29.21,29.21,29.21
2004-02-25,29.7,29.7,29.7,29.7
2004-02-26,29.57,29.57,29.57,29.57
2004-02-27,29.24,29.24,29.24,29.24
2004-03-01,29.71,29.71,29.71,29.71
2004-03-02,29.52,29.52,29.52,29.52
2004-03-03,28.99,28.99,28.99,28.99
2004-03-04,29.11,29.11,29.11,29.11
2004-03-05,28.96,28.96,28.96,28.96
2004-03-08,27.67,27.67,27.67,27.67
2004-03-09,28.0,28.0,28.0,28.0
2004-03-10,27.37,27.37,27.37,27.37
2004-03-11,27.16,27.16,27.16,27.16
2004-03-12,27.72,27.72,27.72,27.72
2004-03-15,27.12,27.12,27.12,27.12
