timestamp,open,high,low,close
2004-01-02,24.74,24.74,24.74,24.74
2004-01-05,24.87,24.87,24.87,24.87
2004-01-06,24.65,24.65,24.65,24.65
2004-01-07,24.6,24.6,24.6,24.6
2004-01-08,24.63,24.63,24.63,24.63
2004-01-09,24.48,24.48,24.48,24.48
2004-01-12,24.45,24.45,24.45,24.45
2004-01-13,24.13,24.13,24.13,24.13
2004-01-14,24.02,24.02,24.02,24.02
2004-01-15,24.08,24.08,24.08,24.08
2004-01-16,24.38,24.38,24.38,24.38
2004-01-20,24.12,24.12,24.12,24.12
2004-01-21,24.54,24.54,24.54,24.54
2004-01-22,24.74,24.74,24.74,24.74
2004-01-23,24.51,24.51,24.51,24.51
2004-01-26,24.66,24.66,24.66,24.66
2004-01-27,25.04,25.04,25.04,25.04
2004-01-28,25.56,25.56,25.56,25.56
2004-01-29,25.03,25.03,25.03,25.03
2004-01-30,24.72,24.72,24.72,24.72
2004-02-02,24.84,24.84,24.84,24.84
2004-02-03,24.84,24.84,24.84,24.84
2004-02-04,24.94,24.94,24.94,24.94
2004-02-05,25.16,25.16,25.16,25.16
2004-02-06,25.55,25.55,25.55,25.55
2004-02-09,25.4,25.4,25.4,25.4
2004-02-10,25.33,25.33,25.33,25.33
2004-02-11,25.53,25.53,25.53,25.53
2004-02-12,25.53,25.53,25.53,25.53
2004-02-13,25.51,25.51,25.51,25.51
2004-02-17,25.47,25.47,25.47,25.47
2004-02-18,25.47,25.47,25.47,25.47
2004-02-19,25.42,25.42,25.42,25.42
2004-02-20,25.53,25.53,25.53,25.53
2004-02-23,25.37,25.37,25.37,25.37
2004-02-24,25.0,25.0,25.0,25.0
2004-02-25,25.0,25.0,25.0,25.0
2004-02-26,24.98,24.98,24.98,24.98
2004-02-27,25.04,25.04,25.04,25.04
2004-03-01,24.95,24.95,24.95,24.95
2004-03-02,24.42,24.42,24.42,24.42
2004-03-03,24.61,24.61,24.61,24.61
2004-03-04,24.8,24.8,24.8,24.8
2004-03-05,24.69,24.69,24.69,24.69
2004-03-08,24.36,24.36,24.36,24.36
2004-03-09,24.25,24.25,24.25,24.25
2004-03-10,23.92,23.92,23.92,23.92
2004-03-11,23.67,23.67,23.67,23.67
2004-03-12,24.21,24.21,24.21,24.21
2004-03-15,24.0,24.0,24.0,24.0
2004-03-16,24.46,24.46,24.46,24.46
2004-03-17,24.77,24.77,24.77,24.77
2004-03-18,24.61,24.61,24.61,24.61
2004-03-19,24.48,24.48,24.48,24.48
2004-03-22,24.29,24.29,24.29,24.29
2004-03-23,24.17,24.17,24.17,24.17
2004-03-24,24.29,24.29,24.29,24.29
2004-03-25,24.69,24.69,24.69,24.69
2004-03-26,25.2,25.2,25.2,25.2
2004-03-29,25.08,25.08,25.08,25.08
2004-03-30,25.35,25.35,25.35,25.35
2004-03-31,25.31,25.31,25.31,25.31
2004-04-01,25.32,25.32,25.32,25.32
2004-04-02,25.56,25.56,25.56,25.56
2004-04-05,26.04,26.04,26.04,26.04
2004-04-06,26.17,26.17,26.17,26.17
2004-04-07,26.01,26.01,26.01,26.01
2004-04-08,25.92,25.92,25.92,25.92
2004-04-12,26.06,26.06,26.06,26.06
2004-04-13,25.66,25.66,25.66,25.66
2004-04-14,25.58,25.58,25.58,25.58
2004-04-15,25.66,25.66,25.66,25.66
2004-04-16,26.07,26.07,26.07,26.07
2004-04-19,25.86,25.86,25.86,25.86
2004-04-20,25.51,25.51,25.51,25.51
2004-04-21,25.76,25.76,25.76,25.76
2004-04-22,26.48,26.48,26.48,26.48
2004-04-23,26.14,26.14,26.14,26.14
2004-04-26,26.41,26.41,26.41,26.41
2004-04-27,27.13,27.13,27.13,27.13
2004-04-28,26.55,26.55,26.55,26.55
2004-04-29,26.4,26.4,26.4,26.4
2004-04-30,26.29,26.29,26.29,26.29
2004-05-03,26.75,26.75,26.75,26.75
2004-05-04,26.73,26.73,26.73,26.73
2004-05-05,26.66,26.66,26.66,26.66
2004-05-06,26.31,26.31,26.31,26.31
2004-05-07,25.78,25.78,25.78,25.78
2004-05-10,25.31,25.31,25.31,25.31
2004-05-11,25.37,25.37,25.37,25.37
2004-05-12,25.6,25.6,25.6,25.6
2004-05-13,25.73,25.73,25.73,25.73
2004-05-14,25.97,25.97,25.97,25.97
2004-05-17,25.82,25.82,25.82,25.82
2004-05-18,25.69,25.69,25.69,25.69
2004-05-19,25.71,25.71,25.71,25.71
2004-05-20,25.51,25.51,25.51,25.51
2004-05-21,25.83,25.83,25.83,25.83
2004-05-24,25.83,25.83,25.83,25.83
2004-05-25,26.44,26.44,26.44,26.44
2004-05-26,26.33,26.33,26.33,26.33
2004-05-27,26.57,26.57,26.57,26.57
2004-05-28,26.71,26.71,26.71,26.71
2004-06-01,26.53,26.53,26.53,26.53
2004-06-02,26.83,26.83,26.83,26.83
2004-06-03,26.72,26.72,26.72,26.72
2004-06-04,26.8,26.8,26.8,26.8
2004-06-07,27.48,27.48,27.48,27.48
2004-06-08,27.62,27.62,27.62,27.62
2004-06-09,27.34,27.34,27.34,27.34
2004-06-10,27.45,27.45,27.45,27.45
2004-06-14,27.83,27.83,27.83,27.83
2004-06-15,27.87,27.87,27.87,27.87
2004-06-16,28.09,28.09,28.09,28.09
2004-06-17,28.19,28.19,28.19,28.19
2004-06-18,28.24,28.24,28.24,28.24
2004-06-21,28.04,28.04,28.04,28.04
2004-06-22,28.27,28.27,28.27,28.27
2004-06-23,28.39,28.39,28.39,28.39
2004-06-24,28.1,28.1,28.1,28.1
2004-06-25,27.79,27.79,27.79,27.79
2004-06-28,27.68,27.68,27.68,27.68
2004-06-29,27.22,27.22,27.22,27.22
2004-06-30,27.52,27.52,27.52,27.52
2004-07-01,27.25,27.25,27.25,27.25
2004-07-02,27.07,27.07,27.07,27.07
2004-07-06,27.19,27.19,27.19,27.19
2004-07-07,27.17,27.17,27.17,27.17
2004-07-08,26.9,26.9,26.9,26.9
2004-07-09,27.48,27.48,27.48,27.48
2004-07-12,27.85,27.85,27.85,27.85
2004-07-13,27.54,27.54,27.54,27.54
2004-07-14,27.37,27.37,27.37,27.37
2004-07-15,27.1,27.1,27.1,27.1
2004-07-16,26.94,26.94,26.94,26.94
2004-07-19,26.59,26.59,26.59,26.59
2004-07-20,26.52,26.52,26.52,26.52
2004-07-21,26.22,26.22,26.22,26.22
2004-07-22,26.07,26.07,26.07,26.07
2004-07-23,25.66,25.66,25.66,25.66
2004-07-26,25.76,25.76,25.76,25.76
2004-07-27,25.95,25.95,25.95,25.95
2004-07-28,26.0,26.0,26.0,26.0
2004-07-29,26.28,26.28,26.28,26.28
2004-07-30,26.51,26.51,26.51,26.51
2004-08-02,26.69,26.69,26.69,26.69
2004-08-03,26.49,26.49,26.49,26.49
2004-08-04,26.15,26.15,26.15,26.15
2004-08-05,25.67,25.67,25.67,25.67
2004-08-06,25.47,25.47,25.47,25.47
2004-08-09,25.38,25.38,25.38,25.38
2004-08-10,25.75,25.75,25.75,25.75
2004-08-11,25.45,25.45,25.45,25.45
2004-08-12,25.06,25.06,25.06,25.06
2004-08-13,25.15,25.15,25.15,25.15
2004-08-16,25.51,25.51,25.51,25.51
2004-08-17,25.58,25.58,25.58,25.58
2004-08-18,25.96,25.96,25.96,25.96
2004-08-19,25.69,25.69,25.69,25.69
2004-08-20,26.07,26.07,26.07,26.07
2004-08-23,26.01,26.01,26.01,26.01
2004-08-24,26.13,26.13,26.13,26.13
2004-08-25,26.28,26.28,26.28,26.28
2004-08-26,26.41,26.41,26.41,26.41
2004-08-27,26.42,26.42,26.42,26.42
2004-08-30,26.33,26.33,26.33,26.33
2004-08-31,26.23,26.23,26.23,26.23
2004-09-01,26.63,26.63,26.63,26.63
2004-09-02,26.8,26.8,26.8,26.8
2004-09-03,26.54,26.54,26.54,26.54
2004-09-07,26.71,26.71,26.71,26.71
2004-09-08,26.7,26.7,26.7,26.7
2004-09-09,26.32,26.32,26.32,26.32
2004-09-10,26.11,26.11,26.11,26.11
2004-09-13,26.26,26.26,26.26,26.26
2004-09-14,26.46,26.46,26.46,26.46
2004-09-15,26.45,26.45,26.45,26.45
2004-09-16,26.54,26.54,26.54,26.54
2004-09-17,26.83,26.83,26.83,26.83
2004-09-20,26.63,26.63,26.63,26.63
2004-09-21,26.63,26.63,26.63,26.63
2004-09-22,26.26,26.26,26.26,26.26
2004-09-23,25.84,25.84,25.84,25.84
2004-09-24,25.87,25.87,25.87,25.87
2004-09-27,25.74,25.74,25.74,25.74
2004-09-28,26.03,26.03,26.03,26.03
2004-09-29,26.25,26.25,26.25,26.25
2004-09-30,26.52,26.52,26.52,26.52
2004-10-01,26.61,26.61,26.61,26.61
2004-10-04,26.78,26.78,26.78,26.78
2004-10-05,26.61,26.61,26.61,26.61
2004-10-06,26.83,26.83,26.83,26.83
2004-10-07,26.58,26.58,26.58,26.58
2004-10-08,26.41,26.41,26.41,26.41
2004-10-11,26.41,26.41,26.41,26.41
2004-10-12,26.23,26.23,26.23,26.23
2004-10-13,26.0,26.0,26.0,26.0
2004-10-14,26.21,26.21,26.21,26.21
2004-10-15,26.53,26.53,26.53,26.53
2004-10-18,26.36,26.36,26.36,26.36
2004-10-19,25.86,25.86,25.86,25.86
2004-10-20,25.73,25.73,25.73,25.73
2004-10-21,26.5,26.5,26.5,26.5
2004-10-22,26.25,26.25,26.25,26.25
2004-10-25,26.18,26.18,26.18,26.18
2004-10-26,26.21,26.21,26.21,26.21
2004-10-27,26.41,26.41,26.41,26.41
2004-10-28,26.68,26.68,26.68,26.68
2004-10-29,26.91,26.91,26.91,26.91
2004-11-01,26.79,26.79,26.79,26.79
2004-11-02,26.56,26.56,26.56,26.56
2004-11-03,27.33,27.33,27.33,27.33
