timestamp,open,high,low,close
2019-12-10,87.13,87.13,87.13,87.13
2019-12-11,88.09,88.09,88.09,88.09
2019-12-12,90.02,90.02,90.02,90.02
2019-12-13,90.03,90.03,90.03,90.03
2019-12-16,89.27,89.27,89.27,89.27
2019-12-17,89.44,89.44,89.44,89.44
2019-12-18,88.37,88.37,88.37,88.37
2019-12-19,88.54,88.54,88.54,88.54
2019-12-20,90.04,90.04,90.04,90.04
2019-12-23,90.4,90.4,90.4,90.4
2019-12-24,89.57,89.57,89.57,89.57
2019-12-26,90.09,90.09,90.09,90.09
2019-12-27,89.54,89.54,89.54,89.54
2019-12-30,89.62,89.62,89.62,89.62
2019-12-31,89.83,89.83,89.83,89.83
2020-01-02,90.27,90.27,90.27,90.27
2020-01-03,90.89,90.89,90.89,90.89
2020-01-06,90.72,90.72,90.72,90.72
2020-01-07,91.04,91.04,91.04,91.04
2020-01-08,89.48,89.48,89.48,89.48
2020-01-09,90.89,90.89,90.89,90.89
2020-01-10,90.63,90.63,90.63,90.63
2020-01-13,91.14,91.14,91.14,91.14
2020-01-14,92.58,92.58,92.58,92.58
2020-01-15,92.77,92.77,92.77,92.77
2020-01-16,93.47,93.47,93.47,93.47
2020-01-17,94.0,94.0,94.0,94.0
2020-01-21,94.79,94.79,94.79,94.79
2020-01-22,94.85,94.85,94.85,94.85
2020-01-23,96.06,96.06,96.06,96.06
2020-01-24,97.0,97.0,97.0,97.0
2020-01-27,95.28,95.28,95.28,95.28
2020-01-28,94.84,94.84,94.84,94.84
2020-01-29,94.78,94.78,94.78,94.78
2020-01-30,94.49,94.49,94.49,94.49
2020-01-31,92.53,92.53,92.53,92.53
2020-02-03,93.04,93.04,93.04,93.04
2020-02-04,95.45,95.45,95.45,95.45
2020-02-05,96.75,96.75,96.75,96.75
2020-02-06,96.02,96.02,96.02,96.02
2020-02-07,95.78,95.78,95.78,95.78
2020-02-10,97.02,97.02,97.02,97.02
2020-02-11,97.73,97.73,97.73,97.73
2020-02-12,99.51,99.51,99.51,99.51
2020-02-13,99.23,99.23,99.23,99.23
2020-02-14,100.66,100.66,100.66,100.66
2020-02-18,100.56,100.56,100.56,100.56
2020-02-19,101.46,101.46,101.46,101.46
2020-02-20,102.03,102.03,102.03,102.03
2020-02-21,103.86,103.86,103.86,103.86
2020-02-24,101.95,101.95,101.95,101.95
2020-02-25,98.7,98.7,98.7,98.7
2020-02-26,99.83,99.83,99.83,99.83
2020-02-27,93.32,93.32,93.32,93.32
2020-02-28,92.34,92.34,92.34,92.34
2020-03-02,96.89,96.89,96.89,96.89
2020-03-03,97.6,97.6,97.6,97.6
2020-03-04,101.29,101.29,101.29,101.29
2020-03-05,97.26,97.26,97.26,97.26
2020-03-06,94.11,94.11,94.11,94.11
2020-03-09,88.94,88.94,88.94,88.94
2020-03-10,92.28,92.28,92.28,92.28
2020-03-11,88.0,88.0,88.0,88.0
2020-03-12,79.12,79.12,79.12,79.12
2020-03-13,86.76,86.76,86.76,86.76
2020-03-16,78.79,78.79,78.79,78.79
2020-03-17,80.59,80.59,80.59,80.59
2020-03-18,79.43,79.43,79.43,79.43
2020-03-19,74.69,74.69,74.69,74.69
2020-03-20,65.65,65.65,65.65,65.65
2020-03-23,63.04,63.04,63.04,63.04
2020-03-24,69.49,69.49,69.49,69.49
2020-03-25,73.25,73.25,73.25,73.25
2020-03-26,79.82,79.82,79.82,79.82
2020-03-27,74.88,74.88,74.88,74.88
2020-03-30,77.99,77.99,77.99,77.99
2020-03-31,78.8,78.8,78.8,78.8
2020-04-01,79.06,79.06,79.06,79.06
2020-04-02,81.2,81.2,81.2,81.2
2020-04-03,78.97,78.97,78.97,78.97
2020-04-06,83.21,83.21,83.21,83.21
2020-04-07,81.88,81.88,81.88,81.88
2020-04-08,80.94,80.94,80.94,80.94
2020-04-09,81.31,81.31,81.31,81.31
2020-04-13,79.83,79.83,79.83,79.83
2020-04-14,81.81,81.81,81.81,81.81
2020-04-15,80.02,80.02,80.02,80.02
2020-04-16,79.05,79.05,79.05,79.05
2020-04-17,84.2,84.2,84.2,84.2
2020-04-20,80.7,80.7,80.7,80.7
2020-04-21,78.21,78.21,78.21,78.21
2020-04-22,79.51,79.51,79.51,79.51
2020-04-23,79.75,79.75,79.75,79.75
2020-04-24,80.0,80.0,80.0,80.0
2020-04-27,79.79,79.79,79.79,79.79
2020-04-28,83.5,83.5,83.5,83.5
2020-04-29,82.73,82.73,82.73,82.73
2020-04-30,82.75,82.75,82.75,82.75
2020-05-01,80.78,80.78,80.78,80.78
