timestamp,open,high,low,close
2018-05-24,23.08,23.08,23.08,23.08
2018-05-25,23.24,23.24,23.24,23.24
2018-05-29,22.19,22.19,22.19,22.19
2018-05-30,22.21,22.21,22.21,22.21
2018-05-31,21.88,21.88,21.88,21.88
2018-06-01,22.08,22.08,22.08,22.08
2018-06-04,21.94,21.94,21.94,21.94
2018-06-05,21.95,21.95,21.95,21.95
2018-06-06,22.7986,22.7986,22.7986,22.7986
2018-06-07,23.0,23.0,23.0,23.0
2018-06-08,23.07,23.07,23.07,23.07
2018-06-11,23.1,23.1,23.1,23.1
2018-06-12,23.12,23.12,23.12,23.12
2018-06-13,22.56,22.56,22.56,22.56
2018-06-14,22.51,22.51,22.51,22.51
2018-06-15,22.22,22.22,22.22,22.22
2018-06-18,22.21,22.21,22.21,22.21
2018-06-19,22.8,22.8,22.8,22.8
2018-06-20,23.0,23.0,23.0,23.0
2018-06-21,22.97,22.97,22.97,22.97
2018-06-22,23.33,23.33,23.33,23.33
2018-06-25,23.12,23.12,23.12,23.12
2018-06-26,23.24,23.24,23.24,23.24
2018-06-27,22.72,22.72,22.72,22.72
2018-06-28,22.85,22.85,22.85,22.85
2018-06-29,22.69,22.69,22.69,22.69
2018-07-02,22.5,22.5,22.5,22.5
2018-07-03,22.55,22.55,22.55,22.55
2018-07-05,22.62,22.62,22.62,22.62
2018-07-06,22.77,22.77,22.77,22.77
2018-07-09,23.22,23.22,23.22,23.22
2018-07-10,23.12,23.12,23.12,23.12
2018-07-11,22.93,22.93,22.93,22.93
2018-07-12,22.64,22.64,22.64,22.64
2018-07-13,22.6,22.6,22.6,22.6
2018-07-16,22.69,22.69,22.69,22.69
2018-07-17,22.54,22.54,22.54,22.54
2018-07-18,22.74,22.74,22.74,22.74
2018-07-19,22.91,22.91,22.91,22.91
2018-07-20,22.76,22.76,22.76,22.76
2018-07-23,22.8,22.8,22.8,22.8
2018-07-24,23.06,23.06,23.06,23.06
2018-07-25,23.0,23.0,23.0,23.0
2018-07-26,23.07,23.07,23.07,23.07
2018-07-27,24.76,24.76,24.76,24.76
2018-07-30,24.65,24.65,24.65,24.65
2018-07-31,24.25,24.25,24.25,24.25
2018-08-01,23.87,23.87,23.87,23.87
2018-08-02,23.68,23.68,23.68,23.68
2018-08-03,24.51,24.51,24.51,24.51
2018-08-06,24.43,24.43,24.43,24.43
2018-08-07,24.25,24.25,24.25,24.25
2018-08-08,24.35,24.35,24.35,24.35
2018-08-09,24.29,24.29,24.29,24.29
2018-08-10,23.67,23.67,23.67,23.67
2018-08-13,23.27,23.27,23.27,23.27
2018-08-14,23.77,23.77,23.77,23.77
2018-08-15,23.45,23.45,23.45,23.45
2018-08-16,23.8,23.8,23.8,23.8
2018-08-17,23.45,23.45,23.45,23.45
2018-08-20,23.48,23.48,23.48,23.48
2018-08-21,22.15,22.15,22.15,22.15
2018-08-22,23.38,23.38,23.38,23.38
2018-08-23,23.19,23.19,23.19,23.19
2018-08-24,23.46,23.46,23.46,23.46
2018-08-27,23.88,23.88,23.88,23.88
2018-08-28,24.08,24.08,24.08,24.08
2018-08-29,23.77,23.77,23.77,23.77
2018-08-30,23.41,23.41,23.41,23.41
2018-08-31,23.22,23.22,23.22,23.22
2018-09-04,23.32,23.32,23.32,23.32
2018-09-05,23.53,23.53,23.53,23.53
2018-09-06,23.19,23.19,23.19,23.19
2018-09-07,23.03,23.03,23.03,23.03
2018-09-10,22.83,22.83,22.83,22.83
2018-09-11,22.91,22.91,22.91,22.91
2018-09-12,22.9,22.9,22.9,22.9
2018-09-13,22.89,22.89,22.89,22.89
2018-09-14,23.36,23.36,23.36,23.36
2018-09-17,23.15,23.15,23.15,23.15
2018-09-18,23.07,23.07,23.07,23.07
2018-09-19,23.22,23.22,23.22,23.22
2018-09-20,23.7,23.7,23.7,23.7
2018-09-21,23.52,23.52,23.52,23.52
2018-09-24,23.18,23.18,23.18,23.18
2018-09-25,22.3,22.3,22.3,22.3
2018-09-26,22.22,22.22,22.22,22.22
2018-09-27,22.0,22.0,22.0,22.0
2018-09-28,21.96,21.96,21.96,21.96
2018-10-01,21.92,21.92,21.92,21.92
