timestamp,open,high,low,close
2018-07-10,22.5,22.5,22.5,22.5
2018-07-11,24.2001,24.2001,24.2001,24.2001
2018-07-12,24.99,24.99,24.99,24.99
2018-07-13,24.25,24.25,24.25,24.25
2018-07-16,24.88,24.88,24.88,24.88
2018-07-17,24.96,24.96,24.96,24.96
2018-07-18,24.78,24.78,24.78,24.78
2018-07-19,24.54,24.54,24.54,24.54
2018-07-20,24.7,24.7,24.7,24.7
2018-07-23,24.28,24.28,24.28,24.28
2018-07-24,24.9999,24.9999,24.9999,24.9999
2018-07-25,24.3,24.3,24.3,24.3
2018-07-26,24.52,24.52,24.52,24.52
2018-07-27,24.16,24.16,24.16,24.16
2018-07-30,23.99,23.99,23.99,23.99
2018-07-31,24.01,24.01,24.01,24.01
2018-08-01,24.2,24.2,24.2,24.2
2018-08-02,24.0,24.0,24.0,24.0
2018-08-03,24.43,24.43,24.43,24.43
2018-08-06,24.02,24.02,24.02,24.02
2018-08-07,23.71,23.71,23.71,23.71
2018-08-08,23.9,23.9,23.9,23.9
2018-08-09,23.34,23.34,23.34,23.34
2018-08-10,23.772,23.772,23.772,23.772
2018-08-13,23.76,23.76,23.76,23.76
2018-08-14,23.61,23.61,23.61,23.61
2018-08-15,23.5,23.5,23.5,23.5
2018-08-16,23.59,23.59,23.59,23.59
2018-08-17,23.63,23.63,23.63,23.63
2018-08-20,23.89,23.89,23.89,23.89
2018-08-21,23.0,23.0,23.0,23.0
2018-08-22,23.0,23.0,23.0,23.0
2018-08-23,23.25,23.25,23.25,23.25
2018-08-24,23.39,23.39,23.39,23.39
2018-08-27,23.25,23.25,23.25,23.25
2018-08-28,22.94,22.94,22.94,22.94
2018-08-29,22.8,22.8,22.8,22.8
2018-08-30,23.0,23.0,23.0,23.0
2018-08-31,23.2,23.2,23.2,23.2
2018-09-04,22.65,22.65,22.65,22.65
2018-09-05,23.13,23.13,23.13,23.13
2018-09-06,22.99,22.99,22.99,22.99
2018-09-07,22.88,22.88,22.88,22.88
2018-09-10,23.1,23.1,23.1,23.1
2018-09-11,23.25,23.25,23.25,23.25
2018-09-12,24.05,24.05,24.05,24.05
2018-09-13,24.1,24.1,24.1,24.1
2018-09-14,24.7,24.7,24.7,24.7
