timestamp,open,high,low,close
2004-01-02,56.3,56.3,56.3,56.3
2004-01-05,59.3,59.3,59.3,59.3
2004-01-06,58.86,58.86,58.86,58.86
2004-01-07,58.98,58.98,58.98,58.98
2004-01-08,59.61,59.61,59.61,59.61
2004-01-09,60.8,60.8,60.8,60.8
2004-01-12,62.879,62.879,62.879,62.879
2004-01-13,60.72,60.72,60.72,60.72
2004-01-14,59.05,59.05,59.05,59.05
2004-01-15,61.73,61.73,61.73,61.73
2004-01-16,62.11,62.11,62.11,62.11
2004-01-20,62.55,62.55,62.55,62.55
2004-01-21,61.7,61.7,61.7,61.7
2004-01-22,60.14,60.14,60.14,60.14
2004-01-23,58.651,58.651,58.651,58.651
2004-01-26,58.75,58.75,58.75,58.75
2004-01-27,58.48,58.48,58.48,58.48
2004-01-28,57.1,57.1,57.1,57.1
2004-01-29,57.15,57.15,57.15,57.15
2004-01-30,57.05,57.05,57.05,57.05
2004-02-02,56.05,56.05,56.05,56.05
2004-02-03,56.18,56.18,56.18,56.18
2004-02-04,55.55,55.55,55.55,55.55
2004-02-05,56.22,56.22,56.22,56.22
2004-02-06,57.45,57.45,57.45,57.45
2004-02-09,56.2,56.2,56.2,56.2
2004-02-10,55.91,55.91,55.91,55.91
2004-02-11,56.4,56.4,56.4,56.4
2004-02-12,55.801,55.801,55.801,55.801
2004-02-13,54.32,54.32,54.32,54.32
2004-02-17,55.581,55.581,55.581,55.581
2004-02-18,56.701,56.701,56.701,56.701
2004-02-19,55.84,55.84,55.84,55.84
2004-02-20,55.26,55.26,55.26,55.26
2004-02-23,52.75,52.75,52.75,52.75
2004-02-24,53.7,53.7,53.7,53.7
2004-02-25,53.8,53.8,53.8,53.8
2004-02-26,54.15,54.15,54.15,54.15
2004-02-27,52.79,52.79,52.79,52.79
2004-03-01,53.6265,53.6265,53.6265,53.6265
2004-03-02,53.59,53.59,53.59,53.59
2004-03-03,52.0,52.0,52.0,52.0
2004-03-04,52.69,52.69,52.69,52.69
2004-03-05,53.25,53.25,53.25,53.25
2004-03-08,52.07,52.07,52.07,52.07
2004-03-09,52.6,52.6,52.6,52.6
2004-03-10,52.49,52.49,52.49,52.49
2004-03-11,52.22,52.22,52.22,52.22
2004-03-12,53.11,53.11,53.11,53.11
2004-03-15,51.9951,51.9951,51.9951,51.9951
2004-03-16,52.18,52.18,52.18,52.18
2004-03-17,52.52,52.52,52.52,52.52
2004-03-18,52.33,52.33,52.33,52.33
2004-03-19,49.55,49.55,49.55,49.55
2004-03-22,49.85,49.85,49.85,49.85
2004-03-23,49.44,49.44,49.44,49.44
2004-03-24,50.56,50.56,50.56,50.56
2004-03-25,51.55,51.55,51.55,51.55
2004-03-26,51.01,51.01,51.01,51.01
2004-03-29,51.19,51.19,51.19,51.19
2004-03-30,50.84,50.84,50.84,50.84
2004-03-31,50.5,50.5,50.5,50.5
2004-04-01,51.3,51.3,51.3,51.3
2004-04-02,53.87,53.87,53.87,53.87
2004-04-05,53.8,53.8,53.8,53.8
2004-04-06,52.88,52.88,52.88,52.88
2004-04-07,53.2,53.2,53.2,53.2
2004-04-08,52.57,52.57,52.57,52.57
2004-04-12,54.01,54.01,54.01,54.01
2004-04-13,52.1,52.1,52.1,52.1
2004-04-14,52.3,52.3,52.3,52.3
2004-04-15,50.2,50.2,50.2,50.2
2004-04-16,48.9,48.9,48.9,48.9
