timestamp,open,high,low,close
2004-01-02,9.24,9.24,9.24,9.24
2004-01-05,9.3,9.3,9.3,9.3
2004-01-06,9.2396,9.2396,9.2396,9.2396
2004-01-07,9.39,9.39,9.39,9.39
2004-01-08,9.335,9.335,9.335,9.335
2004-01-09,9.355,9.355,9.355,9.355
2004-01-12,9.3,9.3,9.3,9.3
2004-01-13,9.29,9.29,9.29,9.29
2004-01-14,9.335,9.335,9.335,9.335
2004-01-15,9.34,9.34,9.34,9.34
2004-01-16,9.485,9.485,9.485,9.485
2004-01-20,9.3908,9.3908,9.3908,9.3908
2004-01-21,9.365,9.365,9.365,9.365
2004-01-22,9.33,9.33,9.33,9.33
2004-01-23,9.33,9.33,9.33,9.33
2004-01-26,9.385,9.385,9.385,9.385
2004-01-27,9.32,9.32,9.32,9.32
2004-01-28,9.215,9.215,9.215,9.215
2004-01-29,9.4987,9.4987,9.4987,9.4987
2004-01-30,9.2982,9.2982,9.2982,9.2982
2004-02-02,9.38,9.38,9.38,9.38
2004-02-03,9.515,9.515,9.515,9.515
2004-02-04,9.52,9.52,9.52,9.52
2004-02-05,9.42,9.42,9.42,9.42
2004-02-06,9.545,9.545,9.545,9.545
2004-02-09,9.37,9.37,9.37,9.37
2004-02-10,9.45,9.45,9.45,9.45
2004-02-11,9.475,9.475,9.475,9.475
2004-02-12,9.57,9.57,9.57,9.57
2004-02-13,9.455,9.455,9.455,9.455
2004-02-17,9.45,9.45,9.45,9.45
2004-02-18,9.4264,9.4264,9.4264,9.4264
2004-02-19,9.615,9.615,9.615,9.615
2004-02-20,9.67,9.67,9.67,9.67
2004-02-23,9.72,9.72,9.72,9.72
2004-02-24,9.51,9.51,9.51,9.51
2004-02-25,9.565,9.565,9.565,9.565
2004-02-26,9.725,9.725,9.725,9.725
2004-02-27,9.61,9.61,9.61,9.61
2004-03-01,9.715,9.715,9.715,9.715
2004-03-02,9.535,9.535,9.535,9.535
2004-03-03,9.685,9.685,9.685,9.685
2004-03-04,9.625,9.625,9.625,9.625
2004-03-05,9.6,9.6,9.6,9.6
2004-03-08,9.455,9.455,9.455,9.455
2004-03-09,9.28,9.28,9.28,9.28
2004-03-10,8.61,8.61,8.61,8.61
2004-03-11,8.36,8.36,8.36,8.36
2004-03-12,8.38,8.38,8.38,8.38
2004-03-15,8.245,8.245,8.245,8.245
2004-03-16,8.245,8.245,8.245,8.245
2004-03-17,8.3587,8.3587,8.3587,8.3587
2004-03-18,8.45,8.45,8.45,8.45
2004-03-19,8.4163,8.4163,8.4163,8.4163
2004-03-22,8.495,8.495,8.495,8.495
2004-03-23,8.085,8.085,8.085,8.085
2004-03-24,8.17,8.17,8.17,8.17
2004-03-25,8.29,8.29,8.29,8.29
2004-03-26,8.08,8.08,8.08,8.08
2004-03-29,8.165,8.165,8.165,8.165
2004-03-30,8.215,8.215,8.215,8.215
2004-03-31,8.32,8.32,8.32,8.32
2004-04-01,8.355,8.355,8.355,8.355
2004-04-02,8.275,8.275,8.275,8.275
2004-04-05,8.375,8.375,8.375,8.375
2004-04-06,8.465,8.465,8.465,8.465
2004-04-07,8.465,8.465,8.465,8.465
2004-04-08,8.55,8.55,8.55,8.55
2004-04-12,8.64,8.64,8.64,8.64
2004-04-13,8.56,8.56,8.56,8.56
2004-04-14,8.475,8.475,8.475,8.475
2004-04-15,8.5,8.5,8.5,8.5
2004-04-16,8.505,8.505,8.505,8.505
2004-04-19,8.485,8.485,8.485,8.485
2004-04-20,8.4843,8.4843,8.4843,8.4843
2004-04-21,8.725,8.725,8.725,8.725
2004-04-22,8.835,8.835,8.835,8.835
2004-04-23,8.875,8.875,8.875,8.875
2004-04-26,8.75,8.75,8.75,8.75
2004-04-27,8.75,8.75,8.75,8.75
2004-04-28,8.655,8.655,8.655,8.655
2004-04-29,8.675,8.675,8.675,8.675
2004-04-30,8.75,8.75,8.75,8.75
2004-05-03,8.7,8.7,8.7,8.7
2004-05-04,8.765,8.765,8.765,8.765
2004-05-05,8.72,8.72,8.72,8.72
2004-05-06,8.675,8.675,8.675,8.675
2004-05-07,8.495,8.495,8.495,8.495
2004-05-10,8.515,8.515,8.515,8.515
2004-05-11,8.575,8.575,8.575,8.575
2004-05-12,8.3958,8.3958,8.3958,8.3958
2004-05-13,8.4,8.4,8.4,8.4
2004-05-14,8.27,8.27,8.27,8.27
2004-05-17,8.2,8.2,8.2,8.2
2004-05-18,8.3,8.3,8.3,8.3
2004-05-19,8.18,8.18,8.18,8.18
