timestamp,open,high,low,close
2004-01-02,14.62,14.62,14.62,14.62
2004-01-05,14.7301,14.7301,14.7301,14.7301
2004-01-06,14.05,14.05,14.05,14.05
2004-01-07,14.12,14.12,14.12,14.12
2004-01-08,14.435,14.435,14.435,14.435
2004-01-09,14.05,14.05,14.05,14.05
2004-01-12,14.44,14.44,14.44,14.44
2004-01-13,14.5,14.5,14.5,14.5
2004-01-14,14.5,14.5,14.5,14.5
2004-01-15,14.65,14.65,14.65,14.65
2004-01-16,14.6367,14.6367,14.6367,14.6367
2004-01-20,14.7657,14.7657,14.7657,14.7657
2004-01-21,15.27,15.27,15.27,15.27
2004-01-22,15.16,15.16,15.16,15.16
2004-01-23,15.1,15.1,15.1,15.1
2004-01-26,15.27,15.27,15.27,15.27
2004-01-27,14.82,14.82,14.82,14.82
2004-01-28,14.55,14.55,14.55,14.55
2004-01-29,14.8041,14.8041,14.8041,14.8041
2004-01-30,14.74,14.74,14.74,14.74
2004-02-02,14.49,14.49,14.49,14.49
2004-02-03,14.52,14.52,14.52,14.52
2004-02-04,14.185,14.185,14.185,14.185
2004-02-05,14.28,14.28,14.28,14.28
2004-02-06,14.64,14.64,14.64,14.64
2004-02-09,14.71,14.71,14.71,14.71
2004-02-10,14.9847,14.9847,14.9847,14.9847
2004-02-11,14.96,14.96,14.96,14.96
2004-02-12,14.7554,14.7554,14.7554,14.7554
2004-02-13,14.43,14.43,14.43,14.43
2004-02-17,14.3474,14.3474,14.3474,14.3474
2004-02-18,14.5,14.5,14.5,14.5
2004-02-19,14.39,14.39,14.39,14.39
2004-02-20,14.35,14.35,14.35,14.35
2004-02-23,14.23,14.23,14.23,14.23
2004-02-24,14.02,14.02,14.02,14.02
2004-02-25,14.0,14.0,14.0,14.0
2004-02-26,13.9,13.9,13.9,13.9
2004-02-27,14.05,14.05,14.05,14.05
2004-03-01,14.05,14.05,14.05,14.05
2004-03-02,13.9767,13.9767,13.9767,13.9767
2004-03-03,13.89,13.89,13.89,13.89
2004-03-04,13.9,13.9,13.9,13.9
2004-03-05,14.072,14.072,14.072,14.072
2004-03-08,14.0,14.0,14.0,14.0
2004-03-09,13.9,13.9,13.9,13.9
2004-03-10,13.97,13.97,13.97,13.97
2004-03-11,13.82,13.82,13.82,13.82
2004-03-12,14.02,14.02,14.02,14.02
2004-03-15,13.81,13.81,13.81,13.81
2004-03-16,13.7849,13.7849,13.7849,13.7849
2004-03-17,13.9,13.9,13.9,13.9
2004-03-18,13.85,13.85,13.85,13.85
2004-03-19,13.66,13.66,13.66,13.66
2004-03-22,13.7245,13.7245,13.7245,13.7245
2004-03-23,13.755,13.755,13.755,13.755
2004-03-24,13.41,13.41,13.41,13.41
2004-03-25,13.7,13.7,13.7,13.7
2004-03-26,13.76,13.76,13.76,13.76
2004-03-29,13.9,13.9,13.9,13.9
2004-03-30,13.87,13.87,13.87,13.87
2004-03-31,13.895,13.895,13.895,13.895
2004-04-01,14.02,14.02,14.02,14.02
2004-04-02,14.25,14.25,14.25,14.25
2004-04-05,14.3067,14.3067,14.3067,14.3067
2004-04-06,14.07,14.07,14.07,14.07
2004-04-07,14.47,14.47,14.47,14.47
2004-04-08,14.26,14.26,14.26,14.26
2004-04-12,14.17,14.17,14.17,14.17
2004-04-13,13.91,13.91,13.91,13.91
2004-04-14,13.93,13.93,13.93,13.93
2004-04-15,13.9184,13.9184,13.9184,13.9184
2004-04-16,14.14,14.14,14.14,14.14
2004-04-19,13.95,13.95,13.95,13.95
2004-04-20,13.63,13.63,13.63,13.63
2004-04-21,13.95,13.95,13.95,13.95
2004-04-22,14.25,14.25,14.25,14.25
2004-04-23,14.34,14.34,14.34,14.34
2004-04-26,14.11,14.11,14.11,14.11
2004-04-27,13.9,13.9,13.9,13.9
2004-04-28,13.94,13.94,13.94,13.94
2004-04-29,14.0,14.0,14.0,14.0
2004-04-30,13.85,13.85,13.85,13.85
2004-05-03,13.82,13.82,13.82,13.82
2004-05-04,13.82,13.82,13.82,13.82
2004-05-05,13.69,13.69,13.69,13.69
2004-05-06,13.8562,13.8562,13.8562,13.8562
2004-05-07,13.502,13.502,13.502,13.502
2004-05-10,13.3,13.3,13.3,13.3
