timestamp,open,high,low,close
2013-09-30,45.52,45.52,45.52,45.52
2013-10-01,47.28,47.28,47.28,47.28
2013-10-02,46.93,46.93,46.93,46.93
2013-10-03,45.98,45.98,45.98,45.98
2013-10-04,46.09,46.09,46.09,46.09
2013-10-07,45.32,45.32,45.32,45.32
2013-10-08,45.45,45.45,45.45,45.45
2013-10-09,45.32,45.32,45.32,45.32
2013-10-10,45.99,45.99,45.99,45.99
2013-10-11,46.31,46.31,46.31,46.31
2013-10-14,46.28,46.28,46.28,46.28
2013-10-15,45.67,45.67,45.67,45.67
2013-10-16,46.35,46.35,46.35,46.35
2013-10-17,46.05,46.05,46.05,46.05
2013-10-18,46.78,46.78,46.78,46.78
2013-10-21,47.25,47.25,47.25,47.25
2013-10-22,47.05,47.05,47.05,47.05
2013-10-23,47.04,47.04,47.04,47.04
2013-10-24,47.51,47.51,47.51,47.51
2013-10-25,47.51,47.51,47.51,47.51
2013-10-28,47.27,47.27,47.27,47.27
2013-10-29,47.37,47.37,47.37,47.37
2013-10-30,47.24,47.24,47.24,47.24
2013-10-31,45.0,45.0,45.0,45.0
2013-11-01,47.41,47.41,47.41,47.41
2013-11-04,45.22,45.22,45.22,45.22
2013-11-05,46.92,46.92,46.92,46.92
2013-11-06,46.96,46.96,46.96,46.96
2013-11-07,46.78,46.78,46.78,46.78
2013-11-08,47.43,47.43,47.43,47.43
2013-11-11,47.67,47.67,47.67,47.67
2013-11-12,47.68,47.68,47.68,47.68
2013-11-13,48.69,48.69,48.69,48.69
2013-11-14,48.51,48.51,48.51,48.51
2013-11-15,48.51,48.51,48.51,48.51
2013-11-18,48.43,48.43,48.43,48.43
2013-11-19,48.73,48.73,48.73,48.73
2013-11-20,48.37,48.37,48.37,48.37
2013-11-21,49.01,49.01,49.01,49.01
2013-11-22,48.77,48.77,48.77,48.77
2013-11-25,48.38,48.38,48.38,48.38
2013-11-26,48.8,48.8,48.8,48.8
2013-11-27,48.44,48.44,48.44,48.44
2013-11-29,48.63,48.63,48.63,48.63
2013-12-02,48.87,48.87,48.87,48.87
2013-12-03,41.71,41.71,41.71,41.71
2013-12-04,41.4301,41.4301,41.4301,41.4301
2013-12-05,41.39,41.39,41.39,41.39
2013-12-06,41.56,41.56,41.56,41.56
2013-12-09,41.57,41.57,41.57,41.57
2013-12-10,42.42,42.42,42.42,42.42
2013-12-11,41.2971,41.2971,41.2971,41.2971
2013-12-12,40.62,40.62,40.62,40.62
2013-12-13,43.14,43.14,43.14,43.14
2013-12-16,42.85,42.85,42.85,42.85
2013-12-17,43.65,43.65,43.65,43.65
2013-12-18,44.44,44.44,44.44,44.44
2013-12-19,44.28,44.28,44.28,44.28
2013-12-20,45.13,45.13,45.13,45.13
2013-12-23,45.31,45.31,45.31,45.31
2013-12-24,45.94,45.94,45.94,45.94
