timestamp,open,high,low,close
2004-01-02,21.5,21.5,21.5,21.5
2004-01-05,21.974,21.974,21.974,21.974
2004-01-06,21.79,21.79,21.79,21.79
2004-01-07,21.45,21.45,21.45,21.45
2004-01-08,21.45,21.45,21.45,21.45
2004-01-09,21.56,21.56,21.56,21.56
2004-01-12,21.68,21.68,21.68,21.68
2004-01-13,21.35,21.35,21.35,21.35
2004-01-14,21.89,21.89,21.89,21.89
2004-01-15,21.85,21.85,21.85,21.85
2004-01-16,21.97,21.97,21.97,21.97
2004-01-20,21.98,21.98,21.98,21.98
2004-01-21,22.41,22.41,22.41,22.41
2004-01-22,22.55,22.55,22.55,22.55
2004-01-23,22.6,22.6,22.6,22.6
2004-01-26,22.48,22.48,22.48,22.48
2004-01-27,22.19,22.19,22.19,22.19
2004-01-28,21.7,21.7,21.7,21.7
2004-01-29,25.4473,25.4473,25.4473,25.4473
2004-01-30,24.65,24.65,24.65,24.65
2004-02-02,24.73,24.73,24.73,24.73
2004-02-03,24.71,24.71,24.71,24.71
2004-02-04,24.47,24.47,24.47,24.47
2004-02-05,24.39,24.39,24.39,24.39
2004-02-06,24.8,24.8,24.8,24.8
2004-02-09,24.57,24.57,24.57,24.57
2004-02-10,24.29,24.29,24.29,24.29
2004-02-11,24.61,24.61,24.61,24.61
2004-02-12,24.47,24.47,24.47,24.47
2004-02-13,24.28,24.28,24.28,24.28
2004-02-17,24.35,24.35,24.35,24.35
2004-02-18,24.2416,24.2416,24.2416,24.2416
2004-02-19,24.61,24.61,24.61,24.61
2004-02-20,24.61,24.61,24.61,24.61
2004-02-23,24.48,24.48,24.48,24.48
2004-02-24,24.43,24.43,24.43,24.43
2004-02-25,24.26,24.26,24.26,24.26
2004-02-26,24.27,24.27,24.27,24.27
2004-02-27,24.47,24.47,24.47,24.47
2004-03-01,24.93,24.93,24.93,24.93
2004-03-02,24.925,24.925,24.925,24.925
2004-03-03,24.72,24.72,24.72,24.72
2004-03-04,24.83,24.83,24.83,24.83
2004-03-05,24.79,24.79,24.79,24.79
2004-03-08,24.58,24.58,24.58,24.58
2004-03-09,24.47,24.47,24.47,24.47
2004-03-10,23.79,23.79,23.79,23.79
2004-03-11,23.56,23.56,23.56,23.56
2004-03-12,23.8,23.8,23.8,23.8
2004-03-15,23.24,23.24,23.24,23.24
2004-03-16,23.09,23.09,23.09,23.09
2004-03-17,23.25,23.25,23.25,23.25
2004-03-18,23.17,23.17,23.17,23.17
2004-03-19,22.9025,22.9025,22.9025,22.9025
2004-03-22,22.59,22.59,22.59,22.59
2004-03-23,22.65,22.65,22.65,22.65
2004-03-24,22.62,22.62,22.62,22.62
2004-03-25,22.97,22.97,22.97,22.97
2004-03-26,23.05,23.05,23.05,23.05
2004-03-29,23.24,23.24,23.24,23.24
2004-03-30,23.56,23.56,23.56,23.56
2004-03-31,23.71,23.71,23.71,23.71
2004-04-01,24.0,24.0,24.0,24.0
2004-04-02,24.06,24.06,24.06,24.06
2004-04-05,24.32,24.32,24.32,24.32
