timestamp,open,high,low,close
2019-07-01,178.5,178.5,178.5,178.5
2019-07-02,185.77,185.77,185.77,185.77
2019-07-03,184.3,184.3,184.3,184.3
2019-07-05,184.96,184.96,184.96,184.96
2019-07-08,184.68,184.68,184.68,184.68
2019-07-09,191.26,191.26,191.26,191.26
2019-07-10,192.61,192.61,192.61,192.61
2019-07-11,194.45,194.45,194.45,194.45
2019-07-12,195.72,195.72,195.72,195.72
2019-07-15,191.55,191.55,191.55,191.55
2019-07-16,192.7,192.7,192.7,192.7
2019-07-17,193.97,193.97,193.97,193.97
2019-07-18,194.14,194.14,194.14,194.14
2019-07-19,192.9,192.9,192.9,192.9
2019-07-22,194.91,194.91,194.91,194.91
2019-07-23,193.1,193.1,193.1,193.1
2019-07-24,200.5,200.5,200.5,200.5
2019-07-25,201.1,201.1,201.1,201.1
2019-07-26,198.6,198.6,198.6,198.6
2019-07-29,201.39,201.39,201.39,201.39
2019-07-30,200.0,200.0,200.0,200.0
2019-07-31,207.6,207.6,207.6,207.6
2019-08-01,204.0,204.0,204.0,204.0
2019-08-02,204.42,204.42,204.42,204.42
2019-08-05,203.5,203.5,203.5,203.5
2019-08-06,205.12,205.12,205.12,205.12
2019-08-07,207.46,207.46,207.46,207.46
2019-08-08,214.45,214.45,214.45,214.45
2019-08-09,209.51,209.51,209.51,209.51
2019-08-12,209.35,209.35,209.35,209.35
2019-08-13,209.83,209.83,209.83,209.83
2019-08-14,207.72,207.72,207.72,207.72
2019-08-15,209.6,209.6,209.6,209.6
2019-08-16,210.87,210.87,210.87,210.87
2019-08-19,213.05,213.05,213.05,213.05
2019-08-20,212.59,212.59,212.59,212.59
2019-08-21,214.18,214.18,214.18,214.18
2019-08-22,213.31,213.31,213.31,213.31
2019-08-23,208.89,208.89,208.89,208.89
2019-08-26,211.62,211.62,211.62,211.62
2019-08-27,210.48,210.48,210.48,210.48
2019-08-28,212.12,212.12,212.12,212.12
2019-08-29,213.3,213.3,213.3,213.3
2019-08-30,211.41,211.41,211.41,211.41
2019-09-03,210.53,210.53,210.53,210.53
2019-09-04,213.65,213.65,213.65,213.65
2019-09-05,212.13,212.13,212.13,212.13
2019-09-06,214.7,214.7,214.7,214.7
2019-09-09,208.0,208.0,208.0,208.0
