timestamp,open,high,low,close
2007-06-01,40.58,40.58,40.58,40.58
2007-06-04,40.2993,40.2993,40.2993,40.2993
2007-06-05,40.07,40.07,40.07,40.07
2007-06-06,39.5,39.5,39.5,39.5
2007-06-07,38.49,38.49,38.49,38.49
2007-06-08,39.08,39.08,39.08,39.08
2007-06-11,39.12,39.12,39.12,39.12
2007-06-12,38.9,38.9,38.9,38.9
2007-06-13,39.11,39.11,39.11,39.11
2007-06-14,39.47,39.47,39.47,39.47
2007-06-15,38.95,38.95,38.95,38.95
2007-06-18,39.13,39.13,39.13,39.13
2007-06-19,38.71,38.71,38.71,38.71
2007-06-20,38.8374,38.8374,38.8374,38.8374
2007-06-21,38.87,38.87,38.87,38.87
2007-06-22,42.3,42.3,42.3,42.3
2007-06-23,42.58,42.58,42.58,42.58
2007-06-25,40.55,40.55,40.55,40.55
2007-06-26,39.59,39.59,39.59,39.59
2007-06-27,39.19,39.19,39.19,39.19
2007-06-28,39.67,39.67,39.67,39.67
2007-06-29,39.53,39.53,39.53,39.53
2007-07-02,39.83,39.83,39.83,39.83
2007-07-03,39.32,39.32,39.32,39.32
2007-07-05,39.77,39.77,39.77,39.77
2007-07-06,42.9,42.9,42.9,42.9
2007-07-09,41.99,41.99,41.99,41.99
2007-07-10,40.0,40.0,40.0,40.0
2007-07-11,40.41,40.41,40.41,40.41
2007-07-12,39.23,39.23,39.23,39.23
2007-07-13,39.5,39.5,39.5,39.5
2007-07-16,40.14,40.14,40.14,40.14
2007-07-17,40.05,40.05,40.05,40.05
2007-07-18,43.5,43.5,43.5,43.5
2007-07-19,42.92,42.92,42.92,42.92
2007-07-20,41.72,41.72,41.72,41.72
2007-07-23,41.86,41.86,41.86,41.86
2007-07-24,40.84,40.84,40.84,40.84
2007-07-25,40.75,40.75,40.75,40.75
2007-07-26,37.744,37.744,37.744,37.744
2007-07-27,37.2032,37.2032,37.2032,37.2032
2007-07-30,36.45,36.45,36.45,36.45
2007-07-31,36.06,36.06,36.06,36.06
2007-08-01,34.04,34.04,34.04,34.04
2007-08-02,35.751,35.751,35.751,35.751
2007-08-03,34.02,34.02,34.02,34.02
2007-08-06,34.9,34.9,34.9,34.9
2007-08-07,34.58,34.58,34.58,34.58
2007-08-08,35.6,35.6,35.6,35.6
2007-08-09,33.62,33.62,33.62,33.62
2007-08-10,33.56,33.56,33.56,33.56
2007-08-13,33.36,33.36,33.36,33.36
2007-08-14,31.77,31.77,31.77,31.77
2007-08-15,30.76,30.76,30.76,30.76
2007-08-16,30.38,30.38,30.38,30.38
2007-08-17,30.91,30.91,30.91,30.91
2007-08-20,30.7,30.7,30.7,30.7
2007-08-21,30.63,30.63,30.63,30.63
2007-08-22,31.37,31.37,31.37,31.37
2007-08-23,31.13,31.13,31.13,31.13
2007-08-24,31.75,31.75,31.75,31.75
2007-08-27,31.4,31.4,31.4,31.4
2007-08-28,29.85,29.85,29.85,29.85
2007-08-29,31.67,31.67,31.67,31.67
2007-08-30,30.87,30.87,30.87,30.87
2007-08-31,31.72,31.72,31.72,31.72
2007-09-04,31.47,31.47,31.47,31.47
2007-09-05,30.57,30.57,30.57,30.57
2007-09-06,30.6614,30.6614,30.6614,30.6614
2007-09-07,29.7,29.7,29.7,29.7
2007-09-10,29.21,29.21,29.21,29.21
2007-09-11,29.6,29.6,29.6,29.6
2007-09-12,28.9,28.9,28.9,28.9
2007-09-13,29.25,29.25,29.25,29.25
2007-09-14,30.48,30.48,30.48,30.48
2007-09-17,29.7,29.7,29.7,29.7
2007-09-18,32.4,32.4,32.4,32.4
2007-09-19,33.7,33.7,33.7,33.7
2007-09-20,32.37,32.37,32.37,32.37
2007-09-21,33.35,33.35,33.35,33.35
2007-09-24,32.95,32.95,32.95,32.95
2007-09-25,32.09,32.09,32.09,32.09
2007-09-26,32.75,32.75,32.75,32.75
2007-09-27,32.0,32.0,32.0,32.0
2007-09-28,32.7,32.7,32.7,32.7
