timestamp,open,high,low,close
2004-01-02,27.39,27.48,26.79,26.9
2004-01-05,26.92,27.04,26.48,26.8
2004-01-06,26.86,27.07,26.8,26.8993
2004-01-07,26.8,26.84,26.52,26.59
2004-01-08,26.59,26.7,25.94,26.22
2004-01-09,26.02,26.47,25.98,26.28
2004-01-12,26.37,26.49,26.28,26.44
2004-01-13,26.5,26.51,26.25,26.3
2004-01-14,26.43,26.72,26.4,26.54
2004-01-15,26.53,26.65,26.36,26.6
2004-01-16,26.77,26.96,26.7,26.86
2004-01-20,26.87,26.95,26.56,26.6987
2004-01-21,26.78,27.28,26.78,27.18
2004-01-22,27.25,27.56,27.21,27.42
2004-01-23,27.55,27.61,27.4,27.49
2004-01-26,27.4,28.0,27.21,27.72
2004-01-27,27.75,27.83,27.2,27.47
2004-01-28,27.55,27.71,26.92,26.95
2004-01-29,26.96,27.19,26.53,26.6773
2004-01-30,26.55,26.88,26.53,26.7378
2004-02-02,26.6,27.04,26.57,26.77
2004-02-03,26.8,26.85,26.41,26.42
2004-02-04,26.39,26.55,26.1,26.39
2004-02-05,26.11,26.15,25.88,26.02
2004-02-06,25.98,26.5,25.98,26.4
2004-02-09,26.5,26.7,26.5,26.59
2004-02-10,26.7,26.7,26.4,26.47
2004-02-11,26.5,27.32,26.49,27.17
2004-02-12,27.17,27.43,27.11,27.32
2004-02-13,27.75,27.75,27.03,27.33
2004-02-17,27.59,27.66,27.42,27.44
2004-02-18,27.34,27.58,27.18,27.4325
2004-02-19,27.51,27.63,27.32,27.36
2004-02-20,27.37,27.37,27.07,27.26
2004-02-23,27.32,27.47,27.23,27.38
2004-02-24,27.37,27.65,27.2,27.46
2004-02-25,27.47,27.65,27.28,27.63
2004-02-26,27.75,28.0,27.5,27.95
2004-02-27,28.02,28.16,27.76,28.04
2004-03-01,28.15,28.49,28.11,28.46
2004-03-02,28.46,28.46,28.12,28.2742
2004-03-03,28.14,28.15,27.93,28.15
2004-03-04,28.05,28.24,27.91,28.21
2004-03-05,28.21,28.58,28.11,28.33
2004-03-08,28.35,28.49,28.11,28.12
2004-03-09,28.25,28.75,28.25,28.51
2004-03-10,28.6,29.0,28.1,28.195
2004-03-11,28.3,29.2,28.17,28.4242
2004-03-12,28.6,29.28,28.58,29.28
2004-03-15,29.19,29.2,28.81,29.11
2004-03-16,29.04,29.04,28.51,28.84
2004-03-17,29.03,29.55,29.02,29.16
2004-03-18,30.0,31.3,29.62,29.88
2004-03-19,29.98,30.05,29.71,29.8325
2004-03-22,29.82,29.82,29.15,29.51
2004-03-23,29.56,29.78,29.43,29.43
2004-03-24,29.5,29.9,29.36,29.65
2004-03-25,29.72,30.03,29.66,29.91
2004-03-26,29.9,29.98,29.75,29.79
2004-03-29,29.87,30.25,29.83,30.19
2004-03-30,30.19,30.75,30.19,30.62
2004-03-31,30.63,30.8,30.37,30.47
2004-04-01,30.6,31.31,30.48,30.57
2004-04-02,30.7,30.7,29.95,30.14
2004-04-05,30.04,30.09,29.72,29.8
2004-04-06,29.15,29.3,28.98,29.11
2004-04-07,29.15,29.37,29.09,29.15
2004-04-08,29.27,29.27,28.74,28.8
2004-04-12,29.0,29.2,28.93,29.05
2004-04-13,29.11,29.13,28.48,28.69
2004-04-14,28.56,29.04,28.44,28.86
2004-04-15,28.86,29.04,28.75,29.0
