timestamp,open,high,low,close
2004-01-02,19.35,19.6,19.23,19.3
2004-01-05,19.49,19.58,19.02,19.06
2004-01-06,19.0,19.04,18.8,18.9
2004-01-07,18.82,18.9,18.65,18.75
2004-01-08,18.82,18.84,18.47,18.59
2004-01-09,19.0,19.33,18.67,18.86
2004-01-12,18.92,19.1,18.9,19.0
2004-01-13,18.86,18.98,18.78,18.94
2004-01-14,19.05,19.3,19.04,19.17
2004-01-15,19.22,19.5,19.01,19.4
2004-01-16,19.4,19.51,19.14,19.2
2004-01-20,18.8,18.81,18.51,18.64
2004-01-21,18.67,19.02,18.67,19.0
2004-01-22,18.92,18.96,18.7,18.85
2004-01-23,18.9,18.9,18.595,18.78
2004-01-26,18.75,18.96,18.71,18.94
2004-01-27,18.92,19.05,18.8,18.8
2004-01-28,18.89,19.14,18.45,18.49
2004-01-29,18.5,18.93,18.5,18.91
2004-01-30,19.15,19.15,18.67,18.9
2004-02-02,18.83,19.04,18.65,18.95
2004-02-03,19.35,19.79,19.1,19.56
2004-02-04,19.3,19.3,18.86,19.03
2004-02-05,18.89,19.08,18.89,18.95
2004-02-06,18.95,19.09,18.86,18.95
2004-02-09,18.81,19.07,18.75,18.98
2004-02-10,18.85,18.98,18.75,18.88
2004-02-11,18.89,19.0,18.78,18.8
2004-02-12,18.73,18.85,18.62,18.71
2004-02-13,18.67,18.92,18.66,18.77
2004-02-17,18.98,19.12,18.89,19.01
2004-02-18,19.08,19.55,19.03,19.2516
2004-02-19,19.4,19.73,19.32,19.43
2004-02-20,19.4,19.4,18.88,19.11
2004-02-23,19.05,19.14,19.01,19.04
2004-02-24,18.97,19.04,18.81,18.84
2004-02-25,18.93,19.06,18.79,18.9
2004-02-26,18.9,18.96,18.86,18.94
2004-02-27,19.0,19.16,18.9,19.0
2004-03-01,19.0,19.11,18.86,18.88
2004-03-02,18.78,19.02,18.78,18.9986
2004-03-03,19.0,19.15,18.9,19.1
2004-03-04,19.15,19.18,18.96,19.05
2004-03-05,19.05,19.07,18.86,18.86
2004-03-08,18.94,19.04,18.9,19.0
2004-03-09,18.95,19.0,18.62,18.72
2004-03-10,18.66,18.85,18.63,18.6404
2004-03-11,18.11,18.2,17.84,17.9
2004-03-12,17.81,18.18,17.81,18.12
2004-03-15,18.13,18.17,18.03,18.1
2004-03-16,18.1,18.25,18.09,18.19
2004-03-17,18.23,18.49,18.17,18.4762
2004-03-18,18.49,18.51,18.35,18.4
2004-03-19,18.6,18.6,18.25,18.4525
2004-03-22,18.44,18.44,18.0,18.04
2004-03-23,18.12,18.18,18.04,18.06
2004-03-24,18.04,18.19,17.9,17.97
2004-03-25,18.06,18.26,18.01,18.16
2004-03-26,18.16,18.3,18.09,18.29
2004-03-29,18.27,18.57,18.26,18.46
2004-03-30,18.41,18.64,18.3,18.62
2004-03-31,18.6,18.6,18.31,18.44
2004-04-01,18.44,18.69,18.44,18.64
2004-04-02,19.16,19.16,18.46,18.47
2004-04-05,18.45,18.56,18.44,18.48
2004-04-06,18.5,19.19,18.43,19.17
2004-04-07,19.0,19.04,18.68,18.78
2004-04-08,18.86,18.93,18.65,18.74
2004-04-12,18.7,18.74,18.48,18.52
2004-04-13,18.62,18.65,18.26,18.27
2004-04-14,18.2,18.45,18.2,18.36
2004-04-15,18.42,18.65,18.4,18.6
2004-04-16,18.66,18.75,18.37,18.75
2004-04-19,18.67,18.67,18.27,18.649
2004-04-20,17.55,18.36,17.4,18.3392
2004-04-21,18.0,18.15,17.61,17.7
2004-04-22,17.57,18.1,17.47,18.0118
2004-04-23,18.07,18.07,17.69,17.71
2004-04-26,17.69,17.8,17.5,17.55
2004-04-27,17.58,17.73,17.14,17.24
2004-04-28,17.61,17.61,16.85,16.88
2004-04-29,16.86,17.36,16.75,17.15
2004-04-30,17.11,17.15,16.84,16.96
2004-05-03,17.2,17.33,17.0,17.27
2004-05-04,17.34,17.43,17.16,17.24
2004-05-05,17.26,17.53,17.25,17.45
2004-05-06,17.29,17.43,17.15,17.32
2004-05-07,17.25,17.31,17.2,17.25
2004-05-10,17.25,17.25,17.05,17.21
2004-05-11,17.25,17.48,17.245,17.26
2004-05-12,17.24,17.28,16.94,17.14
2004-05-13,17.14,17.24,17.05,17.24
2004-05-14,17.18,17.28,17.01,17.18
2004-05-17,17.0,17.05,16.87,16.99
2004-05-18,17.02,17.18,16.93,17.1
2004-05-19,17.15,17.28,16.98,16.99
2004-05-20,16.9,17.27,16.9,17.15
2004-05-21,17.22,17.51,17.21,17.25
2004-05-24,17.3,17.41,17.25,17.25
2004-05-25,17.35,17.7,17.22,17.65
2004-05-26,17.7,17.75,17.43,17.74
2004-05-27,17.42,17.81,17.38,17.51
2004-05-28,17.56,17.62,17.45,17.48
2004-06-01,17.5,17.55,17.3,17.53
2004-06-02,17.53,17.65,17.48,17.62
2004-06-03,17.5,17.6,17.39,17.3987
2004-06-04,17.43,17.49,17.26,17.38
2004-06-07,17.4,17.67,17.39,17.61
2004-06-08,17.55,17.7,17.44,17.6891
2004-06-09,17.63,17.75,17.56,17.57
2004-06-10,17.65,17.72,17.48,17.72
2004-06-14,17.67,17.73,17.5,17.6
2004-06-15,17.69,17.89,17.6,17.83
2004-06-16,17.78,17.84,17.75,17.8
2004-06-17,17.75,17.96,17.73,17.89
2004-06-18,17.85,17.98,17.85,17.98
2004-06-21,17.95,18.11,17.9,18.06
2004-06-22,18.05,18.07,17.86,17.96
2004-06-23,17.9,18.39,17.83,18.39
2004-06-24,18.32,18.39,18.12,18.19
2004-06-25,18.14,18.3,18.07,18.23
2004-06-28,18.23,18.35,18.16,18.2686
2004-06-29,18.17,18.17,18.0,18.05
2004-06-30,18.13,18.29,18.06,18.25
2004-07-01,18.26,18.26,17.95,18.06
2004-07-02,18.15,18.17,17.99,18.08
2004-07-06,18.05,18.08,17.64,17.93
2004-07-07,17.27,17.61,17.0716,17.5697
2004-07-08,17.32,17.53,17.1,17.49
2004-07-09,17.49,17.49,16.5,16.5
2004-07-12,17.0,17.03,16.66,16.77
2004-07-13,16.75,17.03,16.55,17.02
2004-07-14,16.85,17.17,16.77,17.03
2004-07-15,17.0,17.07,16.98,17.01
2004-07-16,17.15,17.15,16.73,16.75
2004-07-19,17.4,18.05,16.85,17.41
2004-07-20,17.25,17.56,17.14,17.53
2004-07-21,17.65,17.89,17.58,17.66
2004-07-22,17.42,17.47,17.13,17.31
2004-07-23,17.31,17.36,17.2,17.31
2004-07-26,17.24,17.36,17.05,17.1
2004-07-27,17.07,17.69,17.07,17.6
2004-07-28,17.52,17.54,17.2,17.401
2004-07-29,17.57,17.77,17.39,17.541
2004-07-30,17.54,17.65,17.45,17.52
2004-08-02,17.53,17.69,17.3,17.5
2004-08-03,17.44,17.45,17.16,17.2
2004-08-04,17.1,17.43,17.06,17.4
2004-08-05,17.32,17.38,16.91,16.97
2004-08-06,16.88,17.07,16.78,16.8924
2004-08-09,16.89,17.05,16.85,16.95
2004-08-10,16.95,17.24,16.91,17.06
2004-08-11,17.16,17.2,16.92,17.18
2004-08-12,17.0,17.06,16.86,17.05
2004-08-13,17.03,17.23,16.85,17.19
2004-08-16,16.77,17.03,16.33,16.96
2004-08-17,16.93,17.06,16.75,16.7587
2004-08-18,16.8,16.96,16.68,16.71
2004-08-19,16.68,16.68,16.36,16.4
2004-08-20,16.4,16.45,16.27,16.35
2004-08-23,16.29,16.43,16.21,16.39
2004-08-24,16.48,16.49,16.22,16.39
2004-08-25,16.3,16.32,15.99,16.02
2004-08-26,16.0,16.07,15.94,15.98
2004-08-27,16.0,16.1,15.99,16.06
2004-08-30,16.05,16.25,16.04,16.15
2004-08-31,16.1,16.14,16.0,16.09
2004-09-01,16.09,16.28,16.09,16.24
2004-09-02,16.25,16.77,16.25,16.75
2004-09-03,16.76,16.93,16.63,16.92
2004-09-07,16.92,17.22,16.92,17.18
2004-09-08,17.15,17.74,17.15,17.5998
2004-09-09,17.61,17.87,17.36,17.86
2004-09-10,17.76,17.95,17.54,17.95
2004-09-13,17.886,17.886,17.55,17.56
2004-09-14,17.56,17.67,17.47,17.55
2004-09-15,17.71,18.15,17.71,17.98
2004-09-16,17.96,18.22,17.96,18.09
2004-09-17,18.15,18.2,18.05,18.15
2004-09-20,18.07,18.26,18.0,18.22
2004-09-21,18.15,18.39,17.98,18.29
2004-09-22,18.14,18.25,17.91,18.0
2004-09-23,18.0,18.11,17.95,18.01
2004-09-24,18.0,18.12,17.91,17.94
2004-09-27,17.94,17.96,17.76,17.86
2004-09-28,17.86,18.0,17.59,17.85
2004-09-29,17.85,18.55,17.73,18.13
2004-09-30,18.02,18.33,17.98,18.13
2004-10-01,18.23,18.37,18.12,18.34
2004-10-04,18.39,18.56,18.26,18.34
