timestamp,open,high,low,close
2004-01-02,33.89,34.05,33.5,33.62
2004-01-05,33.62,34.19,33.62,34.15
2004-01-06,34.25,34.25,33.44,33.6
2004-01-07,34.2,34.2,33.21,34.02
2004-01-08,34.3,34.71,33.95,34.6
2004-01-09,34.0,34.62,33.95,34.4785
2004-01-12,34.55,34.86,34.2,34.67
2004-01-13,34.6,34.75,32.47,32.83
2004-01-14,32.85,33.44,32.55,33.21
2004-01-15,33.14,33.93,32.62,33.42
2004-01-16,33.53,34.13,33.47,33.79
2004-01-20,33.84,33.9,32.99,33.2
2004-01-21,32.94,32.94,31.54,31.72
2004-01-22,33.2,33.2,29.82,31.26
2004-01-23,31.48,31.5,29.09,30.47
2004-01-26,30.38,30.76,29.4,29.6
2004-01-27,29.69,29.69,28.57,28.590999999999998
2004-01-28,28.97,29.519000000000002,28.42,28.62
2004-01-29,28.78,29.06,28.05,28.05
2004-01-30,28.9,28.96,28.45,28.8
2004-02-02,28.91,29.23,28.18,28.4367
2004-02-03,28.2,29.37,28.2,28.9388
2004-02-04,28.79,28.79,28.07,28.35
2004-02-05,28.39,29.3,28.39,29.15
2004-02-06,29.0,30.42,29.0,30.1
2004-02-09,29.76,30.39,29.65,29.75
2004-02-10,29.65,30.16,29.55,30.0094
2004-02-11,30.01,30.55,29.94,30.44
2004-02-12,30.5,31.1,30.16,30.46
2004-02-13,30.43,31.18,30.07,30.2128
2004-02-17,30.57,30.853,30.38,30.61
2004-02-18,30.6,30.95,30.2,30.95
2004-02-19,30.96,31.37,29.86,30.08
2004-02-20,30.0,30.07,29.18,29.43
2004-02-23,29.48,29.56,27.97,28.25
2004-02-24,28.3,28.98,27.926,28.7356
2004-02-25,28.85,29.14,28.38,28.64
2004-02-26,28.71,29.21,28.28,29.0187
2004-02-27,28.92,29.06,28.16,28.5
2004-03-01,29.0,30.15,28.57,30.15
2004-03-02,30.14,30.17,29.07,29.16
2004-03-03,29.15,29.15,28.06,28.14
2004-03-04,28.3,28.62,28.0,28.48
2004-03-05,28.495,28.97,27.91,28.71
2004-03-08,28.71,28.83,26.96,27.12
2004-03-09,27.1,27.41,26.55,27.25
2004-03-10,27.15,27.6,27.01,27.05
