timestamp,open,high,low,close
2004-01-02,31.75,31.88,30.25,30.8
2004-01-05,31.12,31.13,30.1,30.21
2004-01-06,30.14,30.3,29.68,29.9893
2004-01-07,30.03,30.37,29.94,30.16
2004-01-08,30.34,30.64,29.82,29.92
2004-01-09,30.0,30.0,29.41,29.72
2004-01-12,29.63,29.7,29.36,29.48
2004-01-13,29.48,29.6,28.78,28.93
2004-01-14,29.03,29.84,29.0,29.0
2004-01-15,30.02,30.31,29.87,30.17
2004-01-16,30.44,30.44,29.86,30.12
2004-01-20,30.2,30.3,29.99,30.23
2004-01-21,30.23,31.0,30.17,30.97
2004-01-22,31.15,32.04,29.3,29.61
2004-01-23,29.75,30.25,29.18,29.3
2004-01-26,29.31,29.7,29.31,29.38
2004-01-27,29.41,29.48,29.0,29.05
2004-01-28,29.05,29.25,28.85,29.0
2004-01-29,29.09,29.45,28.9,29.35
2004-01-30,29.2,29.43,29.16,29.38
2004-02-02,29.25,29.5,29.18,29.31
2004-02-03,29.27,29.71,29.21,29.66
2004-02-04,29.45,29.5,29.08,29.1
2004-02-05,29.24,29.25,28.92,28.99
2004-02-06,29.04,29.41,28.85,29.41
2004-02-09,29.17,29.17,28.53,28.8
2004-02-10,28.61,28.7,28.3,28.46
2004-02-11,28.4,28.62,28.32,28.5
2004-02-12,28.5,28.69,28.27,28.62
2004-02-13,28.5,28.87,28.47,28.6427
2004-02-17,28.7,28.91,28.53,28.6
2004-02-18,28.75,29.08,28.67,28.73
2004-02-19,28.91,28.98,28.42,28.43
2004-02-20,28.56,28.57,28.03,28.25
2004-02-23,28.25,28.25,27.51,27.69
2004-02-24,27.78,28.09,27.7,27.85
2004-02-25,27.86,28.05,27.66,27.73
2004-02-26,27.72,27.97,27.45,27.88
2004-02-27,27.83,27.88,27.01,27.31
2004-03-01,27.47,27.85,27.2,27.82
2004-03-02,27.75,27.87,27.55,27.71
2004-03-03,27.7,27.9,27.59,27.75
2004-03-04,27.85,27.85,27.39,27.4
2004-03-05,27.52,28.43,27.4,28.43
2004-03-08,28.43,28.67,28.19,28.43
2004-03-09,28.26,28.26,27.78,27.91
2004-03-10,27.88,28.3,27.81,28.1544
2004-03-11,28.0,28.25,27.76,27.97
2004-03-12,27.99,28.08,27.69,28.08
2004-03-15,27.95,28.15,27.68,27.8
2004-03-16,28.0,28.08,27.79,28.05
2004-03-17,28.15,28.28,27.97,28.2332
2004-03-18,28.18,28.39,27.9,28.27
2004-03-19,28.2,28.25,27.76,27.7725
2004-03-22,27.77,27.91,27.52,27.7
2004-03-23,27.8,27.83,27.54,27.73
