timestamp,open,high,low,close
2004-01-02,48.82,48.98,48.66,48.94
2004-01-05,49.06,49.86,49.06,49.69
2004-01-06,49.75,49.77,49.38,49.54
2004-01-07,49.48,50.16,49.37,50.16
2004-01-08,50.07,50.14,49.77,50.08
2004-01-09,50.0,50.07,49.57,50.06
2004-01-12,49.96,49.96,49.5,49.87
2004-01-13,49.8,49.8,49.45,49.59
2004-01-14,49.6,50.46,49.6,50.4
2004-01-15,50.3,50.4,50.08,50.22
2004-01-16,50.35,50.35,49.79,49.84
2004-01-20,49.75,49.86,49.5,49.6552
2004-01-21,49.88,49.92,49.42,49.73
2004-01-22,49.83,50.16,49.56,50.1
2004-01-23,50.04,50.63,49.74,49.94
2004-01-26,50.0,50.29,49.8,50.28
2004-01-27,50.35,50.38,49.75,49.95
2004-01-28,50.05,50.63,49.97,50.51
2004-01-29,50.65,51.23,50.49,51.2273
2004-01-30,51.23,51.23,50.22,50.42
2004-02-02,50.5,50.79,49.95,50.79
2004-02-03,50.69,50.77,50.31,50.52
2004-02-04,50.5,50.6,50.28,50.37
2004-02-05,50.3,50.6,50.12,50.49
2004-02-06,50.5,50.88,50.25,50.82
2004-02-09,50.95,51.49,50.56,51.25
2004-02-10,51.32,52.4,51.16,52.26
2004-02-11,52.15,52.9,51.76,52.9
2004-02-12,52.9,52.9,52.01,52.42
2004-02-13,52.42,52.42,51.43,51.62
2004-02-17,51.65,52.0,51.65,51.92
2004-02-18,51.8,52.25,51.61,51.9493
2004-02-19,52.15,52.29,51.26,51.26
2004-02-20,51.45,51.57,50.91,51.32
2004-02-23,51.45,51.45,50.46,50.52
2004-02-24,50.57,50.65,50.27,50.38
2004-02-25,50.34,50.38,50.02,50.09
2004-02-26,50.05,50.38,49.75,50.2
2004-02-27,50.3,50.62,50.2,50.3
2004-03-01,50.3,51.04,50.3,50.9
2004-03-02,50.95,51.15,50.78,50.9767
2004-03-03,50.85,52.06,50.8,51.66
2004-03-04,51.66,51.66,51.29,51.36
2004-03-05,51.36,51.42,51.06,51.16
2004-03-08,51.17,51.64,51.17,51.48
2004-03-09,51.38,51.6,51.2,51.37
2004-03-10,51.27,51.36,50.62,50.63
2004-03-11,50.63,50.64,50.01,50.11
2004-03-12,50.1,50.82,50.01,50.82
2004-03-15,50.72,50.72,50.01,50.02
2004-03-16,50.12,50.28,49.89,50.09
2004-03-17,50.2,50.65,50.2,50.54
2004-03-18,50.6,50.6,49.8,50.12
2004-03-19,50.1,50.25,49.95,49.9925
2004-03-22,49.85,49.96,49.3,49.45
2004-03-23,49.53,49.94,49.52,49.69
2004-03-24,49.6,49.84,49.24,49.3
2004-03-25,49.295,49.56,48.94,49.53
2004-03-26,49.6,49.77,49.22,49.45
2004-03-29,49.6,50.23,49.59,50.15
2004-03-30,50.1,50.32,49.8,50.32
2004-03-31,50.32,50.77,50.12,50.56
2004-04-01,50.43,51.39,50.43,51.24
2004-04-02,51.45,52.08,51.41,51.61
2004-04-05,51.7,52.18,51.68,52.14
2004-04-06,52.0,52.11,51.8,51.85
2004-04-07,51.98,51.99,51.02,51.39
2004-04-08,51.38,51.53,51.25,51.375
2004-04-12,51.3,51.64,51.19,51.2604
2004-04-13,51.35,51.4,50.85,51.01
2004-04-14,50.9,51.55,50.85,51.48
2004-04-15,51.45,51.47,50.97,51.19
2004-04-16,51.3,51.9,51.05,51.57
2004-04-19,51.48,51.92,51.33,51.84
2004-04-20,51.84,51.91,50.74,50.74
2004-04-21,50.7,50.8,50.32,50.5
2004-04-22,50.55,50.99,50.55,50.7451
2004-04-23,50.7,50.76,50.35,50.6
2004-04-26,50.54,50.8,50.15,50.18
2004-04-27,50.3,50.6,50.05,50.15
2004-04-28,50.18,50.37,49.83,50.15
2004-04-29,50.25,52.1,50.25,51.38
2004-04-30,51.52,51.68,50.88,50.95
2004-05-03,51.0,52.61,51.0,52.61
2004-05-04,52.52,53.08,52.47,52.58
2004-05-05,52.55,53.3,52.37,53.1227
2004-05-06,53.0,53.11,52.55,53.08
2004-05-07,52.98,53.47,52.61,52.61
2004-05-10,52.58,52.6,51.31,51.53
2004-05-11,51.4,51.8,51.4,51.78
2004-05-12,51.75,51.75,50.9,51.65
2004-05-13,51.55,51.92,51.48,51.84
2004-05-14,51.75,52.02,51.02,51.64
2004-05-17,51.55,51.56,51.15,51.15
2004-05-18,51.26,51.59,51.18,51.49
2004-05-19,51.59,51.9,51.51,51.54
2004-05-20,51.4,52.41,51.3,52.23
2004-05-21,52.4,52.7,52.21,52.24
2004-05-24,52.35,52.59,52.24,52.24
2004-05-25,52.24,53.22,52.2,53.22
2004-05-26,52.8,53.0,52.72,52.85
2004-05-27,52.85,52.85,52.14,52.37
2004-05-28,52.3,52.62,52.02,52.56
2004-06-01,52.88,54.31,52.85,54.24
2004-06-02,54.4,55.26,54.4,54.83
2004-06-03,54.75,55.14,54.57,54.82
2004-06-04,54.95,55.67,54.95,55.4
2004-06-07,55.5,55.8,55.49,55.75
2004-06-08,55.7,55.7,55.22,55.49
2004-06-09,55.53,55.94,55.39,55.52
2004-06-10,55.52,55.55,55.35,55.41
2004-06-14,55.3,55.3,55.02,55.2
2004-06-15,55.32,55.4,54.97,55.1
2004-06-16,55.11,55.11,54.21,54.3
2004-06-17,54.35,54.35,53.96,54.12
2004-06-18,53.61,54.3,53.61,54.04
2004-06-21,54.1,54.54,53.93,54.49
2004-06-22,54.35,54.86,54.15,54.6
2004-06-23,54.7,54.71,54.27,54.57
2004-06-24,54.6,54.6,54.03,54.11
2004-06-25,54.2,54.65,54.15,54.5
2004-06-28,54.43,54.95,54.43,54.54
2004-06-29,54.65,54.8,54.36,54.5842
2004-06-30,54.5,54.98,53.95,54.96
2004-07-01,54.86,55.49,54.84,55.13
2004-07-02,55.08,55.45,54.94,55.08
2004-07-06,55.0,55.0,54.4,54.48
